Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.000050,0.000061,0.000049,0.000056,323,128972
Mar 30 2018,0.000049,0.000057,0.000041,0.000050,400,125618
Mar 29 2018,0.000049,0.000059,0.000049,0.000049,669,124920
Mar 28 2018,0.000058,0.000059,0.000047,0.000049,180,148190
Mar 27 2018,0.000051,0.000058,0.000047,0.000058,209,129432
Mar 26 2018,0.000054,0.000060,0.000045,0.000051,755,139085
Mar 25 2018,0.000053,0.000056,0.000047,0.000054,147,136439
Mar 24 2018,0.000060,0.000076,0.000054,0.000054,893,153813
Mar 23 2018,0.000061,0.000070,0.000055,0.000060,253,156572
Mar 22 2018,0.000066,0.000075,0.000061,0.000061,675,167803
Mar 21 2018,0.000071,0.000077,0.000062,0.000066,908,182177
Mar 20 2018,0.000050,0.000074,0.000046,0.000071,1067,129205
Mar 19 2018,0.000058,0.000062,0.000043,0.000050,1684,148427
Mar 18 2018,0.000059,0.000061,0.000047,0.000058,1048,151462
Mar 17 2018,0.000074,0.000074,0.000053,0.000059,693,188838
Mar 16 2018,0.000070,0.000079,0.000064,0.000074,418,180070
Mar 15 2018,0.000053,0.000071,0.000047,0.000070,1063,136096
Mar 14 2018,0.000077,0.000080,0.000053,0.000053,2049,198379
Mar 13 2018,0.000073,0.000081,0.000068,0.000077,356,186908
Mar 12 2018,0.000084,0.000087,0.000072,0.000073,1372,216265
Mar 11 2018,0.000070,0.000086,0.000063,0.000085,1804,178753
Mar 10 2018,0.000069,0.000077,0.000068,0.000070,601,175985
Mar 09 2018,0.000073,0.000073,0.000056,0.000069,752,186671
Mar 08 2018,0.000079,0.000086,0.000066,0.000073,806,202996
Mar 07 2018,0.000075,0.000089,0.000069,0.000079,1676,192575
Mar 06 2018,0.000080,0.000088,0.000068,0.000075,1289,205073
Mar 05 2018,0.000077,0.000096,0.000065,0.000080,2540,197077
Mar 04 2018,0.000070,0.000079,0.000070,0.000077,248,179678
Mar 03 2018,0.000083,0.000092,0.000070,0.000070,1214,211996
Mar 02 2018,0.000092,0.000092,0.000080,0.000083,1534,235909
Mar 01 2018,0.000090,0.000100,0.000085,0.000092,1251,231272
Feb 28 2018,0.000094,0.000101,0.000090,0.000090,1142,240225
Feb 27 2018,0.000092,0.000100,0.000090,0.000094,1533,236430
Feb 26 2018,0.000088,0.000097,0.000088,0.000092,853,225019
Feb 25 2018,0.000089,0.000098,0.000088,0.000088,695,228806
Feb 24 2018,0.000105,0.000106,0.000089,0.000089,1496,268740
Feb 23 2018,0.000099,0.000106,0.000093,0.000105,5201,252392
Feb 22 2018,0.000103,0.000175,0.000098,0.000099,4464,264730
Feb 21 2018,0.000189,0.000204,0.000103,0.000103,8874,484874
Feb 20 2018,0.000186,0.000216,0.000110,0.000190,11727,475403
Feb 19 2018,0.000157,0.000186,0.000102,0.000186,2839,402328
Feb 18 2018,0.000110,0.000181,0.000102,0.000158,2441,281342
Feb 17 2018,0.000161,0.000163,0.000101,0.000110,2962,413289
Feb 16 2018,0.000171,0.000180,0.000100,0.000161,7260,438932
Feb 15 2018,0.000095,0.000172,0.000091,0.000172,5635,243036
Feb 14 2018,0.000100,0.000140,0.000086,0.000134,3827,256889
Feb 13 2018,0.000089,0.000152,0.000087,0.000088,2975,226732
Feb 12 2018,0.000098,0.000137,0.000090,0.000099,2673,249736
Feb 11 2018,0.000101,0.000125,0.000091,0.000108,3879,258924
Feb 10 2018,0.000151,0.000155,0.000093,0.000101,3928,387644
Feb 09 2018,0.000119,0.000152,0.000088,0.000151,2113,304432
Feb 08 2018,0.000114,0.000121,0.000090,0.000119,3688,292614
Feb 07 2018,0.000102,0.000132,0.000080,0.000115,2133,261879
Feb 06 2018,0.000083,0.000118,0.000068,0.000102,3619,211638
Feb 05 2018,0.000155,0.000157,0.000078,0.000083,4060,396001
Feb 04 2018,0.000119,0.000167,0.000088,0.000156,13115,303483
Feb 03 2018,0.000148,0.000157,0.000097,0.000119,1775,378353
Feb 02 2018,0.000102,0.000153,0.000088,0.000147,6620,262352
Feb 01 2018,0.000127,0.000175,0.000094,0.000103,2700,324636
Jan 31 2018,0.000176,0.000182,0.000118,0.000127,5164,450929
Jan 30 2018,0.000175,0.000200,0.000117,0.000176,3425,448359
Jan 29 2018,0.000166,0.000180,0.000143,0.000175,4037,426228
Jan 28 2018,0.000147,0.000187,0.000137,0.000167,5777,376624
Jan 27 2018,0.000186,0.000202,0.000125,0.000147,3757,475332
Jan 26 2018,0.000194,0.000202,0.000121,0.000186,15450,495699
Jan 25 2018,0.000195,0.000202,0.000125,0.000194,8995,500169
Jan 24 2018,0.000190,0.000203,0.000118,0.000193,9853,486523
Jan 23 2018,0.000147,0.000197,0.000126,0.000188,12163,375918
Jan 22 2018,0.000200,0.000203,0.000143,0.000147,16921,511134
Jan 21 2018,0.000212,0.000216,0.000138,0.000195,20604,542016
Jan 20 2018,0.000194,0.000225,0.000139,0.000213,32355,497907
Jan 19 2018,0.000124,0.000206,0.000117,0.000193,13797,316814
Jan 18 2018,0.000121,0.000222,0.000112,0.000124,20412,310148
Jan 17 2018,0.000119,0.000215,0.000088,0.000121,35725,304111
Jan 16 2018,0.000170,0.000249,0.000111,0.000212,57426,433924
Jan 15 2018,0.000266,0.000270,0.000160,0.000179,11459,680076
Jan 14 2018,0.000261,0.000271,0.000172,0.000267,23549,667315
Jan 13 2018,0.000268,0.000296,0.000230,0.000261,35082,687306
Jan 12 2018,0.000267,0.000281,0.000176,0.000269,41858,682291
Jan 11 2018,0.000297,0.000319,0.000203,0.000265,36724,759599
Jan 10 2018,0.000281,0.000500,0.000240,0.000303,79473,719176
Jan 09 2018,0.000154,0.000292,0.000147,0.000281,127858,395255
Jan 08 2018,0.000163,0.000164,0.000141,0.000155,74410,417989
Jan 07 2018,0.000171,0.000181,0.000153,0.000163,52649,438447
Jan 06 2018,0.000148,0.000200,0.000130,0.000174,48676,379327
Jan 05 2018,0.000106,0.000160,0.000095,0.000154,19350,270192
Jan 04 2018,0.000089,0.000110,0.000077,0.000105,8591,229094
Jan 03 2018,0.000106,0.000106,0.000069,0.000089,6539,270730
Jan 02 2018,0.000101,0.000111,0.000090,0.000106,8353,257788
Jan 01 2018,0.000089,0.000101,0.000077,0.000101,4762,229105
Dec 31 2017,0.000073,0.000092,0.000065,0.000089,3259,188020
Dec 30 2017,0.000087,0.000087,0.000060,0.000074,5649,222209
Dec 29 2017,0.000071,0.000090,0.000065,0.000087,2219,181051
Dec 28 2017,0.000064,0.000070,0.000054,0.000070,4221,163997
Dec 27 2017,0.000052,0.000073,0.000051,0.000064,1425,133996
Dec 26 2017,0.000091,0.000093,0.000050,0.000052,536,233456
Dec 25 2017,0.000112,0.000122,0.000091,0.000091,1020,287384
Dec 24 2017,0.000074,0.000111,0.000065,0.000111,1029,189909
Dec 23 2017,0.000037,0.000083,0.000035,0.000073,869,93845
Dec 22 2017,0.000046,0.000046,0.000027,0.000036,2435,118055
Dec 21 2017,0.000044,0.000056,0.000038,0.000046,1750,112389
Dec 20 2017,0.000040,0.000045,0.000032,0.000037,1104,102416
Dec 19 2017,0.000049,0.000049,0.000032,0.000040,2976,126153
Dec 18 2017,0.000142,0.000152,0.000036,0.000043,664,363656
Dec 17 2017,0.000136,0.000171,0.000134,0.000152,3434,349248
Dec 16 2017,0.000074,0.000141,0.000074,0.000136,955,190307
Dec 15 2017,0.000047,0.000074,0.000036,0.000074,2911,119810
Dec 14 2017,0.000098,0.000130,0.000041,0.000047,1288,249905
Dec 13 2017,0.000042,0.000103,0.000030,0.000098,1718,106807
Dec 12 2017,0.000055,0.000056,0.000035,0.000042,835,140345
Dec 11 2017,0.000068,0.000069,0.000041,0.000055,1105,175304
Dec 10 2017,0.000051,0.000102,0.000049,0.000069,701,129632
Dec 09 2017,0.000041,0.000059,0.000039,0.000050,198,105138
Dec 08 2017,0.000046,0.000050,0.000022,0.000041,329,117057
Dec 07 2017,0.000090,0.000091,0.000041,0.000046,830,229206
Dec 06 2017,0.000044,0.000090,0.000024,0.000090,475,113162
Dec 05 2017,0.000043,0.000099,0.000043,0.000044,511,110791
Dec 04 2017,0.000044,0.000046,0.000035,0.000043,218,112015
Dec 03 2017,0.000048,0.000061,0.000038,0.000044,381,122825
Dec 02 2017,0.000051,0.000052,0.000037,0.000048,485,130620
Dec 01 2017,0.000057,0.000069,0.000049,0.000051,642,146038
Nov 30 2017,0.000036,0.000058,0.000034,0.000057,1426,93338
Nov 29 2017,0.000064,0.000083,0.000036,0.000036,527,164569
Nov 28 2017,0.000047,0.000065,0.000044,0.000064,2020,121555
Nov 27 2017,0.000040,0.000066,0.000026,0.000047,1989,102258
Nov 26 2017,0.000027,0.000043,0.000027,0.000040,622,68348
Nov 25 2017,0.000052,0.000057,0.000025,0.000027,417,133459
Nov 24 2017,0.000028,0.000052,0.000027,0.000052,1365,71100
Nov 23 2017,0.000032,0.000040,0.000026,0.000028,2095,81023
Nov 22 2017,0.000043,0.000045,0.000028,0.000032,592,110948
Nov 21 2017,0.000035,0.000044,0.000028,0.000043,737,88340
Nov 20 2017,0.000046,0.000046,0.000030,0.000035,263,118392
Nov 19 2017,0.000042,0.000058,0.000038,0.000046,724,107626
Nov 18 2017,0.000041,0.000047,0.000031,0.000042,438,104597
Nov 17 2017,0.000040,0.000044,0.000030,0.000041,383,103474
Nov 16 2017,0.000037,0.000046,0.000034,0.000040,573,95733
Nov 15 2017,0.000055,0.000056,0.000037,0.000037,1009,139764
Nov 14 2017,0.000040,0.000056,0.000033,0.000055,1098,101427
Nov 13 2017,0.000029,0.000040,0.000025,0.000040,420,74317
Nov 12 2017,0.000043,0.000047,0.000025,0.000029,2942,110344
Nov 11 2017,0.000037,0.000053,0.000029,0.000043,4048,94197
Nov 10 2017,0.000057,0.000062,0.000037,0.000037,4558,146638
Nov 09 2017,0.000014,0.000059,0.000014,0.000057,3593,35204
Nov 08 2017,0.000049,0.000052,0.000014,0.000014,273,124906
Nov 07 2017,0.000025,0.000049,0.000011,0.000049,1487,63111
Nov 06 2017,0.000035,0.000066,0.000025,0.000025,1081,90173
Nov 05 2017,0.000027,0.000036,0.000018,0.000035,98,69093
Nov 04 2017,0.000024,0.000029,0.000019,0.000027,161,60583
Nov 03 2017,0.000023,0.000027,0.000017,0.000024,364,60110
Nov 02 2017,0.000025,0.000047,0.000021,0.000023,318,64398
Nov 01 2017,0.000042,0.000042,0.000021,0.000025,919,107247
Oct 31 2017,0.000051,0.000058,0.000023,0.000042,232,129821
Oct 30 2017,0.000039,0.000051,0.000030,0.000051,272,101008
Oct 29 2017,0.000050,0.000053,0.000037,0.000040,370,127261
Oct 28 2017,0.000039,0.000050,0.000031,0.000050,882,99936
Oct 27 2017,0.000025,0.000043,0.000025,0.000043,460,64581
Oct 26 2017,0.000010,0.000023,0.000010,0.000023,798,26829
Oct 25 2017,0.000019,0.000019,0.000010,0.000010,1022,47777
Oct 24 2017,0.000020,0.000024,0.000010,0.000019,2115,50132
Oct 23 2017,0.000032,0.000032,0.000020,0.000020,2355,82745
Oct 22 2017,0.000029,0.000032,0.000020,0.000032,3799,73226
Oct 21 2017,0.000032,0.000034,0.000025,0.000029,1228,81060
Oct 20 2017,0.000031,0.000037,0.000024,0.000032,1421,79094
Oct 19 2017,0.000038,0.000046,0.000031,0.000031,1337,96413
Oct 18 2017,0.000044,0.000048,0.000037,0.000038,1142,111747
Oct 17 2017,0.000046,0.000046,0.000036,0.000044,2171,117567
Oct 16 2017,0.000043,0.000051,0.000041,0.000046,1748,111081
Oct 15 2017,0.000053,0.000055,0.000038,0.000043,2614,136136
Oct 14 2017,0.000055,0.000058,0.000051,0.000053,11002,139826
Oct 13 2017,0.000049,0.000055,0.000048,0.000055,1096,124880
Oct 12 2017,0.000093,0.000093,0.000048,0.000048,2217,239152
Oct 11 2017,0.000048,0.000094,0.000047,0.000093,19063,122498
Oct 10 2017,0.000091,0.000094,0.000047,0.000048,5194,231890
Oct 09 2017,0.000046,0.000093,0.000046,0.000091,5028,117861
Oct 08 2017,0.000047,0.000089,0.000044,0.000046,3802,119555
Oct 07 2017,0.000046,0.000076,0.000046,0.000047,2419,117711
Oct 06 2017,0.000045,0.000082,0.000044,0.000046,4603,115357
Oct 05 2017,0.000079,0.000082,0.000043,0.000045,4021,201240
Oct 04 2017,0.000084,0.000084,0.000048,0.000079,1988,215506
Oct 03 2017,0.000044,0.000088,0.000043,0.000084,8371,113381
Oct 02 2017,0.000044,0.000089,0.000044,0.000044,8381,112908
Oct 01 2017,0.000083,0.000087,0.000043,0.000044,9297,213575
Sep 30 2017,0.000080,0.000085,0.000042,0.000083,15816,205761
Sep 29 2017,0.000082,0.000084,0.000041,0.000080,19836,210656
Sep 28 2017,0.000084,0.000085,0.000041,0.000082,12047,1041
Sep 27 2017,0.000078,0.000084,0.000039,0.000084,6569,962
Sep 26 2017,0.000079,0.000080,0.000039,0.000078,7102,973
