Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,5.36,5.82,5.17,5.39,37736,3924540
Mar 30 2018,5.35,5.51,4.89,5.36,53866,3919090
Mar 29 2018,6.19,6.39,5.29,5.36,59015,4535770
Mar 28 2018,7.20,7.20,5.99,6.19,108306,5270870
Mar 27 2018,6.12,7.57,5.70,6.56,636876,4480070
Mar 26 2018,7.42,9.40,5.87,6.11,593536,-
Mar 25 2018,6.93,8.46,6.79,7.42,84986,-
Mar 24 2018,6.72,7.48,5.96,7.00,101062,-
Mar 23 2018,7.15,7.15,5.35,6.64,161063,-
Mar 22 2018,8.39,9.00,4.78,7.18,188962,-
Mar 21 2018,7.67,9.38,7.64,8.39,39626,-
Mar 20 2018,10.00,10.73,6.78,7.66,247299,-
Mar 19 2018,10.88,12.11,9.45,9.91,1564260,-
Mar 18 2018,15.84,15.84,9.79,10.93,330043,-
Mar 17 2018,16.99,17.80,14.16,15.87,1088100,-
Mar 16 2018,18.02,18.62,16.61,16.97,104248,-
Mar 15 2018,18.05,18.49,16.53,18.03,793489,-
Mar 14 2018,20.07,20.76,17.24,18.06,157759,-
Mar 13 2018,20.61,20.95,19.16,20.07,106400,-
Mar 12 2018,20.58,21.61,19.51,20.71,149496,-
Mar 11 2018,17.90,20.62,17.61,20.62,76138,-
Mar 10 2018,22.03,22.23,17.63,17.93,31442,-
Mar 09 2018,19.39,22.20,17.50,22.03,131549,-
Mar 08 2018,20.42,21.59,19.38,19.46,84834,-
Mar 07 2018,24.44,24.52,19.78,20.20,380541,-
Mar 06 2018,24.78,25.94,20.34,24.46,452807,-
Mar 05 2018,30.01,30.01,22.87,24.81,384666,-
Mar 04 2018,29.03,40.80,24.63,30.44,567918,-
Mar 03 2018,26.13,31.30,21.08,29.06,582231,-
Mar 02 2018,21.66,25.63,20.23,25.63,950437,-
Mar 01 2018,17.67,21.35,16.24,21.24,247819,-
Feb 28 2018,17.50,18.00,17.09,17.66,22567,-
Feb 27 2018,17.68,19.41,16.38,17.51,66224,-
Feb 26 2018,18.37,21.27,17.56,17.64,92136,-
Feb 25 2018,20.02,20.02,17.89,18.36,46565,-
Feb 24 2018,19.18,21.11,16.98,20.05,161539,-
Feb 23 2018,19.86,21.23,17.62,19.19,92667,-
Feb 22 2018,21.70,22.85,18.47,19.87,81559,-
Feb 21 2018,23.50,24.75,18.31,21.72,145605,-
Feb 20 2018,26.68,27.10,23.50,23.51,273553,-
Feb 19 2018,26.24,28.32,24.86,26.67,67224,-
Feb 18 2018,26.87,28.08,22.60,26.30,498288,-
Feb 17 2018,29.09,29.61,26.54,26.84,272704,-
Feb 16 2018,26.82,30.44,25.91,29.12,247735,-
Feb 15 2018,27.20,28.81,24.90,26.90,126531,-
Feb 14 2018,28.72,29.13,25.27,27.19,178619,-
Feb 13 2018,27.09,28.90,22.42,28.75,395120,-
Feb 12 2018,24.77,29.63,24.77,27.07,91827,-
Feb 11 2018,30.18,30.18,22.54,24.68,379682,-
Feb 10 2018,25.81,31.51,22.79,29.04,1538930,-
Feb 09 2018,21.04,25.73,18.11,25.73,420721,-
Feb 08 2018,18.78,24.60,17.88,21.00,342577,-
Feb 07 2018,20.46,24.39,15.41,18.83,417445,-
Feb 06 2018,18.11,23.67,11.73,20.44,702526,-
Feb 05 2018,27.05,27.47,15.02,18.08,1015560,-
Feb 04 2018,30.40,36.29,25.65,27.26,734333,-
Feb 03 2018,20.12,39.43,16.38,31.80,849515,-
Feb 02 2018,20.30,25.95,15.27,20.07,182308,-
Feb 01 2018,28.36,29.99,16.86,20.32,256059,-
Jan 31 2018,31.81,31.90,23.94,28.32,326010,-
Jan 30 2018,37.50,38.79,27.77,31.94,523779,-
Jan 29 2018,42.68,42.68,31.21,37.87,715375,-
Jan 28 2018,55.32,58.08,36.19,36.19,1200630,-
Jan 27 2018,32.88,57.75,32.88,55.11,4132270,-
Jan 26 2018,6.43,91.43,6.17,38.64,8119040,-
Jan 25 2018,4.42,6.44,3.71,6.44,199921,-
Jan 24 2018,4.89,5.02,3.38,4.39,27190,-
Jan 23 2018,5.57,5.71,2.94,4.90,104133,-
Jan 22 2018,5.99,6.56,3.48,5.26,100474,-
Jan 21 2018,6.92,7.36,2.85,5.96,90920,-
Jan 20 2018,7.09,7.48,6.60,6.92,129535,-
