Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.035069,0.038121,0.035069,0.036158,445484,15991300
Mar 30 2018,0.033897,0.038527,0.032231,0.035342,874353,15457300
Mar 29 2018,0.043147,0.044203,0.033384,0.034241,597529,19675100
Mar 28 2018,0.040415,0.045596,0.039417,0.042866,774297,18429300
Mar 27 2018,0.042554,0.043547,0.039424,0.040433,598460,19403400
Mar 26 2018,0.043599,0.047900,0.041236,0.042602,443873,19880000
Mar 25 2018,0.045945,0.048633,0.042864,0.044708,759100,20949600
Mar 24 2018,0.048156,0.050943,0.046042,0.046352,662413,21934200
Mar 23 2018,0.050587,0.050870,0.047106,0.047624,486444,23041500
Mar 22 2018,0.049759,0.052173,0.049227,0.050368,509500,22664600
Mar 21 2018,0.048055,0.052436,0.048014,0.049769,447179,21886400
Mar 20 2018,0.043921,0.048554,0.041425,0.047913,453170,19991100
Mar 19 2018,0.042845,0.045405,0.040899,0.043660,536267,19501400
Mar 18 2018,0.044442,0.044442,0.035655,0.042999,570429,20228400
Mar 17 2018,0.048435,0.049731,0.043664,0.044423,459566,-
Mar 16 2018,0.046049,0.054800,0.043108,0.048221,751011,-
Mar 15 2018,0.047883,0.048501,0.041318,0.046118,352830,-
Mar 14 2018,0.052357,0.056761,0.046304,0.047920,248108,-
Mar 13 2018,0.053965,0.058120,0.051380,0.052341,282168,-
Mar 12 2018,0.058256,0.059111,0.052567,0.054071,217386,-
Mar 11 2018,0.055088,0.058419,0.051026,0.058419,369960,-
Mar 10 2018,0.054137,0.057183,0.052757,0.055316,338960,-
Mar 09 2018,0.055965,0.056431,0.048770,0.054159,283280,-
Mar 08 2018,0.063299,0.063894,0.054501,0.056091,332119,-
Mar 07 2018,0.070095,0.072458,0.055764,0.062780,564321,-
Mar 06 2018,0.081588,0.082029,0.067808,0.070245,1331120,-
Mar 05 2018,0.076545,0.088861,0.076332,0.081407,704700,-
Mar 04 2018,0.073566,0.078656,0.070640,0.076538,434627,-
Mar 03 2018,0.080400,0.080400,0.069091,0.073600,415812,-
Mar 02 2018,0.077237,0.082859,0.074272,0.080461,565818,-
Mar 01 2018,0.078868,0.079128,0.073853,0.077289,389228,-
Feb 28 2018,0.079143,0.089170,0.075499,0.078875,668784,-
Feb 27 2018,0.082394,0.088332,0.075174,0.079003,535537,-
Feb 26 2018,0.081254,0.086338,0.079995,0.082601,240768,-
Feb 25 2018,0.086569,0.088938,0.079224,0.081211,450496,-
Feb 24 2018,0.088600,0.093355,0.084103,0.086754,677493,-
Feb 23 2018,0.079727,0.091584,0.077836,0.088542,1013540,-
Feb 22 2018,0.081989,0.091445,0.078805,0.080161,913683,-
Feb 21 2018,0.079802,0.085080,0.079194,0.085023,770317,-
