Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.000419,0.000432,0.000343,0.000347,12,42484
Mar 30 2018,0.000425,0.000432,0.000396,0.000421,1,43045
Mar 29 2018,0.000476,0.000477,0.000414,0.000426,2,48256
Mar 28 2018,0.000389,0.000483,0.000387,0.000476,2,39431
Mar 27 2018,0.000408,0.000410,0.000388,0.000389,35,41367
Mar 26 2018,0.000422,0.000424,0.000393,0.000409,1,42738
Mar 25 2018,0.000510,0.000518,0.000420,0.000422,16,51670
Mar 24 2018,0.000535,0.000540,0.000516,0.000517,9,54154
Mar 23 2018,0.000522,0.000527,0.000499,0.000527,5,52875
Mar 22 2018,0.000534,0.000544,0.000511,0.000522,3,54055
Mar 21 2018,0.000534,0.000549,0.000439,0.000535,25,54108
Mar 20 2018,0.000604,0.000605,0.000417,0.000533,51,61133
Mar 19 2018,0.000573,0.000598,0.000408,0.000597,204,58064
Mar 18 2018,0.000631,0.000631,0.000442,0.000576,135,63898
Mar 17 2018,0.000581,0.000643,0.000466,0.000632,17,58852
Mar 16 2018,0.000743,0.000748,0.000580,0.000580,3,75295
Mar 15 2018,0.000574,0.000757,0.000539,0.000744,79,58183
Mar 14 2018,0.000500,0.000580,0.000480,0.000575,29,50598
Mar 13 2018,0.000727,0.000759,0.000710,0.000737,25,73639
Mar 12 2018,0.000859,0.000865,0.000705,0.000731,135,86996
Mar 11 2018,0.000702,0.000930,0.000678,0.000862,81,71099
Mar 10 2018,0.000728,0.000730,0.000698,0.000704,168,73760
Mar 09 2018,0.000651,0.000658,0.000587,0.000643,3,65885
Mar 08 2018,0.000692,0.000806,0.000577,0.000655,277,70118
Mar 07 2018,0.000643,0.000848,0.000627,0.000693,403,65135
Mar 06 2018,0.000460,0.000644,0.000424,0.000644,3,46609
Mar 05 2018,0.000690,0.000698,0.000457,0.000461,5,69867
Mar 04 2018,0.000801,0.000801,0.000560,0.000690,40,81101
Mar 03 2018,0.000661,0.000804,0.000661,0.000802,1,66961
Mar 02 2018,0.000763,0.000781,0.000654,0.000662,8,77300
Mar 01 2018,0.000619,0.000770,0.000615,0.000765,8,62741
Feb 28 2018,0.000747,0.000772,0.000618,0.000619,10,75604
Feb 27 2018,0.000722,0.000756,0.000610,0.000747,17,73103
Feb 26 2018,0.000767,0.000781,0.000659,0.000720,5,77672
Feb 25 2018,0.000485,0.000778,0.000477,0.000766,51,49099
Feb 24 2018,0.000507,0.000525,0.000470,0.000486,10,51381
Feb 23 2018,0.000591,0.000599,0.000496,0.000508,19,59824
Feb 22 2018,0.000628,0.000873,0.000585,0.000591,120,63601
Feb 21 2018,0.000561,0.000671,0.000514,0.000629,201,56799
Feb 20 2018,0.000670,0.000703,0.000556,0.000562,44,67885
Feb 19 2018,0.000416,0.000992,0.000414,0.000670,333,42081
Feb 18 2018,0.000777,0.000789,0.000416,0.000417,166,78646
Feb 17 2018,0.000739,0.000779,0.000735,0.000774,6,74893
Feb 16 2018,0.000706,0.000719,0.000682,0.000698,9,71535
Feb 15 2018,0.000758,0.000796,0.000686,0.000709,23,76768
