Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.068508,0.072763,0.067275,0.069092,9945,2903540
Mar 30 2018,0.070129,0.073321,0.063709,0.068498,25086,2971200
Mar 29 2018,0.082351,0.082804,0.067257,0.069026,38716,3487890
Mar 28 2018,0.081917,0.084220,0.080267,0.082096,19134,3468410
Mar 27 2018,0.085448,0.087034,0.081543,0.081936,26150,3616650
Mar 26 2018,0.097227,0.098948,0.079466,0.085578,87670,4113790
Mar 25 2018,0.100421,0.100856,0.089609,0.097302,63935,4247570
Mar 24 2018,0.121558,0.121558,0.093567,0.100529,241022,5139850
Mar 23 2018,0.089102,0.121219,0.089036,0.121219,374462,3766200
Mar 22 2018,0.089489,0.092978,0.083625,0.089104,25967,3781270
Mar 21 2018,0.090023,0.095491,0.088810,0.089652,35719,3802580
Mar 20 2018,0.086664,0.093258,0.084601,0.090127,23207,3659370
Mar 19 2018,0.088783,0.092350,0.082936,0.085707,31729,3747580
Mar 18 2018,0.081547,0.088636,0.063009,0.087842,118910,3441140
Mar 17 2018,0.090485,0.093111,0.078224,0.081746,24635,3816960
Mar 16 2018,0.091940,0.097964,0.088170,0.090337,25196,3876880
Mar 15 2018,0.096269,0.096874,0.087568,0.091992,48664,4058130
Mar 14 2018,0.109792,0.111118,0.093230,0.096887,67433,4626710
Mar 13 2018,0.109792,0.115251,0.103650,0.109960,73006,4624980
Mar 12 2018,0.112528,0.120514,0.103985,0.110609,65589,4738740
Mar 11 2018,0.107673,0.116036,0.102350,0.112979,59036,4532760
Mar 10 2018,0.107968,0.117662,0.106016,0.108045,93790,4543590
Mar 09 2018,0.109662,0.113370,0.098395,0.107921,78692,4613390
Mar 08 2018,0.117401,0.120110,0.105943,0.111109,116312,4937290
Mar 07 2018,0.136130,0.137164,0.111922,0.117271,159144,5722920
Mar 06 2018,0.134497,0.136593,0.124714,0.136200,96925,5652300
Mar 05 2018,0.138316,0.146450,0.128357,0.134869,212080,5810820
Mar 04 2018,0.130986,0.141903,0.126101,0.138302,230933,5501000
Mar 03 2018,0.137522,0.149529,0.130704,0.131098,397846,5773590
Mar 02 2018,0.144146,0.165618,0.131624,0.139235,910525,6049800
Mar 01 2018,0.141349,0.198770,0.131845,0.143206,2869280,5930880
Feb 28 2018,0.290712,0.295682,0.128449,0.139801,1956390,12189800
Feb 27 2018,0.315846,0.363400,0.267990,0.284222,711908,13235100
Feb 26 2018,0.305331,0.363826,0.270634,0.312571,1304600,12785200
Feb 25 2018,0.232705,0.347276,0.222286,0.298621,2021340,9737430
Feb 24 2018,0.169246,0.250974,0.159308,0.231601,689353,7077260
Feb 23 2018,0.154368,0.196025,0.150078,0.169461,111258,6450700
Feb 22 2018,0.164323,0.178553,0.153262,0.157665,43170,6862160
Feb 21 2018,0.182156,0.187190,0.160993,0.164490,46806,7601640
Feb 20 2018,0.190027,0.199797,0.173159,0.185415,57260,7924330
Feb 19 2018,0.182615,0.199653,0.182259,0.189854,74148,7609720
Feb 18 2018,0.215436,0.217786,0.182947,0.185337,45471,8970570
Feb 17 2018,0.199895,0.216381,0.197907,0.214999,21728,8318910
Feb 16 2018,0.194847,0.207736,0.189223,0.199431,41311,8102670
Feb 15 2018,0.195848,0.208011,0.188514,0.195683,67525,8139330
Feb 14 2018,0.178962,0.200164,0.174834,0.193563,82640,7432460
Feb 13 2018,0.198860,0.211950,0.171147,0.181887,277256,8252870
Feb 12 2018,0.158074,0.199388,0.157993,0.196723,128145,6555610
Feb 11 2018,0.167660,0.169551,0.153220,0.157073,28224,6948600
Feb 10 2018,0.173430,0.186277,0.161393,0.167804,62676,7182480
Feb 09 2018,0.161550,0.176150,0.154182,0.173303,82866,6685710
Feb 08 2018,0.149911,0.172830,0.149144,0.161055,63341,6199710
Feb 07 2018,0.153471,0.172081,0.143696,0.150817,84357,6342420
Feb 06 2018,0.140195,0.158777,0.110143,0.155334,178869,5789810
Feb 05 2018,0.194392,0.198281,0.122243,0.138770,672585,8022820
Feb 04 2018,0.217149,0.229755,0.183500,0.191900,597680,8956420
Feb 03 2018,0.226176,0.266923,0.197242,0.218331,1254730,9322130
Feb 02 2018,0.344641,0.344641,0.199466,0.224612,1509140,14195300
Feb 01 2018,0.397257,0.452115,0.318102,0.344626,1203320,16351900
Jan 31 2018,0.358101,0.465157,0.312965,0.396031,1595410,14729800
Jan 30 2018,0.313481,0.390900,0.260002,0.357139,1253540,12885300
Jan 29 2018,0.246729,0.343323,0.227959,0.311810,571660,10134600
