Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.116621,0.125382,0.115822,0.116164,83937,31550300
Mar 30 2018,0.129841,0.132060,0.111217,0.116713,147836,34676600
Mar 29 2018,0.138377,0.140127,0.122490,0.130057,155115,36698400
Mar 28 2018,0.127070,0.147212,0.125453,0.138147,186812,33699600
Mar 27 2018,0.130520,0.132370,0.124067,0.127017,81496,34528000
Mar 26 2018,0.137330,0.138433,0.121425,0.130596,166855,36326700
Mar 25 2018,0.139914,0.142036,0.123692,0.137968,98476,37010000
Mar 24 2018,0.141761,0.145223,0.137965,0.141506,139130,37498600
Mar 23 2018,0.134676,0.140545,0.125577,0.140545,150347,32300400
Mar 22 2018,0.133286,0.142136,0.128863,0.134683,110803,31963200
Mar 21 2018,0.114900,0.141031,0.114242,0.133106,428137,27544200
Mar 20 2018,0.114344,0.116614,0.105463,0.114241,361210,27410100
Mar 19 2018,0.108571,0.115060,0.104325,0.113572,276461,25997000
Mar 18 2018,0.112146,0.112198,0.096201,0.108914,280556,26853100
Mar 17 2018,0.122412,0.122856,0.110471,0.112262,143736,29311200
Mar 16 2018,0.124407,0.127375,0.120231,0.122313,169583,29760600
Mar 15 2018,0.125692,0.126427,0.117645,0.124522,94439,29955300
Mar 14 2018,0.141664,0.144026,0.121605,0.125934,434353,33558900
Mar 13 2018,0.142556,0.146928,0.139191,0.141607,453933,-
Mar 12 2018,0.146810,0.151083,0.137877,0.143009,770285,-
Mar 11 2018,0.138628,0.150027,0.134567,0.147082,843297,-
Mar 10 2018,0.146450,0.150158,0.138145,0.138729,1049220,-
Mar 09 2018,0.140363,0.146482,0.130331,0.146482,1302480,-
Mar 08 2018,0.150452,0.155755,0.139723,0.140790,1345800,-
Mar 07 2018,0.177460,0.179103,0.143768,0.150876,1781090,-
Mar 06 2018,0.177780,0.187867,0.171087,0.176883,2196880,-
Mar 05 2018,0.263109,0.263366,0.177326,0.178942,2122940,-
Mar 04 2018,0.173389,0.264612,0.169965,0.263548,2885990,-
Mar 03 2018,0.171655,0.177278,0.171365,0.173840,1981120,-
Mar 02 2018,0.168585,0.172922,0.165904,0.171428,2297360,-
Mar 01 2018,0.167001,0.171350,0.160571,0.168736,1888230,-
Feb 28 2018,0.166199,0.168445,0.164043,0.166846,1832920,-
