Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.591629,0.627604,0.586724,0.599211,419,-
Mar 30 2018,0.562854,0.595202,0.531287,0.592161,3222,-
Mar 29 2018,0.557470,0.617736,0.534843,0.564399,1367,-
Mar 28 2018,0.589831,0.672162,0.555164,0.556569,923,-
Mar 27 2018,0.707188,0.709667,0.488545,0.589844,413,-
Mar 26 2018,0.780264,0.786476,0.587096,0.587347,1287,-
Mar 25 2018,0.722151,1.04,0.706852,0.781831,1005,-
Mar 24 2018,0.950259,1.11,0.649924,0.731441,750,-
Mar 23 2018,0.700544,0.938217,0.669469,0.938217,939,-
Mar 22 2018,0.712976,1.22,0.681756,0.700561,1131,-
Mar 21 2018,1.07,1.25,0.707564,0.714279,428,-
Mar 20 2018,1.23,1.23,0.682745,1.07,1624,-
Mar 19 2018,0.819029,1.23,0.681414,1.21,864,-
Mar 18 2018,1.06,1.06,0.731307,0.822494,76,-
Mar 17 2018,1.18,1.18,0.791599,1.07,55,-
Mar 16 2018,1.15,1.22,0.767218,1.18,1197,-
Mar 15 2018,0.824811,1.18,0.773732,1.16,11,-
Mar 14 2018,1.28,1.31,0.803571,0.825182,7,-
Mar 13 2018,1.27,1.33,1.25,1.28,86,-
Mar 12 2018,1.34,1.38,0.893394,1.28,56,-
Mar 11 2018,1.04,1.36,1.01,1.34,251,-
Mar 10 2018,1.11,1.13,1.04,1.04,63,-
Mar 09 2018,0.934081,0.945098,0.843111,0.925030,811,-
Mar 08 2018,0.938616,1.36,0.907507,0.940033,1911,-
Mar 07 2018,1.43,1.45,0.936105,0.939948,1,-
Mar 06 2018,1.16,1.47,1.09,1.43,499,-
Mar 05 2018,1.82,1.83,1.16,1.16,2655,-
Mar 04 2018,1.86,1.86,1.20,1.82,856,-
Mar 03 2018,1.16,1.87,1.16,1.86,4669,-
Mar 02 2018,1.94,1.98,1.14,1.16,451,-
Mar 01 2018,1.04,1.97,1.03,1.94,13574,-
Feb 28 2018,2.02,2.08,1.04,1.04,561,-
Feb 27 2018,1.96,2.06,1.44,2.03,11,-
Feb 26 2018,1.34,1.98,1.32,1.95,29,-
Feb 25 2018,1.84,1.86,1.31,1.34,108,-
Feb 24 2018,1.93,1.98,1.32,1.85,14,-
Feb 23 2018,1.67,1.93,1.33,1.93,1630,-
Feb 22 2018,1.47,1.85,1.45,1.68,499,-
Feb 21 2018,1.67,1.67,0.860630,1.47,1338,-
Feb 20 2018,1.46,1.75,1.46,1.67,122,-
Feb 19 2018,1.70,1.85,1.35,1.46,1217,-
Feb 18 2018,2.05,2.08,1.05,1.71,613,-
Feb 17 2018,1.62,2.07,1.28,2.04,916,-
Feb 16 2018,1.72,2.01,0.802527,1.62,2037,-
Feb 15 2018,1.71,2.48,1.68,1.72,735,-
Feb 14 2018,2.03,2.73,1.68,1.70,1960,-
Feb 13 2018,2.05,2.09,1.69,2.04,480,-
Feb 12 2018,1.94,3.36,1.94,2.05,5823,-
Feb 11 2018,2.91,2.91,1.48,1.93,1406,-
Feb 10 2018,2.29,3.27,1.88,2.91,7391,-
Feb 09 2018,1.92,2.29,1.86,2.29,1009,-
Feb 08 2018,1.55,2.09,1.55,1.92,10866,-
Feb 07 2018,1.62,2.08,1.57,1.72,12957,-
Feb 06 2018,1.61,2.08,1.36,1.59,33355,-
Feb 05 2018,1.86,2.11,1.35,1.61,35183,-
Feb 04 2018,1.97,2.53,1.70,1.87,86523,-
Feb 03 2018,1.38,2.49,1.20,1.96,79373,-
Feb 02 2018,1.56,1.75,0.942630,1.38,14730,-
Feb 01 2018,1.70,2.11,1.30,1.57,14882,-
Jan 31 2018,1.91,2.11,1.45,1.69,12312,-
Jan 30 2018,1.58,2.18,1.42,1.91,33412,-
Jan 29 2018,1.73,2.42,1.41,1.56,11049,-
Jan 28 2018,1.32,3.37,1.14,1.81,28912,-
Jan 27 2018,1.04,2.16,1.02,1.32,6606,-
Jan 26 2018,1.22,1.27,0.895062,1.04,1427,-
Jan 25 2018,1.36,1.36,0.939061,1.23,518,-
Jan 24 2018,1.23,1.34,1.11,1.34,2669,-
Jan 23 2018,1.34,1.36,0.748972,1.23,3691,-
Jan 22 2018,1.25,1.35,1.15,1.34,1014,-
Jan 21 2018,1.59,1.59,0.993064,1.24,319,-
Jan 20 2018,1.03,1.61,1.03,1.58,2817,-
Jan 19 2018,1.19,1.43,0.935198,1.02,12701,-
Jan 18 2018,1.36,1.44,1.11,1.24,8549,-
Jan 17 2018,1.54,1.58,0.908201,1.35,2777,-
Jan 16 2018,1.89,1.90,0.804174,1.55,1279,-
Jan 15 2018,1.37,2.02,1.20,1.89,6898,-
Jan 14 2018,1.41,1.93,1.32,1.37,17722,-
Jan 13 2018,1.27,2.16,1.27,1.41,7534,-
Jan 12 2018,1.90,2.07,1.25,1.27,18668,-
Jan 11 2018,2.08,2.24,1.57,1.88,28090,-
Jan 10 2018,1.75,2.65,1.75,2.08,21990,-
Jan 09 2018,1.02,2.59,0.891185,1.75,28268,-
Jan 08 2018,0.781312,1.47,0.780950,1.02,2821,-
Jan 07 2018,0.820097,1.16,0.757632,0.774283,2661,-
