Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.027463,0.028974,0.027383,0.028067,4,233797
Mar 30 2018,0.031098,0.031608,0.026632,0.027459,14,264727
Mar 29 2018,0.032321,0.032796,0.027786,0.031175,290,274986
Mar 28 2018,0.031463,0.037176,0.031288,0.032283,12,267663
Mar 27 2018,0.038803,0.038803,0.031345,0.031470,1093,330105
Mar 26 2018,0.038236,0.039077,0.034986,0.038862,31,325276
Mar 25 2018,0.039163,0.040747,0.038093,0.038265,72,333151
Mar 24 2018,0.041278,0.042751,0.039652,0.039709,193,351138
Mar 23 2018,0.042027,0.042027,0.038481,0.040686,76,357498
Mar 22 2018,0.043089,0.052385,0.041354,0.042028,129,366502
Mar 21 2018,0.037642,0.046090,0.036123,0.043167,378,320164
Mar 20 2018,0.047474,0.047474,0.037498,0.037574,268,403776
Mar 19 2018,0.040024,0.047920,0.037943,0.046950,219,340303
Mar 18 2018,0.048815,0.048815,0.034334,0.040193,351,415040
Mar 17 2018,0.058250,0.058250,0.048784,0.048934,695,495252
Mar 16 2018,0.059000,0.059721,0.050657,0.058154,1200,501629
Mar 15 2018,0.058684,0.059685,0.054662,0.059034,45,498936
Mar 14 2018,0.068346,0.069911,0.056872,0.058710,280,581075
Mar 13 2018,0.073685,0.074939,0.066102,0.068336,30,626450
Mar 12 2018,0.076240,0.090815,0.071443,0.074110,51,648165
Mar 11 2018,0.071343,0.077694,0.068907,0.076481,24,606527
Mar 10 2018,0.074170,0.088763,0.070939,0.071590,71,630552
Mar 09 2018,0.084465,0.085461,0.069366,0.074138,207,718050
Mar 08 2018,0.080939,0.091773,0.076711,0.085003,1437,688032
Mar 07 2018,0.090614,0.092573,0.076202,0.081054,158,770245
Mar 06 2018,0.099553,0.120153,0.089526,0.090732,637,845877
Mar 05 2018,0.093131,0.115244,0.092470,0.099829,819,791282
Mar 04 2018,0.102148,0.102195,0.079647,0.093199,2896,867878
Mar 03 2018,0.077811,0.112685,0.077811,0.102325,1628,661086
Mar 02 2018,0.076337,0.078946,0.076173,0.077906,212,648556
Mar 01 2018,0.081154,0.081228,0.074781,0.076533,532,689487
Feb 28 2018,0.082728,0.088092,0.078043,0.081035,171,702851
Feb 27 2018,0.081936,0.098788,0.079763,0.082826,468,696120
Feb 26 2018,0.079893,0.089477,0.077231,0.081700,305,678718
Feb 25 2018,0.072236,0.111823,0.071057,0.079791,11061,613668
Feb 24 2018,0.088166,0.093835,0.071768,0.072345,990,749006
Feb 23 2018,0.095196,0.098912,0.085934,0.088278,259,808720
Feb 22 2018,0.124031,0.124031,0.086823,0.095285,1064,1053680
Feb 21 2018,0.105665,0.124480,0.064859,0.124157,5674,897512
Feb 20 2018,0.132554,0.135362,0.105797,0.105797,334,1125480
Feb 19 2018,0.125173,0.134428,0.118525,0.132433,1888,1062760
Feb 18 2018,0.175727,0.175727,0.112441,0.125751,10436,1491040
Feb 17 2018,0.111643,0.176239,0.110206,0.175190,7363,947215
Feb 16 2018,0.106385,0.139402,0.104587,0.111669,3164,902566
Feb 15 2018,0.084708,0.141325,0.080451,0.106842,14642,718608
Feb 14 2018,0.073702,0.084879,0.073702,0.084662,3974,625130
Feb 13 2018,0.077532,0.080552,0.063005,0.073922,3668,657287
Feb 12 2018,0.057990,0.112257,0.052400,0.077391,9390,491184
Feb 11 2018,0.067431,0.067431,0.057623,0.057623,389,570838
Feb 10 2018,0.077378,0.081648,0.060958,0.067488,1046,654430
Feb 09 2018,0.070885,0.079611,0.066352,0.077322,1754,599211
Feb 08 2018,0.072360,0.078204,0.066523,0.070667,1386,611306
Feb 07 2018,0.090953,0.113066,0.064106,0.072648,10446,767985
Feb 06 2018,0.061156,0.092844,0.044648,0.091995,9580,515980
Feb 05 2018,0.068637,0.071546,0.053187,0.061079,7610,578569
Feb 04 2018,0.059251,0.086497,0.052361,0.069309,7156,499263
Feb 03 2018,0.055959,0.068399,0.051754,0.059221,462,471440
Feb 02 2018,0.067641,0.067641,0.053129,0.055769,1724,569789
Feb 01 2018,0.084107,0.086278,0.064383,0.067781,976,707997
Jan 31 2018,0.075076,0.085826,0.072227,0.083912,8551,631760
Jan 30 2018,0.101838,0.107827,0.071556,0.074959,5707,856850
Jan 29 2018,0.071894,0.111787,0.069391,0.101804,37822,604885
Jan 28 2018,0.077241,0.092527,0.059914,0.071099,10975,649704
Jan 27 2018,0.052657,0.095159,0.047393,0.076848,29299,442318
Jan 26 2018,0.072335,0.072633,0.046665,0.052697,1406,607268
Jan 25 2018,0.049498,0.075223,0.044182,0.074555,9001,415338
Jan 24 2018,0.043686,0.053334,0.042082,0.048697,3040,366552
Jan 23 2018,0.051455,0.057262,0.043710,0.043710,4483,431489
Jan 22 2018,0.062090,0.067208,0.045196,0.051560,1443,520622
Jan 21 2018,0.071760,0.084097,0.059698,0.061253,3323,601704
Jan 20 2018,0.057440,0.079363,0.057440,0.071594,2297,481626
Jan 19 2018,0.061883,0.071104,0.055332,0.056822,3721,518878
Jan 18 2018,0.065523,0.070255,0.050335,0.062541,2637,549377
Jan 17 2018,0.077532,0.082559,0.047356,0.065271,8418,650044
Jan 16 2018,0.124453,0.139736,0.062616,0.077927,42158,1043310
Jan 15 2018,0.069043,0.217144,0.059977,0.124298,136628,578781
Jan 14 2018,0.076501,0.089484,0.066731,0.069548,3664,641265
Jan 13 2018,0.071921,0.082765,0.064977,0.076451,7539,602294
Jan 12 2018,0.073957,0.097438,0.062144,0.072003,12233,619021
Jan 11 2018,0.084134,0.084437,0.059793,0.073472,5287,703670
Jan 10 2018,0.082847,0.104349,0.079510,0.084140,17700,692465
Jan 09 2018,0.085959,0.098489,0.076391,0.092350,10268,717920
Jan 08 2018,0.068488,0.092838,0.057210,0.086040,30666,571384
Jan 07 2018,0.080620,0.087366,0.059020,0.068584,25842,672578
Jan 06 2018,0.089423,0.106611,0.072048,0.080679,24789,745875
Jan 05 2018,0.141848,0.150208,0.089440,0.089440,50146,1182480
Jan 04 2018,0.036341,0.193353,0.035826,0.141808,209744,302570
Jan 03 2018,0.028243,0.036343,0.026716,0.036157,997,235033
Jan 02 2018,0.028184,0.034431,0.028029,0.028344,1562,234537
Jan 01 2018,0.026895,0.029927,0.024858,0.028185,3006,223793
Dec 31 2017,0.023083,0.035463,0.022034,0.026793,17993,191914
Dec 30 2017,0.022764,0.034495,0.020825,0.023331,5739,189199
Dec 29 2017,0.029050,0.029050,0.019268,0.022822,5191,241442
Dec 28 2017,0.020940,0.035977,0.016759,0.028756,7114,174026
Dec 27 2017,0.022252,0.024751,0.018934,0.020984,3206,184903
Dec 26 2017,0.020096,0.025236,0.017618,0.022236,4410,166969
Dec 25 2017,0.016913,0.020428,0.015686,0.020066,1557,140512
Dec 24 2017,0.020388,0.020388,0.014096,0.016749,618,169196
Dec 23 2017,0.016210,0.021403,0.016098,0.020182,183,134480
Dec 22 2017,0.022319,0.022576,0.014745,0.016058,373,185017
Dec 21 2017,0.024027,0.029389,0.019464,0.022242,1142,198952
Dec 20 2017,0.034809,0.034809,0.019581,0.023968,1160,288126
Dec 19 2017,0.020094,0.034978,0.016969,0.034843,2322,166194
Dec 18 2017,0.018309,0.038009,0.015991,0.020077,2181,151328
Dec 17 2017,0.029882,0.029882,0.015496,0.018256,2912,246768
Dec 16 2017,0.018985,0.030002,0.018751,0.029869,502,156664
Dec 15 2017,0.017922,0.026776,0.017917,0.018960,566,147846
Dec 14 2017,0.018017,0.020292,0.017801,0.017892,56,148627
Dec 13 2017,0.023897,0.024553,0.017690,0.020186,1621,197102
Dec 12 2017,0.021708,0.025803,0.018692,0.023877,2048,179032
Dec 11 2017,0.025614,0.031002,0.019064,0.021639,1749,211227
Dec 10 2017,0.022775,0.027951,0.015385,0.025801,2541,187808
Dec 09 2017,0.023403,0.028280,0.020908,0.022689,168,192981
Dec 08 2017,0.034030,0.041856,0.021740,0.023426,2704,280614
Dec 07 2017,0.035314,0.061902,0.015710,0.033950,12836,291179
Dec 06 2017,0.017078,0.046232,0.011250,0.026495,4482,140642
Dec 05 2017,0.014538,0.018158,0.010941,0.017118,1400,119643
Dec 04 2017,0.015475,0.020123,0.011340,0.014509,498,127251
