Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.000684,0.000712,0.000614,0.000693,146,-
Mar 30 2018,0.000638,0.000759,0.000492,0.000684,2891,-
Mar 29 2018,0.000794,0.000795,0.000589,0.000639,1581,-
Mar 28 2018,0.000779,0.000969,0.000774,0.000793,703,-
Mar 27 2018,0.000899,0.000901,0.000776,0.000779,242,-
Mar 26 2018,0.000928,0.000933,0.000815,0.000900,55,-
Mar 25 2018,0.000850,0.001036,0.000761,0.000929,292,-
Mar 24 2018,0.001069,0.001071,0.000860,0.000862,1830,-
Mar 23 2018,0.001044,0.001054,0.000915,0.001054,278,-
Mar 22 2018,0.000801,0.001049,0.000799,0.001044,1647,-
Mar 21 2018,0.000890,0.000916,0.000795,0.000802,765,-
Mar 20 2018,0.000862,0.000951,0.000835,0.000889,170,-
Mar 19 2018,0.000737,0.000955,0.000733,0.000853,882,-
Mar 18 2018,0.000868,0.000933,0.000668,0.000740,6347,-
Mar 17 2018,0.001245,0.001283,0.000712,0.000870,6334,-
Mar 16 2018,0.001322,0.001453,0.000980,0.001243,1804,-
Mar 15 2018,0.001313,0.001650,0.001170,0.001322,2092,-
Mar 14 2018,0.002562,0.003318,0.001311,0.001314,3586,-
Mar 13 2018,0.001909,0.002763,0.001624,0.002561,2952,-
Mar 12 2018,0.002291,0.002416,0.001851,0.001920,898,-
Mar 11 2018,0.002018,0.002333,0.001852,0.002298,992,-
Mar 10 2018,0.001945,0.002099,0.001740,0.002025,531,-
Mar 09 2018,0.002045,0.002359,0.001781,0.001944,1830,-
Mar 08 2018,0.002670,0.002731,0.001947,0.002058,1489,-
Mar 07 2018,0.003108,0.003155,0.002613,0.002674,614,-
Mar 06 2018,0.003912,0.003912,0.002180,0.003113,2873,-
Mar 05 2018,0.003449,0.004420,0.003426,0.003923,413,-
Mar 04 2018,0.004004,0.004951,0.003336,0.003452,2949,-
Mar 03 2018,0.003636,0.004022,0.003496,0.004011,461,-
Mar 02 2018,0.004252,0.004348,0.003366,0.003641,2014,-
Mar 01 2018,0.003820,0.004930,0.003736,0.004263,4747,-
Feb 28 2018,0.004372,0.004389,0.003811,0.003815,80,-
Feb 27 2018,0.004537,0.004552,0.003915,0.004378,651,-
Feb 26 2018,0.003835,0.004582,0.003822,0.004524,368,-
Feb 25 2018,0.004266,0.004308,0.003823,0.003830,1485,-
Feb 24 2018,0.004870,0.005015,0.003832,0.004273,1357,-
Feb 23 2018,0.004726,0.005007,0.003932,0.004877,5372,-
Feb 22 2018,0.005547,0.006495,0.004387,0.004730,3078,-
Feb 21 2018,0.005833,0.006147,0.005289,0.005553,566,-
Feb 20 2018,0.005921,0.006127,0.005395,0.005840,2086,-
Feb 19 2018,0.006233,0.007026,0.005467,0.005915,6151,-
Feb 18 2018,0.008320,0.008340,0.005236,0.006783,10678,-
Feb 17 2018,0.008766,0.010003,0.006376,0.008295,10226,-
Feb 16 2018,0.008476,0.008997,0.007515,0.008768,1419,-
Feb 15 2018,0.008148,0.008570,0.007109,0.008512,1216,-
Feb 14 2018,0.008084,0.008584,0.006405,0.008144,2078,-
Feb 13 2018,0.007474,0.008216,0.006447,0.008109,1118,-
Feb 12 2018,0.006161,0.007546,0.005531,0.007460,1023,-
Feb 11 2018,0.005472,0.006338,0.005472,0.006122,623,-
Feb 10 2018,0.005561,0.005957,0.005173,0.005477,2095,-
Feb 09 2018,0.009080,0.009080,0.004517,0.005557,12339,-
Feb 08 2018,0.004772,0.007818,0.004185,0.007818,11176,-
Feb 07 2018,0.004702,0.006151,0.004275,0.004791,1643,-
Feb 06 2018,0.004858,0.005566,0.003266,0.004750,3989,-
Feb 05 2018,0.004435,0.004516,0.002733,0.003743,1646,-
Feb 04 2018,0.005362,0.005362,0.004111,0.004478,588,-
Feb 03 2018,0.004874,0.005359,0.004452,0.005359,654,-
Feb 02 2018,0.005176,0.005176,0.003933,0.004858,1287,-
Feb 01 2018,0.006611,0.010729,0.004492,0.005187,24182,-
Jan 31 2018,0.005609,0.008326,0.004024,0.006595,5619,-
Jan 30 2018,0.007056,0.007669,0.005525,0.005601,1133,-
Jan 29 2018,0.006960,0.008307,0.006704,0.007054,3078,-
Jan 28 2018,0.010618,0.012680,0.006367,0.006967,34121,-
Jan 27 2018,0.006008,0.010682,0.005351,0.010564,30680,-
Jan 26 2018,0.007031,0.007665,0.005292,0.006012,3304,-
Jan 25 2018,0.007760,0.008245,0.006520,0.007050,3056,-
Jan 24 2018,0.008997,0.009031,0.006613,0.007410,9999,-
Jan 23 2018,0.010612,0.012696,0.007214,0.009002,22679,-
Jan 22 2018,0.011492,0.011960,0.008254,0.010206,12022,-
Jan 21 2018,0.011512,0.016310,0.008530,0.011451,163217,-
Jan 20 2018,0.008943,0.011446,0.006808,0.010847,105109,-
Jan 19 2018,0.003947,0.009003,0.003708,0.008617,27276,-
Jan 18 2018,0.003676,0.004906,0.003610,0.003989,2876,-
Jan 17 2018,0.003427,0.006386,0.002741,0.003662,12559,-
Jan 16 2018,0.005603,0.006453,0.003008,0.003444,9120,-
Jan 15 2018,0.005886,0.007829,0.005593,0.005596,2753,-
Jan 14 2018,0.007180,0.008316,0.006072,0.006619,1879,-
Jan 13 2018,0.010853,0.011220,0.006587,0.007176,10721,-
Jan 12 2018,0.007557,0.008252,0.006086,0.008219,5645,-
Jan 11 2018,0.009289,0.009554,0.004517,0.007508,7576,-
Jan 10 2018,0.008471,0.011566,0.007852,0.009299,14596,-
Jan 09 2018,0.005873,0.010140,0.005873,0.009335,22583,-
Jan 08 2018,0.006025,0.012315,0.005355,0.005889,22955,-
Jan 07 2018,0.004645,0.007102,0.004049,0.006197,27523,-
Jan 06 2018,0.003906,0.004658,0.003283,0.004648,2583,-
Jan 05 2018,0.003188,0.004258,0.002846,0.003903,5692,-
Jan 04 2018,0.003042,0.003644,0.002409,0.003187,8479,-
Jan 03 2018,0.002670,0.003092,0.002230,0.003026,2516,-
Jan 02 2018,0.002835,0.003445,0.002380,0.002680,1789,-
Jan 01 2018,0.003216,0.003296,0.002582,0.002836,1830,-
Dec 31 2017,0.002543,0.004029,0.002161,0.003203,2733,-
Dec 30 2017,0.002319,0.002634,0.001982,0.002571,977,-
Dec 29 2017,0.002315,0.002484,0.001634,0.002325,340,-
Dec 28 2017,0.002327,0.002417,0.002044,0.002291,882,-
Dec 27 2017,0.002534,0.002794,0.002314,0.002332,320,-
Dec 26 2017,0.002229,0.002950,0.002229,0.002532,143,-
Dec 25 2017,0.002254,0.002687,0.002022,0.002231,207,-
Dec 24 2017,0.002191,0.002599,0.001932,0.002231,187,-
Dec 23 2017,0.002758,0.002947,0.001839,0.002167,739,-
Dec 22 2017,0.002514,0.003647,0.001421,0.002732,2476,-
Dec 21 2017,0.001483,0.002535,0.001139,0.002505,531,-
Dec 20 2017,0.001586,0.001784,0.001145,0.001480,285,-
Dec 19 2017,0.002296,0.002304,0.000853,0.001587,1154,-
Dec 18 2017,0.001339,0.002827,0.001291,0.002294,1794,-
Dec 17 2017,0.000584,0.001378,0.000573,0.001335,2748,-
Dec 16 2017,0.000581,0.000589,0.000576,0.000584,19,-
Dec 15 2017,0.000995,0.001084,0.000995,0.001066,9,-
Dec 14 2017,0.001146,0.001163,0.000650,0.000994,320,-
Dec 13 2017,0.001209,0.001225,0.001116,0.001150,67,-
Dec 12 2017,0.001182,0.001243,0.001151,0.001208,17,-
Dec 09 2017,0.000813,0.000825,0.000759,0.000767,15,-
Dec 08 2017,0.001049,0.001054,0.000704,0.000814,24,-
Dec 07 2017,0.000824,0.001025,0.000814,0.001019,11,-
Dec 06 2017,0.000702,0.000960,0.000702,0.000826,20,-
Dec 05 2017,0.000699,0.000715,0.000690,0.000704,159,-
Dec 04 2017,0.000562,0.000698,0.000544,0.000698,8,-
Dec 03 2017,0.000547,0.000592,0.000529,0.000560,2,-
Dec 02 2017,0.000653,0.000665,0.000536,0.000546,2,-
Dec 01 2017,0.000500,0.000657,0.000473,0.000654,19,-
Nov 30 2017,0.000491,0.000586,0.000386,0.000502,26,-
Nov 29 2017,0.000596,0.000652,0.000364,0.000484,49,-
Nov 28 2017,0.000585,0.000599,0.000580,0.000596,2,-
Nov 27 2017,0.000559,0.000585,0.000381,0.000584,54,-
Nov 26 2017,0.000525,0.000571,0.000442,0.000559,5,-
Nov 25 2017,0.000328,0.000525,0.000327,0.000525,26,-
Nov 24 2017,0.000402,0.000417,0.000164,0.000329,206,-
Nov 23 2017,0.000576,0.000579,0.000243,0.000402,583,-
Nov 22 2017,0.000568,0.000581,0.000405,0.000576,18,-
Nov 21 2017,0.000494,0.000582,0.000403,0.000567,13,-
Nov 20 2017,0.000483,0.000497,0.000399,0.000494,257,-
Nov 19 2017,0.000467,0.000487,0.000385,0.000483,17,-
Nov 18 2017,0.000384,0.000472,0.000156,0.000468,639,-
Nov 17 2017,0.000549,0.000626,0.000381,0.000386,3,-
Nov 16 2017,0.000511,0.000560,0.000442,0.000550,19,-
Nov 15 2017,0.000529,0.000582,0.000413,0.000509,17,-
Nov 14 2017,0.000522,0.000538,0.000514,0.000529,1,-
Nov 13 2017,0.000470,0.000673,0.000466,0.000521,47,-
Nov 12 2017,0.000445,0.000513,0.000368,0.000469,26,-
Nov 11 2017,0.000460,0.000680,0.000436,0.000446,1,-
Nov 10 2017,0.000642,0.000831,0.000406,0.000462,572,-
Nov 09 2017,0.000597,0.000724,0.000431,0.000640,125,-
Nov 08 2017,0.001139,0.001255,0.000441,0.000598,138,-
Nov 07 2017,0.001113,0.001154,0.001113,0.001142,37,-
Nov 06 2017,0.000957,0.001238,0.000939,0.001115,41,-
Nov 04 2017,0.000932,0.000965,0.000910,0.000955,5,-
Nov 03 2017,0.000913,0.000971,0.000903,0.000934,5,-
Nov 02 2017,0.001009,0.001019,0.000888,0.000914,3,-
Nov 01 2017,0.000960,0.001010,0.000955,0.001008,0,-
Oct 30 2017,0.001047,0.001049,0.001036,0.001042,1,-
Oct 29 2017,0.000989,0.001075,0.000980,0.001053,1,-
Oct 28 2017,0.000807,0.000822,0.000807,0.000821,3,-
Oct 27 2017,0.000824,0.000839,0.000798,0.000805,3,-
Oct 26 2017,0.000805,0.000838,0.000798,0.000824,1,-
Oct 24 2017,0.000821,0.000821,0.000789,0.000799,1,-
Oct 23 2017,0.000837,0.000849,0.000793,0.000823,1,-
Oct 22 2017,0.000812,0.000846,0.000805,0.000838,0,-
Oct 21 2017,0.000841,0.000861,0.000835,0.000856,37,-
Oct 20 2017,0.000970,0.000973,0.000787,0.000842,37,-
Oct 19 2017,0.000950,0.000976,0.000790,0.000970,6,-
Oct 18 2017,0.000784,0.000954,0.000735,0.000949,1,-
Oct 17 2017,0.000954,0.000961,0.000779,0.000784,5,-
Oct 14 2017,0.000848,0.000857,0.000840,0.000844,6,-
Oct 13 2017,0.000925,0.000999,0.000828,0.000848,28,-
Oct 12 2017,0.000825,0.000922,0.000824,0.000922,1,-
