Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.170220,0.180831,0.159898,0.162558,1538,2762700
Mar 30 2018,0.167616,0.178538,0.154507,0.170553,9169,2720440
Mar 29 2018,0.190597,0.191355,0.166336,0.167918,7228,3093410
Mar 28 2018,0.185698,0.196188,0.180964,0.190319,2461,3013900
Mar 27 2018,0.197368,0.203207,0.179704,0.185604,3613,3203310
Mar 26 2018,0.207076,0.212734,0.191231,0.197578,4706,3360880
Mar 25 2018,0.189831,0.217036,0.185261,0.207450,29681,3080980
Mar 24 2018,0.221699,0.224794,0.182288,0.190484,22948,3598200
Mar 23 2018,0.247494,0.247494,0.194010,0.220439,12229,4016870
Mar 22 2018,0.212640,0.246202,0.203207,0.244446,15148,3451180
Mar 21 2018,0.218658,0.266684,0.182017,0.212401,74571,3548840
Mar 20 2018,0.225400,0.225889,0.203255,0.217626,7696,3658270
Mar 19 2018,0.213010,0.230740,0.206660,0.224453,12496,3457190
Mar 18 2018,0.223326,0.223452,0.166920,0.211664,36544,3624610
Mar 17 2018,0.241399,0.241493,0.200862,0.223345,14702,3917940
Mar 16 2018,0.241714,0.247801,0.211073,0.241557,30191,3923050
Mar 15 2018,0.249429,0.262704,0.226022,0.241814,20060,4048270
Mar 14 2018,0.266699,0.296376,0.237080,0.249337,24691,4328560
Mar 13 2018,0.251921,0.291235,0.250629,0.266761,27380,-
Mar 12 2018,0.242485,0.250392,0.242485,0.250392,125885,-
