Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.023838,0.024375,0.022128,0.022647,19468,11483300
Mar 30 2018,0.023805,0.027288,0.020691,0.023905,30047,11467700
Mar 29 2018,0.027037,0.027854,0.021147,0.023859,29387,13024500
Mar 28 2018,0.028239,0.030240,0.027003,0.027003,54637,13603400
Mar 27 2018,0.032365,0.032646,0.028247,0.028278,51862,15591200
Mar 26 2018,0.032201,0.033010,0.028073,0.032409,78307,15512300
Mar 25 2018,0.034420,0.035155,0.030770,0.031780,33800,16580800
Mar 24 2018,0.034525,0.035825,0.032605,0.034529,30901,16631500
Mar 23 2018,0.035338,0.036237,0.030091,0.034039,32363,17023300
Mar 22 2018,0.036590,0.039803,0.034080,0.034919,52847,17626400
Mar 21 2018,0.034227,0.043344,0.032959,0.036858,67494,16487800
Mar 20 2018,0.031417,0.037463,0.027715,0.034157,90165,15134500
Mar 19 2018,0.017528,0.030897,0.016299,0.030563,87471,8443760
Mar 18 2018,0.019769,0.019769,0.013721,0.017595,53644,9523170
Mar 17 2018,0.021950,0.022483,0.017243,0.019842,43683,10573700
Mar 16 2018,0.024872,0.026086,0.022046,0.022046,34390,11981300
Mar 15 2018,0.025199,0.025562,0.023706,0.024890,29976,12139000
Mar 14 2018,0.029195,0.030474,0.024377,0.025193,36430,14063900
Mar 13 2018,0.029923,0.031134,0.028489,0.029195,21023,14414700
Mar 12 2018,0.029107,0.031978,0.028292,0.030083,31020,14021300
Mar 11 2018,0.027984,0.030701,0.026777,0.029190,34684,13480400
Mar 10 2018,0.029954,0.030822,0.027944,0.028083,35134,14429500
Mar 09 2018,0.031422,0.032464,0.025355,0.029768,38137,15136500
Mar 08 2018,0.033771,0.035106,0.026832,0.031638,71178,16268000
Mar 07 2018,0.037692,0.040274,0.032364,0.033845,34273,18156800
Mar 06 2018,0.044761,0.044761,0.037239,0.037748,41134,21562400
Mar 05 2018,0.042146,0.045448,0.040225,0.044965,64277,20302300
Mar 04 2018,0.042547,0.043121,0.039372,0.041659,51470,20495800
Mar 03 2018,0.041673,0.046212,0.041592,0.042616,59156,20074500
Mar 02 2018,0.040840,0.045050,0.040517,0.041770,61005,19673400
Mar 01 2018,0.040517,0.044063,0.035522,0.040933,102188,19517700
Feb 28 2018,0.047308,0.048054,0.040456,0.040456,129015,22789100
Feb 27 2018,0.048346,0.050220,0.045669,0.047386,52840,23289300
Feb 26 2018,0.047882,0.050317,0.045960,0.048249,68597,23065900
Feb 25 2018,0.049465,0.050079,0.046788,0.048166,50689,23828400
Feb 24 2018,0.054207,0.056183,0.048313,0.049541,46960,26112600
Feb 23 2018,0.051909,0.055983,0.049476,0.053772,55999,25005400
Feb 22 2018,0.054473,0.059301,0.051560,0.051560,69449,26240700
Feb 21 2018,0.066100,0.067075,0.054358,0.055860,123681,31841600
Feb 20 2018,0.068692,0.072961,0.064527,0.064631,103501,33090100
Feb 19 2018,0.072098,0.076875,0.068304,0.068659,166064,34731200
Feb 18 2018,0.077970,0.082024,0.072820,0.072820,201251,37559400
Feb 17 2018,0.060859,0.077782,0.058427,0.077782,179930,29316700
Feb 16 2018,0.054176,0.061189,0.054169,0.060878,110929,26097700
Feb 15 2018,0.052034,0.074040,0.047547,0.054432,106651,25065900
Feb 14 2018,0.047212,0.059807,0.041594,0.052021,172652,22742700
Feb 13 2018,0.053704,0.054481,0.046631,0.048011,137990,25870200
Feb 12 2018,0.050038,0.054961,0.048418,0.053823,128937,24103800
Feb 11 2018,0.053257,0.053799,0.049226,0.049757,99903,25654700
Feb 10 2018,0.057033,0.059055,0.051154,0.053489,104621,27473400
Feb 09 2018,0.052455,0.058552,0.049543,0.057411,105497,25268100
Feb 08 2018,0.052730,0.058484,0.050395,0.052080,117588,25400700
Feb 07 2018,0.056632,0.061099,0.049722,0.053275,97707,27280100
Feb 06 2018,0.048353,0.063292,0.035964,0.056973,227082,23292200
Feb 05 2018,0.068798,0.071377,0.048233,0.048284,112549,33140600
Feb 04 2018,0.069094,0.082829,0.064758,0.069863,180380,33283300
Feb 03 2018,0.059038,0.077859,0.052433,0.069021,189226,28438700
Feb 02 2018,0.059572,0.061284,0.045457,0.058833,192791,28696100
Feb 01 2018,0.071486,0.073062,0.055086,0.059824,145570,34434800
Jan 31 2018,0.069650,0.073350,0.055396,0.071298,175097,33549900
Jan 30 2018,0.090614,0.092651,0.069270,0.069423,180809,43648300
Jan 29 2018,0.110632,0.113962,0.085421,0.090193,218447,53290500
Jan 28 2018,0.101973,0.112853,0.094981,0.110908,158244,49118900
Jan 27 2018,0.079922,0.103466,0.076999,0.098502,252245,38497300
Jan 26 2018,0.090075,0.091225,0.070230,0.079172,288572,43386800
Jan 25 2018,0.098050,0.100289,0.087586,0.090843,147339,47228000
Jan 24 2018,0.101232,0.112237,0.096449,0.096721,229648,48760700
Jan 23 2018,0.103769,0.111101,0.089126,0.101673,213167,49982100
Jan 22 2018,0.122529,0.124325,0.095088,0.104036,297110,59018100
Jan 21 2018,0.132412,0.135720,0.114624,0.120878,394390,63777900
Jan 20 2018,0.130932,0.142115,0.123993,0.129658,237327,63065000
Jan 19 2018,0.145235,0.152393,0.115346,0.129606,261228,69954100
Jan 18 2018,0.123163,0.168803,0.119105,0.151588,376021,59323000
Jan 17 2018,0.108235,0.125273,0.044785,0.115696,768459,52132700
Jan 16 2018,0.159254,0.160419,0.082887,0.107918,678733,76706000
Jan 15 2018,0.188460,0.194918,0.155310,0.161127,380500,90773500
Jan 14 2018,0.225994,0.231183,0.159076,0.184947,599947,108852000
Jan 13 2018,0.274435,0.283014,0.222802,0.223870,556554,132184000
Jan 12 2018,0.230090,0.302799,0.217868,0.274692,784421,110824000
Jan 11 2018,0.232774,0.259074,0.189082,0.229264,919711,112116000
