Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.807633,0.848945,0.794166,0.812055,82001,13402800
Mar 30 2018,0.859780,0.869829,0.766161,0.810756,108605,14263200
Mar 29 2018,1.05,1.05,0.844370,0.861767,139711,17411500
Mar 28 2018,1.06,1.09,1.04,1.05,82597,17502000
Mar 27 2018,1.13,1.14,1.03,1.05,149007,18803500
Mar 26 2018,1.17,1.22,1.07,1.14,188831,19444700
Mar 25 2018,1.18,1.25,1.15,1.17,146505,19617000
Mar 24 2018,1.24,1.30,1.19,1.20,124077,20572800
Mar 23 2018,1.25,1.26,1.15,1.22,203394,20716700
Mar 22 2018,1.34,1.36,1.23,1.26,222195,22145400
Mar 21 2018,1.35,1.40,1.31,1.34,257541,22374800
Mar 20 2018,1.29,1.39,1.24,1.36,131019,21278800
Mar 19 2018,1.25,1.32,1.22,1.28,181885,20693900
Mar 18 2018,1.33,1.33,1.11,1.27,182143,21893500
Mar 17 2018,1.46,1.47,1.33,1.33,55292,24141500
Mar 16 2018,1.45,1.56,1.38,1.46,94101,24009600
Mar 15 2018,1.48,1.49,1.33,1.46,136729,24425100
Mar 14 2018,1.77,1.80,1.45,1.48,160837,29181100
Mar 13 2018,1.81,1.87,1.71,1.76,130840,29848400
Mar 12 2018,1.92,1.97,1.74,1.80,133312,31632100
Mar 11 2018,1.80,1.93,1.70,1.90,222382,29720000
Mar 10 2018,1.96,2.01,1.78,1.80,332175,32306400
Mar 09 2018,2.08,2.08,1.71,1.96,408377,34238200
Mar 08 2018,2.09,2.21,1.96,2.04,606414,34378700
Mar 07 2018,2.28,2.43,1.94,2.09,2309100,37521900
Mar 06 2018,2.38,2.54,2.21,2.25,1192820,39172300
Mar 05 2018,2.55,2.57,2.36,2.40,871346,41912200
Mar 04 2018,2.43,3.10,2.40,2.55,5185180,39956500
Mar 03 2018,2.49,2.63,2.33,2.43,707096,40944200
Mar 02 2018,2.31,2.90,2.31,2.52,3591070,37941700
Mar 01 2018,2.09,2.62,2.07,2.31,4276660,34396400
Feb 28 2018,2.13,2.43,2.04,2.08,686985,34983200
Feb 27 2018,2.10,2.25,2.05,2.13,149816,34425600
Feb 26 2018,1.99,2.12,1.95,2.09,133861,32660400
Feb 25 2018,2.03,2.05,1.94,1.98,153450,33278000
Feb 24 2018,2.16,2.24,1.97,2.04,95801,35447600
Feb 23 2018,2.08,2.21,2.01,2.17,103816,34178800
Feb 22 2018,2.32,2.43,2.06,2.09,135707,38095800
Feb 21 2018,2.47,2.48,2.24,2.32,136957,40546100
Feb 20 2018,2.64,2.70,2.46,2.48,218709,43202900
Feb 19 2018,2.45,2.80,2.40,2.71,687198,40205900
Feb 18 2018,2.39,2.89,2.16,2.50,1723970,39085200
Feb 17 2018,2.23,2.46,2.20,2.34,219582,36450600
Feb 16 2018,2.17,2.23,2.05,2.23,93824,35572000
Feb 15 2018,2.22,2.23,2.12,2.18,226870,36333600
Feb 14 2018,2.02,2.23,2.02,2.20,218632,33013700
Feb 13 2018,2.02,2.15,1.93,2.02,317265,32966800
Feb 12 2018,1.91,2.07,1.91,2.01,104786,31235000
Feb 11 2018,1.96,1.99,1.78,1.90,146418,32013600
Feb 10 2018,2.07,2.19,1.88,1.96,361901,33825700
Feb 09 2018,1.82,2.07,1.73,2.07,235851,29671000
Feb 08 2018,1.70,1.94,1.69,1.81,189092,27670300
Feb 07 2018,1.57,1.91,1.49,1.70,277590,25661900
Feb 06 2018,1.49,1.63,1.25,1.59,113554,24240400
Feb 05 2018,1.86,1.87,1.44,1.49,137682,30303000
Feb 04 2018,2.15,2.15,1.76,1.88,149056,35065900
Feb 03 2018,2.04,2.21,1.80,2.15,306376,33191300
Feb 02 2018,2.24,3.08,1.65,2.03,4396900,36538100
Feb 01 2018,2.61,2.66,2.14,2.24,185265,42472200
Jan 31 2018,2.58,2.68,2.45,2.61,220915,41973100
Jan 30 2018,3.03,3.03,2.54,2.56,258326,49292500
Jan 29 2018,3.25,3.25,2.96,3.05,469627,52778400
Jan 28 2018,3.04,3.65,3.03,3.25,4720930,49406300
Jan 27 2018,2.81,3.29,2.72,2.98,1675780,45661900
Jan 26 2018,2.88,2.96,2.58,2.81,354561,46716800
Jan 25 2018,2.94,3.02,2.73,2.85,319926,47720300
Jan 24 2018,2.72,2.92,2.62,2.88,284489,44112400
Jan 23 2018,2.76,2.90,2.54,2.72,398877,44849000
Jan 22 2018,3.08,3.14,2.48,2.78,2403910,49962000
Jan 21 2018,3.31,3.31,2.69,2.78,1525270,53651800
Jan 20 2018,3.10,3.42,3.06,3.30,609366,50248100
Jan 19 2018,3.04,3.21,2.86,3.08,665422,49282300
Jan 18 2018,2.72,3.36,2.67,3.04,578977,44048500
Jan 17 2018,2.86,3.09,2.17,2.75,421622,46304100
Jan 16 2018,3.96,3.96,2.57,2.88,505061,64107000
Jan 15 2018,4.04,4.23,3.91,4.02,875587,65282300
Jan 14 2018,4.52,4.75,3.80,4.26,2304510,73076300
Jan 13 2018,3.89,4.42,3.89,4.10,1390060,62909100
Jan 12 2018,3.54,4.19,3.46,3.95,593480,57288700
Jan 11 2018,4.20,4.20,3.47,3.51,450958,67771300
Jan 10 2018,4.53,4.67,3.94,4.16,717361,73170900
Jan 09 2018,4.52,4.83,4.27,4.49,868695,72893700
Jan 08 2018,4.42,5.01,3.81,4.60,1588290,71293300
Jan 07 2018,4.53,5.02,4.15,4.47,1552140,73144300
Jan 06 2018,4.31,4.70,3.82,4.53,628676,69573100
Jan 05 2018,4.72,4.86,4.13,4.22,976403,76119000
Jan 04 2018,5.05,5.22,4.60,4.71,1204930,81361800
Jan 03 2018,4.53,5.89,4.36,5.01,3298080,72943100
Jan 02 2018,4.41,4.90,4.17,4.55,923834,70932300
Jan 01 2018,4.40,4.50,3.95,4.35,458589,70850800
Dec 31 2017,3.95,4.56,3.87,4.38,714177,63632500
Dec 30 2017,4.68,4.68,3.61,4.04,729733,75287600
Dec 29 2017,4.73,5.05,4.43,4.68,623770,76045200
Dec 28 2017,4.92,4.92,3.89,4.65,876232,79088000
Dec 27 2017,5.12,6.08,4.62,4.93,4657620,82325300
Dec 26 2017,5.13,5.13,4.07,4.57,1369390,82488400
Dec 25 2017,4.65,5.78,4.07,5.13,4666840,74649100
Dec 24 2017,3.23,5.79,3.10,4.68,17484800,51813400
Dec 23 2017,2.74,3.69,2.71,3.19,897819,43942000
Dec 22 2017,3.39,3.49,2.10,2.72,447733,54370800
Dec 21 2017,3.36,4.05,3.16,3.38,802560,53905100
Dec 20 2017,3.44,3.58,2.92,3.40,835019,55193200
Dec 19 2017,3.11,4.75,2.94,3.44,4388480,49778900
Dec 18 2017,2.83,3.10,2.71,3.10,596224,45400000
Dec 17 2017,2.84,2.90,2.71,2.82,326988,45438500
Dec 16 2017,2.61,2.86,2.60,2.78,338077,41769000
Dec 15 2017,2.58,2.76,2.54,2.64,510884,41361800
Dec 14 2017,2.54,2.69,2.46,2.62,372796,40684000
Dec 13 2017,2.60,2.73,2.37,2.56,374601,41555800
Dec 12 2017,2.53,2.72,2.47,2.58,319931,40478000
Dec 11 2017,2.29,2.80,2.18,2.55,777430,36548500
Dec 10 2017,2.11,2.47,1.81,2.28,662800,33647800
Dec 09 2017,2.17,2.58,1.92,2.10,450862,34684100
Dec 08 2017,2.26,2.64,1.89,2.19,388817,36098000
Dec 07 2017,2.42,2.77,2.25,2.25,973105,38617500
Dec 06 2017,2.36,3.31,2.36,2.42,4347510,37704400
Dec 05 2017,2.08,3.40,2.03,2.39,5769620,33106800
Dec 04 2017,1.89,2.13,1.85,2.07,403890,30182600
Dec 03 2017,1.85,2.00,1.78,1.89,164052,29535300
Dec 02 2017,1.88,2.01,1.80,1.83,232523,29978600
Dec 01 2017,1.65,1.93,1.61,1.89,259128,26342100
Nov 30 2017,1.59,1.76,1.40,1.66,526908,25222600
Nov 29 2017,1.62,2.88,1.58,1.60,3156810,25714400
Nov 28 2017,1.57,1.63,1.55,1.62,107466,24972900
Nov 27 2017,1.51,1.64,1.47,1.57,110483,24002000
Nov 26 2017,1.45,1.54,1.43,1.53,94630,23052100
Nov 25 2017,1.40,1.47,1.39,1.44,86974,22292700
