Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.011856,0.016441,0.011856,0.015892,16,-
Mar 30 2018,0.011133,0.012323,0.011045,0.011867,2,-
Mar 29 2018,0.017874,0.018030,0.017565,0.017565,270,-
Mar 28 2018,0.017956,0.018602,0.017690,0.017843,275,-
Mar 27 2018,0.014647,0.018831,0.013566,0.017950,13,-
Mar 26 2018,0.015635,0.015704,0.014053,0.014656,67,-
Mar 25 2018,0.015600,0.015715,0.015433,0.015699,436,-
Mar 24 2018,0.016092,0.016279,0.015723,0.015789,439,-
Mar 23 2018,0.016147,0.016177,0.015237,0.015757,42,-
Mar 22 2018,0.016796,0.017319,0.015524,0.016150,73,-
Mar 21 2018,0.016727,0.023590,0.016365,0.016755,1721,-
Mar 20 2018,0.022225,0.022225,0.015511,0.016625,32,-
Mar 19 2018,0.021743,0.022281,0.020637,0.022048,27,-
Mar 18 2018,0.016536,0.016536,0.016290,0.016290,977,-
Mar 17 2018,0.018042,0.018284,0.016378,0.016551,993,-
Mar 16 2018,0.024411,0.024595,0.017993,0.018030,402,-
Mar 15 2018,0.024669,0.024832,0.023120,0.024439,606,-
Mar 14 2018,0.027604,0.028073,0.023713,0.024651,1950,-
Mar 13 2018,0.028023,0.035561,0.027252,0.027594,1515,-
Mar 12 2018,0.036464,0.036705,0.027358,0.028052,1435,-
Mar 11 2018,0.027477,0.028040,0.026830,0.027651,2,-
Mar 10 2018,0.029136,0.029914,0.027364,0.027559,2,-
Mar 09 2018,0.028077,0.029226,0.025861,0.029151,420,-
Mar 08 2018,0.029992,0.030891,0.027785,0.028129,352,-
Mar 07 2018,0.032723,0.039594,0.029061,0.030039,144,-
Mar 06 2018,0.034078,0.042537,0.032310,0.032691,279,-
Mar 05 2018,0.043157,0.043192,0.034079,0.034085,3285,-
Mar 04 2018,0.042743,0.043242,0.042042,0.043145,1977,-
Mar 03 2018,0.059842,0.060498,0.042653,0.042749,1671,-
Mar 02 2018,0.043461,0.060141,0.042645,0.059889,11072,-
Mar 01 2018,0.051302,0.052019,0.042935,0.043474,4727,-
Feb 28 2018,0.043819,0.053167,0.043382,0.051285,15320,-
Feb 27 2018,0.043356,0.052873,0.043356,0.043803,348,-
Feb 26 2018,0.041931,0.043772,0.033548,0.043237,5694,-
Feb 25 2018,0.033293,0.042379,0.033043,0.041904,447,-
Feb 24 2018,0.042794,0.043269,0.032461,0.033371,67,-
Feb 23 2018,0.048301,0.052267,0.041348,0.042830,923,-
Feb 22 2018,0.050380,0.052179,0.047497,0.048360,50,-
Feb 21 2018,0.035454,0.050716,0.034646,0.050464,5318,-
Feb 20 2018,0.046849,0.047863,0.035402,0.035498,2325,-
Feb 19 2018,0.036618,0.047409,0.036618,0.046839,1877,-
Feb 18 2018,0.048685,0.048961,0.036481,0.036741,537,-
Feb 17 2018,0.046896,0.048720,0.038604,0.048665,931,-
Feb 16 2018,0.046471,0.047213,0.036415,0.046869,4789,-
Feb 15 2018,0.046058,0.047150,0.045330,0.046504,8592,-
Feb 14 2018,0.042087,0.046132,0.042087,0.046034,460,-
Feb 13 2018,0.051977,0.052115,0.041582,0.042105,2805,-
Feb 12 2018,0.048801,0.052504,0.041783,0.051904,1449,-
Feb 11 2018,0.051075,0.051193,0.046969,0.048592,85,-
Feb 10 2018,0.053150,0.054538,0.049089,0.051157,2223,-
Feb 09 2018,0.040720,0.041611,0.039262,0.041235,22,-
Feb 08 2018,0.045042,0.046783,0.038295,0.040669,182,-
Feb 07 2018,0.039545,0.051433,0.038066,0.045157,1597,-
Feb 06 2018,0.041730,0.047915,0.034119,0.039586,4681,-
Feb 05 2018,0.049633,0.051306,0.037842,0.041582,3073,-
Feb 04 2018,0.067993,0.067993,0.047300,0.050119,15109,-
Feb 03 2018,0.064176,0.073495,0.059343,0.068014,2129,-
Feb 02 2018,0.061673,0.077600,0.053380,0.063867,2118,-
Feb 01 2018,0.088678,0.103188,0.057734,0.061891,20936,-
Jan 31 2018,0.074263,0.098738,0.072835,0.088509,13181,-
Jan 30 2018,0.105424,0.105691,0.072613,0.074008,11137,-
Jan 29 2018,0.098420,0.106801,0.092470,0.105378,54467,-
Jan 28 2018,0.077532,0.099072,0.077532,0.098565,50475,-
Jan 27 2018,0.084134,0.085920,0.073521,0.076990,4530,-
Jan 26 2018,0.073279,0.084829,0.069258,0.084128,13428,-
Jan 25 2018,0.074320,0.077193,0.071672,0.073535,13770,-
Jan 24 2018,0.078662,0.084702,0.069698,0.073777,8251,-
Jan 23 2018,0.070000,0.081724,0.065089,0.078638,9181,-
Jan 22 2018,0.083683,0.086843,0.064442,0.070128,3433,-
Jan 21 2018,0.092175,0.092175,0.063620,0.083290,7104,-
Jan 20 2018,0.083123,0.101183,0.077581,0.091976,13030,-
Jan 19 2018,0.061215,0.083193,0.049397,0.082590,23716,-
Jan 18 2018,0.050895,0.065730,0.047639,0.061673,2245,-
Jan 17 2018,0.063323,0.066856,0.042620,0.050328,4694,-
Jan 16 2018,0.089477,0.099408,0.052116,0.063557,15361,-
Jan 15 2018,0.095357,0.106442,0.089298,0.089298,8389,-
Jan 14 2018,0.097144,0.120606,0.090148,0.095379,22113,-
Jan 13 2018,0.113702,0.123504,0.092609,0.097053,1584,-
Jan 12 2018,0.103303,0.115140,0.083821,0.113716,40373,-
Jan 11 2018,0.112143,0.131144,0.083630,0.102127,75964,-
Jan 10 2018,0.115914,0.143723,0.109414,0.112398,115877,-
Jan 09 2018,0.124981,0.129433,0.093249,0.115865,88707,-
Jan 08 2018,0.100454,0.126367,0.077587,0.125338,115719,-
Jan 07 2018,0.090563,0.108440,0.074945,0.099551,51222,-
Jan 06 2018,0.077489,0.110829,0.077076,0.090599,37167,-
Jan 05 2018,0.075678,0.078492,0.058748,0.077114,43209,-
Jan 04 2018,0.075513,0.079641,0.063086,0.075991,16045,-
Jan 03 2018,0.060308,0.085554,0.059980,0.075393,10256,-
Jan 02 2018,0.075609,0.103002,0.057732,0.060029,36669,-
Jan 01 2018,0.081532,0.091482,0.073166,0.075433,17077,-
Dec 31 2017,0.083307,0.089489,0.075860,0.081635,18468,-
Dec 30 2017,0.081350,0.085363,0.068046,0.084040,4885,-
Dec 29 2017,0.107721,0.107721,0.063982,0.081378,33673,-
Dec 28 2017,0.059233,0.108277,0.055204,0.107075,113840,-
Dec 27 2017,0.067835,0.075595,0.056660,0.059331,8198,-
Dec 26 2017,0.072639,0.075685,0.058515,0.067681,17279,-
Dec 25 2017,0.060850,0.074098,0.047309,0.072612,12873,-
Dec 24 2017,0.063647,0.063647,0.044687,0.060551,33808,-
Dec 23 2017,0.066026,0.071074,0.055447,0.062903,10580,-
Dec 22 2017,0.055411,0.070838,0.039321,0.065486,5101,-
Dec 21 2017,0.071940,0.079996,0.053576,0.055202,15650,-
Dec 20 2017,0.073348,0.087048,0.048111,0.071864,24120,-
Dec 19 2017,0.078772,0.100728,0.070184,0.073427,34977,-
Dec 18 2017,0.057459,0.079863,0.049623,0.078958,36599,-
Dec 17 2017,0.055574,0.058589,0.049201,0.057535,27323,-
Dec 16 2017,0.047922,0.062933,0.047589,0.055419,9204,-
Dec 15 2017,0.048594,0.053477,0.043481,0.047833,4374,-
Dec 14 2017,0.056090,0.059136,0.046215,0.048549,9671,-
Dec 13 2017,0.052858,0.058514,0.043109,0.056119,18042,-
Dec 12 2017,0.046282,0.054409,0.036113,0.052821,21435,-
Dec 11 2017,0.043791,0.050543,0.042053,0.046580,3260,-
Dec 10 2017,0.047485,0.050103,0.043155,0.043742,8888,-
Dec 09 2017,0.054305,0.054606,0.043112,0.047333,13166,-
Dec 08 2017,0.046480,0.054392,0.041214,0.054306,4559,-
Dec 07 2017,0.042345,0.047661,0.034231,0.046413,6540,-
Dec 06 2017,0.050025,0.054773,0.041635,0.042493,11382,-
Dec 05 2017,0.060630,0.060793,0.049661,0.050113,13672,-
Dec 04 2017,0.055566,0.065082,0.053723,0.060599,19603,-
Dec 03 2017,0.054930,0.057710,0.046211,0.055463,13240,-
Dec 02 2017,0.064658,0.065546,0.046290,0.054912,16989,-
Dec 01 2017,0.026177,0.068609,0.021208,0.064660,71304,-
Nov 30 2017,0.025683,0.031962,0.020994,0.026242,10377,-
Nov 29 2017,0.041963,0.042490,0.024813,0.025358,9118,-
Nov 28 2017,0.042753,0.043025,0.027850,0.041929,8048,-
Nov 27 2017,0.047056,0.048978,0.041651,0.042812,18707,-
Nov 26 2017,0.046503,0.050487,0.045145,0.047068,9180,-
Nov 25 2017,0.051699,0.057349,0.045719,0.046501,17226,-
Nov 24 2017,0.048919,0.055845,0.048008,0.051707,4354,-
Nov 23 2017,0.053260,0.053671,0.047119,0.049166,13709,-
Nov 22 2017,0.054115,0.055242,0.047451,0.053138,60704,-
Nov 21 2017,0.058815,0.059639,0.052707,0.054046,7104,-
Nov 20 2017,0.053187,0.061600,0.042705,0.058908,66844,-
Nov 19 2017,0.034655,0.055394,0.034510,0.053245,42838,-
Nov 18 2017,0.043099,0.043099,0.032808,0.034744,7634,-
Nov 17 2017,0.042915,0.046161,0.026410,0.043164,36659,-
Nov 16 2017,0.043035,0.043303,0.038645,0.042945,10148,-
Nov 15 2017,0.043550,0.047113,0.042350,0.043068,23509,-
Nov 14 2017,0.047272,0.047590,0.041215,0.043527,21438,-
Nov 13 2017,0.042812,0.047370,0.040350,0.047274,12370,-
Nov 12 2017,0.053485,0.053485,0.039909,0.042744,8793,-
Nov 11 2017,0.038659,0.054446,0.038612,0.053479,33480,-
Nov 10 2017,0.044802,0.047900,0.037830,0.038770,19859,-
Nov 09 2017,0.040017,0.049322,0.039857,0.044781,13207,-
Nov 08 2017,0.040917,0.044112,0.038389,0.040234,14658,-
Nov 07 2017,0.038652,0.045491,0.038565,0.040945,7468,-
Nov 06 2017,0.038527,0.044330,0.038151,0.038594,13716,-
Nov 05 2017,0.045000,0.045038,0.038490,0.038490,2880,-
Nov 04 2017,0.045717,0.045717,0.041698,0.044941,16004,-
Nov 03 2017,0.039850,0.046311,0.038407,0.045709,8434,-
Nov 02 2017,0.046329,0.046691,0.036923,0.042488,9201,-
Nov 01 2017,0.051629,0.054858,0.044617,0.046201,9895,-
Oct 31 2017,0.049091,0.055118,0.046140,0.051724,22250,-
Oct 30 2017,0.048590,0.055812,0.048590,0.049064,7004,-
Oct 29 2017,0.053051,0.053177,0.047207,0.048687,6794,-
Oct 28 2017,0.050468,0.053156,0.049743,0.053073,2509,-
Oct 27 2017,0.050301,0.056579,0.049837,0.050422,4352,-
Oct 26 2017,0.056382,0.059681,0.050034,0.050326,7572,-
Oct 25 2017,0.056415,0.061342,0.055679,0.056503,8276,-
Oct 24 2017,0.051294,0.064248,0.050512,0.056365,19660,-
Oct 23 2017,0.055958,0.061575,0.049933,0.051328,4183,-
Oct 22 2017,0.056914,0.058126,0.055412,0.055991,905,-
Oct 21 2017,0.060641,0.063416,0.055333,0.056916,6681,-
Oct 20 2017,0.049207,0.061712,0.049200,0.060720,43965,-
Oct 19 2017,0.047044,0.055566,0.045791,0.049247,10192,-
Oct 18 2017,0.044281,0.050358,0.041547,0.047154,5833,-
Oct 17 2017,0.043487,0.048554,0.042111,0.044333,6503,-
Oct 16 2017,0.043731,0.054182,0.043405,0.043405,8394,-
Oct 15 2017,0.044032,0.047595,0.038438,0.043615,6939,-
Oct 14 2017,0.040439,0.047853,0.040078,0.043903,1308,-
Oct 13 2017,0.042385,0.045144,0.039350,0.040400,11711,-
Oct 12 2017,0.042386,0.049117,0.039525,0.042468,8989,-
Oct 11 2017,0.044774,0.045306,0.041906,0.042385,7859,-
Oct 10 2017,0.044542,0.048035,0.043858,0.044776,3665,-
Oct 09 2017,0.046419,0.046428,0.042321,0.044431,3476,-
Oct 08 2017,0.046719,0.050120,0.043209,0.046416,7731,-
Oct 07 2017,0.046213,0.050063,0.045763,0.046786,7419,-
Oct 06 2017,0.050242,0.051733,0.045229,0.046293,14783,-
Oct 05 2017,0.049642,0.052996,0.048966,0.050229,5865,-
Oct 04 2017,0.052580,0.053243,0.049221,0.049644,3917,-
Oct 03 2017,0.050520,0.052936,0.048942,0.052460,1276,-
Oct 02 2017,0.054663,0.057519,0.050097,0.050486,7779,-
Oct 01 2017,0.051514,0.054807,0.050336,0.054664,10220,-
Sep 30 2017,0.049757,0.054196,0.049745,0.051497,10632,-
Sep 29 2017,0.051507,0.053556,0.047785,0.049745,5243,-
Sep 28 2017,0.055861,0.057622,0.050844,0.051604,23852,-
Sep 27 2017,0.049189,0.056250,0.047217,0.055891,20020,-
Sep 26 2017,0.053151,0.053298,0.049126,0.049238,13784,-
Sep 25 2017,0.050961,0.054980,0.049057,0.053170,17787,-
Sep 24 2017,0.054466,0.056647,0.049851,0.050854,8218,-
Sep 23 2017,0.055289,0.059262,0.052677,0.054464,47100,-
Sep 22 2017,0.051660,0.057536,0.051550,0.055351,30829,-
Sep 21 2017,0.056728,0.064982,0.048886,0.051679,39317,-
Sep 20 2017,0.053912,0.060398,0.053006,0.056927,38130,-
Sep 19 2017,0.050581,0.060549,0.047151,0.053960,40008,-
Sep 18 2017,0.046535,0.054286,0.046535,0.050421,26702,-
Sep 17 2017,0.050990,0.050990,0.041693,0.046548,31588,-
Sep 16 2017,0.046684,0.051298,0.044662,0.050864,46875,-
Sep 15 2017,0.040047,0.050133,0.032367,0.046314,52928,-
Sep 14 2017,0.052470,0.055810,0.038243,0.040262,47812,-
Sep 13 2017,0.059003,0.061277,0.049695,0.052539,74396,-
Sep 12 2017,0.062508,0.067945,0.057426,0.058808,89524,-
Sep 11 2017,0.056947,0.069686,0.055581,0.062483,188622,-
Sep 10 2017,0.063949,0.068032,0.050740,0.056784,109001,-
Sep 09 2017,0.049065,0.067277,0.044761,0.063958,254042,-
Sep 08 2017,0.050258,0.063252,0.044107,0.049122,230295,-
Sep 07 2017,0.043200,0.059019,0.039519,0.050356,95213,-
Sep 06 2017,0.036337,0.043871,0.035205,0.043224,970838,-
Sep 05 2017,0.035238,0.040698,0.021065,0.036443,828273,-
Sep 04 2017,0.075919,0.076050,0.034048,0.034642,771117,-
Sep 03 2017,0.077785,0.088245,0.071809,0.075930,435954,-
Sep 02 2017,0.089100,0.091884,0.075431,0.077764,526972,-
Sep 01 2017,0.095137,0.102572,0.088328,0.088713,871822,-
Aug 31 2017,0.091447,0.104182,0.084182,0.094163,1183330,-
Aug 30 2017,0.106649,0.106649,0.080520,0.091443,1333930,-
Aug 29 2017,0.109563,0.112693,0.104121,0.105832,755164,-
Aug 28 2017,0.116527,0.120656,0.103319,0.111022,861659,-
Aug 27 2017,0.111345,0.116441,0.111345,0.116145,1372090,-
