Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.002735,0.002834,0.002250,0.002426,25,295291
Mar 30 2018,0.002338,0.002769,0.002179,0.002734,95,252402
Mar 29 2018,0.002541,0.002545,0.002275,0.002343,22,274380
Mar 28 2018,0.002881,0.002996,0.002517,0.002538,23,311082
Mar 27 2018,0.002614,0.002969,0.002483,0.002882,117,282252
Mar 26 2018,0.002701,0.002970,0.002513,0.002618,37,291609
Mar 25 2018,0.003741,0.004005,0.001700,0.002703,570,403964
Mar 24 2018,0.004367,0.004407,0.003785,0.003794,26,471497
Mar 23 2018,0.004438,0.004438,0.003825,0.004304,104,479148
Mar 22 2018,0.004181,0.004492,0.004041,0.004438,20,451423
Mar 21 2018,0.004274,0.004369,0.004129,0.004189,28,461484
Mar 20 2018,0.004139,0.004432,0.003923,0.004266,129,446916
Mar 19 2018,0.004013,0.004261,0.003917,0.004093,17,433321
Mar 18 2018,0.004022,0.004132,0.003537,0.004030,257,434282
Mar 17 2018,0.004151,0.004159,0.003951,0.004032,5,448163
Mar 16 2018,0.004296,0.004434,0.004055,0.004144,93,463798
Mar 15 2018,0.004268,0.004371,0.004003,0.004298,9,460793
Mar 14 2018,0.004483,0.004586,0.003998,0.004270,73,484060
Mar 13 2018,0.004363,0.004587,0.004307,0.004483,72,471042
Mar 12 2018,0.004772,0.004858,0.004230,0.004388,13,515264
Mar 11 2018,0.004388,0.004863,0.004238,0.004787,115,473745
Mar 10 2018,0.004722,0.004837,0.004363,0.004403,31,509894
Mar 09 2018,0.004833,0.004890,0.004413,0.004720,83,521786
Mar 08 2018,0.005143,0.005248,0.004622,0.004863,250,555315
Mar 07 2018,0.005681,0.005923,0.004911,0.005150,39,613396
Mar 06 2018,0.005868,0.006117,0.005632,0.005688,138,633550
Mar 05 2018,0.005979,0.006016,0.005827,0.005884,178,645542
Mar 04 2018,0.006292,0.006322,0.005773,0.005983,22,679354
Mar 03 2018,0.005950,0.006306,0.005755,0.006303,33,642488
Mar 02 2018,0.005888,0.006505,0.005621,0.005958,231,635740
Mar 01 2018,0.006505,0.006812,0.005529,0.005903,140,702334
Feb 28 2018,0.006612,0.006909,0.005939,0.006495,1154,713910
Feb 27 2018,0.006393,0.006715,0.006306,0.006620,36,690294
Feb 26 2018,0.005944,0.006561,0.005834,0.006375,43,641752
Feb 25 2018,0.006012,0.006214,0.005777,0.005936,37,649082
Feb 24 2018,0.006291,0.006606,0.005858,0.006021,251,679249
Feb 23 2018,0.006104,0.006420,0.005953,0.006299,90,659048
Feb 22 2018,0.007013,0.007308,0.006194,0.006504,49,757161
Feb 21 2018,0.006954,0.007057,0.006370,0.007020,437,750867
Feb 20 2018,0.007038,0.007337,0.006888,0.006963,196,759915
Feb 19 2018,0.006440,0.007461,0.006420,0.007032,426,695384
Feb 18 2018,0.006989,0.007108,0.006332,0.006470,729,754613
Feb 17 2018,0.006626,0.007160,0.006440,0.006968,185,715403
Feb 16 2018,0.006256,0.006648,0.006067,0.006627,689,675486
Feb 15 2018,0.005969,0.006428,0.005836,0.006283,798,644514
Feb 14 2018,0.005531,0.006477,0.005427,0.005966,2199,597239
Feb 13 2018,0.006228,0.006487,0.005316,0.005548,16460,672484
Feb 12 2018,0.005512,0.006308,0.005195,0.006217,1251,595180
Feb 11 2018,0.005814,0.005814,0.004962,0.005477,761,627733
Feb 10 2018,0.005908,0.006448,0.005446,0.005819,374,637950
Feb 09 2018,0.005531,0.006267,0.005259,0.005904,127,597180
Feb 08 2018,0.005460,0.005664,0.005299,0.005514,136,589542
Feb 06 2018,0.004858,0.005104,0.004156,0.004959,202,524556
Feb 05 2018,0.006406,0.006469,0.004666,0.004852,198,691655
Feb 04 2018,0.006379,0.006839,0.005710,0.006469,306,688711
Feb 03 2018,0.006470,0.006712,0.005987,0.006375,308,698560
Feb 02 2018,0.006720,0.006720,0.005707,0.006448,289,725607
Feb 01 2018,0.007933,0.007967,0.006395,0.006734,97,856540
