Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.274188,0.288622,0.214183,0.242688,55,121118
Mar 30 2018,0.275822,0.280167,0.257121,0.274146,16,121815
Mar 29 2018,0.309181,0.309688,0.256428,0.276510,89,136521
Mar 28 2018,0.305807,0.314624,0.302492,0.308819,138,135002
Mar 27 2018,0.311033,0.311033,0.275494,0.305715,278,137288
Mar 26 2018,0.332269,0.338946,0.243560,0.329803,165,146621
Mar 25 2018,0.325563,0.342074,0.319899,0.332523,67,143642
Mar 24 2018,0.363653,0.364834,0.290443,0.330106,104,160409
Mar 23 2018,0.351288,0.358434,0.238919,0.358434,275,154941
Mar 22 2018,0.389179,0.408804,0.343870,0.351297,197,171613
Mar 21 2018,0.418159,0.418798,0.355149,0.389890,208,184355
Mar 20 2018,0.356254,0.418193,0.345607,0.417403,1018,157027
Mar 19 2018,0.325735,0.362075,0.325735,0.352323,169,143545
Mar 18 2018,0.326847,0.344457,0.303088,0.327113,100,143818
Mar 17 2018,0.345729,0.359443,0.321120,0.327644,750,152126
Mar 16 2018,0.367453,0.391618,0.317374,0.345160,904,161685
Mar 15 2018,0.393276,0.405324,0.314018,0.367660,377,173047
Mar 14 2018,0.385519,0.408651,0.334193,0.393452,461,169634
Mar 13 2018,0.419252,0.471558,0.375052,0.385466,948,184477
Mar 12 2018,0.505771,0.525424,0.364170,0.421673,1291,222547
Mar 11 2018,0.416126,0.508731,0.384570,0.507369,61,183099
Mar 10 2018,0.489594,0.577659,0.401724,0.417567,240,215422
Mar 09 2018,0.463680,0.496027,0.353362,0.489383,707,204014
Mar 08 2018,0.720602,0.731176,0.462504,0.466634,2639,316993
Mar 07 2018,0.521373,0.780394,0.445574,0.721625,1302,229298
Mar 06 2018,0.555239,0.588968,0.513704,0.522050,65,244160
Mar 05 2018,0.607467,0.609349,0.529212,0.556778,177,267068
Mar 04 2018,0.660247,0.660777,0.547824,0.607911,747,290209
Mar 03 2018,1.05,1.08,0.565911,0.661388,796,462597
Mar 02 2018,0.568655,1.03,0.568655,0.998714,1137,249858
Mar 01 2018,0.611849,0.721081,0.495280,0.715107,1108,268786
Feb 28 2018,0.800050,0.837124,0.576251,0.610949,1217,351384
Feb 27 2018,0.369552,0.833470,0.348834,0.800994,4034,162277
Feb 26 2018,0.745343,0.899236,0.325330,0.368487,1954,327229
Feb 25 2018,0.746896,0.776307,0.725959,0.744389,504,327414
Feb 24 2018,0.833346,0.927995,0.723817,0.748030,589,365310
Feb 23 2018,0.809349,0.850195,0.789373,0.834401,98,354791
Feb 22 2018,0.881227,0.918346,0.801508,0.810105,84,386300
Feb 21 2018,0.954860,0.956626,0.850854,0.882123,1028,418578
