Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.015587,0.017358,0.015198,0.015360,185,377109
Mar 30 2018,0.015492,0.017465,0.014438,0.015584,80,374736
Mar 29 2018,0.020011,0.020011,0.015084,0.015531,446,483925
Mar 28 2018,0.018906,0.020931,0.017737,0.019988,193,457096
Mar 27 2018,0.020011,0.020713,0.018775,0.018910,179,483699
Mar 26 2018,0.020552,0.024254,0.019235,0.020041,312,496660
Mar 25 2018,0.023043,0.023141,0.020242,0.020784,233,556734
Mar 24 2018,0.025399,0.025891,0.023309,0.023365,166,613505
Mar 23 2018,0.025052,0.025077,0.023835,0.025034,210,604981
Mar 22 2018,0.025651,0.026700,0.024569,0.025052,828,619304
Mar 21 2018,0.027247,0.027546,0.025438,0.025686,514,657706
Mar 20 2018,0.026251,0.027578,0.025140,0.027198,584,633510
Mar 19 2018,0.026275,0.028786,0.021736,0.025961,4510,634001
Mar 18 2018,0.026081,0.051789,0.023916,0.026387,16587,628927
Mar 17 2018,0.029511,0.035159,0.025885,0.026160,2129,711487
Mar 16 2018,0.027113,0.030780,0.026098,0.029463,1044,653513
Mar 15 2018,0.028253,0.034342,0.023647,0.027128,2246,680840
Mar 14 2018,0.030014,0.039362,0.026185,0.028266,3621,723119
Mar 13 2018,0.027450,0.030705,0.027100,0.030010,1396,661200
Mar 12 2018,0.029378,0.030891,0.026621,0.027609,690,707480
Mar 11 2018,0.027049,0.033462,0.025411,0.029471,275,651249
Mar 10 2018,0.028642,0.030140,0.025622,0.027143,245,689442
Mar 09 2018,0.028435,0.029698,0.025893,0.028630,679,684293
Mar 08 2018,0.035478,0.037560,0.019796,0.028615,6182,853582
Mar 07 2018,0.038710,0.039292,0.032203,0.034319,224,931140
Mar 06 2018,0.043971,0.043984,0.038104,0.038760,307,1057460
Mar 05 2018,0.075073,0.075073,0.041832,0.044471,3231,1805000
Mar 04 2018,0.052594,0.053068,0.041140,0.053068,1467,1264260
Mar 03 2018,0.044701,0.060813,0.039078,0.052679,10196,1073920
Mar 02 2018,0.040409,0.046184,0.040409,0.043304,223,970678
Mar 01 2018,0.042102,0.044280,0.039265,0.040513,464,1011110
Feb 28 2018,0.048658,0.049759,0.041997,0.042035,593,1168290
Feb 27 2018,0.048423,0.049296,0.047024,0.048714,606,1162380
Feb 26 2018,0.045989,0.050630,0.045755,0.048284,422,1103690
Feb 25 2018,0.048001,0.050427,0.044021,0.045930,473,1151680
Feb 24 2018,0.049540,0.059709,0.044376,0.048074,3114,1188350
Feb 23 2018,0.045235,0.061913,0.043496,0.049603,3356,1084770
Feb 22 2018,0.050427,0.069861,0.045277,0.045277,5035,1209040
Feb 21 2018,0.056299,0.058278,0.050273,0.050479,679,1349530
Feb 20 2018,0.060551,0.115264,0.054151,0.056369,8950,1451020
Feb 19 2018,0.055355,0.061036,0.054810,0.060496,3149,1326190
Feb 18 2018,0.064897,0.110218,0.054434,0.055610,7801,1554440
Feb 17 2018,0.065648,0.071500,0.063119,0.064699,213,1572050
Feb 16 2018,0.054717,0.065780,0.051411,0.065573,791,1310000
Feb 15 2018,0.054844,0.060553,0.054221,0.054888,469,1312740
Feb 14 2018,0.054675,0.064868,0.051406,0.054815,1419,1308430
Feb 13 2018,0.059026,0.059423,0.053516,0.054839,467,1412220
Feb 12 2018,0.053664,0.059596,0.050330,0.058919,1120,1283530
Feb 11 2018,0.061288,0.064969,0.047333,0.053324,1166,1465320
Feb 10 2018,0.076090,0.078479,0.056927,0.061326,2541,1818800
Feb 09 2018,0.064423,0.143442,0.054527,0.069915,20484,1539320
Feb 08 2018,0.051814,0.065116,0.051693,0.064226,1619,1237700
Feb 07 2018,0.060895,0.063737,0.051914,0.052022,680,1454240
Feb 06 2018,0.053124,0.062078,0.041660,0.061511,2182,1268380
Feb 05 2018,0.049565,0.059243,0.039869,0.053057,2172,1183080
Feb 04 2018,0.062054,0.063782,0.048739,0.050050,1973,1480560
Feb 03 2018,0.061314,0.064799,0.056739,0.062022,338,1462520
Feb 02 2018,0.062784,0.074577,0.043831,0.061106,4086,1497210
Feb 01 2018,0.076800,0.077067,0.060944,0.063051,474,1831060
Jan 31 2018,0.076575,0.085609,0.062625,0.083370,2963,1825280
Jan 30 2018,0.072156,0.123898,0.069797,0.076455,5624,1719560
Jan 29 2018,0.071943,0.077163,0.065463,0.072133,2124,1714070
Jan 28 2018,0.075154,0.079825,0.069459,0.072011,2550,1789820
Jan 27 2018,0.076767,0.079539,0.072984,0.074772,1142,1827980
Jan 26 2018,0.084874,0.088872,0.073594,0.076818,1281,2020230
Jan 25 2018,0.088358,0.093460,0.082821,0.084963,2178,2102610
Jan 24 2018,0.081962,0.087195,0.079683,0.086621,2823,1950320
Jan 23 2018,0.070926,0.085661,0.064070,0.082009,2395,1687320
Jan 22 2018,0.070007,0.078979,0.064640,0.071114,800,1665050
Jan 21 2018,0.080905,0.095531,0.067802,0.069063,3633,1923200
Jan 20 2018,0.076228,0.085969,0.074101,0.080719,4925,1812000
Jan 19 2018,0.085317,0.096212,0.075094,0.076259,5119,2028080
Jan 18 2018,0.093532,0.110401,0.084356,0.086192,2963,2223350
Jan 17 2018,0.121425,0.121425,0.074187,0.092984,4043,2886400
Jan 16 2018,0.145146,0.186370,0.080425,0.121981,19241,3450270
Jan 15 2018,0.087443,0.202336,0.087392,0.142271,35250,2078590
Jan 14 2018,0.107630,0.136163,0.088012,0.088081,10877,2558460
Jan 13 2018,0.088651,0.114781,0.084299,0.107560,9816,2107320
Jan 12 2018,0.098462,0.126981,0.083126,0.088752,15657,2340550
Jan 11 2018,0.140765,0.141279,0.072199,0.097816,17084,3346130
Jan 10 2018,0.190457,0.204008,0.095815,0.140923,22090,4527350
Jan 09 2018,0.225898,0.230417,0.159528,0.190203,36604,5368780
Jan 08 2018,0.211969,0.253374,0.160784,0.226515,92802,5036580
Jan 07 2018,0.082043,0.264867,0.074112,0.212266,117055,1948960
Jan 06 2018,0.092636,0.097353,0.067799,0.082103,4583,2200100
Jan 05 2018,0.085379,0.100693,0.076173,0.092696,2615,2027170
Jan 04 2018,0.091959,0.104820,0.084641,0.085479,4979,2182910
Jan 03 2018,0.067026,0.104945,0.063093,0.093789,13349,1590700
Jan 02 2018,0.065118,0.086541,0.053950,0.067230,2413,1545040
Jan 01 2018,0.070804,0.083518,0.052246,0.065132,1963,1679570
Dec 31 2017,0.077287,0.087532,0.070597,0.070623,2929,1832930
Dec 30 2017,0.069294,0.107090,0.059686,0.078102,6393,1643010
Dec 29 2017,0.044527,0.097380,0.044057,0.069534,11627,1055500
Dec 28 2017,0.032364,0.054767,0.027326,0.043990,4404,767010
Dec 27 2017,0.034981,0.039389,0.029123,0.032559,728,828836
Dec 26 2017,0.031210,0.040777,0.031210,0.034944,748,739328
Dec 25 2017,0.034921,0.037079,0.029775,0.031220,594,827034
Dec 24 2017,0.032356,0.050725,0.025348,0.049177,710,766120
Dec 23 2017,0.027977,0.036813,0.027964,0.032102,937,662267
Dec 22 2017,0.026047,0.033489,0.020733,0.027691,834,616441
Dec 21 2017,0.039376,0.047037,0.019076,0.025964,1563,931676
Dec 20 2017,0.037961,0.041079,0.031836,0.039274,1000,897984
Dec 19 2017,0.045159,0.046890,0.036925,0.037976,391,1068010
Dec 18 2017,0.035442,0.046125,0.033783,0.045107,682,838013
Dec 17 2017,0.047571,0.052103,0.035191,0.035352,1788,1124520
Dec 16 2017,0.037604,0.047735,0.037190,0.046923,458,888708
Dec 15 2017,0.035398,0.045946,0.034932,0.037562,417,836380
Dec 14 2017,0.034242,0.046721,0.033767,0.035155,238,807648
Dec 13 2017,0.038269,0.040526,0.034032,0.034284,555,902625
Dec 12 2017,0.041120,0.046608,0.036803,0.038223,941,969858
Dec 11 2017,0.031981,0.047636,0.031846,0.040961,734,754322
Dec 10 2017,0.035481,0.041590,0.030745,0.032246,558,836861
Dec 09 2017,0.036247,0.038259,0.030351,0.035375,3164,854944
Dec 08 2017,0.036103,0.039341,0.029322,0.036277,1851,851527
Dec 07 2017,0.035595,0.037629,0.029432,0.036018,3888,839472
Dec 06 2017,0.027832,0.037323,0.027832,0.035652,254,656235
Dec 05 2017,0.029351,0.029597,0.027530,0.027880,2446,691884
Dec 04 2017,0.029678,0.034035,0.026194,0.029289,739,699437
Dec 03 2017,0.025522,0.034938,0.024757,0.029580,1228,601348
Dec 02 2017,0.030512,0.030872,0.023930,0.025498,156,718748
Dec 01 2017,0.028716,0.031701,0.026325,0.030538,333,676288
Nov 30 2017,0.026946,0.029321,0.024025,0.028858,3309,634466
Nov 29 2017,0.026901,0.034107,0.025724,0.026538,484,633222
Nov 28 2017,0.028864,0.032145,0.025440,0.026918,527,679280
Nov 27 2017,0.037860,0.047802,0.023705,0.028833,6724,890775
Nov 26 2017,0.032879,0.039681,0.027407,0.037846,4146,773412
Nov 25 2017,0.023830,0.042319,0.023708,0.032887,853,560419
