Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.022651,0.023781,0.021302,0.021784,79771,9173500
Mar 30 2018,0.023607,0.024632,0.020729,0.022660,46870,9560610
Mar 29 2018,0.028035,0.028094,0.022731,0.023831,87435,11354000
Mar 28 2018,0.025603,0.028780,0.024283,0.027994,106678,10369000
Mar 27 2018,0.027054,0.028230,0.023484,0.026482,145174,10956600
Mar 26 2018,0.029436,0.030237,0.024214,0.027088,68481,11921400
Mar 25 2018,0.029267,0.031324,0.027018,0.029470,92646,11852600
Mar 24 2018,0.033821,0.033842,0.029656,0.029656,57661,13697100
Mar 23 2018,0.031891,0.033601,0.029319,0.033601,54031,12915800
Mar 22 2018,0.034942,0.036298,0.031019,0.031894,46914,14151400
Mar 21 2018,0.035148,0.038114,0.034736,0.034924,107295,14235000
Mar 20 2018,0.034196,0.036056,0.031566,0.034981,151598,13849200
Mar 19 2018,0.031350,0.034190,0.029584,0.033932,488521,12696700
Mar 18 2018,0.032297,0.032297,0.024652,0.031285,312159,13080000
Mar 17 2018,0.035817,0.037849,0.031302,0.032342,375608,14505700
Mar 16 2018,0.029356,0.038603,0.028459,0.036110,630990,11889100
Mar 15 2018,0.032392,0.033028,0.028119,0.029867,581940,13118700
Mar 14 2018,0.038342,0.039441,0.031668,0.032351,1084960,15528300
Mar 13 2018,0.034362,0.044486,0.033818,0.038524,815382,13916300
Mar 12 2018,0.032921,0.037093,0.031133,0.034420,1841510,13332900
Mar 11 2018,0.028068,0.035627,0.027042,0.032992,588589,11367600
Mar 10 2018,0.028314,0.031456,0.027418,0.028030,953117,11467100
Mar 09 2018,0.027957,0.028650,0.023142,0.028316,329734,11322400
Mar 08 2018,0.036295,0.036943,0.027388,0.027714,320375,14699500
Mar 07 2018,0.037898,0.038638,0.030208,0.036221,442641,15348500
Mar 06 2018,0.044423,0.044423,0.037965,0.038311,406941,17991200
Mar 05 2018,0.043321,0.046154,0.041101,0.044447,633147,17544800
Mar 04 2018,0.043961,0.046777,0.037688,0.043486,602253,17804000
Mar 03 2018,0.046753,0.048270,0.040040,0.043249,451185,18934900
Mar 02 2018,0.050749,0.051265,0.046472,0.048049,620635,20553300
Mar 01 2018,0.045710,0.051740,0.044824,0.050668,627960,18512300
Feb 28 2018,0.051749,0.052826,0.042157,0.045775,547543,20958500
Feb 27 2018,0.051604,0.055462,0.050629,0.051882,492911,20899500
Feb 26 2018,0.049607,0.052629,0.044608,0.051115,607279,20091000
Feb 25 2018,0.050536,0.050946,0.047441,0.049503,381008,20467200
Feb 24 2018,0.053926,0.055113,0.046931,0.050677,850437,21840100
Feb 23 2018,0.051327,0.056477,0.049042,0.053731,1015560,20787400
Feb 22 2018,0.053072,0.055663,0.050073,0.051255,842731,21494200
Feb 21 2018,0.056217,0.059795,0.051127,0.053558,671786,22768000
Feb 20 2018,0.064446,0.067935,0.055512,0.056614,725536,26100600
Feb 19 2018,0.064228,0.072492,0.062138,0.064374,786707,26012400
Feb 18 2018,0.085132,0.087591,0.058673,0.064532,2206380,34478700
Feb 17 2018,0.072050,0.127176,0.071404,0.084894,1400130,29180500
Feb 16 2018,0.063465,0.072104,0.058930,0.072061,1567970,25703300
Feb 15 2018,0.058026,0.064735,0.055797,0.063004,806734,23500500
Feb 14 2018,0.050708,0.058582,0.049384,0.057928,926097,20536700
Feb 13 2018,0.050073,0.056528,0.047660,0.050411,589259,20279600
Feb 12 2018,0.044954,0.050611,0.044571,0.049961,666053,18206200
Feb 11 2018,0.046824,0.047688,0.042064,0.045494,725921,18964000
Feb 10 2018,0.047081,0.053602,0.044330,0.046870,1017790,19068000
Feb 09 2018,0.045605,0.050126,0.039954,0.047492,685732,18470200
Feb 08 2018,0.041944,0.048278,0.041767,0.045171,817340,16987400
Feb 07 2018,0.045789,0.050177,0.038665,0.042571,638554,18544600
Feb 06 2018,0.036240,0.047357,0.027554,0.045853,711651,14677400
Feb 05 2018,0.051441,0.053406,0.032765,0.036490,725190,20833700
Feb 04 2018,0.062521,0.067933,0.049494,0.051962,1202840,25321000
Feb 03 2018,0.054697,0.063683,0.053122,0.062656,993770,22152400
Feb 02 2018,0.063031,0.064240,0.043864,0.055417,1114500,25527600
Feb 01 2018,0.065378,0.079202,0.052400,0.062105,1505970,26478000
Jan 31 2018,0.070421,0.070714,0.061831,0.065380,1036150,28520500
Jan 30 2018,0.083819,0.087325,0.066488,0.070359,751691,33946700
Jan 29 2018,0.104109,0.105209,0.080190,0.085211,1269170,42164500
Jan 28 2018,0.104631,0.112930,0.101136,0.104563,1338220,42375900
Jan 27 2018,0.096224,0.105704,0.094235,0.103581,2431610,38970800
Jan 26 2018,0.083600,0.096970,0.080246,0.096089,3241660,33858100
Jan 25 2018,0.093609,0.098365,0.080485,0.083821,2465640,37911700
Jan 24 2018,0.096576,0.099154,0.085137,0.091841,1675900,39113600
Jan 23 2018,0.115486,0.117115,0.095417,0.096359,901328,46772200
Jan 22 2018,0.117063,0.121749,0.092994,0.116089,614211,47410800
Jan 21 2018,0.137648,0.141723,0.110349,0.115754,757116,55747900
Jan 20 2018,0.127052,0.149251,0.114799,0.135886,1104050,51456400
Jan 19 2018,0.140519,0.145276,0.115845,0.125019,1012860,56910800
Jan 18 2018,0.137691,0.172487,0.122507,0.144776,1428570,55765300
Jan 17 2018,0.136941,0.147247,0.083835,0.136780,1329460,55461500
Jan 16 2018,0.144335,0.153590,0.082331,0.138259,1887750,58456100
Jan 15 2018,0.210605,0.221263,0.136092,0.144663,2133840,85295600
Jan 14 2018,0.230044,0.247878,0.161580,0.212977,2916110,93168600
Jan 13 2018,0.249849,0.259775,0.179034,0.229481,4158010,101190000
Jan 12 2018,0.253212,0.300531,0.240890,0.248393,3409750,102552000
Jan 11 2018,0.358417,0.388617,0.229790,0.251515,4859850,145160000
Jan 10 2018,0.423890,0.423993,0.278436,0.354706,8252850,171677000
Jan 09 2018,0.257518,0.431844,0.256782,0.431844,11157000,104295000
Jan 08 2018,0.248675,0.271763,0.178119,0.263631,7207170,100714000
Jan 07 2018,0.172052,0.266853,0.169276,0.251752,9563020,69681500
Jan 06 2018,0.144029,0.197675,0.136972,0.172715,4928020,58332200
Jan 05 2018,0.166503,0.181661,0.132504,0.148738,3939210,67434000
Jan 04 2018,0.133252,0.208846,0.124801,0.165598,6669660,53967500
Jan 03 2018,0.040449,0.139955,0.040111,0.133626,5928370,16382000
Jan 02 2018,0.040209,0.047012,0.037061,0.040325,312402,16284900
Jan 01 2018,0.030985,0.040173,0.028218,0.039616,144581,12548900
Dec 31 2017,0.029136,0.031665,0.024020,0.030968,192272,11800200
Dec 30 2017,0.033096,0.037103,0.028123,0.029314,184940,13403800
Dec 29 2017,0.040222,0.041809,0.033076,0.033132,272450,16289800
Dec 28 2017,0.038731,0.044621,0.027099,0.039940,394046,-
Dec 27 2017,0.054847,0.057723,0.037471,0.038555,805438,-
Dec 26 2017,0.020599,0.054523,0.019415,0.054523,1439490,-
Dec 25 2017,0.017424,0.020949,0.012490,0.020923,261456,-
Dec 24 2017,0.012961,0.020035,0.012447,0.017269,332118,-
Dec 23 2017,0.007589,0.013961,0.007005,0.012828,285134,-
Dec 22 2017,0.007719,0.008350,0.005613,0.007520,50283,-
Dec 21 2017,0.006495,0.007694,0.005726,0.007685,34294,-
Dec 20 2017,0.005698,0.007085,0.005403,0.006529,60982,-
Dec 19 2017,0.006352,0.006954,0.005093,0.005704,49561,-
Dec 18 2017,0.003969,0.007274,0.003838,0.006367,78675,-
Dec 17 2017,0.003363,0.004585,0.003201,0.003972,52579,-
Dec 16 2017,0.003538,0.003935,0.002839,0.003352,25943,-
Dec 15 2017,0.003818,0.004616,0.003036,0.003530,22644,-
Dec 14 2017,0.004374,0.005548,0.003007,0.003821,22201,-
Dec 13 2017,0.004214,0.004905,0.002761,0.004376,34992,-
Dec 12 2017,0.005173,0.005227,0.003331,0.004211,30840,-
Dec 11 2017,0.004634,0.005440,0.004481,0.005205,37683,-
Dec 10 2017,0.004360,0.005299,0.004172,0.004655,52135,-
Dec 09 2017,0.002702,0.004791,0.002381,0.004407,42349,-
Dec 08 2017,0.002494,0.002707,0.002484,0.002702,12041,-
