Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.168605,0.168605,0.138901,0.150173,1308,705231
Mar 30 2018,0.131475,0.170561,0.122561,0.168579,757,549926
Mar 29 2018,0.171134,0.171398,0.127969,0.131803,1466,715810
Mar 28 2018,0.180031,0.193654,0.164265,0.170934,305,753024
Mar 27 2018,0.204635,0.204852,0.162736,0.183032,900,855937
Mar 26 2018,0.231337,0.260341,0.184578,0.204945,4463,967626
Mar 25 2018,0.221250,0.243754,0.216693,0.231514,1141,925433
Mar 24 2018,0.216826,0.245004,0.211329,0.224338,442,906928
Mar 23 2018,0.237633,0.237633,0.210059,0.213714,1563,993960
Mar 22 2018,0.268200,0.278885,0.200240,0.237639,5131,1121810
Mar 21 2018,0.329549,0.336898,0.266164,0.268690,1971,1378420
Mar 20 2018,0.261629,0.332226,0.253284,0.328953,598,1093940
Mar 19 2018,0.262745,0.302011,0.248400,0.258742,3366,1098600
Mar 18 2018,0.238884,0.266591,0.221367,0.263856,1989,998356
Mar 17 2018,0.263736,0.263736,0.235881,0.239466,455,1102220
Mar 16 2018,0.257979,0.332863,0.257979,0.263302,1410,1078160
Mar 15 2018,0.227090,0.660070,0.213026,0.258124,13006,949065
Mar 14 2018,0.247032,0.266196,0.221242,0.227192,1411,1032410
Mar 13 2018,0.242488,0.269183,0.232321,0.246998,2125,1013420
Mar 12 2018,0.251302,0.294465,0.235111,0.243888,3378,1046850
Mar 11 2018,0.254483,0.322058,0.235652,0.252097,3649,1060100
Mar 10 2018,0.266586,0.276960,0.253217,0.255363,791,1110520
Mar 09 2018,0.296924,0.300427,0.253564,0.266471,3863,1236900
Mar 08 2018,0.296915,0.353638,0.291369,0.298816,2513,1236860
Mar 07 2018,0.301630,0.464773,0.262400,0.297337,9436,1256500
Mar 06 2018,0.288667,0.402793,0.279528,0.302023,6698,1202500
Mar 05 2018,0.281001,0.282762,0.262549,0.270316,944,1170570
Mar 04 2018,0.279703,0.281207,0.270005,0.281207,4417,1165160
Mar 03 2018,0.309094,0.317068,0.275911,0.280187,2335,1287590
Mar 02 2018,0.263541,0.327880,0.234465,0.309472,8810,1097830
Mar 01 2018,0.274128,0.312539,0.256413,0.264220,3195,1141940
Feb 28 2018,0.242189,0.312037,0.224067,0.273725,9944,1007640
Feb 27 2018,0.251398,0.369873,0.221879,0.242475,15339,1045960
Feb 26 2018,0.279831,0.360019,0.223640,0.250674,14623,1164250
Feb 25 2018,0.211858,0.338783,0.190762,0.279473,9747,881450
Feb 24 2018,0.249709,0.254270,0.171133,0.212180,7527,1038930
Feb 23 2018,0.240215,0.323915,0.213612,0.250026,6910,999432
Feb 22 2018,0.258103,0.280754,0.237403,0.240440,960,1073850
Feb 21 2018,0.271776,0.383501,0.224181,0.258365,9181,1130740
Feb 20 2018,0.286325,0.325204,0.269206,0.272115,2417,1163820
Feb 19 2018,0.257407,0.300795,0.250063,0.286065,889,1046270
Feb 18 2018,0.255373,0.274986,0.221670,0.258595,664,1038010
Feb 17 2018,0.295612,0.347593,0.252191,0.254592,522,1201560
Feb 16 2018,0.319060,0.326413,0.151563,0.295679,3196,1296870
Feb 15 2018,0.306800,0.349704,0.288124,0.320429,4751,1247040
Feb 14 2018,0.273761,0.331940,0.241814,0.306633,1509,1112750
Feb 13 2018,0.344869,0.372756,0.218236,0.274580,5208,1389780
Feb 12 2018,0.357814,0.487371,0.293909,0.344242,4759,1441950
Feb 11 2018,0.344383,0.403845,0.314534,0.355548,1477,1387820
Feb 10 2018,0.428598,0.438912,0.309830,0.344678,4851,1727200
Feb 09 2018,0.268049,0.460832,0.259279,0.428290,6026,1079940
Feb 08 2018,0.352450,0.403686,0.264420,0.267246,3290,1419980
Feb 07 2018,0.351734,0.392954,0.222516,0.353524,2796,1417100
Feb 06 2018,0.252966,0.383216,0.179312,0.354265,13476,1019170
Feb 05 2018,0.487815,0.516498,0.197080,0.252441,17534,1965350
Feb 04 2018,0.586095,0.754571,0.428781,0.492590,35215,2361310
Feb 03 2018,0.522144,1.28,0.475287,0.585874,84442,2103660
Feb 02 2018,0.633366,0.726766,0.389888,0.520292,8795,2551760
Feb 01 2018,0.714428,0.887326,0.540592,0.634394,16263,2878350
Jan 31 2018,0.350098,0.935070,0.338906,0.711648,40240,1401040
Jan 30 2018,0.378345,0.379300,0.274995,0.348893,2776,1514080
Jan 29 2018,0.405982,0.408685,0.165291,0.378177,2427,1624680
Jan 28 2018,0.283877,0.417863,0.137913,0.406582,3266,-
Jan 27 2018,0.295708,0.381168,0.279770,0.281894,1238,-
Jan 26 2018,0.293115,0.372181,0.193168,0.295685,3585,-
Jan 25 2018,0.414066,0.426046,0.252710,0.294138,486,-
Jan 24 2018,0.414941,0.491872,0.351917,0.411041,4009,-
Jan 23 2018,0.520001,0.583364,0.383426,0.414817,4299,-
Jan 22 2018,0.606704,0.619233,0.356867,0.520949,1083,-
Jan 21 2018,0.714356,0.714356,0.447810,0.603852,749,-
Jan 20 2018,0.333530,0.775609,0.333530,0.712812,866,-
Jan 19 2018,0.484620,0.488038,0.326991,0.331393,736,-
Jan 18 2018,0.508947,0.520360,0.309297,0.488243,732,-
Jan 17 2018,0.398945,0.534942,0.275938,0.503279,2916,-
Jan 16 2018,0.754161,0.755947,0.328336,0.400418,1000,-
Jan 15 2018,0.544900,0.783024,0.515527,0.752651,403,-
Jan 14 2018,0.584251,0.834586,0.527681,0.545020,3739,-
Jan 13 2018,0.731482,0.763179,0.520230,0.583702,1486,-
Jan 12 2018,0.803464,0.833434,0.527475,0.731571,7108,-
Jan 11 2018,0.903377,0.962527,0.658851,0.794321,488,-
Jan 10 2018,1.01,1.09,0.796262,0.905425,19081,-
Jan 09 2018,1.10,1.20,0.867527,1.01,10647,-
Jan 08 2018,0.558053,1.20,0.557815,1.10,18074,-
Jan 07 2018,0.434802,0.553033,0.433731,0.553033,19037,-
Jan 06 2018,0.339012,0.436841,0.336281,0.434976,10715,-
Jan 05 2018,0.274322,0.343406,0.263834,0.337376,5704,-
Jan 04 2018,0.275527,0.288697,0.247883,0.275459,3303,-
Jan 03 2018,0.239513,0.353347,0.239445,0.275088,6341,-
Jan 02 2018,0.181462,0.346846,0.181462,0.238405,2402,-
Jan 01 2018,0.187338,0.343057,0.177691,0.181040,6252,-
Dec 31 2017,0.229089,0.423921,0.179305,0.187575,7199,-
Dec 30 2017,0.161220,0.232931,0.144501,0.230794,6181,-
Dec 29 2017,0.172353,0.201697,0.158978,0.161276,2397,-
Dec 28 2017,0.173997,0.194898,0.146724,0.171320,1810,-
Dec 27 2017,0.154513,0.221675,0.152374,0.174286,4764,-
Dec 26 2017,0.145278,0.221261,0.145206,0.157906,5184,-
Dec 25 2017,0.177140,0.186173,0.117195,0.145225,6155,-
Dec 24 2017,0.116687,0.176271,0.100891,0.176271,2372,-
Dec 23 2017,0.105642,0.262261,0.105642,0.115323,2651,-
Dec 22 2017,0.233518,0.234592,0.078641,0.104778,4993,-
Dec 21 2017,0.190053,0.249775,0.114806,0.232637,6114,-
