Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.001878,0.001997,0.001715,0.001907,144,61172
Mar 30 2018,0.001917,0.002032,0.001806,0.001878,81,62420
Mar 29 2018,0.002147,0.002150,0.001866,0.001922,95,69916
Mar 28 2018,0.002181,0.002375,0.002121,0.002144,175,71025
Mar 27 2018,0.002288,0.002483,0.002173,0.002181,176,74519
Mar 26 2018,0.002363,0.002376,0.002200,0.002292,138,76957
Mar 25 2018,0.002267,0.002430,0.002227,0.002365,121,73835
Mar 24 2018,0.002446,0.002672,0.002239,0.002299,391,79662
Mar 23 2018,0.002175,0.002700,0.001943,0.002411,965,70840
Mar 22 2018,0.002313,0.002435,0.002130,0.002175,104,75318
Mar 21 2018,0.001965,0.002383,0.001796,0.002317,314,63993
Mar 20 2018,0.002242,0.002398,0.001958,0.001962,398,73013
Mar 19 2018,0.002188,0.002589,0.002181,0.002217,103,71267
Mar 18 2018,0.002129,0.002219,0.001838,0.002198,477,69344
Mar 17 2018,0.002324,0.002400,0.002121,0.002135,476,75695
Mar 16 2018,0.002316,0.002462,0.002230,0.002321,431,75436
Mar 15 2018,0.002303,0.002413,0.002169,0.002318,306,75006
Mar 14 2018,0.002653,0.002714,0.002244,0.002304,372,86406
Mar 13 2018,0.002722,0.002902,0.002555,0.002653,485,88634
Mar 12 2018,0.002672,0.003253,0.002556,0.002737,349,87028
Mar 11 2018,0.002484,0.004116,0.002399,0.002681,5294,80889
Mar 10 2018,0.002576,0.002639,0.002186,0.002492,131,83892
Mar 09 2018,0.002788,0.002821,0.002425,0.002575,265,90793
Mar 08 2018,0.003066,0.003129,0.002719,0.002806,286,99848
Mar 07 2018,0.003216,0.003513,0.002928,0.003070,176,104719
Mar 06 2018,0.003445,0.003445,0.003182,0.003220,91,112180
Mar 05 2018,0.003440,0.003951,0.003411,0.003454,308,112028
Mar 04 2018,0.003890,0.003890,0.003325,0.003443,272,126664
Mar 03 2018,0.003506,0.003898,0.003485,0.003896,387,114159
Mar 02 2018,0.003271,0.003702,0.003231,0.003510,294,106524
Mar 01 2018,0.003209,0.003423,0.003181,0.003280,815,104492
Feb 28 2018,0.003626,0.003977,0.003201,0.003204,533,118079
Feb 27 2018,0.004133,0.004347,0.003622,0.003630,1599,134581
Feb 26 2018,0.004126,0.004355,0.003712,0.004120,1274,134363
Feb 25 2018,0.004551,0.005303,0.003467,0.004121,7324,148209
Feb 24 2018,0.004377,0.007760,0.003593,0.004558,20302,142530
Feb 23 2018,0.003702,0.007596,0.003577,0.003984,22053,120566
Feb 22 2018,0.003910,0.003952,0.003389,0.003706,1045,127337
Feb 21 2018,0.003743,0.004545,0.003563,0.003914,504,121888
Feb 20 2018,0.004133,0.004358,0.003705,0.003750,694,134607
Feb 19 2018,0.004497,0.004796,0.004104,0.004130,740,146444
Feb 18 2018,0.004768,0.004879,0.004391,0.004518,541,155260
Feb 17 2018,0.004581,0.004969,0.004522,0.004753,479,149169
Feb 16 2018,0.005749,0.005854,0.004314,0.004481,1542,187229
Feb 15 2018,0.005106,0.005780,0.004804,0.005774,1390,166292
Feb 14 2018,0.004085,0.005507,0.004085,0.005104,734,133020
Feb 13 2018,0.004181,0.005199,0.003961,0.004097,1661,136163
Feb 12 2018,0.003729,0.004271,0.003729,0.004174,498,121433
Feb 11 2018,0.003968,0.004157,0.003644,0.003705,471,129228
Feb 10 2018,0.004605,0.004809,0.003568,0.003972,1263,149967
Feb 09 2018,0.003794,0.006037,0.003607,0.004602,2298,123538
Feb 08 2018,0.003636,0.004427,0.003345,0.003782,812,118409
Feb 07 2018,0.003546,0.004165,0.003288,0.003803,570,115470
Feb 06 2018,0.003262,0.003719,0.002731,0.003582,628,106226
Feb 05 2018,0.004105,0.004238,0.003133,0.003258,365,133672
Feb 04 2018,0.004728,0.004765,0.003962,0.004145,349,153956
Feb 03 2018,0.004543,0.004850,0.004201,0.004725,1169,147943
Feb 02 2018,0.004368,0.006086,0.003582,0.004528,1928,142232
Feb 01 2018,0.005698,0.005996,0.004320,0.004377,1224,185542
Jan 31 2018,0.006010,0.007191,0.005203,0.005684,6128,195720
Jan 30 2018,0.006610,0.008279,0.005984,0.006001,2430,215254
Jan 29 2018,0.007514,0.009537,0.006559,0.006608,3117,244709
Jan 28 2018,0.008382,0.009098,0.006636,0.007522,6272,272967
Jan 27 2018,0.009182,0.009737,0.007649,0.008339,2892,298998
Jan 26 2018,0.010780,0.011225,0.008132,0.009188,3374,351040
Jan 25 2018,0.010481,0.013021,0.009613,0.010808,3627,341316
Jan 24 2018,0.009872,0.012665,0.008486,0.010311,5180,321473
Jan 23 2018,0.010070,0.010871,0.009402,0.009877,2213,327945
Jan 22 2018,0.011010,0.011669,0.009664,0.010097,3675,358545
Jan 21 2018,0.011781,0.012431,0.009779,0.010862,20255,383660
Jan 20 2018,0.013994,0.016364,0.008263,0.011754,15953,455728
Jan 19 2018,0.013363,0.015929,0.012816,0.013844,4938,435184
Jan 18 2018,0.017323,0.017323,0.012198,0.013509,17322,564142
Jan 17 2018,0.038685,0.038685,0.011576,0.017178,136645,1259800
Jan 16 2018,0.030554,0.030554,0.008293,0.028047,127734,994988
Jan 15 2018,0.012084,0.016955,0.009334,0.010258,10236,393526
Jan 14 2018,0.011671,0.015880,0.005581,0.012174,7400,380072
Jan 13 2018,0.019110,0.019251,0.011663,0.011663,4725,622327
Jan 12 2018,0.017670,0.019491,0.011338,0.019132,5290,575417
Jan 11 2018,0.016384,0.019057,0.010497,0.014234,12046,533564
Jan 10 2018,0.007010,0.017916,0.004625,0.016993,8675,228287
Jan 09 2018,0.007530,0.007662,0.004430,0.007001,1686,245214
Jan 08 2018,0.003094,0.007640,0.003037,0.007550,2599,100762
Jan 07 2018,0.003613,0.006024,0.003098,0.003098,2490,117643
Jan 06 2018,0.005046,0.007460,0.003515,0.003675,132,164323
Jan 05 2018,0.004256,0.005825,0.003849,0.005208,1107,138605
Jan 04 2018,0.003348,0.006197,0.002896,0.004246,735,109026
Jan 03 2018,0.003275,0.004110,0.002744,0.003337,269,106658
Jan 02 2018,0.003506,0.003851,0.002578,0.003281,467,114161
Jan 01 2018,0.003158,0.005000,0.002881,0.003774,1648,102826
Dec 31 2017,0.003521,0.004079,0.002688,0.003170,243,114663
Dec 30 2017,0.003076,0.003818,0.001992,0.003527,1265,100166
Dec 29 2017,0.003351,0.003789,0.002275,0.003089,438,109141
Dec 28 2017,0.002138,0.003322,0.001839,0.003322,113,69638
Dec 27 2017,0.002458,0.004670,0.001854,0.002142,138,80050
Dec 26 2017,0.002413,0.003279,0.002229,0.002455,165,78591
Dec 25 2017,0.005938,0.006065,0.002387,0.002413,319,193386
Dec 24 2017,0.001814,0.005985,0.001634,0.005935,500,59058
Dec 23 2017,0.001731,0.002618,0.001731,0.001800,162,56381
Dec 22 2017,0.001629,0.001861,0.001239,0.001718,396,53054
Dec 21 2017,0.002772,0.003505,0.001616,0.001626,264,90282
Dec 20 2017,0.000990,0.003348,0.000907,0.002769,313,32239
Dec 19 2017,0.001545,0.001550,0.000976,0.000985,4,50304
Dec 18 2017,0.003223,0.003256,0.001502,0.001543,229,104955
Dec 17 2017,0.002046,0.003364,0.001931,0.003236,580,66622
Dec 16 2017,0.001347,0.002258,0.001325,0.001980,246,43870
Dec 15 2017,0.001498,0.001513,0.001287,0.001358,2,48769
Dec 14 2017,0.001570,0.001696,0.001425,0.001497,26,51127
Dec 13 2017,0.001951,0.002035,0.001526,0.001538,59,63550
Dec 12 2017,0.001625,0.002106,0.001511,0.001946,218,52925
Dec 11 2017,0.001646,0.002089,0.001439,0.001622,77,53612
Dec 10 2017,0.001326,0.001780,0.001124,0.001690,0,43187
Dec 09 2017,0.001351,0.001491,0.001185,0.001324,20,44004
Dec 08 2017,0.001551,0.001584,0.001260,0.001351,72,50520
Dec 07 2017,0.001472,0.001548,0.001336,0.001548,98,47935
Dec 06 2017,0.001312,0.001477,0.001089,0.001443,62,42739
Dec 05 2017,0.000843,0.001405,0.000837,0.001325,435,27457
Dec 04 2017,0.000834,0.000940,0.000664,0.000841,597,27157
Dec 03 2017,0.000870,0.000936,0.000788,0.000829,243,28333
Dec 02 2017,0.001088,0.001123,0.000843,0.000862,162,35430
Dec 01 2017,0.001285,0.001395,0.001046,0.001089,95,41835
Nov 30 2017,0.000712,0.001338,0.000711,0.001292,9,23202
Nov 29 2017,0.001343,0.001734,0.000701,0.000703,81,43748
Nov 28 2017,0.001325,0.001341,0.001163,0.001340,311,43151
Nov 27 2017,0.001464,0.001549,0.001319,0.001322,223,47660
Nov 26 2017,0.001503,0.001625,0.001406,0.001464,657,48944
Nov 25 2017,0.000711,0.001539,0.000709,0.001508,1662,23150
Nov 24 2017,0.000716,0.000773,0.000670,0.000716,41,23314
Nov 23 2017,0.000743,0.000900,0.000725,0.000725,93,24195
Nov 22 2017,0.000559,0.000880,0.000542,0.000756,57,18210
Nov 21 2017,0.000581,0.000625,0.000547,0.000559,4,18929
Nov 20 2017,0.000963,0.000992,0.000525,0.000582,19,31364
Nov 19 2017,0.000572,0.001060,0.000564,0.000963,24,18622
Nov 18 2017,0.000588,0.000871,0.000552,0.000573,24,19157
Nov 17 2017,0.000683,0.000692,0.000590,0.000590,7,22245
Nov 16 2017,0.000944,0.000953,0.000573,0.000688,8,30748
Nov 15 2017,0.000627,0.000987,0.000620,0.000943,26,20424
Nov 14 2017,0.000514,0.000660,0.000514,0.000621,103,16753
Nov 13 2017,0.000607,0.000660,0.000498,0.000514,201,19755
Nov 12 2017,0.001075,0.001082,0.000590,0.000607,9,35005
Nov 11 2017,0.000713,0.001191,0.000713,0.001075,214,23227
Nov 10 2017,0.001101,0.001127,0.000672,0.000717,44,35866
Nov 09 2017,0.000959,0.001181,0.000877,0.001102,239,31238
Nov 08 2017,0.000640,0.000964,0.000513,0.000964,549,20857
Nov 07 2017,0.000557,0.000642,0.000557,0.000642,7,18130
Nov 06 2017,0.000591,0.000595,0.000556,0.000558,13,19260
Nov 05 2017,0.000657,0.000700,0.000584,0.000590,13,21387
Nov 04 2017,0.000892,0.000928,0.000570,0.000650,9,29047
Nov 03 2017,0.000831,0.000925,0.000577,0.000881,2,27051
Nov 02 2017,0.000606,0.000840,0.000552,0.000831,77,19721
Nov 01 2017,0.000773,0.000791,0.000460,0.000605,246,25178
Oct 31 2017,0.000693,0.000774,0.000618,0.000774,182,22568
Oct 30 2017,0.001020,0.001062,0.000683,0.000697,8,33211
Oct 29 2017,0.000523,0.001069,0.000523,0.001067,32,17039
Oct 28 2017,0.000633,0.000682,0.000514,0.000524,109,20610
Oct 27 2017,0.000636,0.000656,0.000540,0.000631,37,20701
Oct 26 2017,0.000638,0.000658,0.000622,0.000648,2,20772
Oct 25 2017,0.000624,0.001020,0.000606,0.000638,21,20308
Oct 24 2017,0.000831,0.001031,0.000618,0.000621,1,27056
Oct 23 2017,0.000656,0.000890,0.000614,0.000839,12,21376
Oct 22 2017,0.000601,0.000665,0.000595,0.000658,41,19586
Oct 21 2017,0.000660,0.000740,0.000362,0.000601,322,21498
Oct 20 2017,0.000699,0.000995,0.000634,0.000655,24,22749
Oct 19 2017,0.000619,0.000717,0.000613,0.000699,5,20163
Oct 18 2017,0.000672,0.000672,0.000593,0.000619,21,21882
Oct 17 2017,0.000751,0.000753,0.000664,0.000672,100,24445
Oct 16 2017,0.000945,0.001725,0.000711,0.000751,13,30775
Oct 15 2017,0.000819,0.001338,0.000694,0.000945,250,26677
Oct 14 2017,0.000792,0.000819,0.000783,0.000818,33,25784
Oct 13 2017,0.000760,0.000908,0.000749,0.000792,65,24745
Oct 12 2017,0.001012,0.001012,0.000482,0.000758,431,32962
Oct 11 2017,0.000523,0.002719,0.000519,0.001011,4021,17029
Oct 10 2017,0.000573,0.000674,0.000519,0.000523,16,18648
Oct 09 2017,0.000682,0.000683,0.000570,0.000573,25,22201
Oct 08 2017,0.000610,0.000847,0.000599,0.000681,4,19881
Oct 07 2017,0.000525,0.000613,0.000484,0.000612,18,17093
Oct 06 2017,0.000768,0.000777,0.000518,0.000525,24,25021
Oct 05 2017,0.000511,0.000776,0.000481,0.000768,43,16635
Oct 04 2017,0.000583,0.000637,0.000468,0.000511,44,18987
Oct 03 2017,0.000570,0.000587,0.000530,0.000582,1,18567
Oct 02 2017,0.000640,0.000640,0.000496,0.000570,45,20828
Oct 01 2017,0.000629,0.000649,0.000616,0.000640,1,20469
Sep 30 2017,0.000547,0.000601,0.000547,0.000599,2,17820
Sep 29 2017,0.000547,0.000625,0.000527,0.000547,28,17816
Sep 28 2017,0.000593,0.000603,0.000529,0.000547,13,19316
Sep 27 2017,0.000590,0.000679,0.000555,0.000599,26,19218
Sep 26 2017,0.000565,0.000632,0.000536,0.000591,24,18403
Sep 25 2017,0.000524,0.000694,0.000463,0.000557,9,17058
Sep 24 2017,0.001039,0.001101,0.000516,0.000524,45,33845
Sep 23 2017,0.000505,0.001039,0.000501,0.001039,46,16442
Sep 22 2017,0.000499,0.000519,0.000463,0.000506,18,16235
Sep 21 2017,0.000839,0.001000,0.000437,0.000499,18,27337
Sep 20 2017,0.000616,0.000849,0.000467,0.000840,32,20074
Sep 19 2017,0.000698,0.000701,0.000525,0.000617,16,22715
Sep 18 2017,0.000689,0.000754,0.000640,0.000696,40,22427
Sep 17 2017,0.000594,0.000700,0.000565,0.000690,24,19354
Sep 16 2017,0.000556,0.000600,0.000533,0.000595,21,18119
Sep 15 2017,0.000552,0.000624,0.000538,0.000558,31,17963
Sep 14 2017,0.000744,0.000754,0.000547,0.000547,15,24219
Sep 13 2017,0.000868,0.000871,0.000698,0.000744,34,28283
Sep 12 2017,0.000888,0.000934,0.000726,0.000872,94,28907
Sep 11 2017,0.000853,0.000902,0.000839,0.000885,6,27774
Sep 10 2017,0.000885,0.001663,0.000854,0.000854,9,28825
Sep 09 2017,0.000913,0.001078,0.000858,0.000887,31,29727
Sep 08 2017,0.000973,0.001067,0.000848,0.000911,20,31689
Sep 07 2017,0.001015,0.001212,0.000949,0.000973,18,33055
Sep 06 2017,0.001282,0.001393,0.000952,0.001017,10,41742
Sep 05 2017,0.001208,0.001304,0.000821,0.001280,22,39328
Sep 04 2017,0.001295,0.001366,0.000885,0.001202,36,42163
Sep 03 2017,0.001153,0.001348,0.000975,0.001294,21,37540
Sep 02 2017,0.001571,0.001675,0.001130,0.001152,192,51165
Sep 01 2017,0.001327,0.001648,0.001314,0.001570,76,43204
Aug 31 2017,0.001282,0.001334,0.001282,0.001326,69,41745
Aug 30 2017,0.001287,0.001302,0.001257,0.001284,128,41902
Aug 29 2017,0.001222,0.001355,0.001212,0.001288,48,39787
Aug 28 2017,0.001216,0.001226,0.001169,0.001220,75,39603
Aug 27 2017,0.001303,0.001357,0.001216,0.001217,67,42440
Aug 26 2017,0.001310,0.001313,0.001281,0.001304,225,42670
Aug 25 2017,0.001315,0.001339,0.001290,0.001310,25,42827
Aug 24 2017,0.001199,0.001352,0.001189,0.001317,181,39056
Aug 23 2017,0.001144,0.001229,0.001140,0.001199,54,37258
Aug 22 2017,0.000914,0.001187,0.000831,0.001146,36,29780
Aug 21 2017,0.000906,0.001109,0.000840,0.000912,7,29507
Aug 20 2017,0.001037,0.001183,0.000855,0.000910,53,33765
Aug 19 2017,0.000822,0.001754,0.000794,0.001040,210,26757
Aug 18 2017,0.000899,0.000996,0.000795,0.000822,21,29263
Aug 17 2017,0.000922,0.000986,0.000901,0.000901,16,30014
Aug 16 2017,0.001012,0.001064,0.000896,0.000923,36,32973
Aug 15 2017,0.001038,0.001096,0.000888,0.001013,34,33819
Aug 14 2017,0.001059,0.001240,0.000971,0.001036,136,34491
Aug 13 2017,0.001006,0.001198,0.001006,0.001058,83,32747
Aug 12 2017,0.000974,0.001029,0.000964,0.001007,58,31726
Aug 11 2017,0.000857,0.000988,0.000853,0.000975,97,27913
Aug 10 2017,0.000936,0.000938,0.000717,0.000857,248,30468
Aug 09 2017,0.000991,0.000994,0.000892,0.000902,47,32285
Aug 08 2017,0.001044,0.001065,0.000898,0.000992,50,33984
Aug 07 2017,0.000899,0.001715,0.000829,0.001043,904,29287
Aug 06 2017,0.000752,0.002313,0.000695,0.000901,711,24477
Aug 05 2017,0.000672,0.000786,0.000510,0.000751,81,21893
Aug 04 2017,0.000762,0.000767,0.000650,0.000672,19,24821
Aug 03 2017,0.000836,0.000894,0.000760,0.000761,4,27232
Aug 02 2017,0.001199,0.001201,0.000709,0.000834,78,39062
Aug 01 2017,0.000687,0.001395,0.000678,0.001200,60,22371
Jul 31 2017,0.000779,0.000900,0.000659,0.000687,56,25358
Jul 30 2017,0.001604,0.001607,0.000741,0.000778,480,52221
Jul 29 2017,0.000860,0.001619,0.000706,0.001604,1639,28016
Jul 28 2017,0.000983,0.001006,0.000720,0.000864,66,32016
Jul 27 2017,0.000939,0.000988,0.000709,0.000980,124,30595
Jul 26 2017,0.001219,0.001260,0.000906,0.000937,53,39691
Jul 25 2017,0.001201,0.001383,0.001114,0.001218,118,39122
Jul 24 2017,0.001633,0.001739,0.001167,0.001201,231,53190
Jul 23 2017,0.001612,0.001713,0.001269,0.001635,16,52508
Jul 22 2017,0.001391,0.001836,0.001270,0.001612,76,45289
Jul 21 2017,0.001191,0.001399,0.001121,0.001391,12,38782
Jul 20 2017,0.001525,0.001693,0.001038,0.001182,294,49655
Jul 19 2017,0.001250,0.001538,0.001220,0.001511,78,40698
Jul 18 2017,0.000885,0.001335,0.000802,0.001247,150,28817
Jul 17 2017,0.001121,0.001244,0.000854,0.000881,56,36521
Jul 16 2017,0.000716,0.001178,0.000651,0.001123,79,23320
Jul 15 2017,0.001625,0.001630,0.000718,0.000718,235,52902
Jul 14 2017,0.000882,0.001631,0.000723,0.001627,332,28731
Jul 13 2017,0.001217,0.001257,0.000832,0.000883,15,39632
Jul 12 2017,0.001153,0.001266,0.000750,0.001216,22,37552
Jul 11 2017,0.000702,0.001180,0.000701,0.001159,132,22864
Jul 10 2017,0.000906,0.000907,0.000684,0.000704,17,29489
Jul 09 2017,0.000793,0.001159,0.000793,0.000904,74,25826
Jul 08 2017,0.000722,0.000960,0.000718,0.000792,20,23527
Jul 07 2017,0.001218,0.001305,0.000715,0.000722,82,39661
Jul 06 2017,0.000838,0.001221,0.000803,0.001217,32,27282
Jul 05 2017,0.001057,0.001057,0.000806,0.000837,25,34438
Jul 04 2017,0.000761,0.001146,0.000761,0.001058,25,24781
Jul 03 2017,0.000839,0.001097,0.000351,0.000763,62,27321
Jul 02 2017,0.000842,0.001054,0.000807,0.000842,24,27435
Jul 01 2017,0.001275,0.001282,0.000835,0.000843,11,41518
Jun 30 2017,0.000915,0.001316,0.000785,0.001275,14,29802
Jun 29 2017,0.000842,0.001331,0.000827,0.000913,57,27431
Jun 28 2017,0.000882,0.001258,0.000843,0.000843,45,28712
Jun 27 2017,0.000822,0.001316,0.000768,0.000878,60,26771
Jun 26 2017,0.000839,0.001641,0.000785,0.000822,24,27326
Jun 25 2017,0.002142,0.002142,0.000801,0.000840,37,69745
Jun 24 2017,0.001015,0.002328,0.001015,0.002147,148,33054
Jun 23 2017,0.000711,0.002278,0.000709,0.001015,1133,23140
Jun 22 2017,0.000831,0.000831,0.000690,0.000711,52,27069
Jun 21 2017,0.000859,0.000897,0.000696,0.000831,90,27966
Jun 20 2017,0.000814,0.001023,0.000814,0.000855,47,26520
Jun 19 2017,0.000640,0.000819,0.000640,0.000816,101,20828
