Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.007999,0.009515,0.007130,0.009217,311,-
Mar 30 2018,0.008146,0.008280,0.007591,0.007998,10,-
Mar 29 2018,0.009847,0.010550,0.007929,0.008167,72,-
Mar 28 2018,0.009656,0.011256,0.009602,0.009836,31,-
Mar 27 2018,0.012335,0.012375,0.009621,0.009658,114,-
Mar 26 2018,0.010634,0.012422,0.010112,0.012354,73,-
Mar 25 2018,0.010629,0.012070,0.010303,0.010642,39,-
Mar 24 2018,0.014794,0.014794,0.010665,0.010777,199,-
Mar 23 2018,0.009397,0.014581,0.009061,0.014581,1008,-
Mar 22 2018,0.009162,0.010415,0.009149,0.009398,185,-
Mar 21 2018,0.009171,0.009749,0.009093,0.009179,116,-
Mar 20 2018,0.009054,0.011834,0.008877,0.009155,661,-
Mar 19 2018,0.008026,0.009461,0.008026,0.008955,80,-
Mar 18 2018,0.008991,0.008991,0.007167,0.008060,240,-
Mar 17 2018,0.009132,0.009317,0.008102,0.009013,55,-
Mar 16 2018,0.011647,0.011719,0.007700,0.009117,1544,-
Mar 15 2018,0.011736,0.012704,0.011009,0.011654,121,-
Mar 14 2018,0.013907,0.016135,0.011434,0.011741,295,-
Mar 13 2018,0.012452,0.023287,0.012293,0.013905,2911,-
Mar 12 2018,0.016035,0.016612,0.011632,0.012523,466,-
Mar 11 2018,0.015093,0.016330,0.014255,0.016085,1076,-
Mar 10 2018,0.015834,0.017813,0.015094,0.015146,532,-
Mar 09 2018,0.016078,0.018782,0.014596,0.015827,424,-
Mar 08 2018,0.016814,0.017359,0.015679,0.016180,62,-
Mar 07 2018,0.019294,0.019584,0.015962,0.016838,387,-
Mar 06 2018,0.021285,0.024220,0.018985,0.019319,371,-
Mar 05 2018,0.023570,0.023718,0.021336,0.021344,112,-
Mar 04 2018,0.028256,0.028256,0.023020,0.023702,217,-
Mar 03 2018,0.022810,0.047428,0.021881,0.028305,10181,-
Mar 02 2018,0.028349,0.028571,0.022366,0.022838,257,-
Mar 01 2018,0.022922,0.033194,0.021384,0.028422,723,-
Feb 28 2018,0.027834,0.028796,0.022867,0.022888,853,-
Feb 27 2018,0.026707,0.030815,0.026541,0.027867,370,-
Feb 26 2018,0.025213,0.027286,0.024653,0.026630,246,-
Feb 25 2018,0.025694,0.026140,0.024508,0.025180,111,-
Feb 24 2018,0.027802,0.028523,0.024900,0.025733,236,-
Feb 23 2018,0.027369,0.028202,0.026148,0.027837,304,-
Feb 22 2018,0.029097,0.032940,0.027104,0.027394,163,-
Feb 21 2018,0.034098,0.034819,0.028564,0.029126,1025,-
Feb 20 2018,0.036084,0.038644,0.033776,0.034141,371,-
Feb 19 2018,0.033137,0.037593,0.032238,0.036051,1090,-
Feb 18 2018,0.038938,0.039560,0.031520,0.033290,1223,-
Feb 17 2018,0.040876,0.041138,0.035284,0.038819,322,-
Feb 16 2018,0.033601,0.040885,0.032516,0.040885,985,-
Feb 15 2018,0.031646,0.037714,0.030354,0.033745,364,-
