Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,1.89,2.05,1.88,1.98,36392,5820720
Mar 30 2018,2.00,2.10,1.85,1.89,99799,6158550
Mar 29 2018,2.38,2.41,1.95,2.00,99128,7344710
Mar 28 2018,2.41,2.47,2.36,2.39,133916,7418500
Mar 27 2018,2.54,2.82,2.40,2.41,1186450,7842510
Mar 26 2018,2.42,2.70,2.35,2.54,1285550,7454370
Mar 25 2018,2.41,2.45,2.22,2.41,169139,7439660
Mar 24 2018,2.47,2.54,2.39,2.45,408091,7610260
Mar 23 2018,2.48,2.52,2.36,2.43,94831,7649730
Mar 22 2018,2.60,2.66,2.43,2.48,127048,8002430
Mar 21 2018,2.59,2.68,2.53,2.60,136576,7974670
Mar 20 2018,2.38,2.63,2.32,2.58,158380,7322030
Mar 19 2018,2.27,2.46,2.15,2.37,184995,6992790
Mar 18 2018,2.29,2.36,2.01,2.28,86564,7065990
Mar 17 2018,2.37,2.40,2.23,2.30,91582,7319530
Mar 16 2018,2.34,2.42,2.18,2.36,211333,7202440
Mar 15 2018,2.36,2.44,2.10,2.35,203536,7267480
Mar 14 2018,2.63,2.73,2.25,2.36,121631,8111160
Mar 13 2018,2.75,2.84,2.57,2.57,82852,8490080
Mar 12 2018,2.89,2.98,2.64,2.77,83104,8898310
Mar 11 2018,2.73,2.99,2.59,2.90,66631,8419630
Mar 10 2018,2.87,3.26,2.72,2.74,558230,8853850
Mar 09 2018,3.08,3.12,2.56,2.87,218177,9507840
Mar 08 2018,3.40,3.41,2.95,3.04,377270,10480600
Mar 07 2018,3.60,4.15,3.07,3.38,3766800,11096300
Mar 06 2018,3.64,3.91,3.33,3.53,1482780,11206800
Mar 05 2018,3.77,3.96,3.55,3.66,645689,11618600
Mar 04 2018,3.70,3.92,3.43,3.92,1522700,11399100
Mar 03 2018,3.86,4.09,3.63,3.75,2870650,11904200
Mar 02 2018,3.71,4.51,3.39,3.86,9333570,11431000
Mar 01 2018,2.75,5.62,2.73,3.78,31927000,8488130
Feb 28 2018,2.99,3.10,2.75,2.75,66709,9205780
Feb 27 2018,2.94,3.48,2.84,2.92,281105,9075840
Feb 26 2018,2.92,3.08,2.76,2.98,110215,8990530
Feb 25 2018,2.93,2.99,2.64,2.92,90362,9037620
Feb 24 2018,3.25,3.39,2.80,2.94,113371,10020700
Feb 23 2018,3.18,3.33,3.00,3.25,62828,9809370
Feb 22 2018,3.49,3.81,3.10,3.18,86127,10747200
Feb 21 2018,3.76,3.76,3.33,3.44,59309,11584200
Feb 20 2018,4.13,4.24,3.73,3.76,163176,12736300
Feb 19 2018,3.91,4.23,3.91,4.13,569194,12040600
Feb 18 2018,4.26,4.30,3.69,3.92,159114,13120600
Feb 17 2018,4.10,4.40,3.87,4.29,241565,12629300
Feb 16 2018,4.05,4.09,3.82,4.09,79594,12482200
Feb 15 2018,3.93,3.98,3.67,3.93,145392,12105500
Feb 14 2018,3.71,3.99,3.57,3.92,242925,11451200
Feb 13 2018,4.00,4.02,3.60,3.67,169658,12346000
Feb 12 2018,3.47,4.08,3.46,4.02,1229940,10695600
Feb 11 2018,3.44,3.84,3.11,3.47,1180440,10597000
Feb 10 2018,3.46,4.12,3.07,3.44,706044,10654500
Feb 09 2018,3.24,3.56,3.01,3.48,113582,9997380
Feb 08 2018,2.95,3.88,2.95,3.23,751821,9094110
Feb 07 2018,3.12,3.37,2.91,2.96,151849,9626840
