Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.196198,0.207929,0.192769,0.195009,2036,1923680
Mar 30 2018,0.206135,0.210386,0.186195,0.196168,13688,2020090
Mar 29 2018,0.233505,0.264707,0.200639,0.206649,31844,2287120
Mar 28 2018,0.228786,0.248368,0.226024,0.233232,32325,2239760
Mar 27 2018,0.246997,0.252619,0.220258,0.228839,29100,2416790
Mar 26 2018,0.267661,0.281479,0.242463,0.247371,33362,2617640
Mar 25 2018,0.272298,0.284114,0.256119,0.267866,21796,2661620
Mar 24 2018,0.308165,0.308502,0.269465,0.276098,28849,3010650
Mar 23 2018,0.312169,0.312169,0.282288,0.303742,8975,3048180
Mar 22 2018,0.325235,0.331208,0.299822,0.312177,3277,3174140
Mar 21 2018,0.331676,0.345234,0.322843,0.325829,10574,3235320
Mar 20 2018,0.320949,0.343200,0.313957,0.331076,11385,3129070
Mar 19 2018,0.285237,0.327172,0.279084,0.317408,44441,2779450
Mar 18 2018,0.289200,0.291494,0.245783,0.286443,27750,2816620
Mar 17 2018,0.295932,0.344819,0.276082,0.290677,68110,2880700
Mar 16 2018,0.302128,0.348354,0.276258,0.295445,113917,2939450
Mar 15 2018,0.269173,0.321474,0.250394,0.298625,30548,2617480
Mar 14 2018,0.321482,0.337587,0.265868,0.272353,29257,3124490
Mar 13 2018,0.330887,0.354464,0.314423,0.321438,24651,3214240
Mar 12 2018,0.359095,0.373560,0.307488,0.332711,40899,3486450
Mar 11 2018,0.345541,0.366302,0.329955,0.360230,5901,3353040
Mar 10 2018,0.354497,0.390798,0.340912,0.346737,31392,3438150
Mar 09 2018,0.368393,0.372739,0.318879,0.354345,39666,3571020
Mar 08 2018,0.399361,0.412700,0.362558,0.370741,13324,3869190
Mar 07 2018,0.446261,0.455830,0.387312,0.399928,28926,4321250
Mar 06 2018,0.487270,0.487270,0.442168,0.446841,42542,4715930
Mar 05 2018,0.492058,0.492832,0.472222,0.488621,27179,4759780
Mar 04 2018,0.504085,0.524850,0.458773,0.492419,45434,4873470
Mar 03 2018,0.516477,0.540866,0.491617,0.504889,72529,4990650
Mar 02 2018,0.510993,0.567397,0.509640,0.525118,75099,4935050
Mar 01 2018,0.445668,0.537667,0.440320,0.512310,78693,4301890
Feb 28 2018,0.462595,0.494741,0.442767,0.443161,50888,4462880
Feb 27 2018,0.479074,0.501337,0.460435,0.490116,65264,4619450
Feb 26 2018,0.419847,0.592777,0.413983,0.479805,69348,4046160
Feb 25 2018,0.420456,0.443710,0.406697,0.419310,31643,4049920
Feb 24 2018,0.451425,0.469871,0.405648,0.421094,39157,4345880
Feb 23 2018,0.491209,0.492974,0.434482,0.444445,100186,4726320
Feb 22 2018,0.406444,0.513871,0.401720,0.491668,190606,3908620
Feb 21 2018,0.434530,0.455722,0.393093,0.406857,59729,4176460
Feb 20 2018,0.457289,0.486442,0.424501,0.435072,77454,4392880
Feb 19 2018,0.421833,0.482225,0.421512,0.458135,106285,4050070
Feb 18 2018,0.504989,0.889373,0.419671,0.423781,86519,4845500
Feb 17 2018,0.499341,0.558495,0.487904,0.503686,63105,4789060
Feb 16 2018,0.523930,0.550666,0.495406,0.499456,64134,5022240
Feb 15 2018,0.524389,0.533028,0.499403,0.531348,77934,5023920
Feb 14 2018,0.481358,0.525073,0.481358,0.513479,87233,4609170
Feb 13 2018,0.524161,0.537696,0.479366,0.482797,32671,5016320
Feb 12 2018,0.492277,0.555210,0.486050,0.523210,44819,4708590
Feb 11 2018,0.554643,0.561540,0.471649,0.477288,53815,5302280
Feb 10 2018,0.631474,0.655339,0.522669,0.544397,122814,6033530
Feb 09 2018,0.491839,0.644921,0.451779,0.642798,429979,4696770
Feb 08 2018,0.439337,0.513310,0.439337,0.480272,49864,4193190
Feb 07 2018,0.467922,0.531000,0.434446,0.441101,54580,4463610
Feb 06 2018,0.387863,0.480814,0.312717,0.473948,88780,3697860
Feb 05 2018,0.498642,0.521020,0.376120,0.387373,103012,4751380
Feb 04 2018,0.577752,0.597862,0.471653,0.502708,107645,5502170
Feb 03 2018,0.521641,0.611864,0.461943,0.577468,120221,4965110
Feb 02 2018,0.628607,0.628607,0.412815,0.528096,232128,5979950
Feb 01 2018,0.802165,0.828617,0.577587,0.629928,493570,7626910
Jan 31 2018,0.954338,0.954338,0.792010,0.796186,613384,9069050
Jan 30 2018,1.24,1.27,0.933937,0.936874,757182,11733500
Jan 29 2018,1.44,1.44,1.23,1.23,666836,13678800
Jan 28 2018,1.67,1.71,1.44,1.46,701536,15818700
Jan 27 2018,1.56,1.72,1.53,1.65,368163,14808600
Jan 26 2018,1.73,1.84,1.46,1.56,532067,16357300
Jan 25 2018,1.49,1.87,1.48,1.73,1607280,14156700
Jan 24 2018,1.32,1.53,1.30,1.47,276725,12451900
Jan 23 2018,1.49,1.53,1.25,1.34,383484,14127900
Jan 22 2018,1.64,1.77,1.38,1.50,375756,15518500
Jan 21 2018,1.89,1.97,1.54,1.62,620604,17872200
Jan 20 2018,1.55,2.02,1.55,1.86,537639,14604300
Jan 19 2018,1.58,1.78,1.44,1.54,467861,14876700
Jan 18 2018,1.61,1.95,1.50,1.59,608873,15192600
Jan 17 2018,1.22,1.73,1.04,1.55,586625,11487900
Jan 16 2018,1.98,1.98,0.967979,1.20,767356,18629600
Jan 15 2018,2.32,2.51,1.93,1.98,911663,21831500
Jan 14 2018,2.61,2.61,2.19,2.32,1479990,24522600
Jan 13 2018,2.88,3.01,2.53,2.58,1193480,27083500
Jan 12 2018,2.63,3.01,2.59,2.91,1267160,24771700
Jan 11 2018,3.39,3.43,2.54,2.64,2211710,31840900
Jan 10 2018,3.00,3.39,2.63,3.39,3318450,28155500
Jan 09 2018,3.00,3.67,2.79,3.03,6049210,28184800
Jan 08 2018,2.78,3.01,2.36,3.01,3456560,26084900
Jan 07 2018,2.92,3.17,2.54,2.80,3436340,27423000
Jan 06 2018,2.21,3.13,2.14,2.94,4253980,20729200
Jan 05 2018,2.32,2.62,2.13,2.21,3255450,21763300
Jan 04 2018,2.26,3.06,2.13,2.40,5796690,21128600
Jan 03 2018,1.80,2.36,1.53,2.22,3795460,16800200
Jan 02 2018,1.86,2.19,1.57,1.82,4948160,17348800
Jan 01 2018,1.33,2.30,1.17,1.84,10305000,12384800
Dec 31 2017,0.836451,1.72,0.823110,1.30,3366740,7811630
Dec 30 2017,0.949714,0.981282,0.695479,0.848490,539468,8864450
Dec 29 2017,0.916899,1.06,0.889790,0.952109,635063,8553390
Dec 28 2017,1.09,1.10,0.746415,0.902711,1301660,10183800
Dec 27 2017,1.25,1.25,0.945819,1.11,2692380,11665800
Dec 26 2017,0.605999,1.49,0.605999,1.27,10424000,5642950
Dec 25 2017,0.493031,0.627692,0.483309,0.606428,695012,4588300
Dec 24 2017,0.495830,0.521417,0.419746,0.500628,466116,4611850
Dec 23 2017,0.376992,0.580096,0.351928,0.505883,567727,3504500
Dec 22 2017,0.463307,0.478919,0.266431,0.372515,271144,4304390
Dec 21 2017,0.449530,0.511905,0.426807,0.461555,504330,4174000
Dec 20 2017,0.450508,0.482780,0.400594,0.459114,316067,4180680
Dec 19 2017,0.478706,0.509466,0.426607,0.450602,303716,4439810
Dec 18 2017,0.442404,0.483867,0.412837,0.478301,221892,4100630
Dec 17 2017,0.430722,0.484593,0.411064,0.441064,251845,3990130
Dec 16 2017,0.408544,0.434223,0.402188,0.426028,115104,3782440
Dec 15 2017,0.424512,0.443118,0.378105,0.407798,299318,3927970
Dec 14 2017,0.441873,0.554042,0.404793,0.424369,2243260,4086290
Dec 13 2017,0.389709,0.458135,0.368637,0.443134,272579,3601770
Dec 12 2017,0.368089,0.419319,0.352634,0.389383,181024,3399950
Dec 11 2017,0.351592,0.387058,0.333954,0.379944,157027,3245690
Dec 10 2017,0.383491,0.383491,0.310609,0.354149,55263,3538080
Dec 09 2017,0.379943,0.438377,0.351789,0.381943,121388,3503290
Dec 08 2017,0.434859,0.469971,0.319270,0.380326,275332,4007410
Dec 07 2017,0.429717,0.641952,0.394224,0.433668,1665670,3957680
Dec 06 2017,0.333626,0.471108,0.298757,0.430458,489704,3070800
Dec 05 2017,0.316636,0.350095,0.306100,0.333445,133944,2912700
Dec 04 2017,0.288999,0.322454,0.282566,0.316015,98268,2656930
Dec 03 2017,0.269469,0.313592,0.266968,0.288045,58122,2475920
Dec 02 2017,0.270640,0.293411,0.261827,0.269212,51534,2485220
Dec 01 2017,0.249995,0.281026,0.231381,0.270871,69436,2294300
Nov 30 2017,0.274612,0.309789,0.219022,0.252204,142446,2518710
Nov 29 2017,0.291764,0.313205,0.241614,0.264580,99068,2674440
Nov 28 2017,0.303950,0.309739,0.287206,0.293482,89747,2784480
Nov 27 2017,0.294883,0.309072,0.291048,0.303165,58566,2699800
Nov 26 2017,0.286087,0.307407,0.276821,0.294826,104953,2617730
Nov 25 2017,0.260024,0.288874,0.253232,0.284136,108828,2377800
Nov 24 2017,0.262602,0.288528,0.245340,0.260550,113257,2399980
Nov 23 2017,0.251458,0.315711,0.245319,0.262961,169808,2296740
Nov 22 2017,0.244822,0.260483,0.242902,0.251538,102507,2234790
Nov 21 2017,0.249053,0.284796,0.228809,0.244229,218158,2272080
Nov 20 2017,0.266718,0.276942,0.253336,0.255717,92307,2431790
Nov 19 2017,0.267385,0.281310,0.259796,0.266843,43447,2436390
Nov 18 2017,0.274718,0.281518,0.257441,0.267882,42704,2501730
Nov 17 2017,0.287184,0.295325,0.262102,0.275772,62439,2613720
Nov 16 2017,0.281759,0.318793,0.271815,0.290469,153232,2562790
Nov 15 2017,0.251290,0.315106,0.251290,0.280291,224907,2284270
Nov 14 2017,0.250926,0.260771,0.240450,0.251118,63473,2279650
Nov 13 2017,0.228270,0.265934,0.226951,0.250384,93329,2072550
Nov 12 2017,0.276174,0.279407,0.218780,0.228688,128256,2506000
Nov 11 2017,0.289351,0.308295,0.273765,0.276378,62939,2623960
Nov 10 2017,0.341640,0.360910,0.278200,0.291894,177714,3096410
Nov 09 2017,0.316901,0.364449,0.308039,0.344768,292442,2870400
Nov 08 2017,0.302665,0.332339,0.300796,0.317228,197921,2739770
Nov 07 2017,0.300827,0.318671,0.298336,0.304326,73622,2721490
Nov 06 2017,0.342012,0.343213,0.290631,0.301310,175571,3092190
Nov 05 2017,0.405385,0.406614,0.319832,0.341107,284729,3662930
Nov 04 2017,0.330536,0.474609,0.310910,0.406449,2278080,2984800
Nov 03 2017,0.232686,0.388558,0.218215,0.337769,1119570,2099800
Nov 02 2017,0.298642,0.310036,0.190145,0.239848,236675,2693370
Nov 01 2017,0.322294,0.323355,0.266229,0.289002,115256,2905070
Oct 31 2017,0.306294,0.341554,0.306294,0.322535,154375,2759120
Oct 30 2017,0.308511,0.321989,0.304283,0.307338,65953,2777430
Oct 29 2017,0.312230,0.326299,0.288834,0.314130,138756,2809170
Oct 28 2017,0.334126,0.342327,0.310165,0.317817,100105,3004360
Oct 27 2017,0.339117,0.347576,0.308301,0.333216,161855,3047310
Oct 26 2017,0.390607,0.392013,0.321329,0.339038,288856,3507810
Oct 25 2017,0.357966,0.505827,0.357966,0.384386,1070490,3212740
Oct 24 2017,0.300179,0.364856,0.283860,0.360020,326023,2692420
Oct 23 2017,0.358202,0.369891,0.282974,0.300899,256177,3210870
Oct 22 2017,0.387007,0.393420,0.352954,0.362206,160650,3466950
Oct 21 2017,0.378607,0.420642,0.374736,0.386890,359528,3389610
Oct 20 2017,0.342829,0.420410,0.342391,0.391053,562370,3067410
Oct 19 2017,0.390518,0.407369,0.329156,0.344743,306832,3491830
Oct 18 2017,0.394063,0.407127,0.351007,0.382686,257168,3521430
Oct 17 2017,0.431333,0.432566,0.390382,0.394040,228568,3852140
Oct 16 2017,0.439084,0.462839,0.409083,0.423683,442015,3918890
Oct 15 2017,0.434583,0.462583,0.371369,0.438750,377956,3876280
Oct 14 2017,0.541876,0.552894,0.412726,0.435252,753184,4830260
Oct 13 2017,0.663153,0.750144,0.474022,0.552702,1246830,5907670
Oct 12 2017,0.869063,0.891281,0.606370,0.658808,2974840,7737180
Oct 11 2017,0.840332,0.997382,0.836029,0.869735,3043670,7476990
Oct 10 2017,1.04,1.21,0.615339,0.853473,8408500,9218660
Oct 09 2017,2.43,2.73,0.813000,1.01,4109990,21596200
Oct 08 2017,2.78,2.78,2.33,2.43,349596,24676000
Oct 07 2017,2.62,2.80,2.54,2.75,403896,23255500
Oct 06 2017,2.23,2.91,2.15,2.63,811574,19785600
Oct 05 2017,2.17,2.32,1.99,2.23,126989,19267500
Oct 04 2017,2.11,2.37,2.06,2.17,444777,18681200
Oct 03 2017,1.69,2.55,1.67,2.07,878694,14949700
Oct 02 2017,1.76,1.77,1.64,1.69,33222,15546000
Oct 01 2017,1.76,1.80,1.67,1.76,36025,15562700
Sep 30 2017,1.74,1.81,1.68,1.76,73182,15332000
Sep 29 2017,1.78,1.83,1.68,1.73,49751,15676600
Sep 28 2017,1.86,1.93,1.68,1.78,108440,16384900
Sep 27 2017,1.83,1.94,1.70,1.86,81313,16150700
Sep 26 2017,1.77,2.04,1.72,1.84,174230,15614200
Sep 25 2017,1.79,1.88,1.72,1.77,65386,15807500
Sep 24 2017,1.98,1.98,1.68,1.73,205666,17387100
Sep 23 2017,1.99,2.18,1.86,1.98,134721,17522200
Sep 22 2017,2.03,2.24,1.96,2.00,170422,17849400
Sep 21 2017,2.28,2.32,1.89,2.08,219523,20004800
Sep 20 2017,2.14,2.40,1.89,2.29,194540,18819200
Sep 19 2017,1.97,2.26,1.82,2.15,156392,17272700
Sep 18 2017,1.60,1.97,1.60,1.96,97237,14055600
Sep 17 2017,1.60,1.81,1.43,1.61,42931,13993200
Sep 16 2017,1.47,1.78,1.45,1.60,69152,12910000
Sep 15 2017,1.26,1.57,1.12,1.48,71592,11034800
Sep 14 2017,1.62,1.64,1.25,1.25,108290,14145200
Sep 13 2017,1.70,1.75,1.56,1.62,18804,14879100
Sep 12 2017,1.78,1.90,1.65,1.72,47898,15546000
Sep 11 2017,1.83,1.99,1.68,1.84,64969,15980700
