Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,6.1e-07,6.6e-07,6e-07,6.2e-07,14743,2975110
Mar 30 2018,6.2e-07,6.4e-07,5.8e-07,6.1e-07,13773,2951040
Mar 29 2018,6.8e-07,6.9e-07,6e-07,6.1e-07,8016,3210670
Mar 28 2018,7.1e-07,7.2e-07,6.6e-07,6.8e-07,6483,3330410
Mar 27 2018,7.1e-07,7.3e-07,6.8e-07,6.8e-07,5547,3302220
Mar 26 2018,7.6e-07,8.2e-07,7e-07,7.1e-07,11101,3461090
Mar 25 2018,7.5e-07,8.6e-07,7.3e-07,7.5e-07,13211,3396360
Mar 24 2018,8e-07,8.7e-07,7.4e-07,7.5e-07,15441,3584820
Mar 23 2018,8.1e-07,8.2e-07,7.1e-07,8e-07,9986,3589520
Mar 22 2018,7.9e-07,8.4e-07,7.4e-07,8.1e-07,8919,3428960
Mar 21 2018,8.3e-07,8.6e-07,7.5e-07,7.5e-07,15041,3584820
Mar 20 2018,7.6e-07,8.5e-07,7.1e-07,8.3e-07,13305,3210040
Mar 19 2018,7.2e-07,8e-07,6.5e-07,7.6e-07,5139,3000780
Mar 18 2018,7.6e-07,7.6e-07,5.7e-07,7.1e-07,4126,3134260
Mar 17 2018,8.1e-07,8.2e-07,7.3e-07,7.6e-07,11538,3330190
Mar 16 2018,9.2e-07,9.3e-07,8e-07,8.2e-07,11003,3714530
Mar 15 2018,8.8e-07,9.4e-07,7.9e-07,9.2e-07,11478,3506800
Mar 14 2018,0.000001,0.000001,8.6e-07,8.8e-07,7995,4048660
Mar 13 2018,0.000001,0.000001,9.6e-07,0.000001,10844,3933240
Mar 12 2018,0.000001,0.000001,9.2e-07,0.000001,19982,4300920
Mar 11 2018,0.000001,0.000001,9.7e-07,0.000001,5606,4203710
Mar 10 2018,0.000001,0.000001,0.000001,0.000001,5583,4233300
Mar 09 2018,0.000001,0.000001,9.4e-07,0.000001,3097,3972350
Mar 08 2018,0.000001,0.000001,0.000001,0.000001,11856,4134400
Mar 07 2018,0.000001,0.000001,0.000001,0.000001,8566,5035910
Mar 06 2018,0.000002,0.000002,0.000001,0.000001,14567,5789810
Mar 05 2018,0.000002,0.000002,0.000001,0.000002,8865,6046220
Mar 04 2018,0.000002,0.000002,0.000002,0.000002,20171,6147140
Mar 03 2018,0.000002,0.000002,0.000001,0.000002,15559,5337310
Mar 02 2018,0.000002,0.000002,0.000002,0.000002,10551,6306980
Mar 01 2018,0.000002,0.000002,0.000001,0.000002,14862,5335080
Feb 28 2018,0.000002,0.000002,0.000002,0.000002,9765,5670090
Feb 27 2018,0.000002,0.000002,0.000001,0.000002,20065,6525280
Feb 26 2018,0.000002,0.000002,0.000002,0.000002,25868,7200520
Feb 25 2018,0.000002,0.000002,0.000002,0.000002,13715,7933730
Feb 24 2018,0.000003,0.000003,0.000002,0.000002,15034,8004860
Feb 23 2018,0.000002,0.000003,0.000002,0.000003,16504,7722680
Feb 22 2018,0.000003,0.000003,0.000002,0.000002,14696,8548840
Feb 21 2018,0.000003,0.000003,0.000003,0.000003,25517,9723180
Feb 20 2018,0.000003,0.000004,0.000003,0.000003,42432,9641610
Feb 19 2018,0.000003,0.000003,0.000003,0.000003,13201,9050410
Feb 18 2018,0.000004,0.000004,0.000003,0.000003,20378,10664400
Feb 17 2018,0.000004,0.000004,0.000004,0.000004,15243,11990600
Feb 16 2018,0.000004,0.000004,0.000004,0.000004,13779,11721100
Feb 15 2018,0.000004,0.000005,0.000004,0.000004,29745,11115900
Feb 14 2018,0.000003,0.000004,0.000003,0.000004,16275,8415760
Feb 13 2018,0.000003,0.000003,0.000003,0.000003,19385,9183580
Feb 12 2018,0.000003,0.000004,0.000002,0.000003,43214,9078270
Feb 11 2018,0.000004,0.000004,0.000003,0.000003,22012,9613600
Feb 10 2018,0.000004,0.000004,0.000003,0.000003,17846,9665570
Feb 09 2018,0.000003,0.000004,0.000003,0.000004,23488,8842060
Feb 08 2018,0.000003,0.000004,0.000003,0.000003,20214,8519490
Feb 07 2018,0.000004,0.000004,0.000003,0.000003,26365,9524990
Feb 06 2018,0.000003,0.000004,0.000002,0.000004,29295,7211420
Feb 05 2018,0.000004,0.000004,0.000003,0.000003,32821,9399760
Feb 04 2018,0.000005,0.000005,0.000003,0.000004,23375,11929700
Feb 03 2018,0.000003,0.000005,0.000003,0.000005,47143,8026810
Feb 02 2018,0.000003,0.000004,0.000002,0.000003,38295,7767200
Feb 01 2018,0.000004,0.000005,0.000003,0.000003,41941,10347800
Jan 31 2018,0.000005,0.000005,0.000004,0.000004,49643,11621000
Jan 30 2018,0.000006,0.000006,0.000004,0.000005,81805,14426200
Jan 29 2018,0.000006,0.000006,0.000006,0.000006,42935,15045600
Jan 28 2018,0.000007,0.000007,0.000006,0.000006,31425,15610800
Jan 27 2018,0.000007,0.000007,0.000006,0.000007,34084,15283900
Jan 26 2018,0.000007,0.000008,0.000006,0.000007,54793,16910100
Jan 25 2018,0.000007,0.000008,0.000007,0.000007,74590,15398000
Jan 24 2018,0.000007,0.000007,0.000006,0.000007,72935,14575800
Jan 23 2018,0.000006,0.000007,0.000006,0.000007,71343,13334900
Jan 22 2018,0.000006,0.000007,0.000006,0.000006,71542,13629200
Jan 21 2018,0.000007,0.000008,0.000005,0.000006,97922,15046200
Jan 20 2018,0.000009,0.000010,0.000009,0.000010,199533,19292500
Jan 19 2018,0.000011,0.000011,0.000008,0.000009,183773,21974100
Jan 18 2018,0.000007,0.000012,0.000007,0.000010,175033,15199300
Jan 17 2018,0.000005,0.000007,0.000004,0.000007,128310,11155900
Jan 16 2018,0.000009,0.000010,0.000005,0.000005,137916,18496300
Jan 15 2018,0.000012,0.000013,0.000007,0.000009,275608,23066200
Jan 14 2018,0.000019,0.000019,0.000011,0.000012,302140,36712600
Jan 13 2018,0.000017,0.000020,0.000016,0.000019,490273,33605700
Jan 12 2018,0.000015,0.000021,0.000013,0.000017,489728,29518500
Jan 11 2018,0.000020,0.000022,0.000011,0.000015,395434,39048400
Jan 10 2018,0.000024,0.000024,0.000012,0.000020,761258,45196100
Jan 09 2018,0.000030,0.000032,0.000022,0.000024,1167010,55966100
Jan 08 2018,0.000027,0.000040,0.000023,0.000030,1858220,50744900
Jan 07 2018,0.000031,0.000033,0.000022,0.000029,1717100,57503300
Jan 06 2018,0.000008,0.000036,0.000008,0.000029,3475600,13882900
Jan 05 2018,0.000005,0.000008,0.000004,0.000008,417142,8084260
Jan 04 2018,0.000004,0.000005,0.000004,0.000005,117096,7257050
Jan 03 2018,0.000005,0.000005,0.000003,0.000004,81384,8030360
Jan 02 2018,0.000005,0.000005,0.000004,0.000005,161052,8964960
Jan 01 2018,0.000004,0.000005,0.000003,0.000004,170701,6217380
Dec 31 2017,0.000002,0.000005,0.000002,0.000004,132072,4144230
Dec 30 2017,0.000003,0.000003,0.000002,0.000002,34917,4248830
Dec 29 2017,0.000002,0.000002,0.000002,0.000002,33954,3003910
Dec 28 2017,0.000001,0.000002,0.000001,0.000002,15478,2450310
Dec 27 2017,0.000002,0.000002,0.000001,0.000002,7023,2630670
Dec 26 2017,0.000001,0.000002,0.000001,0.000002,8362,2311320
Dec 25 2017,0.000002,0.000002,0.000001,0.000001,14527,3101570
Dec 24 2017,0.000002,0.000002,0.000001,0.000002,10282,2634590
Dec 23 2017,0.000001,0.000002,0.000001,0.000002,9873,1714210
Dec 22 2017,0.000001,0.000001,8.2e-07,0.000001,6122,1850180
Dec 21 2017,0.000002,0.000002,9.4e-07,0.000001,15126,2353150
Dec 20 2017,0.000001,0.000002,0.000001,0.000002,16833,2066750
Dec 19 2017,0.000002,0.000002,0.000001,0.000001,9961,2567420
Dec 18 2017,0.000001,0.000002,0.000001,0.000002,21237,1926540
Dec 17 2017,0.000001,0.000003,0.000001,0.000002,44831,2098830
Dec 16 2017,8.2e-07,0.000002,7.5e-07,0.000002,66761,1193390
Dec 15 2017,8.9e-07,0.000001,7.4e-07,8.2e-07,12363,1300250
Dec 14 2017,0.000001,0.000002,9.1e-07,0.000001,21750,1549060
Dec 13 2017,0.000001,0.000002,6.7e-07,0.000001,14500,1877320
Dec 12 2017,6.7e-07,0.000002,5.3e-07,8.2e-07,40398,951431
Dec 11 2017,1.3e-07,0.000002,1.3e-07,6.5e-07,53961,183166
Dec 10 2017,1e-07,1.5e-07,9.7e-08,1.3e-07,384,145752
Dec 09 2017,1.1e-07,1.3e-07,1e-07,1e-07,1262,154838
Dec 08 2017,1.3e-07,1.4e-07,9.4e-08,1.1e-07,622,175881
Dec 07 2017,1.4e-07,1.6e-07,1.2e-07,1.3e-07,519,190634
Dec 06 2017,1.5e-07,1.6e-07,1.2e-07,1.4e-07,400,199375
Dec 05 2017,1.2e-07,1.8e-07,1.1e-07,1.5e-07,1676,157945
Dec 04 2017,1.4e-07,1.4e-07,9.6e-08,1.2e-07,573,181823
Dec 03 2017,1.6e-07,1.6e-07,1.1e-07,1.4e-07,633,210982
Dec 02 2017,1.6e-07,1.7e-07,8.9e-08,1.6e-07,785,208183
Dec 01 2017,1.5e-07,2e-07,8.1e-08,1.6e-07,1818,191559
Nov 30 2017,2e-07,2.2e-07,1.5e-07,1.6e-07,190,248276
Nov 29 2017,2.3e-07,2.6e-07,1.9e-07,2e-07,595,292981
Nov 28 2017,2e-07,2.3e-07,1.9e-07,2.3e-07,898,246938
Nov 27 2017,2.5e-07,2.7e-07,1.8e-07,2e-07,1125,297415
Nov 26 2017,3.4e-07,3.4e-07,2.3e-07,2.4e-07,883,406483
Nov 25 2017,3e-07,3.5e-07,2.6e-07,3.4e-07,959,353708
Nov 24 2017,2.7e-07,4.4e-07,2.7e-07,3e-07,1099,321632
Nov 23 2017,4.4e-07,4.7e-07,2.7e-07,2.8e-07,1749,517671
Nov 22 2017,2.2e-07,9.5e-07,1.8e-07,4.6e-07,9027,252467
Nov 21 2017,3e-07,3.7e-07,2e-07,2.2e-07,1638,347873
Nov 20 2017,2.3e-07,3.1e-07,2e-07,3e-07,1680,267780
Nov 19 2017,2.5e-07,2.8e-07,2.2e-07,2.4e-07,1003,273639
Nov 18 2017,2.1e-07,2.6e-07,1.9e-07,2.5e-07,3457,227011
Nov 17 2017,2.6e-07,2.9e-07,2e-07,2.1e-07,1354,287439
Nov 16 2017,3.7e-07,3.9e-07,1.7e-07,2.7e-07,1986,405039
Nov 15 2017,3.5e-07,4e-07,3.4e-07,3.7e-07,367,375228
Nov 14 2017,3.5e-07,3.9e-07,3.2e-07,3.3e-07,1200,376360
Nov 13 2017,3.1e-07,4.1e-07,3e-07,3.5e-07,1604,324192
Nov 12 2017,4.4e-07,4.4e-07,2.9e-07,3.1e-07,846,456315
Nov 11 2017,4.3e-07,4.9e-07,3.3e-07,4.3e-07,1724,442161
Nov 10 2017,5.8e-07,5.8e-07,4.1e-07,4.4e-07,753,583973
Nov 09 2017,5.4e-07,5.9e-07,4.8e-07,5.6e-07,2171,544792
Nov 08 2017,5.7e-07,5.9e-07,4.8e-07,5.5e-07,755,567926
Nov 07 2017,4.5e-07,6.2e-07,4.4e-07,5.7e-07,1622,441306
Nov 06 2017,4.8e-07,5.4e-07,4.3e-07,4.5e-07,840,468222
Nov 05 2017,4.9e-07,5e-07,4.1e-07,4.8e-07,1003,472644
Nov 04 2017,4e-07,5.4e-07,3.8e-07,4.8e-07,2271,375312
Nov 03 2017,4.4e-07,5.3e-07,3.5e-07,3.9e-07,2539,408393
Nov 02 2017,5.8e-07,5.9e-07,1.7e-07,4.4e-07,4125,534354
Nov 01 2017,5.9e-07,7.7e-07,5.3e-07,5.7e-07,4457,545083
Oct 31 2017,7.5e-07,0.000001,5.7e-07,6e-07,4980,678370
Oct 30 2017,8.5e-07,8.8e-07,5.2e-07,7.5e-07,5696,761437
Oct 29 2017,0.000001,0.000002,7.8e-07,9e-07,6079,1117330
Oct 28 2017,0.000006,0.000006,0.000001,0.000001,7980,5382460
Oct 27 2017,0.000004,0.000006,0.000003,0.000006,9049,3536770
Oct 26 2017,0.000049,0.000054,0.000034,0.000045,4461,42343000
Oct 25 2017,0.000055,0.000055,6.3e-07,0.000049,2855,47066100
Oct 24 2017,0.000053,0.000058,0.000050,0.000055,31,44938400
Oct 23 2017,0.000028,0.000055,0.000026,0.000054,193,23486700
Oct 22 2017,0.000059,0.000060,0.000026,0.000026,480,48873800
Oct 21 2017,0.000052,0.000061,0.000052,0.000059,575,42607400
Oct 20 2017,0.000052,0.000060,0.000043,0.000052,279,41603100
Oct 19 2017,0.000056,0.000057,0.000051,0.000052,1777,44267000
Oct 18 2017,0.000039,0.000056,0.000038,0.000056,2612,30527900
Oct 17 2017,0.000048,0.000057,0.000032,0.000036,366,37716500
Oct 16 2017,0.000056,0.000056,0.000035,0.000048,1835,43103100
Oct 15 2017,0.000048,0.000057,0.000047,0.000056,3799,37004800
Oct 14 2017,0.000044,0.000044,0.000016,0.000031,298,33305900
Oct 13 2017,0.000054,0.000058,0.000044,0.000044,1544,40511400
Oct 12 2017,0.000048,0.000054,0.000048,0.000054,2196,35204600
Oct 11 2017,0.000033,0.000046,0.000033,0.000046,4214,24336400
Oct 10 2017,0.000005,0.000042,0.000005,0.000034,1599,3549360
Oct 09 2017,0.000004,0.000007,0.000003,0.000005,6767,2795550
Oct 08 2017,0.000014,0.000015,0.000003,0.000004,2688,9924030
Oct 07 2017,0.000001,0.000038,0.000001,0.000014,3749,919298
Oct 06 2017,0.000034,0.000037,0.000006,0.000006,161,23243800
Oct 05 2017,0.000038,0.000040,0.000033,0.000034,1629,26049200
Oct 04 2017,0.000037,0.000041,0.000036,0.000038,1041,24570500
Oct 03 2017,0.000042,0.000043,0.000005,0.000037,3471,27959600
Oct 02 2017,0.000011,0.000043,0.000011,0.000042,1248,7029530
Oct 01 2017,0.000006,0.000011,0.000004,0.000011,6687,3873950
Sep 30 2017,0.000017,0.000023,0.000003,0.000006,2215,10648200
Sep 29 2017,0.000018,0.000038,0.000017,0.000017,889,11141400
Sep 28 2017,0.000003,0.000018,0.000003,0.000018,4671,1896720
Sep 27 2017,0.000038,0.000039,0.000005,0.000005,1402,23484400
Sep 26 2017,0.000031,0.000038,0.000027,0.000038,993,18795000
Sep 25 2017,0.000012,0.000038,0.000012,0.000031,268,7176750
Sep 24 2017,0.000033,0.000033,0.000003,0.000012,3706,19824100
Sep 23 2017,0.000035,0.000038,0.000033,0.000033,2970,20595600
Sep 22 2017,0.000018,0.000035,0.000002,0.000035,9760,10649500
Sep 21 2017,0.000030,0.000036,0.000018,0.000018,1790,16899700
Sep 20 2017,0.000007,0.000034,0.000007,0.000030,571,4123380
Sep 19 2017,0.000040,0.000040,0.000006,0.000007,4796,22305400
Sep 18 2017,0.000036,0.000040,0.000005,0.000040,5767,19746200
Sep 17 2017,0.000026,0.000037,0.000001,0.000036,1234,14384300
Sep 16 2017,0.000013,0.000036,0.000011,0.000026,713,7068290
Sep 15 2017,0.000003,0.000015,0.000003,0.000013,4250,1483630
Sep 14 2017,0.000012,0.000013,0.000002,0.000003,6109,6416360
Sep 13 2017,0.000011,0.000038,0.000011,0.000013,3513,5802580
Sep 12 2017,0.000042,0.000044,0.000005,0.000009,5854,21246100
Sep 11 2017,0.000007,0.000042,0.000004,0.000042,994,3710910
Sep 10 2017,0.000035,0.000035,0.000003,0.000007,3356,17471300
Sep 09 2017,0.000041,0.000042,0.000033,0.000035,492,20512800
Sep 08 2017,0.000044,0.000046,0.000039,0.000041,4182,21771900
Sep 07 2017,0.000044,0.000044,9.6e-07,0.000044,2059,21790700
Sep 06 2017,0.000044,0.000048,0.000041,0.000044,180,20345400
Sep 05 2017,0.000039,0.000045,0.000031,0.000044,256,17404500
Sep 04 2017,0.000046,0.000046,0.000036,0.000039,473,20432400
Sep 03 2017,0.000044,0.000046,0.000041,0.000046,1944,19489800
Sep 02 2017,0.000049,0.000049,0.000004,0.000044,2251,21433700
Sep 01 2017,0.000034,0.000049,0.000029,0.000049,2311,14917100
Aug 31 2017,0.000027,0.000046,0.000024,0.000044,1372,11538900
