Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.001709,0.001799,0.001704,0.001752,1,31836
Mar 30 2018,0.001771,0.001800,0.001651,0.001709,1,32984
Mar 29 2018,0.001747,0.001887,0.001620,0.001775,1,32539
Mar 28 2018,0.001731,0.001757,0.001730,0.001745,20,32244
Mar 27 2018,0.002287,0.002295,0.002172,0.002211,1,42602
Mar 26 2018,0.002363,0.002376,0.002199,0.002291,1,44014
Mar 25 2018,0.002296,0.002430,0.002262,0.002365,1,42760
Mar 24 2018,0.002406,0.002428,0.002322,0.002328,3,44816
Mar 23 2018,0.002349,0.002422,0.002245,0.002372,3,43757
Mar 22 2018,0.002346,0.002360,0.002301,0.002349,2,43685
Mar 21 2018,0.002404,0.002473,0.002372,0.002409,2,44778
Mar 20 2018,0.002501,0.002613,0.002292,0.002400,17,46576
Mar 19 2018,0.001310,0.002497,0.001302,0.002473,38,24407
Mar 18 2018,0.002207,0.002240,0.001199,0.001316,148,41108
Mar 17 2018,0.002241,0.002241,0.002191,0.002197,1,41746
Mar 16 2018,0.002172,0.002316,0.002166,0.002238,1,40461
Mar 11 2018,0.002282,0.002282,0.002255,0.002255,49,42494
Mar 10 2018,0.002408,0.002466,0.002269,0.002289,50,44840
Mar 09 2018,0.002788,0.002821,0.002274,0.002406,9,51927
Mar 08 2018,0.002994,0.003028,0.002719,0.002806,16,55771
Mar 06 2018,0.002991,0.002991,0.002918,0.002934,18,55714
Mar 05 2018,0.003449,0.003471,0.002970,0.003000,18,64243
Mar 04 2018,0.003318,0.003452,0.002885,0.003452,5,61789
Mar 03 2018,0.003280,0.003325,0.003280,0.003323,24,61086
Mar 02 2018,0.002835,0.002899,0.002809,0.002831,3,52801
Mar 01 2018,0.002831,0.002876,0.002820,0.002842,3,52735
Feb 28 2018,0.002773,0.002869,0.002756,0.002763,30,51643
Feb 27 2018,0.002887,0.003003,0.002737,0.002776,30,53775
Feb 26 2018,0.002588,0.002916,0.002580,0.002879,2,48208
Feb 25 2018,0.002612,0.002663,0.002516,0.002585,3,48653
