Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.652205,0.678914,0.646411,0.658827,4811540,87020800
Mar 30 2018,0.660601,0.672758,0.619343,0.652124,5359300,88141100
Mar 29 2018,0.769080,0.770042,0.654676,0.662139,6455750,102615000
Mar 28 2018,0.732051,0.784160,0.725496,0.768755,7201030,97674200
Mar 27 2018,0.761622,0.794436,0.704517,0.732390,6376020,101620000
Mar 26 2018,0.829917,0.834481,0.727309,0.762938,6135650,110732000
Mar 25 2018,0.835739,0.858096,0.811604,0.831619,5895680,111509000
Mar 24 2018,0.853381,0.920138,0.820497,0.842258,9551590,113863000
Mar 23 2018,0.875438,0.900667,0.815706,0.842009,8124980,116806000
Mar 22 2018,0.832343,0.891993,0.818306,0.874670,7093290,111056000
Mar 21 2018,0.793087,0.912358,0.793087,0.833871,11076400,105818000
Mar 20 2018,0.765810,0.808215,0.735200,0.789981,8595640,102179000
Mar 19 2018,0.697402,0.779579,0.679298,0.762575,7289490,93051200
Mar 18 2018,0.728428,0.728428,0.623911,0.701661,6091940,97190800
Mar 17 2018,0.786301,0.803301,0.711784,0.727584,6832850,104913000
Mar 16 2018,0.805845,0.833906,0.753463,0.785918,7376920,107520000
Mar 15 2018,0.838134,0.848317,0.728575,0.803750,8810990,111828000
Mar 14 2018,0.993922,1.04,0.841671,0.841671,8368810,132615000
Mar 13 2018,1.01,1.07,0.965542,0.996144,6622740,135389000
Mar 12 2018,1.11,1.16,0.984628,1.01,21213400,147548000
Mar 11 2018,0.998432,1.16,0.955529,1.11,10203200,133216000
Mar 10 2018,0.970289,1.09,0.949601,0.998614,6854640,129461000
Mar 09 2018,0.962294,0.975088,0.823341,0.972279,4158900,128395000
Mar 08 2018,0.970782,1.08,0.945510,0.962315,6007260,129527000
Mar 07 2018,1.08,1.19,0.935915,0.971258,9642870,143717000
Mar 06 2018,1.12,1.12,1.04,1.08,5960650,149145000
Mar 05 2018,1.05,1.21,1.05,1.12,10976900,140027000
Mar 04 2018,0.987979,1.14,0.987530,1.05,20328700,131822000
Mar 03 2018,0.906020,0.991354,0.905777,0.988182,6145260,120886000
Mar 02 2018,0.930163,0.935459,0.886158,0.907089,3539020,124107000
Mar 01 2018,0.885942,0.940735,0.858182,0.933124,3687830,118207000
Feb 28 2018,0.941856,0.955138,0.886294,0.886681,2834880,125668000
Feb 27 2018,0.945856,0.956132,0.919801,0.940979,3356560,126201000
Feb 26 2018,0.914774,0.946213,0.878912,0.941486,3256140,122054000
Feb 25 2018,0.888244,0.927956,0.855901,0.916962,3225880,118514000
Feb 24 2018,0.970990,0.989772,0.863685,0.894551,3433150,129555000
Feb 23 2018,0.922440,0.978725,0.870215,0.974667,4695210,123077000
Feb 22 2018,0.988231,1.00,0.880737,0.939016,5069060,131855000
Feb 21 2018,1.09,1.10,0.967995,0.992896,5071490,145530000
Feb 20 2018,1.18,1.19,1.06,1.07,6878500,157654000
Feb 19 2018,1.11,1.20,1.11,1.15,5987580,148630000
Feb 18 2018,1.24,1.24,1.11,1.12,6425510,165311000
Feb 17 2018,1.23,1.25,1.20,1.25,9205360,164656000
Feb 16 2018,1.18,1.29,1.17,1.25,23529200,157599000
Feb 15 2018,1.08,1.13,1.05,1.12,7715090,143597000
Feb 14 2018,0.991749,1.08,0.989100,1.08,6148640,132325000
Feb 13 2018,1.03,1.09,0.991300,0.992578,4663480,137386000
Feb 12 2018,0.946206,1.05,0.944976,1.03,5997730,126248000
Feb 11 2018,1.03,1.03,0.900901,0.942360,3591470,138018000
Feb 10 2018,1.05,1.16,0.973107,1.04,11396500,139440000
Feb 09 2018,0.950903,1.05,0.908583,1.05,10024600,126875000
Feb 08 2018,0.884002,1.06,0.871010,0.964763,15252800,117948000
Feb 07 2018,0.826605,1.03,0.771202,0.886443,14515100,110290000
Feb 06 2018,0.748416,0.849437,0.607354,0.832725,6687700,99857700
Feb 05 2018,0.946084,1.03,0.723561,0.747172,7772320,126232000
Feb 04 2018,1.12,1.14,0.927572,0.950161,7139240,149071000
Feb 03 2018,1.09,1.15,0.917265,1.12,9231260,145447000
Feb 02 2018,1.11,1.15,0.799561,1.09,12510200,147566000
Feb 01 2018,1.29,1.30,1.04,1.09,12197300,171679000
Jan 31 2018,1.32,1.33,1.16,1.27,11680900,175979000
Jan 30 2018,1.56,1.65,1.31,1.32,18219100,208112000
Jan 29 2018,1.66,1.66,1.49,1.50,7986430,221932000
Jan 28 2018,1.56,1.77,1.56,1.66,26073200,207907000
Jan 27 2018,1.54,1.60,1.45,1.55,8355410,204435000
Jan 26 2018,1.56,1.60,1.36,1.54,9542480,207665000
Jan 25 2018,1.59,1.70,1.53,1.57,15189700,211992000
Jan 24 2018,1.52,1.64,1.44,1.57,21391000,202734000
Jan 23 2018,1.35,1.67,1.32,1.54,52147400,179598000
Jan 22 2018,1.52,1.54,1.26,1.35,12100600,201826000
Jan 21 2018,1.84,1.85,1.44,1.49,19048700,245311000
Jan 20 2018,1.78,1.95,1.78,1.84,34128500,237238000
Jan 19 2018,1.52,2.00,1.37,1.76,61167700,202754000
Jan 18 2018,1.29,1.58,1.20,1.55,21774400,171738000
Jan 17 2018,1.27,1.34,0.902208,1.28,11788100,168941000
Jan 16 2018,1.87,1.87,1.05,1.28,17241100,249687000
Jan 15 2018,1.99,2.04,1.88,1.88,19338800,265631000
Jan 14 2018,2.31,2.31,1.89,2.01,9691950,306984000
Jan 13 2018,2.21,2.36,2.15,2.30,14612600,293892000
Jan 12 2018,2.01,2.25,1.89,2.20,14204900,267116000
Jan 11 2018,2.43,2.46,1.88,1.98,29853600,324097000
Jan 10 2018,2.61,2.83,2.18,2.45,37214900,347106000
Jan 09 2018,2.18,3.13,2.17,2.62,66029700,289389000
Jan 08 2018,2.53,2.56,1.89,2.20,24573200,335954000
Jan 07 2018,2.42,2.55,2.23,2.53,40976900,320066000
Jan 06 2018,2.10,2.40,1.97,2.40,33340900,277999000
Jan 05 2018,2.36,2.52,1.97,2.07,32523600,312677000
Jan 04 2018,2.26,2.74,2.10,2.43,41469600,299466000
Jan 03 2018,2.33,2.34,2.09,2.26,23245200,308458000
Jan 02 2018,2.27,2.40,2.16,2.32,26786600,300958000
Jan 01 2018,2.42,2.42,2.14,2.27,22519300,320079000
Dec 31 2017,2.33,2.70,2.17,2.44,69409200,308522000
Dec 30 2017,1.73,2.61,1.42,2.30,111314000,229139000
Dec 29 2017,1.36,1.85,1.31,1.74,22552800,150782000
Dec 28 2017,1.54,1.54,1.24,1.36,11774300,169736000
Dec 27 2017,1.51,1.55,1.37,1.54,14311000,166688000
Dec 26 2017,1.57,1.62,1.43,1.53,22234500,172004000
Dec 25 2017,1.40,1.65,1.29,1.56,26824200,153867000
Dec 24 2017,1.32,1.42,1.15,1.39,7403820,145397000
Dec 23 2017,1.19,1.44,1.15,1.31,7274020,130965000
Dec 22 2017,1.65,1.67,0.843108,1.19,8645800,180470000
Dec 21 2017,1.64,1.80,1.52,1.65,15307500,174689000
Dec 20 2017,1.34,1.83,1.20,1.62,40260800,141536000
Dec 19 2017,1.39,1.51,1.30,1.35,16245200,146667000
Dec 18 2017,1.28,1.39,1.21,1.38,16126200,135315000
Dec 17 2017,1.11,1.37,1.10,1.28,20861300,117449000
Dec 16 2017,1.07,1.14,1.07,1.11,11528000,112887000
Dec 15 2017,1.03,1.11,0.934314,1.07,11128400,108291000
Dec 14 2017,0.995076,1.06,0.962527,1.02,10807500,104895000
Dec 13 2017,1.00,1.05,0.919806,0.990859,10678400,105894000
Dec 12 2017,0.919990,1.04,0.890538,1.01,9833710,96979500
Dec 11 2017,0.802864,0.947270,0.802864,0.921246,9498880,84632800
Dec 10 2017,0.915925,0.924424,0.698511,0.809522,10349300,96551000
Dec 09 2017,0.959286,1.03,0.866256,0.912374,10080700,101122000
Dec 08 2017,0.920692,1.00,0.877154,0.957380,11246200,97053500
Dec 07 2017,0.912887,1.09,0.861632,0.913718,13495500,96230800
Dec 06 2017,1.05,1.05,0.897136,0.921581,11783700,110573000
Dec 05 2017,1.15,1.21,1.03,1.05,16089700,121293000
Dec 04 2017,0.804221,1.24,0.793570,1.08,27739300,84775900
Dec 03 2017,0.735532,0.838778,0.735532,0.803014,8851830,77535200
Dec 02 2017,0.721357,0.791355,0.699768,0.735367,6143940,76040900
Dec 01 2017,0.655494,0.745901,0.639015,0.722204,6937600,69098000
Nov 30 2017,0.652990,0.738596,0.577850,0.656892,6629960,68834100
Nov 29 2017,0.784881,0.812464,0.628980,0.643361,7220320,82737200
Nov 28 2017,0.751650,0.817602,0.742287,0.781204,8415550,79234100
Nov 27 2017,0.744568,0.796236,0.717491,0.758235,9632000,78298800
Nov 26 2017,0.742017,0.761796,0.705490,0.746430,6382440,78019800
Nov 25 2017,0.708559,0.744455,0.701052,0.744455,5968960,74500000
Nov 24 2017,0.701952,0.710916,0.656575,0.707611,7352440,73789000
Nov 23 2017,0.738191,0.742714,0.684710,0.703325,6182140,77555200
Nov 22 2017,0.729389,0.805919,0.709799,0.737314,10699000,76454700
Nov 21 2017,0.673859,0.737207,0.639393,0.728884,10087600,70518600
Nov 20 2017,0.636376,0.681039,0.621976,0.670282,6962250,66451700
Nov 19 2017,0.625696,0.653917,0.617342,0.634492,6102530,65235800
Nov 18 2017,0.618023,0.630783,0.593101,0.625798,7298930,64344400
Nov 17 2017,0.658104,0.705836,0.604788,0.618168,9846660,68392700
Nov 16 2017,0.819639,0.922001,0.629178,0.660789,28318600,85017500
Nov 15 2017,0.611721,0.851991,0.573869,0.829422,27394600,63302600
Nov 14 2017,0.517829,0.657972,0.499320,0.610434,7108410,53482100
Nov 13 2017,0.437432,0.553783,0.435734,0.516984,3681620,45044900
Nov 12 2017,0.472041,0.481392,0.382460,0.434111,2888030,48608900
Nov 11 2017,0.481159,0.510942,0.456348,0.472294,3258700,49532100
Nov 10 2017,0.590570,0.602555,0.444244,0.490347,3084140,60738000
Nov 09 2017,0.541987,0.600415,0.530837,0.590254,4745770,55251400
Nov 08 2017,0.508800,0.566302,0.500112,0.541227,5258460,51793000
Nov 07 2017,0.482880,0.557974,0.475281,0.511548,4683190,49072600
Nov 06 2017,0.503081,0.516127,0.469177,0.483271,2716010,51125000
Nov 05 2017,0.483992,0.526175,0.476458,0.502813,2846840,49156200
Nov 04 2017,0.522058,0.527091,0.479968,0.483420,4184960,52992600
Nov 03 2017,0.549204,0.550289,0.433011,0.515272,6272350,55679400
Nov 02 2017,0.457871,0.702813,0.441787,0.548500,22173700,46293100
Nov 01 2017,0.385036,0.459085,0.367374,0.438695,1183880,38809800
Oct 31 2017,0.430828,0.438514,0.385222,0.386407,727895,43417500
Oct 30 2017,0.431738,0.444820,0.401517,0.432554,803988,43504600
Oct 29 2017,0.501894,0.501894,0.423867,0.436823,1228810,50538800
Oct 28 2017,0.604788,0.611664,0.483910,0.499985,1961170,60729300
Oct 27 2017,0.472213,0.660936,0.437452,0.599894,7171540,47190400
Oct 26 2017,0.373359,0.544796,0.369977,0.465419,2000710,37305000
Oct 25 2017,0.348346,0.371436,0.333412,0.370167,232526,34725000
Oct 24 2017,0.325001,0.383390,0.317789,0.344256,384914,32366500
Oct 23 2017,0.335895,0.344292,0.295351,0.329264,242392,33437600
Oct 22 2017,0.324891,0.339309,0.317451,0.336471,196362,32341000
Oct 21 2017,0.355788,0.362992,0.322944,0.324835,189861,35407200
Oct 20 2017,0.381101,0.390891,0.354431,0.356387,247610,37916500
Oct 19 2017,0.392076,0.424005,0.378207,0.381145,413279,38964500
