Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.202413,0.218207,0.200226,0.201355,572039,8536290
Mar 30 2018,0.186189,0.211522,0.172118,0.201334,617259,7849850
Mar 29 2018,0.218438,0.218593,0.188076,0.188076,718251,9201750
Mar 28 2018,0.217892,0.230019,0.214295,0.216495,648511,9177970
Mar 27 2018,0.231729,0.232640,0.217436,0.218071,610942,9762350
Mar 26 2018,0.245699,0.245699,0.222528,0.231978,667752,10341700
Mar 25 2018,0.257187,0.257752,0.243907,0.244595,824162,10837900
Mar 24 2018,0.282836,0.287056,0.257432,0.257671,727980,11932500
Mar 23 2018,0.270090,0.282274,0.265889,0.282274,774741,11387100
Mar 22 2018,0.288301,0.293069,0.266658,0.269883,630676,12165900
Mar 21 2018,0.279181,0.295190,0.276193,0.288623,758124,11777200
Mar 20 2018,0.281543,0.284920,0.266228,0.279160,531939,11882600
Mar 19 2018,0.230567,0.276847,0.226502,0.276530,844897,9721510
Mar 18 2018,0.245615,0.245914,0.206274,0.229035,803856,10359600
Mar 17 2018,0.267201,0.267201,0.242046,0.245980,663731,11268800
Mar 16 2018,0.262001,0.274056,0.255778,0.268328,612350,11046900
Mar 15 2018,0.267945,0.269734,0.249240,0.262903,616274,11291600
Mar 14 2018,0.297626,0.299172,0.258538,0.264884,761050,12545600
Mar 13 2018,0.287646,0.315102,0.287646,0.296316,708957,12111400
Mar 12 2018,0.290080,0.316511,0.275959,0.289489,847505,12206400
Mar 11 2018,0.276322,0.305713,0.271784,0.290848,745388,11633100
Mar 10 2018,0.317326,0.329899,0.232308,0.276870,770896,13375100
Mar 09 2018,0.318333,0.318971,0.287218,0.317620,699269,13418700
Mar 08 2018,0.353374,0.355159,0.265766,0.318295,796726,14906800
Mar 07 2018,0.369888,0.382559,0.342953,0.351288,745993,15560000
Mar 06 2018,0.386679,0.386977,0.364060,0.370307,794907,16272800
Mar 05 2018,0.379107,0.395959,0.379107,0.387522,785012,15944300
Mar 04 2018,0.385027,0.385143,0.374287,0.381946,712045,16184200
Mar 03 2018,0.381763,0.389717,0.381466,0.385546,751964,16046100
Mar 02 2018,0.390443,0.401723,0.377331,0.381056,742467,16414900
Mar 01 2018,0.408155,0.408155,0.372931,0.392688,1161970,17195300
Feb 28 2018,0.423884,0.430431,0.401390,0.408362,1164420,17862900
Feb 27 2018,0.431698,0.435478,0.418538,0.423813,815260,18198400
Feb 26 2018,0.412250,0.440771,0.411502,0.431404,555104,17379300
Feb 25 2018,0.421286,0.436354,0.402801,0.412478,730106,17770500
Feb 24 2018,0.431894,0.439713,0.413699,0.421418,927297,18220700
Feb 23 2018,0.398919,0.453623,0.390818,0.433786,784594,16796200
Feb 22 2018,0.408803,0.425175,0.387385,0.399183,937123,17211100
Feb 21 2018,0.437365,0.437365,0.406297,0.409420,879535,18412700
Feb 20 2018,0.451619,0.462992,0.438217,0.438647,872155,19019100
Feb 19 2018,0.449648,0.468266,0.425748,0.452635,987160,18947600
Feb 18 2018,0.483671,0.487175,0.452884,0.453708,806645,20376700
Feb 17 2018,0.456366,0.483454,0.452896,0.483027,728131,19226600
Feb 16 2018,0.454774,0.469671,0.437862,0.457769,666094,19141300
Feb 15 2018,0.467448,0.483451,0.443140,0.454561,996369,19655200
Feb 14 2018,0.454658,0.478173,0.453346,0.468740,1022110,19162400
Feb 13 2018,0.489973,0.489973,0.448232,0.454245,718300,20668800
Feb 12 2018,0.461678,0.489860,0.459774,0.487843,904877,19476000
Feb 11 2018,0.469067,0.576679,0.420948,0.460534,1136970,19767200
Feb 10 2018,0.473740,0.498872,0.452583,0.467342,703058,19962000
Feb 09 2018,0.454702,0.477386,0.431545,0.473855,746207,19171400
Feb 08 2018,0.434172,0.481269,0.429922,0.456559,897001,18315800
Feb 07 2018,0.452757,0.485140,0.405706,0.435387,1011900,19105900
Feb 06 2018,0.422846,0.453978,0.347801,0.453978,912869,17853400
