Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.153313,0.194853,0.153313,0.169158,8437590,18346300
Mar 30 2018,0.157911,0.166161,0.145704,0.153132,8662540,18179600
Mar 29 2018,0.204237,0.211384,0.156518,0.158335,5048730,23512800
Mar 28 2018,0.178662,0.240810,0.178662,0.204829,9650920,20568500
Mar 27 2018,0.190758,0.191219,0.175406,0.178450,5523910,21961100
Mar 26 2018,0.191508,0.198862,0.176904,0.191007,7816320,22047400
Mar 25 2018,0.199656,0.200680,0.186586,0.191770,7242020,22985400
Mar 24 2018,0.201534,0.213189,0.200498,0.202141,7108480,23201600
Mar 23 2018,0.189815,0.198671,0.180946,0.198671,7388370,21852500
Mar 22 2018,0.196396,0.201712,0.176792,0.188396,4678000,22610100
Mar 21 2018,0.181853,0.200329,0.180466,0.196728,7786260,20935900
Mar 20 2018,0.173726,0.185823,0.160908,0.181194,5915230,20000200
Mar 19 2018,0.167716,0.174698,0.158451,0.171045,5762750,19308300
Mar 18 2018,0.168970,0.177425,0.139780,0.168399,9546000,19452700
Mar 17 2018,0.182628,0.187926,0.166732,0.169499,5762390,21025100
Mar 16 2018,0.185046,0.192618,0.176961,0.182326,4766020,21303400
Mar 15 2018,0.186079,0.193388,0.168473,0.186229,7685850,21422300
Mar 14 2018,0.198026,0.205341,0.178110,0.186286,5685970,22797800
Mar 13 2018,0.193287,0.202123,0.185479,0.197984,4593390,22252200
Mar 12 2018,0.208612,0.213185,0.191998,0.193977,5784860,24016500
Mar 11 2018,0.194598,0.215465,0.189582,0.209372,3976920,22403100
Mar 10 2018,0.196890,0.222298,0.194304,0.195159,1767960,22665000
Mar 09 2018,0.212628,0.216648,0.182203,0.196917,2867770,24476700
Mar 08 2018,0.215008,0.224739,0.201445,0.213974,5453970,24750700
Mar 07 2018,0.250419,0.255397,0.207851,0.215841,4514020,28827000
Mar 06 2018,0.283736,0.283736,0.246346,0.251332,4799090,32662300
Mar 05 2018,0.310278,0.310882,0.265557,0.284000,8228050,35717700
Mar 04 2018,0.413449,0.413449,0.304838,0.310474,8087880,47594300
Mar 03 2018,0.281963,0.460968,0.281963,0.418550,12574700,32389000
Mar 02 2018,0.206242,0.410766,0.206242,0.280913,8572770,23691000
Mar 01 2018,0.208702,0.213189,0.205953,0.206682,3343320,23973600
Feb 28 2018,0.215078,0.231554,0.208322,0.208486,4414560,24706000
Feb 27 2018,0.207447,0.224544,0.204780,0.215303,5593440,23829400
Feb 26 2018,0.213347,0.213347,0.196663,0.207384,3039440,24507100
Feb 25 2018,0.204082,0.222852,0.188725,0.214337,5742870,23442900
Feb 24 2018,0.220788,0.225942,0.198730,0.203901,3756010,25361900
Feb 23 2018,0.220177,0.234396,0.215224,0.221640,4112040,25291600
Feb 22 2018,0.235335,0.243993,0.213213,0.219913,4503580,27032900
Feb 21 2018,0.272108,0.275300,0.231349,0.235703,3412400,31257000
Feb 20 2018,0.286989,0.304559,0.270305,0.272210,4835540,32825500
Feb 19 2018,0.264347,0.352038,0.263753,0.287076,6395910,30235800
Feb 18 2018,0.303543,0.309023,0.260508,0.266386,3892780,34718900
Feb 17 2018,0.275234,0.314157,0.273942,0.301624,5479910,31480900
Feb 16 2018,0.277882,0.296218,0.269976,0.274990,7851450,31783900
Feb 15 2018,0.272703,0.292361,0.269823,0.279262,5485830,31191500
Feb 14 2018,0.244848,0.277587,0.241677,0.272557,5101220,28005500
Feb 13 2018,0.254410,0.256125,0.238642,0.245414,6138130,29099100
Feb 12 2018,0.243130,0.260575,0.241745,0.253961,4434190,27808900
Feb 11 2018,0.256208,0.259160,0.228197,0.242264,3899610,29304800
Feb 10 2018,0.262463,0.270603,0.239174,0.258854,4013210,30020300
Feb 09 2018,0.258999,0.266373,0.234388,0.260624,6860290,29624000
Feb 08 2018,0.243738,0.308396,0.243738,0.258502,7862180,27878500
Feb 07 2018,0.219426,0.360094,0.204905,0.247771,15354700,24263100
Feb 06 2018,0.209629,0.243390,0.151749,0.221229,10351800,23179800
Feb 05 2018,0.311217,0.319624,0.192856,0.209407,13205600,34412800
Feb 04 2018,0.370329,0.411458,0.283855,0.314845,15098600,40949100
Feb 03 2018,0.337977,0.439138,0.316090,0.370219,17219400,37304200
Feb 02 2018,0.301047,0.376109,0.259874,0.336445,18801000,33228100
Feb 01 2018,0.389169,0.394663,0.289296,0.301711,11983400,42954600
Jan 31 2018,0.341402,0.453350,0.316065,0.388398,19692400,37682200
Jan 30 2018,0.337102,0.366537,0.304096,0.340930,19744000,37207600
Jan 29 2018,0.346187,0.356492,0.318895,0.336984,9293130,38210400
Jan 28 2018,0.342561,0.363409,0.336450,0.346553,17125100,37810100
Jan 27 2018,0.346459,0.351940,0.329865,0.340024,19068100,38240500
Jan 26 2018,0.339338,0.365662,0.316357,0.346672,6885860,37454400
Jan 25 2018,0.350303,0.365998,0.290863,0.340240,16280700,38664600
Jan 24 2018,0.348690,0.360423,0.290663,0.348131,12898100,38486600
Jan 23 2018,0.341535,0.360937,0.299150,0.343279,6576100,37696900
Jan 22 2018,0.352225,0.399760,0.300179,0.342395,3771570,38876800
Jan 21 2018,0.433902,0.468078,0.323198,0.347953,15481800,47891900
Jan 20 2018,0.467729,0.507347,0.432999,0.433672,7686280,51625600
Jan 19 2018,0.456444,0.505951,0.428999,0.460766,11929500,50380000
Jan 18 2018,0.473017,0.519972,0.406121,0.463856,20830800,52209200
Jan 17 2018,0.361871,0.483394,0.311282,0.459490,2907600,39941600
Jan 16 2018,0.501339,0.501339,0.334448,0.362826,3592790,54752200
Jan 15 2018,0.528885,0.557685,0.477074,0.507061,2354020,57760600
Jan 14 2018,0.531526,0.553064,0.469674,0.530098,2218920,58049000
Jan 13 2018,0.544574,0.556382,0.485277,0.532149,2517580,59474000
Jan 12 2018,0.476054,0.560952,0.461887,0.542077,1389500,51990800
Jan 11 2018,0.540934,0.580802,0.460906,0.472949,2576840,59076400
Jan 10 2018,0.507660,0.630518,0.472223,0.549177,2259330,55442600
Jan 09 2018,0.649950,0.690134,0.483107,0.512133,2730220,70982400
Jan 08 2018,0.396750,0.705698,0.362875,0.647585,3821270,43329800
Jan 07 2018,0.264976,0.402138,0.263476,0.402138,2518810,28938500
Jan 06 2018,0.265475,0.274032,0.237507,0.261623,1389360,28993000
Jan 05 2018,0.218086,0.282374,0.214265,0.264079,2100170,23817600
Jan 04 2018,0.238052,0.238232,0.203843,0.217219,1824860,25998100
Jan 03 2018,0.239097,0.259331,0.218979,0.234969,1133930,26112200
Jan 02 2018,0.232167,0.246673,0.215774,0.239122,1776070,25355400
Jan 01 2018,0.247076,0.256807,0.230282,0.234389,951646,26983700
Dec 31 2017,0.239212,0.253581,0.219911,0.247314,1890550,26124800
Dec 30 2017,0.258191,0.258191,0.217605,0.241274,912611,27810200
Dec 29 2017,0.234323,0.263392,0.230414,0.257166,1073390,25239400
Dec 28 2017,0.229918,0.246020,0.212380,0.232792,966272,24765000
Dec 27 2017,0.225348,0.246911,0.220878,0.235532,1182900,24272700
Dec 26 2017,0.233955,0.243675,0.218803,0.225642,1044420,25199800
Dec 25 2017,0.249187,0.255697,0.229618,0.233821,939816,26840400
Dec 24 2017,0.211612,0.249445,0.189258,0.249445,1004680,22793200
Dec 23 2017,0.185359,0.232287,0.182716,0.200468,1673620,19965300
Dec 22 2017,0.244774,0.249728,0.150427,0.181490,559004,26365100
Dec 21 2017,0.281829,0.281829,0.233682,0.243698,1876160,30356400
Dec 20 2017,0.229227,0.305211,0.205933,0.281594,2238300,24690500
Dec 19 2017,0.195045,0.253643,0.186863,0.229467,1902650,21008700
Dec 18 2017,0.199645,0.208777,0.175011,0.195914,774002,21504100
Dec 17 2017,0.181735,0.205963,0.175974,0.202572,482992,19575100
Dec 16 2017,0.170020,0.210892,0.162715,0.179676,712446,18313200
Dec 15 2017,0.163010,0.178058,0.150727,0.170341,637395,17558200
Dec 14 2017,0.171997,0.180023,0.146806,0.161471,326934,18526200
Dec 13 2017,0.184415,0.191052,0.157011,0.172142,586152,19863700
Dec 12 2017,0.178015,0.191142,0.164116,0.181421,958001,19174300
Dec 11 2017,0.160742,0.183867,0.159959,0.181512,308079,17313800
Dec 10 2017,0.177168,0.177168,0.149855,0.160708,569492,19083100
Dec 09 2017,0.184266,0.202861,0.166302,0.175815,397994,19847600
Dec 08 2017,0.154903,0.184041,0.144253,0.184041,377625,16685000
Dec 07 2017,0.154736,0.163681,0.132167,0.160130,795355,16666900
Dec 06 2017,0.178112,0.181583,0.138601,0.153465,726899,19184800
Dec 05 2017,0.186321,0.203418,0.167779,0.178404,1116030,20069000
Dec 04 2017,0.182890,0.205744,0.172891,0.185987,693872,19699500
Dec 03 2017,0.157437,0.193417,0.141969,0.181949,612132,16957900
Dec 02 2017,0.129413,0.164225,0.111912,0.162306,596156,13939400
Dec 01 2017,0.116346,0.134177,0.107352,0.126480,423431,12531900
Nov 30 2017,0.083489,0.127320,0.080807,0.117216,820144,8992760
Nov 29 2017,0.095351,0.097244,0.075643,0.082281,246838,10270400
Nov 28 2017,0.101045,0.110010,0.079191,0.096270,378152,10883700
Nov 27 2017,0.117069,0.120671,0.098120,0.101112,505552,12609700
Nov 26 2017,0.116488,0.123005,0.093692,0.115152,689609,12547200
Nov 25 2017,0.109206,0.139001,0.095354,0.119581,1917760,11762800
Nov 24 2017,0.075229,0.125134,0.073353,0.110254,2201990,8103030
Nov 23 2017,0.055362,0.079157,0.054178,0.075595,969469,5963180
Nov 22 2017,0.050779,0.056759,0.049239,0.055240,265246,5469530
Nov 21 2017,0.050143,0.054075,0.046517,0.050713,247792,5401030
Nov 20 2017,0.046838,0.056051,0.045608,0.050576,935576,5045020
Nov 19 2017,0.046801,0.049044,0.040681,0.046888,404820,5041020
Nov 18 2017,0.042181,0.049374,0.039924,0.046851,585229,4543350
Nov 17 2017,0.037036,0.046746,0.035548,0.042566,544992,3989180
Nov 16 2017,0.038058,0.041460,0.035691,0.036750,343229,4099260
Nov 15 2017,0.033191,0.040089,0.032033,0.038164,95547,3575080
Nov 14 2017,0.029980,0.033650,0.029980,0.033173,349978,3229220
Nov 13 2017,0.029444,0.032940,0.028748,0.031222,241595,3171510
Nov 12 2017,0.034263,0.035981,0.027056,0.029398,309204,3690500
Nov 11 2017,0.030343,0.035794,0.029266,0.034259,498532,3268300
Nov 10 2017,0.030714,0.032104,0.027226,0.030134,545130,3308220
Nov 09 2017,0.031098,0.034543,0.030699,0.030699,339442,3349600
Nov 08 2017,0.031015,0.035604,0.029947,0.031264,619849,3340710
Nov 07 2017,0.028240,0.033476,0.025144,0.031038,250500,3041750
Nov 06 2017,0.027879,0.029502,0.027027,0.028198,194298,3002880
Nov 05 2017,0.028297,0.030776,0.027231,0.027852,497671,3047970
Nov 04 2017,0.029066,0.030976,0.025192,0.028287,6750,3130820
Nov 03 2017,0.026339,0.030271,0.025682,0.029064,189196,2836980
Nov 02 2017,0.026812,0.030412,0.025100,0.026213,165341,2887950
Nov 01 2017,0.030021,0.032498,0.026388,0.026739,198471,3233600
Oct 31 2017,0.035849,0.035971,0.030076,0.030076,220447,3861360
Oct 30 2017,0.034352,0.035830,0.031664,0.035830,218906,3700090
Oct 29 2017,0.037483,0.038791,0.031817,0.034423,451584,4037390
Oct 28 2017,0.038856,0.039770,0.035075,0.037210,329659,4185200
Oct 27 2017,0.035802,0.040530,0.030670,0.038802,32415,3856300
Oct 26 2017,0.034369,0.039021,0.030131,0.035819,321503,3701930
Oct 25 2017,0.026628,0.038032,0.024506,0.034435,235172,2868180
Oct 24 2017,0.020753,0.028298,0.019607,0.026640,164885,2235390
Oct 23 2017,0.022076,0.022349,0.018917,0.020768,234322,2377890
Oct 22 2017,0.021890,0.024334,0.021238,0.022089,120629,2357770
Oct 21 2017,0.022498,0.022709,0.020743,0.021890,132890,2423320
Oct 20 2017,0.025800,0.025839,0.021078,0.022528,147364,2779000
Oct 19 2017,0.026254,0.027759,0.024781,0.025821,204798,2827880
Oct 18 2017,0.026585,0.026942,0.023639,0.026314,104613,2863510
Oct 17 2017,0.028130,0.029299,0.026177,0.026558,361033,3029980
Oct 16 2017,0.025316,0.030427,0.024009,0.028079,89146,2726810
Oct 15 2017,0.030243,0.030508,0.023010,0.025251,204163,3257490
Oct 14 2017,0.033683,0.035326,0.028827,0.030071,249874,3628060
Oct 13 2017,0.030718,0.034051,0.029939,0.033650,273832,3308720
Oct 12 2017,0.032656,0.035282,0.029726,0.030780,160722,3419490
Oct 11 2017,0.027219,0.032671,0.025876,0.032655,115770,2850130
Oct 10 2017,0.027481,0.028628,0.026196,0.027220,114091,2877630
Oct 09 2017,0.031090,0.031095,0.026867,0.027416,160028,3255510
