Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.116095,0.122207,0.115755,0.119441,24,18634
Mar 30 2018,0.120282,0.122254,0.112127,0.116077,23,19306
Mar 29 2018,0.124439,0.133486,0.099316,0.120582,81,19972
Mar 28 2018,0.122019,0.126899,0.121341,0.124294,2,19583
Mar 27 2018,0.127928,0.128338,0.121500,0.122047,2,20530
Mar 26 2018,0.130761,0.130761,0.122965,0.128121,17,20984
Mar 25 2018,0.132988,0.134387,0.131004,0.133705,71,21341
Mar 24 2018,0.139382,0.140655,0.134523,0.134844,72,22366
Mar 23 2018,0.136350,0.137381,0.130052,0.137381,73,21879
Mar 22 2018,0.141882,0.141882,0.133539,0.136353,1,22766
Mar 20 2018,0.146422,0.150509,0.141721,0.150203,2,23492
Mar 19 2018,0.125967,0.145085,0.125193,0.144807,35,20210
Mar 18 2018,0.157731,0.157731,0.112475,0.126500,16,25305
Mar 17 2018,0.163296,0.166374,0.154945,0.158116,40,26197
Mar 16 2018,0.147121,0.152488,0.141613,0.151836,63,23602
Mar 15 2018,0.121301,0.148664,0.113789,0.147204,123,19458
Mar 14 2018,0.134663,0.195448,0.118177,0.121355,1040,21601
Mar 13 2018,0.133877,0.139679,0.130714,0.134579,15,21474
Mar 12 2018,0.141531,0.152803,0.129804,0.134650,37,22701
Mar 11 2018,0.129874,0.130417,0.125440,0.129738,2,20830
Mar 10 2018,0.137043,0.140377,0.129139,0.130323,2,21979
Mar 09 2018,0.184567,0.186744,0.128625,0.136984,142,29601
Mar 08 2018,0.200283,0.200283,0.180167,0.185743,3,32120
Mar 07 2018,0.213307,0.216515,0.209209,0.209652,36,34208
Mar 06 2018,0.224367,0.224945,0.211078,0.213584,37,35980
Mar 05 2018,0.250073,0.253873,0.248358,0.253177,30,40101
Mar 04 2018,0.184524,0.250256,0.179004,0.250256,31,29589
Mar 03 2018,0.177302,0.185377,0.177302,0.184843,38,28430
Mar 02 2018,0.166499,0.279310,0.166499,0.177519,332,26697
Mar 01 2018,0.157559,0.167694,0.156332,0.166928,140,25260
Feb 28 2018,0.160713,0.202884,0.156963,0.157327,7,25765
Feb 27 2018,0.209842,0.220407,0.160550,0.160902,1,33640
Feb 26 2018,0.193744,0.211936,0.144237,0.209237,132,31058
Feb 25 2018,0.145828,0.196468,0.145137,0.193496,92,23376
Feb 24 2018,0.153612,0.153612,0.141322,0.146049,10,24623
Feb 23 2018,0.200344,0.208385,0.195399,0.207253,18,32113
Feb 22 2018,0.200328,0.208766,0.193436,0.200531,41,32109
Feb 21 2018,0.193597,0.202013,0.182798,0.200531,349,31030
