Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,1.02,1.12,1.01,1.09,3016,3604200
Mar 30 2018,1.12,1.12,0.996403,1.02,3671,3942930
Mar 29 2018,1.25,1.25,1.09,1.12,4067,4393750
Mar 28 2018,1.27,1.28,1.22,1.24,6477,4468790
Mar 27 2018,1.32,1.33,1.26,1.27,3714,4653000
Mar 26 2018,1.41,1.42,1.28,1.32,1049,4978330
Mar 25 2018,1.40,1.50,1.34,1.42,9471,4919490
Mar 24 2018,1.47,1.51,1.38,1.42,18329,5167460
Mar 23 2018,1.48,1.48,1.32,1.45,1025,5195430
Mar 22 2018,1.49,1.57,1.42,1.48,5102,5242060
Mar 21 2018,1.43,1.58,1.43,1.50,4352,5006440
Mar 20 2018,1.43,1.56,1.39,1.42,3969,5021970
Mar 19 2018,1.33,1.46,1.29,1.42,11860,4644660
Mar 18 2018,1.42,1.42,1.22,1.33,8169,4968660
Mar 17 2018,1.52,1.52,1.39,1.42,4318,5331990
Mar 16 2018,1.50,1.57,1.45,1.52,8441,5231760
Mar 15 2018,1.56,1.58,1.45,1.50,4234,5464620
Mar 14 2018,1.83,1.87,1.49,1.57,5818,6381030
Mar 13 2018,1.78,1.90,1.63,1.83,30118,6194830
Mar 12 2018,1.74,2.00,1.71,1.79,11147,6047700
Mar 11 2018,1.65,1.83,1.55,1.73,29700,5743640
Mar 10 2018,1.89,1.91,1.59,1.66,11632,6576440
Mar 09 2018,1.89,1.92,1.67,1.89,5764,6565820
Mar 08 2018,2.03,2.15,1.85,1.90,8879,7055770
Mar 07 2018,2.15,2.22,1.90,2.03,3625,7467010
Mar 06 2018,2.40,2.42,2.13,2.15,9332,8312700
Mar 05 2018,2.47,2.47,2.35,2.40,3985,8562560
Mar 04 2018,2.52,2.53,2.38,2.47,34456,8742600
Mar 03 2018,2.33,2.54,2.33,2.53,45220,8059280
Mar 02 2018,2.10,2.65,2.10,2.33,62930,7263740
Mar 01 2018,2.51,2.68,2.02,2.11,11618,8681900
Feb 28 2018,2.02,2.93,1.84,1.84,12547,6981020
Feb 27 2018,1.95,2.12,1.85,2.07,22238,6717210
Feb 26 2018,1.77,1.96,1.68,1.94,12759,6107550
Feb 25 2018,1.77,2.94,1.60,1.77,15431,6088270
Feb 24 2018,1.83,1.96,1.73,1.77,5571,6293220
Feb 23 2018,1.89,1.94,1.80,1.83,6201,6496440
Feb 22 2018,2.03,2.15,1.83,1.89,63191,6967620
Feb 21 2018,2.24,2.25,1.97,2.03,19297,7708020
Feb 20 2018,2.31,2.38,2.22,2.25,13833,7946710
Feb 19 2018,2.15,2.40,2.14,2.31,19964,7363410
Feb 18 2018,2.69,2.72,2.09,2.15,56929,9210190
Feb 17 2018,2.21,2.89,2.18,2.68,67003,7572160
Feb 16 2018,2.22,2.27,2.13,2.21,9011,7597570
Feb 15 2018,2.18,2.36,2.16,2.23,42472,7448210
Feb 14 2018,2.12,2.27,2.09,2.18,10803,7241420
Feb 13 2018,2.30,2.31,2.12,2.15,17675,7871090
Feb 12 2018,1.95,2.32,1.95,2.24,29364,6653130
Feb 11 2018,1.97,2.00,1.78,1.94,11471,6716770
Feb 10 2018,2.10,2.34,1.84,1.92,119624,7155120
Feb 09 2018,1.83,2.15,1.71,2.10,15788,6249500
Feb 08 2018,1.70,2.14,1.70,1.83,42554,5802130
Feb 07 2018,1.56,1.96,1.45,1.71,25866,5289990
Feb 06 2018,1.40,1.59,1.14,1.57,7092,4769760
Feb 05 2018,1.78,1.82,1.33,1.40,10697,6053720
Feb 04 2018,2.13,2.17,1.74,1.80,10152,7241690
Feb 03 2018,1.99,2.22,1.81,2.13,9964,6733780
Feb 02 2018,2.28,2.28,1.78,1.99,43570,7734880
Feb 01 2018,2.83,2.84,2.17,2.29,24075,9573550
Jan 31 2018,2.62,2.82,2.48,2.82,13690,8863660
Jan 30 2018,3.32,3.33,2.48,2.62,47809,11235300
Jan 29 2018,3.63,3.68,3.28,3.32,33045,12266600
Jan 28 2018,3.29,3.67,3.26,3.63,42889,11103300
Jan 27 2018,3.40,3.48,3.22,3.27,35354,11455100
Jan 26 2018,3.28,3.43,3.08,3.40,37993,11048700
Jan 25 2018,3.56,3.74,3.19,3.29,73825,11991800
Jan 24 2018,3.14,3.56,3.04,3.50,43498,10575300
Jan 23 2018,3.23,3.37,2.96,3.14,58186,10853400
Jan 22 2018,3.29,4.19,3.09,3.36,155173,11052700
Jan 21 2018,3.87,3.90,3.09,3.24,16446,12995400
Jan 20 2018,3.41,4.03,3.41,3.92,32878,11443200
Jan 19 2018,3.76,3.86,3.32,3.37,81391,12624500
Jan 18 2018,3.06,4.46,2.98,3.80,112723,10254700
Jan 17 2018,3.24,3.33,2.38,3.05,86570,10861000
Jan 16 2018,4.51,4.51,2.85,3.26,52376,15082400
Jan 15 2018,5.07,5.10,4.24,4.37,160103,16954500
Jan 14 2018,5.50,5.50,4.73,5.11,83725,18363600
Jan 13 2018,5.98,6.03,5.32,5.49,109342,19959100
Jan 12 2018,4.80,6.01,4.66,5.99,229391,16010400
Jan 11 2018,5.21,5.49,4.57,4.74,85353,17356000
Jan 10 2018,5.71,5.76,4.80,5.39,133671,19007600
Jan 09 2018,6.14,6.33,5.55,5.70,154812,20450600
Jan 08 2018,6.69,7.22,5.24,6.03,411247,22248900
Jan 07 2018,5.74,7.32,5.44,6.92,549473,19078200
Jan 06 2018,4.99,6.11,4.93,5.74,330524,16561000
Jan 05 2018,4.61,6.22,4.26,4.98,1161010,15298100
Jan 04 2018,3.94,6.78,3.70,4.71,2504500,13079700
Jan 03 2018,3.56,4.16,3.43,4.01,168761,11779800
Jan 02 2018,3.58,4.04,3.40,3.70,160347,11846200
Jan 01 2018,3.59,3.71,3.31,3.58,152972,11867000
Dec 31 2017,3.11,4.09,3.11,3.57,823000,10277600
Dec 30 2017,3.14,3.64,2.57,3.22,407348,10379700
Dec 29 2017,2.96,3.39,2.88,3.14,291790,9783000
Dec 28 2017,3.12,3.13,2.61,2.89,113525,10285500
Dec 27 2017,3.04,3.44,2.87,3.14,325474,10022300
Dec 26 2017,2.70,3.16,2.58,3.01,372285,8887390
Dec 25 2017,2.41,3.01,2.38,2.70,276008,7932630
Dec 24 2017,2.43,2.43,2.03,2.39,156849,8000280
Dec 23 2017,2.00,2.62,1.95,2.39,102906,6565510
Dec 22 2017,2.39,2.43,1.63,1.98,119588,7836790
Dec 21 2017,2.31,2.62,2.26,2.38,124400,7584530
Dec 20 2017,2.44,2.53,2.21,2.31,74233,7993440
Dec 19 2017,2.76,2.78,2.30,2.44,179437,9053100
Dec 18 2017,2.35,2.74,2.27,2.73,106230,7690960
Dec 17 2017,2.46,2.60,2.29,2.34,94673,8040290
Dec 16 2017,2.09,2.61,2.06,2.44,272269,6817210
Dec 15 2017,2.12,2.17,1.88,2.08,91199,6922760
Dec 14 2017,2.06,2.31,1.96,2.06,131910,6731700
Dec 13 2017,2.10,2.40,1.90,2.07,167047,6861760
Dec 12 2017,1.89,2.16,1.79,2.10,45327,6144380
Dec 11 2017,1.73,2.01,1.72,1.88,35375,5632600
Dec 10 2017,1.98,2.01,1.69,1.74,28195,6444150
Dec 09 2017,2.00,2.24,1.72,1.98,37208,6497380
Dec 08 2017,1.98,2.17,1.56,1.92,49949,6429710
Dec 07 2017,2.10,2.44,1.94,2.05,59272,6828080
Dec 06 2017,1.93,2.19,1.86,2.11,121605,6268310
Dec 05 2017,1.95,2.14,1.87,1.94,120249,6318250
