Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,3.93,4.10,3.89,4.04,222896,32001100
Mar 30 2018,4.16,4.18,3.83,3.93,219451,33908300
Mar 29 2018,4.66,4.67,4.06,4.17,221164,37922100
Mar 28 2018,4.65,4.75,4.48,4.65,300734,37884200
Mar 27 2018,4.81,4.87,4.54,4.64,259719,39182200
Mar 26 2018,4.99,5.07,4.59,4.81,254856,40608400
Mar 25 2018,5.11,5.13,4.71,4.99,401532,41625300
Mar 24 2018,4.97,5.29,4.94,5.17,289531,40449600
Mar 23 2018,5.10,5.13,4.73,4.91,250735,41530000
Mar 22 2018,5.22,5.35,5.00,5.10,245416,42503200
Mar 21 2018,5.39,5.68,5.18,5.18,317730,43869500
Mar 20 2018,5.11,5.42,4.99,5.35,116990,41623100
Mar 19 2018,4.68,5.12,4.59,5.08,223989,38128400
Mar 18 2018,4.82,4.82,4.11,4.68,306953,39255400
Mar 17 2018,4.99,5.23,4.79,4.81,294202,40626600
Mar 16 2018,4.87,5.09,4.73,5.00,250116,39646100
Mar 15 2018,4.79,4.94,4.56,4.87,218083,39012300
Mar 14 2018,5.51,5.56,4.75,4.79,258208,44892500
Mar 13 2018,5.37,5.55,5.28,5.51,252348,43726400
Mar 12 2018,5.42,5.64,5.32,5.39,296779,44112900
Mar 11 2018,5.14,5.77,5.00,5.41,346386,41885200
Mar 10 2018,5.47,5.67,5.09,5.16,308296,44577900
Mar 09 2018,5.49,5.53,5.04,5.48,209955,44684700
Mar 08 2018,5.90,6.06,5.45,5.50,191608,48032600
Mar 07 2018,6.42,6.50,5.74,5.90,121738,52314500
Mar 06 2018,6.82,6.87,6.33,6.43,137673,55572300
Mar 05 2018,6.84,6.96,6.78,6.82,252844,55729600
Mar 04 2018,6.75,6.85,6.59,6.84,266100,54972600
Mar 03 2018,6.43,6.88,6.43,6.75,359965,52357200
Mar 02 2018,6.46,6.59,6.34,6.44,288190,52618500
Mar 01 2018,6.32,6.56,6.25,6.47,306966,51455600
Feb 28 2018,6.47,6.67,6.31,6.31,219043,52686500
Feb 27 2018,6.41,6.81,6.35,6.47,300794,52213600
Feb 26 2018,6.06,6.43,6.06,6.39,101128,49375300
Feb 25 2018,6.16,6.46,5.95,6.06,320802,50213800
Feb 24 2018,6.39,6.52,6.03,6.17,232676,52064400
Feb 23 2018,5.84,6.64,5.74,6.39,192463,47573800
Feb 22 2018,6.04,6.24,5.84,5.84,200109,49176000
Feb 21 2018,6.58,6.58,5.90,6.04,236237,53596300
Feb 20 2018,6.77,6.81,6.52,6.59,103716,55132700
Feb 19 2018,6.69,6.85,6.49,6.76,258551,54514500
Feb 18 2018,7.09,7.21,6.68,6.73,254233,57737700
Feb 17 2018,6.45,7.08,6.44,7.08,221214,52503600
Feb 16 2018,6.36,6.56,6.27,6.45,131690,51825100
Feb 15 2018,5.99,6.45,5.92,6.38,153208,48808300
Feb 14 2018,5.50,6.04,5.50,5.99,100442,44779000
Feb 13 2018,5.48,5.90,5.41,5.50,329606,44647100
Feb 12 2018,4.93,5.55,4.92,5.47,320748,40121600
Feb 11 2018,5.36,5.36,4.89,4.89,143859,43631300
