Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.000205,0.000216,0.000205,0.000208,1,-
Mar 30 2018,0.000200,0.000208,0.000198,0.000205,1,-
Mar 28 2018,0.000234,0.000243,0.000232,0.000242,2,-
Mar 27 2018,0.000245,0.000246,0.000233,0.000234,2,-
Mar 26 2018,0.000169,0.000247,0.000161,0.000245,2,-
Mar 25 2018,0.000170,0.000174,0.000168,0.000169,2,-
Mar 24 2018,0.000178,0.000180,0.000172,0.000172,2,-
Mar 23 2018,0.000174,0.000176,0.000166,0.000176,1,-
Mar 22 2018,0.000174,0.000175,0.000170,0.000174,2,-
Mar 21 2018,0.000267,0.000275,0.000264,0.000267,3,-
Mar 20 2018,0.000259,0.000270,0.000169,0.000267,5,-
Mar 19 2018,0.000246,0.000256,0.000165,0.000256,8,-
Mar 18 2018,0.000158,0.000247,0.000146,0.000247,57,-
Mar 17 2018,0.000166,0.000250,0.000157,0.000158,8,-
Mar 16 2018,0.000248,0.000257,0.000166,0.000166,94,-
Mar 15 2018,0.000242,0.000252,0.000231,0.000248,14,-
Mar 14 2018,0.000274,0.000281,0.000271,0.000271,17,-
Mar 13 2018,0.000273,0.000284,0.000266,0.000274,17,-
Mar 12 2018,0.000286,0.000296,0.000188,0.000274,15,-
Mar 11 2018,0.000176,0.000292,0.000170,0.000287,191,-
Mar 10 2018,0.000278,0.000285,0.000175,0.000176,29,-
Mar 09 2018,0.000186,0.000279,0.000168,0.000278,7,-
Mar 08 2018,0.000297,0.000300,0.000181,0.000187,11,-
Mar 07 2018,0.000214,0.000321,0.000209,0.000297,16,-
Mar 06 2018,0.000230,0.000339,0.000212,0.000215,23,-
Mar 05 2018,0.000345,0.000350,0.000231,0.000231,99,-
Mar 04 2018,0.000229,0.000345,0.000222,0.000345,40,-
Mar 03 2018,0.000331,0.000345,0.000226,0.000229,131,-
Mar 02 2018,0.000333,0.000335,0.000324,0.000331,153,-
Mar 01 2018,0.000310,0.000324,0.000307,0.000324,2,-
Feb 28 2018,0.000320,0.000331,0.000309,0.000309,1,-
Feb 27 2018,0.000412,0.000428,0.000211,0.000320,58,-
Feb 26 2018,0.000383,0.000414,0.000204,0.000308,605,-
Feb 25 2018,0.000388,0.000395,0.000373,0.000383,38,-
Feb 24 2018,0.000304,0.000393,0.000192,0.000388,25,-
Feb 23 2018,0.000197,0.000414,0.000193,0.000305,74,-
Feb 22 2018,0.000198,0.000203,0.000195,0.000197,2,-
Feb 21 2018,0.000336,0.000337,0.000321,0.000331,1,-
Feb 20 2018,0.000335,0.000353,0.000333,0.000337,1,-
Feb 19 2018,0.000312,0.000338,0.000311,0.000335,2,-
Feb 18 2018,0.000444,0.000451,0.000312,0.000313,1,-
