Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.001768,0.001857,0.001652,0.001747,298274,50008100
Mar 30 2018,0.001578,0.001838,0.001482,0.001768,843746,44644400
Mar 29 2018,0.002075,0.002134,0.001569,0.001572,706150,58708900
Mar 28 2018,0.002254,0.002340,0.001994,0.002073,946342,63763100
Mar 27 2018,0.002109,0.002405,0.001907,0.002241,1121340,59265500
Mar 26 2018,0.002346,0.002441,0.001834,0.002058,1080370,65927400
Mar 25 2018,0.001707,0.002574,0.001696,0.002379,1983490,47976000
Mar 24 2018,0.001835,0.001864,0.001680,0.001729,401920,51579500
Mar 23 2018,0.001809,0.001810,0.001614,0.001764,396828,50825800
Mar 22 2018,0.001803,0.001877,0.001638,0.001809,354571,50658400
Mar 21 2018,0.001706,0.001921,0.001705,0.001803,267818,47861200
Mar 20 2018,0.001648,0.001804,0.001501,0.001700,264432,45966000
Mar 19 2018,0.001558,0.001708,0.001475,0.001688,297457,43455300
Mar 18 2018,0.001582,0.001647,0.001277,0.001548,544464,44114700
Mar 17 2018,0.001840,0.001842,0.001568,0.001654,370168,51328800
Mar 16 2018,0.001673,0.001956,0.001517,0.001765,532861,46666800
Mar 15 2018,0.001833,0.002989,0.001419,0.001722,1023830,51104900
Mar 14 2018,0.002117,0.002243,0.001714,0.001764,497267,58652600
Mar 13 2018,0.002211,0.002287,0.002066,0.002117,373694,59392200
Mar 12 2018,0.002402,0.002514,0.002143,0.002191,311979,64517500
Mar 11 2018,0.002364,0.002591,0.002118,0.002281,319798,63492700
Mar 10 2018,0.002602,0.002705,0.002169,0.002371,281937,69897600
Mar 09 2018,0.002378,0.002678,0.001987,0.002668,499291,63863400
Mar 08 2018,0.002488,0.002904,0.002214,0.002391,777176,66838200
Mar 07 2018,0.002782,0.003099,0.002164,0.002494,779937,74124400
Mar 06 2018,0.003248,0.003305,0.002716,0.002785,606582,86534200
Mar 05 2018,0.003248,0.003386,0.003032,0.003139,651034,86557000
Mar 04 2018,0.003346,0.003448,0.002983,0.003352,615115,89159900
Mar 03 2018,0.003333,0.003442,0.003042,0.003275,424451,88808900
Mar 02 2018,0.003405,0.003465,0.003089,0.003416,455032,90622600
Mar 01 2018,0.003414,0.003502,0.003045,0.003413,463164,90867400
Feb 28 2018,0.003512,0.003974,0.003054,0.003054,534781,93488000
Feb 27 2018,0.003494,0.004002,0.003048,0.003103,930931,92412200
Feb 26 2018,0.003493,0.003875,0.003317,0.003739,1416610,92399900
Feb 25 2018,0.003717,0.003787,0.003355,0.003568,667905,98319300
Feb 24 2018,0.003843,0.004047,0.003394,0.003796,496123,101667000
Feb 23 2018,0.003626,0.004077,0.003371,0.003929,613134,95914000
Feb 22 2018,0.004016,0.004095,0.003398,0.003629,726478,106236000
Feb 21 2018,0.004391,0.004391,0.003612,0.003937,827350,115171000
Feb 20 2018,0.004770,0.004831,0.004073,0.004319,1415980,125113000
Feb 19 2018,0.003905,0.004774,0.003905,0.004691,1357450,102427000
Feb 18 2018,0.004333,0.004603,0.003889,0.004098,738734,113674000
Feb 17 2018,0.004111,0.004622,0.004078,0.004529,978353,107849000
Feb 16 2018,0.004407,0.004460,0.003940,0.004111,789515,115371000
Feb 15 2018,0.003989,0.004604,0.003882,0.004422,1363610,83651800
Feb 14 2018,0.003642,0.004286,0.003357,0.003987,1109190,76375500
Feb 13 2018,0.003544,0.003881,0.002975,0.003657,767926,74327900
Feb 12 2018,0.003352,0.003748,0.003017,0.003483,1204650,70303900
Feb 11 2018,0.003718,0.003803,0.002845,0.003284,821490,77967100
Feb 10 2018,0.003867,0.004028,0.003294,0.003428,1266430,81100100
Feb 09 2018,0.003596,0.003957,0.003190,0.003866,902050,75407200
Feb 08 2018,0.003311,0.004056,0.003311,0.003419,1083160,69443600
Feb 07 2018,0.003677,0.004078,0.003128,0.003323,1315010,77101900
Feb 06 2018,0.002837,0.003864,0.002143,0.003758,2021800,59498100
Feb 05 2018,0.003657,0.003789,0.002395,0.002785,1759590,76680800
Feb 04 2018,0.004482,0.004716,0.003434,0.003692,1923660,93986600
Feb 03 2018,0.003905,0.004845,0.003431,0.004599,2539840,81891800
Feb 02 2018,0.003745,0.004144,0.002688,0.003889,2563820,78539000
Feb 01 2018,0.005060,0.005129,0.003403,0.003755,3890730,106114000
Jan 31 2018,0.005161,0.005255,0.003903,0.004985,4424450,108231000
Jan 30 2018,0.006476,0.006476,0.004617,0.005222,3131770,135796000
Jan 29 2018,0.007041,0.007159,0.005990,0.006472,4303240,147657000
Jan 28 2018,0.007211,0.007783,0.006257,0.006679,5643160,151220000
Jan 27 2018,0.007343,0.007447,0.006646,0.007094,4477210,153982000
Jan 26 2018,0.006099,0.007489,0.006017,0.007063,5616650,127897000
Jan 25 2018,0.006243,0.006800,0.005519,0.006437,4808480,130911000
Jan 24 2018,0.006929,0.007086,0.005901,0.006162,5694840,145316000
Jan 23 2018,0.007193,0.007869,0.006015,0.006932,6797740,150842000
Jan 22 2018,0.009244,0.009574,0.006158,0.007480,10660000,186601000
Jan 21 2018,0.011071,0.011103,0.008515,0.008885,10352800,223484000
Jan 20 2018,0.008402,0.011780,0.008159,0.011132,36150600,169608000
Jan 19 2018,0.007133,0.008325,0.006071,0.008325,15603100,143994000
Jan 18 2018,0.004591,0.008505,0.004443,0.007200,15296600,-
Jan 17 2018,0.004989,0.005347,0.003257,0.004540,477139,-
Jan 16 2018,0.006056,0.006077,0.004112,0.004935,573317,-
Jan 15 2018,0.004678,0.007141,0.004678,0.006031,842193,-
