Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.000371,0.000379,0.000248,0.000349,10,-
Mar 30 2018,0.000393,0.000458,0.000365,0.000370,137,-
Mar 29 2018,0.000366,0.000444,0.000261,0.000393,164,-
Mar 28 2018,0.000236,0.000429,0.000235,0.000366,75,-
Mar 27 2018,0.000457,0.000457,0.000226,0.000236,98,-
Mar 26 2018,0.000575,0.000589,0.000437,0.000457,27,-
Mar 25 2018,0.000521,0.000584,0.000503,0.000574,57,-
Mar 24 2018,0.000276,0.000564,0.000274,0.000527,214,-
Mar 23 2018,0.000330,0.000519,0.000268,0.000272,24,-
Mar 22 2018,0.000516,0.000526,0.000223,0.000330,273,-
Mar 21 2018,0.000381,0.000585,0.000379,0.000516,31,-
Mar 20 2018,0.000346,0.000392,0.000233,0.000378,13,-
Mar 19 2018,0.000494,0.000511,0.000329,0.000344,61,-
Mar 18 2018,0.000470,0.000612,0.000407,0.000495,137,-
Mar 17 2018,0.000436,0.000476,0.000415,0.000469,74,-
Mar 16 2018,0.000483,0.000524,0.000381,0.000436,28,-
Mar 15 2018,0.000524,0.000597,0.000482,0.000483,34,-
Mar 14 2018,0.000551,0.000652,0.000520,0.000524,124,-
Mar 13 2018,0.000257,0.000584,0.000256,0.000552,45,-
Mar 12 2018,0.000345,0.000350,0.000185,0.000258,42,-
Mar 11 2018,0.000384,0.000573,0.000313,0.000345,17,-
Mar 10 2018,0.000569,0.000629,0.000345,0.000386,61,-
Mar 09 2018,0.000298,0.000568,0.000239,0.000567,64,-
Mar 08 2018,0.000399,0.000436,0.000192,0.000300,50,-
Mar 07 2018,0.000702,0.000712,0.000368,0.000399,131,-
Mar 06 2018,0.000888,0.000915,0.000489,0.000703,854,-
Mar 05 2018,0.000841,0.000988,0.000768,0.000886,374,-
Mar 04 2018,0.000772,0.000838,0.000568,0.000768,451,-
Mar 03 2018,0.000808,0.000914,0.000669,0.000773,384,-
Mar 02 2018,0.001062,0.001151,0.000772,0.000809,963,-
Mar 01 2018,0.001146,0.001151,0.000610,0.001062,770,-
Feb 28 2018,0.000983,0.001167,0.000788,0.001143,433,-
Feb 27 2018,0.000662,0.001011,0.000535,0.000984,298,-
Feb 26 2018,0.000536,0.000947,0.000518,0.000663,460,-
Feb 25 2018,0.000753,0.000830,0.000462,0.000537,542,-
Feb 24 2018,0.000523,0.000861,0.000507,0.000754,255,-
Feb 23 2018,0.001079,0.001087,0.000435,0.000524,100,-
Feb 22 2018,0.001045,0.001133,0.000970,0.001081,343,-
Feb 21 2018,0.001075,0.001125,0.000909,0.001046,151,-
Feb 20 2018,0.000542,0.001763,0.000540,0.001075,949,-
Feb 19 2018,0.001239,0.001258,0.000629,0.000629,417,-
Feb 18 2018,0.001323,0.001333,0.001034,0.001240,92,-
Feb 17 2018,0.001176,0.001333,0.001151,0.001328,597,-
Feb 16 2018,0.001215,0.001248,0.001133,0.001178,472,-
Feb 15 2018,0.000870,0.001342,0.000867,0.001256,395,-
Feb 14 2018,0.000517,0.000956,0.000477,0.000844,917,-
Feb 13 2018,0.000408,0.000518,0.000301,0.000518,319,-
Feb 12 2018,0.001013,0.001028,0.000389,0.000408,1272,-
Feb 11 2018,0.000886,0.001048,0.000518,0.001015,174,-
Feb 10 2018,0.000901,0.001260,0.000771,0.000887,818,-
Feb 09 2018,0.000561,0.000904,0.000540,0.000904,455,-
Feb 08 2018,0.000910,0.001006,0.000554,0.000560,559,-
Feb 07 2018,0.000752,0.001016,0.000728,0.000914,271,-
Feb 06 2018,0.000385,0.001109,0.000276,0.000758,1288,-
Feb 05 2018,0.000450,0.000456,0.000280,0.000385,90,-
Feb 04 2018,0.000617,0.000617,0.000359,0.000446,82,-
Feb 03 2018,0.001041,0.001045,0.000594,0.000613,899,-
Feb 02 2018,0.000834,0.001075,0.000562,0.001033,1136,-
Feb 01 2018,0.001209,0.001301,0.000827,0.000846,688,-
Jan 31 2018,0.001197,0.001458,0.000923,0.001206,1390,-
Jan 30 2018,0.001294,0.001313,0.000732,0.001195,1718,-
Jan 29 2018,0.001375,0.001396,0.001117,0.001291,809,-
Jan 28 2018,0.001610,0.001617,0.001291,0.001319,1657,-
Jan 27 2018,0.000823,0.002220,0.000660,0.001603,9576,-
Jan 26 2018,0.001299,0.001418,0.000780,0.000827,315,-
Jan 25 2018,0.001162,0.001417,0.001048,0.001296,1475,-
Jan 24 2018,0.001480,0.001734,0.000543,0.001156,4188,-
Jan 23 2018,0.001403,0.001666,0.001101,0.001479,1321,-
Jan 22 2018,0.001213,0.001683,0.001086,0.001404,2961,-
Jan 21 2018,0.000512,0.001883,0.000472,0.001260,3093,-
Jan 20 2018,0.000847,0.001170,0.000381,0.000510,438,-
Jan 19 2018,0.001259,0.001259,0.000647,0.000840,1257,-
Jan 18 2018,0.000752,0.001301,0.000707,0.001263,542,-
Jan 17 2018,0.001164,0.001291,0.000674,0.000750,1371,-
Jan 16 2018,0.001827,0.001832,0.001033,0.001170,401,-
Jan 15 2018,0.001757,0.002027,0.001659,0.001826,1366,-
Jan 14 2018,0.002257,0.002280,0.001726,0.001726,756,-
Jan 13 2018,0.001872,0.002262,0.001524,0.002262,4019,-
Jan 12 2018,0.002160,0.007251,0.001787,0.001879,2992,-
Jan 11 2018,0.002425,0.002614,0.001826,0.002159,3820,-
Jan 10 2018,0.001963,0.002415,0.001650,0.002396,4731,-
Jan 09 2018,0.001659,0.001996,0.001185,0.001961,2919,-
Jan 08 2018,0.001324,0.002016,0.001215,0.001661,4525,-
Jan 07 2018,0.001646,0.001680,0.000981,0.001321,5487,-
Jan 06 2018,0.000716,0.001682,0.000716,0.001650,2992,-
Jan 05 2018,0.000860,0.000869,0.000500,0.000721,3339,-
Jan 04 2018,0.000999,0.001088,0.000776,0.000858,924,-
Jan 03 2018,0.000894,0.001123,0.000480,0.000996,1618,-
Jan 02 2018,0.000940,0.001148,0.000716,0.000896,1598,-
Jan 01 2018,0.001102,0.001108,0.000779,0.000938,517,-
Dec 31 2017,0.000720,0.001123,0.000710,0.001106,1151,-
Dec 30 2017,0.000980,0.000983,0.000628,0.000723,585,-
Dec 29 2017,0.000883,0.001076,0.000706,0.000984,689,-
Dec 28 2017,0.000624,0.000875,0.000577,0.000875,2269,-
Dec 27 2017,0.000584,0.000771,0.000448,0.000626,2996,-
Dec 26 2017,0.000311,0.000715,0.000311,0.000477,1587,-
Dec 25 2017,0.000337,0.000523,0.000322,0.000322,3733,-
Dec 24 2017,0.000568,0.000568,0.000277,0.000335,2829,-
Dec 23 2017,0.000668,0.000776,0.000497,0.000568,567,-
Dec 22 2017,0.000487,0.000795,0.000336,0.000669,249,-
Dec 21 2017,0.000696,0.000836,0.000474,0.000487,514,-
Dec 20 2017,0.000638,0.000742,0.000379,0.000515,744,-
Dec 19 2017,0.000962,0.000965,0.000604,0.000632,190,-
Dec 18 2017,0.001356,0.001411,0.000601,0.000954,1450,-
Dec 17 2017,0.000742,0.001634,0.000414,0.001360,6811,-
Dec 16 2017,0.000390,0.000747,0.000262,0.000719,835,-
Dec 15 2017,0.000337,0.000442,0.000270,0.000393,37,-
Dec 14 2017,0.000216,0.000471,0.000214,0.000333,166,-
Dec 13 2017,0.000305,0.000391,0.000212,0.000214,394,-
Dec 12 2017,0.000273,0.000368,0.000230,0.000305,907,-
Dec 11 2017,0.000268,0.000281,0.000166,0.000270,147,-
Dec 10 2017,0.000221,0.000301,0.000136,0.000275,28,-
Dec 09 2017,0.000166,0.000321,0.000138,0.000221,72,-
Dec 08 2017,0.000198,0.000234,0.000158,0.000166,879,-
Dec 07 2017,0.000164,0.000613,0.000162,0.000198,58,-
Dec 06 2017,0.000127,0.000242,0.000126,0.000162,85,-
Dec 05 2017,0.000305,0.000483,0.000124,0.000128,42,-
Dec 04 2017,0.000143,0.000542,0.000142,0.000304,762,-
Dec 03 2017,0.000109,0.000227,0.000109,0.000142,19,-
Dec 02 2017,0.000122,0.000130,0.000109,0.000109,37,-
Dec 01 2017,0.000180,0.000186,0.000105,0.000122,62,-
Nov 30 2017,0.000118,0.000216,0.000106,0.000181,21,-
Nov 29 2017,0.000267,0.000291,0.000114,0.000116,11,-
Nov 28 2017,0.000108,0.000266,0.000100,0.000261,1,-
Nov 27 2017,0.000155,0.000197,0.000105,0.000107,22,-
Nov 26 2017,0.000224,0.000261,0.000100,0.000155,28,-
Nov 25 2017,0.000340,0.000362,0.000190,0.000224,12,-
Nov 24 2017,0.000208,0.000344,0.000082,0.000344,413,-
Nov 23 2017,0.000090,0.000231,0.000085,0.000212,306,-
Nov 22 2017,0.000219,0.000222,0.000082,0.000090,1369,-
Nov 21 2017,0.000180,0.000284,0.000124,0.000219,2,-
Nov 20 2017,0.000229,0.000231,0.000127,0.000180,201,-
Nov 19 2017,0.000308,0.000435,0.000161,0.000231,168,-
Nov 18 2017,0.000302,0.000365,0.000097,0.000305,111,-
Nov 17 2017,0.000240,0.000348,0.000207,0.000302,26,-
Nov 16 2017,0.000162,0.000243,0.000159,0.000240,56,-
Nov 15 2017,0.000257,0.000264,0.000096,0.000161,6,-
Nov 14 2017,0.000240,0.000260,0.000231,0.000256,27,-
Nov 13 2017,0.000236,0.000263,0.000220,0.000240,9,-
Nov 12 2017,0.000322,0.000322,0.000177,0.000236,139,-
Nov 11 2017,0.000182,0.000367,0.000119,0.000321,34,-
Nov 10 2017,0.000427,0.000440,0.000116,0.000183,221,-
Nov 09 2017,0.000278,0.000571,0.000073,0.000422,3390,-
Nov 08 2017,0.000146,0.000308,0.000145,0.000278,174,-
