Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.026460,0.030327,0.026460,0.030215,1858,1978860
Mar 30 2018,0.025785,0.028911,0.024291,0.026456,970,1928190
Mar 29 2018,0.029303,0.029351,0.025028,0.025849,773,2191170
Mar 28 2018,0.029746,0.032844,0.029025,0.029269,1571,2224200
Mar 27 2018,0.035862,0.035977,0.027590,0.029752,1463,2681480
Mar 26 2018,0.032072,0.036115,0.029547,0.035916,6526,2398000
Mar 25 2018,0.035458,0.037920,0.031986,0.032096,1766,2651020
Mar 24 2018,0.039212,0.039212,0.035102,0.035953,1032,2931700
Mar 23 2018,0.041766,0.041766,0.035541,0.038649,5582,3121310
Mar 22 2018,0.041898,0.043290,0.039101,0.041767,2398,3131120
Mar 21 2018,0.041850,0.044791,0.039976,0.041974,1063,3126840
Mar 20 2018,0.043461,0.044547,0.038325,0.041775,2020,3246890
Mar 19 2018,0.038576,0.043398,0.038352,0.042982,1799,2881710
Mar 18 2018,0.035805,0.040474,0.034006,0.038740,3789,2674380
Mar 17 2018,0.036858,0.040862,0.034654,0.035892,6289,2753030
Mar 16 2018,0.038164,0.042518,0.034396,0.036798,11720,2850530
Mar 15 2018,0.043169,0.043440,0.035847,0.039012,5902,3224110
Mar 14 2018,0.047393,0.050147,0.036620,0.043189,3009,3537740
Mar 13 2018,0.043899,0.050436,0.043340,0.047387,1524,3276790
Mar 12 2018,0.048772,0.050041,0.043662,0.044152,2156,3640250
Mar 11 2018,0.043876,0.055070,0.040376,0.048926,3352,3274660
Mar 10 2018,0.053706,0.056553,0.043039,0.044028,8899,4008200
Mar 09 2018,0.051857,0.054434,0.046471,0.053683,4701,3870210
Mar 08 2018,0.057860,0.060095,0.051550,0.054994,3487,4318160
Mar 07 2018,0.066993,0.068879,0.049547,0.057942,13297,4999640
Mar 06 2018,0.071908,0.072528,0.066330,0.067080,8578,5366230
Mar 05 2018,0.072435,0.074624,0.071406,0.072107,5633,5404790
Mar 04 2018,0.071613,0.073503,0.069471,0.072488,6231,5343190
Mar 03 2018,0.070855,0.074805,0.067631,0.071852,11844,5282700
Mar 02 2018,0.075562,0.078639,0.068554,0.070941,5893,5633420
Mar 01 2018,0.067112,0.084834,0.064256,0.075757,39124,5003230
Feb 28 2018,0.068039,0.080491,0.055677,0.066189,34547,5072110
Feb 27 2018,0.056198,0.067851,0.052035,0.067799,21131,4189320
Feb 26 2018,0.048604,0.056037,0.045835,0.056037,10805,3622240
Feb 25 2018,0.041208,0.052055,0.040651,0.048542,4942,3070000
Feb 24 2018,0.045153,0.046575,0.037934,0.041271,5713,3361950
Feb 23 2018,0.051686,0.051686,0.043304,0.045210,3599,3848030
Feb 22 2018,0.057251,0.064358,0.041902,0.051734,40420,4262350
Feb 21 2018,0.041613,0.057310,0.030094,0.057310,30623,3097940
Feb 20 2018,0.049378,0.054257,0.041220,0.041665,16891,3675920
Feb 19 2018,0.051211,0.056106,0.048933,0.049333,9541,3812380
Feb 18 2018,0.056577,0.060556,0.047554,0.051448,9176,4211680
Feb 17 2018,0.047196,0.064537,0.045539,0.056404,24552,3513250
Feb 16 2018,0.045710,0.049843,0.041875,0.046697,8291,3400500
Feb 15 2018,0.047375,0.051743,0.042968,0.049250,15499,3524190
Feb 14 2018,0.047825,0.055662,0.045567,0.047349,14123,3557650
Feb 13 2018,0.059525,0.062642,0.047591,0.047968,13166,4427460
Feb 12 2018,0.061122,0.065988,0.057793,0.059416,12516,4546030
Feb 11 2018,0.066004,0.066004,0.057124,0.060735,7173,4908530
Feb 10 2018,0.060822,0.073730,0.060249,0.066060,9904,4523040
Feb 09 2018,0.066040,0.069501,0.055586,0.060778,9461,4901790
Feb 08 2018,0.061055,0.068998,0.050968,0.065837,34911,4531360
Feb 07 2018,0.063670,0.078164,0.060590,0.061300,20867,4725350
Feb 06 2018,0.070583,0.074590,0.050882,0.064236,39887,5238140
Feb 05 2018,0.086232,0.098239,0.056354,0.070494,29801,6398670
Feb 04 2018,0.088375,0.111666,0.081758,0.087077,67753,6557370
Feb 03 2018,0.055569,0.128030,0.049614,0.088330,136002,4120840
Feb 02 2018,0.080462,0.080462,0.045179,0.054939,52583,5962120
Feb 01 2018,0.106789,0.111369,0.072093,0.080628,69605,7909520
Jan 31 2018,0.097964,0.121840,0.072161,0.103193,325994,7255420
Jan 30 2018,0.151421,0.168143,0.096969,0.103611,631727,11203500
Jan 29 2018,0.086187,0.145325,0.080081,0.145325,600687,6376200
Jan 28 2018,0.055031,0.088945,0.046098,0.086153,554445,4069930
Jan 27 2018,0.023920,0.079416,0.023314,0.054751,354366,1768970
Jan 26 2018,0.025780,0.027592,0.021448,0.023936,2146,1906520
Jan 25 2018,0.028758,0.029570,0.023779,0.025849,2670,2126600
Jan 24 2018,0.028942,0.030809,0.024186,0.028293,4567,2140040
Jan 23 2018,0.032810,0.033177,0.025319,0.028959,6869,2426020
Jan 22 2018,0.035172,0.038497,0.029603,0.032897,2326,2600690
Jan 21 2018,0.044131,0.045585,0.033072,0.034698,7539,3262860
Jan 20 2018,0.042859,0.049099,0.039189,0.044028,6342,3168580
Jan 19 2018,0.039356,0.044970,0.033765,0.042398,20991,2909490
Jan 18 2018,0.036425,0.045715,0.032291,0.039774,4022,2692250
Jan 17 2018,0.038835,0.039933,0.026247,0.036285,8743,2870300
Jan 16 2018,0.050834,0.051943,0.031884,0.034441,18285,3757010
Jan 15 2018,0.045722,0.053533,0.041629,0.051726,225173,3378950
Jan 14 2018,0.047966,0.048317,0.038360,0.045780,13759,3544720
Jan 13 2018,0.044941,0.052879,0.041769,0.047934,17813,3321140
Jan 12 2018,0.040351,0.051394,0.032239,0.045271,9662,2981860
Jan 11 2018,0.039401,0.044715,0.031901,0.040086,14088,2911610
Jan 10 2018,0.045128,0.053824,0.034676,0.039446,19969,3331980
Jan 09 2018,0.051053,0.055963,0.036134,0.045069,32714,3766710
Jan 08 2018,0.047389,0.051257,0.034658,0.051192,52057,3496400
Jan 07 2018,0.025976,0.048060,0.025063,0.047456,83655,1916490
Jan 06 2018,0.033055,0.038655,0.025989,0.025995,6551,2437660
Jan 05 2018,0.035395,0.038257,0.027833,0.033729,12668,2610280
Jan 04 2018,0.033511,0.037407,0.027783,0.028835,7194,2471220
Jan 03 2018,0.033907,0.038628,0.029726,0.033363,4583,2500010
Jan 02 2018,0.037208,0.043968,0.029602,0.033874,5658,2742830
Jan 01 2018,0.038809,0.041073,0.028314,0.037215,17646,2860800
Dec 31 2017,0.025815,0.043804,0.025815,0.038751,28457,1902730
Dec 30 2017,0.023663,0.029371,0.021829,0.026066,11459,1743990
Dec 29 2017,0.020404,0.024804,0.019005,0.023727,27537,1503630
Dec 28 2017,0.014317,0.020682,0.014317,0.020192,35031,1055050
Dec 27 2017,0.013525,0.019262,0.012049,0.014028,5143,996700
Dec 26 2017,0.014608,0.019065,0.011818,0.013509,1887,1075720
Dec 25 2017,0.013828,0.014796,0.011372,0.014590,1537,1018310
Dec 24 2017,0.013179,0.014298,0.011868,0.013709,3433,970421
Dec 23 2017,0.013133,0.016349,0.010992,0.013015,5804,966899
Dec 22 2017,0.010854,0.014052,0.008580,0.012987,3712,798330
Dec 21 2017,0.010717,0.011446,0.008032,0.010820,5444,788223
Dec 20 2017,0.012117,0.012806,0.007873,0.010689,7054,890936
Dec 19 2017,0.012838,0.013040,0.009302,0.012086,2747,943975
Dec 18 2017,0.013020,0.013148,0.008142,0.012828,11017,957309
Dec 17 2017,0.012408,0.014403,0.010389,0.013021,451,912208
Dec 16 2017,0.010237,0.015040,0.009566,0.012337,1968,752535
Dec 15 2017,0.011072,0.012066,0.010167,0.010224,517,813912
Dec 14 2017,0.009923,0.011488,0.009364,0.011055,684,729410
Dec 13 2017,0.011638,0.012012,0.009678,0.009926,653,855469
Dec 12 2017,0.012110,0.012124,0.009611,0.011625,1185,890190
Dec 11 2017,0.009564,0.012359,0.009527,0.012063,289,702972
Dec 10 2017,0.010812,0.011211,0.007700,0.009641,3676,794554
Dec 09 2017,0.011371,0.013707,0.008634,0.010771,2755,835522
Dec 08 2017,0.013824,0.014007,0.009540,0.011375,371,1015460
Dec 07 2017,0.012157,0.014068,0.010382,0.013793,1211,892873
Dec 06 2017,0.011601,0.012310,0.008189,0.012160,801,852087
Dec 05 2017,0.011660,0.011700,0.008076,0.011637,504,856377
Dec 04 2017,0.009509,0.012176,0.006961,0.011637,1879,698365
Dec 03 2017,0.006319,0.012504,0.006262,0.009478,2571,464072
Dec 02 2017,0.009891,0.010103,0.006293,0.006306,308,726422
Dec 01 2017,0.008596,0.009902,0.005401,0.009902,241,631235
Nov 30 2017,0.007330,0.008719,0.006289,0.008639,605,538182
