Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.014300,0.015351,0.014103,0.014769,459226,51977300
Mar 30 2018,0.013712,0.015704,0.013274,0.014522,790768,49840000
Mar 29 2018,0.014155,0.015418,0.013690,0.013777,900646,51449200
Mar 28 2018,0.013729,0.014696,0.013589,0.014098,766758,49901500
Mar 27 2018,0.013783,0.014434,0.013175,0.013838,599254,50096000
Mar 26 2018,0.014666,0.014800,0.013150,0.013958,830613,53305400
Mar 25 2018,0.015139,0.015276,0.014509,0.014752,480435,55027700
Mar 24 2018,0.016961,0.017015,0.015241,0.015348,499598,61649400
Mar 23 2018,0.017465,0.017787,0.015425,0.016709,937560,104110000
Mar 22 2018,0.016663,0.019681,0.015404,0.017487,1304190,99329700
Mar 21 2018,0.015758,0.017180,0.015459,0.016648,708448,-
Mar 20 2018,0.014061,0.016243,0.013500,0.015715,558747,-
Mar 19 2018,0.012121,0.014887,0.012121,0.013905,503974,-
Mar 18 2018,0.012081,0.012552,0.009760,0.012122,540296,-
Mar 17 2018,0.013108,0.013298,0.011572,0.012077,340987,-
Mar 16 2018,0.012635,0.013581,0.012034,0.013092,386400,-
Mar 15 2018,0.013492,0.021380,0.012093,0.012610,766025,-
Mar 14 2018,0.015437,0.016003,0.013205,0.013480,529437,-
Mar 13 2018,0.016075,0.016389,0.015324,0.015406,628069,-
Mar 12 2018,0.017434,0.018086,0.015742,0.016119,777724,-
Mar 11 2018,0.016633,0.018245,0.015620,0.017469,316028,-
Mar 10 2018,0.018714,0.019254,0.015996,0.016408,385718,-
Mar 09 2018,0.017103,0.018718,0.014792,0.018574,526239,-
Mar 08 2018,0.018559,0.020515,0.016825,0.017329,770408,-
Mar 07 2018,0.022043,0.022236,0.017846,0.018597,732700,-
Mar 06 2018,0.023968,0.024310,0.020937,0.022000,509086,-
Mar 05 2018,0.025000,0.025162,0.022020,0.024008,1172380,-
Mar 04 2018,0.024211,0.025709,0.022811,0.025004,660844,-
Mar 03 2018,0.026440,0.027603,0.024029,0.024237,780518,-
Mar 02 2018,0.027889,0.029064,0.024351,0.026459,1091420,-
Mar 01 2018,0.023227,0.028072,0.023227,0.027624,1309180,-
Feb 28 2018,0.024390,0.024671,0.021102,0.023296,1645530,-
Feb 27 2018,0.024999,0.026084,0.023272,0.024646,1359940,-
Feb 26 2018,0.025573,0.026416,0.023660,0.024926,1133330,-
Feb 25 2018,0.024068,0.025844,0.023374,0.025218,974748,-
Feb 24 2018,0.027345,0.028177,0.022707,0.024792,1143000,-
Feb 23 2018,0.026881,0.028626,0.023986,0.027374,1225930,-
Feb 22 2018,0.027457,0.029715,0.025651,0.026962,1192540,-
Feb 21 2018,0.030463,0.030463,0.025575,0.027502,1231000,-
Feb 20 2018,0.032406,0.034441,0.030300,0.030530,2560400,-
Feb 19 2018,0.032318,0.035267,0.031548,0.033059,1977310,-
Feb 18 2018,0.036045,0.037175,0.032231,0.033486,1300850,-
Feb 17 2018,0.035631,0.038415,0.035115,0.035846,1655100,-
Feb 16 2018,0.036182,0.036976,0.033833,0.035411,2094160,-
Feb 15 2018,0.040117,0.040456,0.033390,0.035042,3613510,-
Feb 14 2018,0.034433,0.040382,0.033072,0.040327,6260590,-
Feb 13 2018,0.028622,0.035714,0.026417,0.034525,5611330,-
Feb 12 2018,0.024144,0.029340,0.024144,0.028589,3502200,-
Feb 11 2018,0.027626,0.029237,0.023297,0.024007,6672220,-
Feb 10 2018,0.031141,0.032021,0.024058,0.027246,3768110,-
Feb 09 2018,0.035068,0.035068,0.029741,0.030859,4865430,-
Feb 08 2018,0.028603,0.037320,0.028603,0.034964,5265480,-
Feb 07 2018,0.027724,0.035071,0.027043,0.028639,9008350,-
