Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.003249,0.004267,0.002862,0.004096,344,121546
Mar 30 2018,0.003900,0.004153,0.003248,0.003248,1128,145915
Mar 29 2018,0.003952,0.004544,0.003641,0.004044,898,147854
Mar 28 2018,0.004635,0.004639,0.003915,0.003948,683,173402
Mar 27 2018,0.004556,0.004777,0.004252,0.004636,1022,169835
Mar 26 2018,0.004667,0.004832,0.004093,0.004563,329,173217
Mar 25 2018,0.005114,0.005157,0.004072,0.004670,1078,188108
Mar 24 2018,0.004099,0.005327,0.004067,0.005186,450,150780
Mar 23 2018,0.004132,0.004218,0.003741,0.004041,240,151985
Mar 22 2018,0.004488,0.005167,0.004002,0.004132,324,163528
Mar 21 2018,0.004918,0.005310,0.004454,0.004496,1174,179173
Mar 20 2018,0.005061,0.005061,0.004570,0.004909,601,184393
Mar 19 2018,0.004551,0.005838,0.004025,0.005005,1927,160761
Mar 18 2018,0.003725,0.004908,0.003487,0.004856,1837,131587
Mar 17 2018,0.003985,0.004048,0.003362,0.003734,2887,140758
Mar 16 2018,0.003205,0.004107,0.002808,0.003978,2441,113225
Mar 15 2018,0.002976,0.003343,0.002768,0.003338,517,105132
Mar 14 2018,0.003477,0.004075,0.002978,0.002978,1129,122815
Mar 13 2018,0.004140,0.004210,0.003352,0.003476,868,146241
Mar 12 2018,0.003399,0.004227,0.003209,0.004107,836,117030
Mar 11 2018,0.003125,0.003578,0.003018,0.003410,242,107588
Mar 10 2018,0.003593,0.003808,0.003119,0.003136,704,123692
Mar 09 2018,0.003533,0.003658,0.003104,0.003591,625,121643
Mar 08 2018,0.004103,0.004632,0.003344,0.003556,2345,141261
Mar 07 2018,0.008165,0.008201,0.003781,0.004109,10876,281111
Mar 06 2018,0.002876,0.008123,0.002414,0.007688,12211,97404
Mar 05 2018,0.002927,0.002936,0.002553,0.002884,339,99117
Mar 04 2018,0.002698,0.003154,0.002447,0.002929,400,91366
Mar 03 2018,0.002922,0.003176,0.002287,0.002703,284,98938
Mar 02 2018,0.003768,0.003905,0.001426,0.002925,4537,124757
Mar 01 2018,0.004146,0.004251,0.003614,0.003780,337,137258
Feb 28 2018,0.003882,0.004280,0.003751,0.004149,445,128544
Feb 27 2018,0.003683,0.004358,0.003662,0.003887,493,121950
Feb 26 2018,0.004277,0.005191,0.003580,0.003673,782,141603
Feb 25 2018,0.004751,0.008035,0.003518,0.004271,4250,155512
Feb 24 2018,0.003909,0.007258,0.003351,0.007083,2622,127935
Feb 23 2018,0.003243,0.004000,0.003012,0.003914,539,104753
Feb 22 2018,0.003489,0.004237,0.002888,0.003246,4183,112712
Feb 21 2018,0.005027,0.005027,0.003478,0.003493,506,162401
Feb 20 2018,0.005031,0.005186,0.003970,0.005033,598,160839
Feb 19 2018,0.004731,0.005346,0.004364,0.005026,850,151267
Feb 18 2018,0.005436,0.005523,0.004652,0.004753,381,173564
Feb 17 2018,0.006332,0.006489,0.005032,0.005419,469,201338
Feb 16 2018,0.004400,0.008036,0.004281,0.006260,2915,139349
Feb 15 2018,0.004728,0.005935,0.004106,0.004419,971,149052
Feb 14 2018,0.004174,0.004737,0.003976,0.004725,454,130917
Feb 13 2018,0.004687,0.006067,0.004117,0.004187,318,146377
Feb 12 2018,0.004068,0.005240,0.004068,0.004678,237,126544
Feb 11 2018,0.004256,0.004925,0.004042,0.004042,113,131916
Feb 10 2018,0.005213,0.005405,0.004233,0.004260,302,161019
Feb 09 2018,0.004555,0.005232,0.004332,0.005210,342,140258
Feb 08 2018,0.005151,0.005674,0.004300,0.004541,310,157995
Feb 07 2018,0.003777,0.005391,0.003536,0.005172,178,115390
Feb 06 2018,0.003655,0.003873,0.003074,0.003815,290,111201
Feb 05 2018,0.004424,0.005662,0.003556,0.003650,495,134048
Feb 04 2018,0.006091,0.007235,0.004471,0.004471,509,183657
Feb 03 2018,0.006126,0.006545,0.005617,0.006088,202,183873
Feb 02 2018,0.007868,0.007997,0.005639,0.006105,1127,235415
Feb 01 2018,0.007784,0.009974,0.007340,0.007884,175,232113
Jan 31 2018,0.007146,0.009709,0.006903,0.007766,635,212188
Jan 30 2018,0.008292,0.009599,0.007114,0.007134,397,245273
Jan 29 2018,0.008924,0.009040,0.008026,0.008290,176,263064
Jan 28 2018,0.008609,0.009410,0.008216,0.008933,2034,252808
Jan 27 2018,0.009836,0.009941,0.007945,0.008565,242,287733
Jan 26 2018,0.010292,0.010698,0.007461,0.009843,1361,299842
Jan 25 2018,0.009165,0.010502,0.008224,0.010319,445,265955
Jan 24 2018,0.009740,0.010224,0.009008,0.009017,1377,281484
Jan 23 2018,0.009312,0.012582,0.008798,0.009746,1732,267966
Jan 22 2018,0.011361,0.013254,0.008749,0.009337,492,325666
Jan 21 2018,0.010745,0.011319,0.008610,0.011207,635,306851
Jan 20 2018,0.009570,0.013032,0.009565,0.010720,326,272335
Jan 19 2018,0.009469,0.011317,0.008273,0.009468,1499,268199
Jan 18 2018,0.009939,0.012245,0.009271,0.009570,1107,279815
Jan 17 2018,0.011227,0.011562,0.008491,0.009901,896,314615
Jan 16 2018,0.013348,0.017150,0.009566,0.011284,3455,372549
Jan 15 2018,0.013013,0.018226,0.009955,0.013331,10106,361534
Jan 14 2018,0.014705,0.014746,0.010544,0.013108,3214,406635
Jan 13 2018,0.010308,0.016747,0.010308,0.014695,4235,283877
Jan 12 2018,0.010144,0.015244,0.009416,0.010319,4320,278061
Jan 11 2018,0.009752,0.016960,0.009180,0.010078,9968,266144
Jan 10 2018,0.013250,0.013250,0.007503,0.009763,5006,359875
Jan 09 2018,0.010522,0.013340,0.009037,0.013233,290,284952
Jan 08 2018,0.010237,0.012521,0.008605,0.010551,2049,276609
Jan 07 2018,0.011005,0.014242,0.008386,0.010251,9112,296757
Jan 06 2018,0.008874,0.013510,0.007670,0.011013,4622,238676
Jan 05 2018,0.006871,0.022160,0.006012,0.008867,12004,184437
Jan 04 2018,0.005476,0.040342,0.004485,0.006870,33799,146597
Jan 03 2018,0.005424,0.005935,0.004668,0.004673,597,144889
Jan 02 2018,0.005099,0.005470,0.004731,0.005444,346,135888
Jan 01 2018,0.005582,0.006087,0.004716,0.005099,500,148480
Dec 31 2017,0.005313,0.006962,0.004669,0.005560,1148,140949
Dec 30 2017,0.005774,0.007202,0.004908,0.005370,528,152791
Dec 29 2017,0.005975,0.006828,0.005025,0.006395,1285,157702
Dec 28 2017,0.007013,0.007190,0.005170,0.005914,4140,184752
Dec 27 2017,0.005856,0.011999,0.005809,0.007028,9198,153908
Dec 26 2017,0.010917,0.011107,0.003301,0.005851,2492,286144
Dec 25 2017,0.006904,0.021119,0.006904,0.010928,7427,180532
Dec 24 2017,0.003381,0.031753,0.002571,0.006833,25779,88210
Dec 23 2017,0.002770,0.003723,0.002712,0.003345,262,72065
Dec 22 2017,0.003345,0.003378,0.002409,0.002744,130,86791
Dec 21 2017,0.004144,0.004945,0.003249,0.003334,130,107245
Dec 20 2017,0.003397,0.004792,0.002955,0.004133,347,87660
Dec 19 2017,0.003415,0.003592,0.003128,0.003400,83,87903
Dec 18 2017,0.003635,0.003792,0.002950,0.003412,120,93326
Dec 17 2017,0.004769,0.006128,0.003257,0.003624,148,122097
