Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.158973,0.165019,0.158234,0.162249,56954,1510250
Mar 30 2018,0.168998,0.176615,0.152309,0.159067,66827,1605480
Mar 29 2018,0.180092,0.182272,0.144561,0.169730,113035,1710870
Mar 28 2018,0.182834,0.186303,0.179089,0.180062,94861,1736920
Mar 27 2018,0.199465,0.200063,0.182642,0.182804,105083,1894920
Mar 26 2018,0.212197,0.216515,0.190860,0.199789,105501,2015880
Mar 25 2018,0.210265,0.224164,0.204998,0.212632,123441,1997520
Mar 24 2018,0.200830,0.246594,0.199672,0.212024,332781,1907890
Mar 23 2018,0.317869,0.317869,0.187494,0.198817,4091850,3019750
Mar 22 2018,0.501507,0.511884,0.267103,0.318139,2991190,4764310
Mar 21 2018,0.541932,0.568559,0.498671,0.504561,3858180,5148360
Mar 20 2018,0.598951,0.626243,0.453680,0.540501,1362300,5690030
Mar 19 2018,0.550231,0.600631,0.534950,0.596010,330187,5227200
Mar 18 2018,0.547323,0.561150,0.477949,0.559708,127853,5199570
Mar 17 2018,0.446716,0.593034,0.400130,0.555629,214243,4243810
Mar 16 2018,0.262622,0.460279,0.253910,0.446677,337776,2494910
Mar 15 2018,0.256894,0.263717,0.242091,0.262771,102302,2440490
Mar 14 2018,0.267953,0.295867,0.247915,0.257140,87535,2545550
Mar 13 2018,0.349540,0.359122,0.267511,0.267511,122319,-
Mar 12 2018,0.360387,0.384876,0.340985,0.350763,125012,-
Mar 11 2018,0.335682,0.360449,0.325023,0.360449,128616,-
Mar 10 2018,0.356945,0.364045,0.333568,0.336308,149488,-
Mar 09 2018,0.393362,0.394363,0.345447,0.362986,144170,-
Mar 08 2018,0.422787,0.434458,0.390375,0.394715,146887,-
Mar 07 2018,0.467063,0.467401,0.396118,0.423666,148125,-
Mar 06 2018,0.612689,0.612689,0.467804,0.490122,111765,-
Mar 05 2018,0.700264,0.700264,0.584736,0.613691,116123,-
Mar 04 2018,0.737415,0.737415,0.687875,0.700120,175238,-
Mar 03 2018,0.756402,0.785739,0.733821,0.737882,151632,-
Mar 02 2018,0.781382,0.804177,0.716672,0.756628,178961,-
Mar 01 2018,0.755310,0.785192,0.742603,0.782089,178146,-
Feb 28 2018,0.819577,0.829069,0.742556,0.754710,171541,-
Feb 27 2018,0.835303,0.892816,0.770478,0.831575,190162,-
Feb 26 2018,0.758555,0.910379,0.758426,0.848333,253209,-
Feb 25 2018,0.644657,0.786708,0.644657,0.760532,216431,-
Feb 24 2018,0.775756,0.924766,0.651424,0.651424,199106,-
Feb 23 2018,0.162620,0.992167,0.161540,0.811813,478920,-
