Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.152309,0.160662,0.131662,0.148528,1588,896461
Mar 30 2018,0.136924,0.152857,0.130355,0.152405,1740,805909
Mar 29 2018,0.182841,0.184119,0.135649,0.137375,1587,1076170
Mar 28 2018,0.187160,0.187757,0.136107,0.182546,19286,1101580
Mar 27 2018,0.183414,0.190990,0.139026,0.187101,24091,1079540
Mar 26 2018,0.203143,0.204452,0.105579,0.183551,42683,1195660
Mar 25 2018,0.225778,0.230396,0.130618,0.203577,14507,1328880
Mar 24 2018,0.128923,0.244097,0.104651,0.228532,28975,758814
Mar 23 2018,0.101404,0.179974,0.086106,0.127743,13485,596845
Mar 22 2018,0.069554,0.102170,0.066602,0.101421,4762,408371
Mar 21 2018,0.083822,0.084348,0.059540,0.069488,694,492146
Mar 20 2018,0.071706,0.084743,0.045847,0.083424,9421,420933
Mar 19 2018,0.084382,0.124753,0.069621,0.071126,2597,495346
Mar 18 2018,0.072876,0.088940,0.072025,0.084723,1977,427805
Mar 17 2018,0.090259,0.090616,0.072634,0.072986,256,528945
Mar 16 2018,0.127566,0.128456,0.071909,0.090150,429,688575
Mar 15 2018,0.137877,0.139234,0.062131,0.128049,10550,744231
Mar 14 2018,0.109553,0.148026,0.109553,0.123972,3239,591343
Mar 13 2018,0.078972,0.112651,0.078366,0.109514,5739,426276
Mar 12 2018,0.139145,0.169493,0.078394,0.079136,4894,751078
Mar 11 2018,0.185136,0.202520,0.119475,0.139373,3711,999324
Mar 10 2018,0.181875,0.217657,0.179625,0.185716,3479,981542
Mar 09 2018,0.207667,0.209903,0.144926,0.181938,4195,1120740
Mar 08 2018,0.198222,0.229321,0.156524,0.208532,16238,1069760
Mar 07 2018,0.240520,0.242071,0.146705,0.198526,16547,1298030
Mar 06 2018,0.287393,0.362805,0.124402,0.240707,24179,-
Mar 05 2018,0.251401,0.355015,0.212779,0.287518,16384,-
Mar 04 2018,0.170960,0.418655,0.170646,0.248529,25070,-
Mar 03 2018,0.117239,0.257777,0.105354,0.170989,19896,-
Mar 02 2018,0.121518,0.140732,0.113715,0.117331,4816,-
Mar 01 2018,0.119663,0.124905,0.092634,0.121614,5739,-
Feb 28 2018,0.136887,0.151156,0.103380,0.119645,18888,-
Feb 27 2018,0.214505,0.307324,0.068790,0.136798,8793,-
Feb 26 2018,0.167641,0.338587,0.164417,0.215211,183994,-
Feb 25 2018,0.308479,0.326499,0.144513,0.186938,196819,-
Feb 24 2018,0.401034,0.404056,0.295411,0.309183,432690,-
Feb 23 2018,0.348036,0.430272,0.285251,0.401452,243698,-
Feb 22 2018,0.200624,0.359868,0.194429,0.348625,320970,-
Feb 21 2018,0.196911,0.210156,0.185830,0.200926,168856,-
Feb 20 2018,0.160760,0.202308,0.159985,0.197156,146151,-
Feb 19 2018,0.145450,0.197906,0.127734,0.160668,28693,-
Feb 18 2018,0.130227,0.155499,0.119723,0.143131,12916,-
Feb 17 2018,0.147731,0.161588,0.129549,0.130101,9715,-
Feb 16 2018,0.144944,0.216945,0.111964,0.147609,59538,-
Feb 15 2018,0.067066,0.234665,0.067066,0.145100,195263,-
