Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.656368,0.690921,0.654447,0.665280,260,-
Mar 30 2018,0.658791,0.668900,0.599187,0.656268,17337,-
Mar 29 2018,0.754418,0.755656,0.632053,0.660433,49939,-
Mar 28 2018,0.716386,0.761232,0.712406,0.753535,30047,-
Mar 27 2018,0.767892,0.768707,0.693075,0.716549,30615,-
Mar 26 2018,0.793349,0.797697,0.734505,0.769056,5405,-
Mar 25 2018,0.782283,0.815680,0.773575,0.793957,11555,-
Mar 24 2018,0.828804,0.845370,0.788239,0.793200,16197,-
Mar 23 2018,0.817925,0.817925,0.765533,0.816908,6616,-
Mar 22 2018,0.800597,0.861596,0.794968,0.817945,17827,-
Mar 21 2018,0.854816,0.879341,0.794520,0.802060,46408,-
Mar 20 2018,0.827830,0.854910,0.789401,0.853270,37704,-
Mar 19 2018,0.769888,0.841914,0.769888,0.818697,54375,-
Mar 18 2018,0.812316,0.812316,0.702103,0.773145,157881,-
Mar 17 2018,0.830142,0.830142,0.767364,0.814296,30298,-
Mar 16 2018,0.826060,0.864347,0.779388,0.828775,62322,-
Mar 15 2018,0.820708,0.834724,0.733645,0.826526,104367,-
Mar 14 2018,0.896634,0.926535,0.791577,0.821077,25023,-
Mar 13 2018,0.908875,0.942095,0.878481,0.896511,42015,-
Mar 12 2018,0.973523,1.01,0.863599,0.914124,52998,-
Mar 11 2018,0.903852,0.992092,0.856043,0.976599,22788,-
Mar 10 2018,0.953746,0.974067,0.885308,0.906981,28772,-
Mar 09 2018,0.947928,0.967708,0.838832,0.953335,145314,-
Mar 08 2018,0.969277,1.04,0.906272,0.953968,64307,-
Mar 07 2018,1.06,1.08,0.931990,0.970652,61966,-
Mar 06 2018,1.15,1.16,1.04,1.06,41757,-
Mar 05 2018,1.21,1.21,1.15,1.15,43880,-
Mar 04 2018,1.10,1.22,1.07,1.21,86059,-
Mar 03 2018,1.05,1.11,1.02,1.10,36481,-
Mar 02 2018,1.10,1.12,1.03,1.05,67737,-
Mar 01 2018,1.01,1.15,1.00,1.10,125007,-
Feb 28 2018,1.17,1.19,0.959363,1.02,662760,-
Feb 27 2018,1.12,1.20,1.09,1.17,16391,-
Feb 26 2018,1.10,1.17,1.03,1.12,76368,-
Feb 25 2018,1.14,1.16,1.05,1.10,44107,-
Feb 24 2018,1.23,1.24,1.10,1.15,113687,-
Feb 23 2018,1.21,1.27,1.16,1.23,59200,-
Feb 22 2018,1.28,1.35,1.18,1.19,38690,-
Feb 21 2018,1.30,1.32,1.20,1.28,64426,-
Feb 20 2018,1.34,1.39,1.29,1.30,70105,-
Feb 19 2018,1.28,1.37,1.27,1.34,12816,-
Feb 18 2018,1.39,1.40,1.26,1.28,18846,-
Feb 17 2018,1.29,1.39,1.28,1.38,40946,-
Feb 16 2018,1.31,1.33,1.21,1.29,86041,-
Feb 15 2018,1.21,1.32,1.20,1.32,101629,-
Feb 14 2018,1.03,1.22,1.03,1.21,56276,-
Feb 13 2018,1.14,1.14,0.974840,1.03,35962,-
Feb 12 2018,0.988975,1.16,0.956052,1.14,102985,-
Feb 11 2018,1.08,1.08,0.942895,0.982712,64455,-
Feb 10 2018,1.11,1.15,1.04,1.08,4950,-
Feb 09 2018,1.03,1.11,0.956210,1.11,26471,-
Feb 08 2018,0.871135,1.06,0.871135,1.03,34549,-
Feb 07 2018,0.948114,1.04,0.858775,0.874633,26407,-
Feb 06 2018,0.860601,0.982247,0.659401,0.973269,248797,-
Feb 05 2018,1.03,1.05,0.793179,0.866445,243068,-
Feb 04 2018,1.14,1.21,0.998663,1.04,57304,-
Feb 03 2018,1.05,1.18,1.00,1.14,155981,-
Feb 02 2018,1.06,1.12,0.887790,1.04,450782,-
Feb 01 2018,1.13,1.16,1.03,1.08,131710,-
Jan 31 2018,1.15,1.19,1.11,1.12,107544,-
Jan 30 2018,1.30,1.31,1.14,1.15,64361,-
Jan 29 2018,1.39,1.40,1.27,1.30,105000,-
Jan 28 2018,1.21,1.41,1.20,1.38,325046,-
Jan 27 2018,1.13,1.26,1.09,1.23,72357,-
Jan 26 2018,1.22,1.27,1.03,1.14,104105,-
Jan 25 2018,1.26,1.26,1.17,1.22,86788,-
Jan 24 2018,1.13,1.30,1.09,1.23,227370,-
Jan 23 2018,1.10,1.17,1.01,1.13,50054,-
Jan 22 2018,1.06,1.11,1.01,1.11,47483,-
