Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.000384,0.000851,0.000378,0.000690,56335,483578
Mar 30 2018,0.000411,0.000496,0.000374,0.000384,186,517368
Mar 29 2018,0.000475,0.000521,0.000405,0.000412,235,597984
Mar 28 2018,0.000544,0.000622,0.000450,0.000474,1458,684770
Mar 27 2018,0.000505,0.000717,0.000459,0.000544,3487,636444
Mar 26 2018,0.000500,0.000666,0.000497,0.000506,564,629984
Mar 25 2018,0.000510,0.000683,0.000498,0.000500,619,642192
Mar 24 2018,0.000798,0.000799,0.000517,0.000517,1512,1004990
Mar 23 2018,0.000607,0.000786,0.000600,0.000786,285,764431
Mar 22 2018,0.000515,0.000690,0.000515,0.000607,1319,649314
Mar 21 2018,0.000623,0.000636,0.000511,0.000516,856,785248
Mar 20 2018,0.000570,0.000631,0.000510,0.000622,990,717497
Mar 19 2018,0.000491,0.000634,0.000447,0.000563,569,619096
Mar 18 2018,0.000552,0.000651,0.000456,0.000493,904,695493
Mar 17 2018,0.000536,0.000649,0.000476,0.000553,605,674931
Mar 16 2018,0.000578,0.000599,0.000501,0.000535,159,728479
Mar 15 2018,0.000558,0.000582,0.000477,0.000579,1040,702615
Mar 14 2018,0.000722,0.000735,0.000541,0.000558,619,909454
Mar 13 2018,0.000708,0.000832,0.000598,0.000722,1495,891934
Mar 12 2018,0.000640,0.001143,0.000639,0.000712,6909,806392
Mar 11 2018,0.000467,0.000666,0.000455,0.000642,327,588667
Mar 10 2018,0.000556,0.000595,0.000459,0.000469,716,699929
Mar 09 2018,0.000558,0.000653,0.000509,0.000555,239,702479
Mar 08 2018,0.000590,0.000651,0.000553,0.000561,720,742946
Mar 07 2018,0.000741,0.000757,0.000579,0.000591,302,932910
Mar 06 2018,0.000915,0.000915,0.000646,0.000741,899,1153060
Mar 05 2018,0.000786,0.000923,0.000693,0.000918,823,990328
Mar 04 2018,0.000817,0.000906,0.000709,0.000787,607,1029680
Mar 03 2018,0.000755,0.000931,0.000750,0.000819,1978,950612
