Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.003486,0.003901,0.003486,0.003598,22204,8401610
Mar 30 2018,0.004273,0.004851,0.003234,0.003486,5186,10296200
Mar 29 2018,0.004076,0.004427,0.003749,0.004283,27823,9823440
Mar 28 2018,0.004126,0.004386,0.003961,0.004072,19129,9944100
Mar 27 2018,0.004489,0.004507,0.004068,0.004127,16308,10815900
Mar 26 2018,0.004652,0.004673,0.004316,0.004496,5365,11204200
Mar 25 2018,0.004472,0.004759,0.004412,0.004655,23979,10764700
Mar 24 2018,0.004703,0.004810,0.004363,0.004534,4350,11321300
Mar 23 2018,0.004699,0.004723,0.004358,0.004635,10000,11311000
Mar 22 2018,0.004914,0.004983,0.004473,0.004699,10361,11820900
Mar 21 2018,0.004301,0.005053,0.004272,0.004922,25779,10347700
Mar 20 2018,0.004353,0.004594,0.004117,0.004293,8369,10471400
Mar 19 2018,0.003934,0.004470,0.003910,0.004305,24478,9284060
Mar 18 2018,0.003964,0.004073,0.003633,0.003950,979,9356650
Mar 17 2018,0.004151,0.004389,0.003952,0.003974,10262,9797170
Mar 16 2018,0.004358,0.004394,0.003897,0.004144,19059,10285200
Mar 15 2018,0.004206,0.004478,0.003886,0.004360,17789,9925630
Mar 14 2018,0.004939,0.004987,0.004097,0.004207,12583,11656700
Mar 13 2018,0.005648,0.005754,0.004587,0.004938,9412,13329900
Mar 12 2018,0.005025,0.005681,0.004576,0.005681,4266,11593400
Mar 11 2018,0.004914,0.005369,0.004261,0.005041,40761,11338100
Mar 10 2018,0.006150,0.006161,0.004886,0.004931,13105,14190100
Mar 09 2018,0.006397,0.006535,0.005176,0.006148,16195,14758500
Mar 08 2018,0.006967,0.007146,0.006282,0.006437,12530,16075500
Mar 07 2018,0.007221,0.007916,0.006581,0.006978,29787,16660800
Mar 06 2018,0.007947,0.008107,0.007126,0.007405,21871,17553400
Mar 05 2018,0.008610,0.008734,0.007794,0.007969,23152,19018200
Mar 04 2018,0.008697,0.008704,0.007679,0.008616,20810,19211700
Mar 03 2018,0.008524,0.008907,0.008219,0.008712,31299,18829700
Mar 02 2018,0.008200,0.009400,0.007857,0.008535,27533,15718200
Mar 01 2018,0.007868,0.010367,0.006117,0.008221,66843,15081800
Feb 28 2018,0.008356,0.008990,0.007849,0.007856,35746,16017800
Feb 27 2018,0.007940,0.008521,0.007807,0.008366,27374,15219600
Feb 26 2018,0.007676,0.008255,0.007551,0.007917,41907,14714200
Feb 25 2018,0.007745,0.008079,0.007475,0.007667,19032,14507500
