Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.293525,0.301217,0.254997,0.255170,146,3255460
Mar 30 2018,0.290562,0.300533,0.266397,0.293758,78,3222600
Mar 29 2018,0.301115,0.312026,0.283866,0.291390,735,3339640
Mar 28 2018,0.336342,0.347066,0.252511,0.300745,11146,3730340
Mar 27 2018,0.382287,0.384860,0.332381,0.335893,1915,4239920
Mar 26 2018,0.355389,0.388048,0.353358,0.385046,2528,3941590
Mar 25 2018,0.399715,0.399715,0.337404,0.356002,863,4433200
Mar 24 2018,0.382943,0.428751,0.373667,0.401396,7916,4247190
Mar 23 2018,0.384723,0.394945,0.363351,0.379549,2460,4266930
Mar 22 2018,0.420867,0.430931,0.381048,0.384694,18133,4667800
Mar 21 2018,0.424740,0.453427,0.413445,0.420569,8088,4710750
Mar 20 2018,0.372082,0.432572,0.370054,0.423827,19327,4126720
Mar 19 2018,0.266641,0.398773,0.256252,0.371210,33850,2957290
Mar 18 2018,0.283783,0.283783,0.240042,0.266098,4207,3147410
Mar 17 2018,0.289761,0.292136,0.273928,0.283785,652,3213710
Mar 16 2018,0.286655,0.313349,0.262977,0.295079,10710,3179260
Mar 15 2018,0.455596,0.469252,0.244482,0.287025,89234,5052970
Mar 14 2018,0.491442,0.509904,0.420186,0.455592,47097,5450540
Mar 13 2018,0.508752,0.537193,0.491528,0.494606,46721,5642520
Mar 12 2018,0.494559,0.540575,0.486351,0.515758,49884,5485120
Mar 11 2018,0.480081,0.507414,0.454528,0.494473,44781,5324540
Mar 10 2018,0.512794,0.553182,0.479482,0.480122,21930,5687350
Mar 09 2018,0.512533,0.533646,0.476644,0.513003,3061,5684460
Mar 08 2018,0.580654,0.601645,0.499499,0.512662,21693,6439980
Mar 07 2018,0.582288,0.619934,0.569401,0.580707,52658,6458110
Mar 06 2018,0.629894,0.636863,0.568016,0.590200,42442,-
Mar 05 2018,0.553619,0.714979,0.553554,0.617842,33328,-
Mar 04 2018,0.567788,0.589777,0.550029,0.553659,40835,-
Mar 03 2018,0.572972,0.594009,0.565860,0.567790,39326,-
Mar 02 2018,0.575926,0.588983,0.559998,0.572879,45737,-
Mar 01 2018,0.573415,0.599706,0.565159,0.567032,43774,-
Feb 28 2018,0.576056,0.644831,0.563525,0.575478,46622,-
Feb 27 2018,0.575873,0.610102,0.557917,0.576634,44930,-
Feb 26 2018,0.644740,0.675610,0.560551,0.575703,56764,-
Feb 25 2018,0.626807,0.662696,0.611559,0.644786,47623,-
Feb 24 2018,0.728390,0.740118,0.621063,0.627002,50191,-
Feb 23 2018,0.764693,0.826819,0.559752,0.728422,69816,-
Feb 22 2018,0.771879,0.833294,0.727471,0.786734,66199,-
Feb 21 2018,0.634224,1.33,0.521610,0.771734,134362,-
Feb 20 2018,0.641946,0.699565,0.611228,0.634195,54676,-
Feb 19 2018,0.665459,0.669429,0.612677,0.641993,52834,-
Feb 18 2018,0.741804,0.741804,0.622680,0.650898,58493,-
Feb 17 2018,0.750102,0.797609,0.714170,0.741756,54592,-
Feb 16 2018,0.700141,0.775323,0.689836,0.748376,45553,-
Feb 15 2018,0.758004,0.764135,0.627483,0.700194,59881,-
Feb 14 2018,0.741590,0.792759,0.704618,0.739611,50317,-
Feb 13 2018,0.741467,0.768717,0.702589,0.741658,52055,-
Feb 12 2018,0.718354,0.826541,0.673600,0.732851,60921,-
Feb 11 2018,0.765744,0.774302,0.686957,0.705925,49971,-
Feb 10 2018,0.834658,0.842621,0.735705,0.765768,38190,-
Feb 09 2018,0.895742,0.895742,0.677681,0.823501,69528,-
Feb 08 2018,0.769219,0.933726,0.766971,0.877748,49674,-
Feb 07 2018,0.742968,0.850406,0.681140,0.770605,380,-
Feb 06 2018,0.815824,0.821115,0.626226,0.752787,1763,-
Feb 05 2018,0.857011,0.895706,0.810306,0.815640,60190,-
Feb 04 2018,0.967956,0.996067,0.725990,0.862081,117378,-
Feb 03 2018,0.913208,1.04,0.874805,0.967366,154033,-
Feb 02 2018,1.00,1.00,0.816811,0.911293,149337,-
Feb 01 2018,1.10,1.13,0.971661,1.00,160633,-
Jan 31 2018,1.04,1.19,1.00,1.08,158938,-
Jan 30 2018,1.23,1.26,1.03,1.04,150013,-
Jan 29 2018,1.36,1.38,1.21,1.24,153524,-
Jan 28 2018,1.30,1.41,1.21,1.34,158393,-
Jan 27 2018,1.19,1.34,1.12,1.28,130939,-
Jan 26 2018,1.24,1.38,1.09,1.18,120894,-
Jan 25 2018,1.50,1.52,0.898954,1.08,69343,-
Jan 24 2018,1.21,1.57,1.20,1.50,116601,-
