Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.771185,0.802408,0.771185,0.797272,140031,19199000
Mar 30 2018,0.742317,0.775025,0.708770,0.771497,155768,18479800
Mar 29 2018,0.848359,0.850270,0.729523,0.743788,148562,21116500
Mar 28 2018,0.862936,0.887858,0.845480,0.847539,155540,21476700
Mar 27 2018,0.999393,1.01,0.862377,0.862403,215081,24869100
Mar 26 2018,1.02,1.03,0.942088,1.00,171237,25488700
Mar 25 2018,1.03,1.05,0.996122,1.03,185182,25557600
Mar 24 2018,1.07,1.08,1.03,1.03,189330,26731300
Mar 23 2018,1.07,1.07,1.01,1.07,188143,26535000
Mar 22 2018,1.12,1.14,1.04,1.07,182642,27875200
Mar 21 2018,1.14,1.17,1.11,1.12,211895,28261000
Mar 20 2018,1.08,1.16,1.03,1.13,72172,26773500
Mar 19 2018,1.06,1.11,1.04,1.07,135669,26340900
Mar 18 2018,1.01,1.07,0.864529,1.06,165838,25029800
Mar 17 2018,1.04,1.04,0.979158,1.01,165699,25738700
Mar 16 2018,1.04,1.06,1.01,1.04,149232,25710800
Mar 15 2018,1.05,1.07,0.985861,1.04,133485,26130100
Mar 14 2018,1.27,1.27,1.02,1.05,165067,31398700
Mar 13 2018,1.27,1.31,1.26,1.27,153040,31580100
Mar 12 2018,1.33,1.36,1.25,1.27,165869,32847500
Mar 11 2018,1.23,1.35,1.20,1.32,220188,30463900
Mar 10 2018,1.34,1.37,1.22,1.23,207444,33253500
Mar 09 2018,1.35,1.36,1.23,1.34,122036,33463400
Mar 08 2018,1.44,1.47,1.34,1.35,163867,35603000
Mar 07 2018,1.56,1.57,1.39,1.44,160081,38602500
Mar 06 2018,1.62,1.66,1.55,1.56,227778,40065700
Mar 05 2018,1.59,1.64,1.59,1.62,221910,39445500
Mar 04 2018,1.57,1.59,1.54,1.59,215901,38973200
Mar 03 2018,1.56,1.60,1.56,1.58,176345,38663500
Mar 02 2018,1.61,1.63,1.54,1.56,165312,39882500
Mar 01 2018,1.51,1.64,1.50,1.61,215165,37420600
Feb 28 2018,1.55,1.58,1.51,1.51,169914,38076900
Feb 27 2018,1.52,1.58,1.50,1.55,170372,37140900
Feb 26 2018,1.40,1.66,1.38,1.51,78669,34300800
Feb 25 2018,1.45,1.47,1.39,1.40,146602,35454400
Feb 24 2018,1.52,1.53,1.42,1.45,158350,37318200
Feb 23 2018,1.54,1.63,1.52,1.52,122552,37742100
Feb 22 2018,1.64,1.69,1.52,1.54,160563,40092000
Feb 21 2018,1.79,1.80,1.61,1.64,182308,43786700
Feb 20 2018,1.90,1.95,1.78,1.79,178676,46571100
Feb 19 2018,1.81,1.91,1.80,1.90,188957,44387900
Feb 18 2018,1.92,1.94,1.81,1.82,166432,46918200
Feb 17 2018,1.77,1.92,1.75,1.91,188894,43191100
Feb 16 2018,1.74,1.77,1.65,1.76,62683,42527400
Feb 15 2018,1.66,1.74,1.64,1.74,111128,40515100
Feb 14 2018,1.62,1.68,1.59,1.66,138323,39637800
Feb 13 2018,1.67,1.67,1.59,1.62,186821,40737400
Feb 12 2018,1.59,1.70,1.59,1.66,149814,39016200
Feb 11 2018,1.79,1.79,1.59,1.59,79170,43846300
Feb 10 2018,1.85,1.91,1.73,1.79,84970,45355600
Feb 09 2018,1.75,1.86,1.66,1.85,117137,42738700
Feb 08 2018,1.61,1.79,1.61,1.75,58396,39450700
Feb 07 2018,1.60,1.77,1.49,1.62,11318,39133600
