Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.250049,0.258771,0.246051,0.252956,779397,-
Mar 30 2018,0.262670,0.265341,0.239649,0.251066,1471430,-
Mar 29 2018,0.283747,0.283892,0.262524,0.262670,892559,-
Mar 28 2018,0.282796,0.289415,0.281706,0.283747,394096,-
Mar 27 2018,0.292238,0.294783,0.278641,0.282796,689520,-
Mar 26 2018,0.303875,0.303875,0.283658,0.291656,958850,-
Mar 25 2018,0.302003,0.308026,0.299028,0.304093,690556,-
Mar 24 2018,0.307300,0.310203,0.300479,0.301858,753875,-
Mar 23 2018,0.308015,0.308015,0.295735,0.306865,921635,-
Mar 22 2018,0.323218,0.329900,0.296302,0.307797,1930840,-
Mar 21 2018,0.305339,0.343304,0.302456,0.319513,4040970,-
Mar 20 2018,0.307168,0.310435,0.295440,0.306124,1742990,-
Mar 19 2018,0.299782,0.310685,0.288009,0.306950,2365750,-
Mar 18 2018,0.284244,0.296149,0.262222,0.296149,1627610,-
Mar 17 2018,0.297980,0.301469,0.283880,0.284898,832846,-
Mar 16 2018,0.306265,0.308736,0.292747,0.299870,1283750,-
Mar 15 2018,0.327468,0.327468,0.282572,0.305248,4087330,-
Mar 14 2018,0.381886,0.388935,0.328558,0.328558,3575550,-
Mar 13 2018,0.394443,0.401124,0.367825,0.382177,2605340,-
Mar 12 2018,0.413101,0.422748,0.388343,0.396113,1955310,-
Mar 11 2018,0.414116,0.416292,0.396714,0.412738,2443270,-
Mar 10 2018,0.420355,0.427898,0.413464,0.414044,2372070,-
