Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.002073,0.002265,0.002010,0.002224,1023,271310
Mar 30 2018,0.002086,0.002099,0.001892,0.002073,1816,272580
Mar 29 2018,0.002402,0.002405,0.001895,0.002090,1517,313475
Mar 28 2018,0.002466,0.002593,0.002212,0.002400,2134,321309
Mar 27 2018,0.002547,0.002710,0.002396,0.002466,761,331400
Mar 26 2018,0.002871,0.002886,0.002481,0.002550,1304,373028
Mar 25 2018,0.002730,0.002934,0.002697,0.002873,508,354160
Mar 24 2018,0.002850,0.003029,0.002758,0.002764,530,369228
Mar 23 2018,0.002888,0.002996,0.002671,0.002811,1234,373651
Mar 22 2018,0.003380,0.003380,0.002844,0.002967,671,436563
Mar 21 2018,0.002907,0.003391,0.002759,0.003385,4510,374971
Mar 20 2018,0.002781,0.002932,0.002652,0.002903,1186,358257
Mar 19 2018,0.002793,0.002964,0.002612,0.002757,2418,359267
Mar 18 2018,0.002866,0.002981,0.002704,0.002790,2073,368182
Mar 17 2018,0.003136,0.003167,0.002863,0.002872,1326,402374
Mar 16 2018,0.003062,0.003349,0.002954,0.003132,3614,392335
Mar 15 2018,0.003120,0.003505,0.002800,0.003064,7706,399130
Mar 14 2018,0.003586,0.003618,0.003055,0.003121,3321,458104
Mar 13 2018,0.003262,0.003597,0.003199,0.003585,6819,416080
Mar 12 2018,0.003462,0.003723,0.003181,0.003292,4590,440911
Mar 11 2018,0.003536,0.003670,0.003215,0.003472,4603,449689
Mar 10 2018,0.003026,0.003641,0.002964,0.003546,4749,384177
Mar 09 2018,0.003093,0.003165,0.002780,0.003021,6182,391884
Mar 08 2018,0.003164,0.003454,0.003017,0.003109,5738,399829
Mar 07 2018,0.003434,0.004112,0.002999,0.003168,8200,432392
Mar 06 2018,0.003366,0.003570,0.003197,0.003438,8279,422809
Mar 05 2018,0.003956,0.004395,0.003262,0.003374,9567,495843
Mar 04 2018,0.005236,0.005337,0.003286,0.003960,30326,654763
Mar 03 2018,0.007956,0.009545,0.004950,0.005307,149698,992102
Mar 02 2018,0.005588,0.009503,0.005447,0.007954,191238,693893
Mar 01 2018,0.002411,0.007282,0.002396,0.005704,54040,297887
Feb 28 2018,0.003471,0.003543,0.001840,0.002582,6482,428258
Feb 27 2018,0.004128,0.004539,0.003258,0.003474,6554,508481
Feb 26 2018,0.004648,0.004759,0.003798,0.004117,8114,571422
Feb 25 2018,0.004879,0.005321,0.004261,0.004644,6980,598238
Feb 24 2018,0.005520,0.005995,0.004851,0.004884,3952,675072
Feb 23 2018,0.005132,0.006054,0.004425,0.005526,7773,625922
Feb 22 2018,0.004482,0.005368,0.004152,0.005136,6342,545148
Feb 21 2018,0.005049,0.005794,0.003905,0.004486,6377,612310
Feb 20 2018,0.006197,0.006212,0.003746,0.005053,9910,749298
Feb 19 2018,0.006038,0.006526,0.005302,0.006192,15678,727756
Feb 18 2018,0.007024,0.007504,0.005998,0.006080,12803,843665
Feb 17 2018,0.005692,0.007537,0.005155,0.007005,15676,682051
Feb 16 2018,0.005459,0.006487,0.005092,0.005689,15841,652263
Feb 15 2018,0.006951,0.007266,0.005612,0.006435,44017,828269
Feb 14 2018,0.007241,0.007933,0.006646,0.006717,37291,860266
Feb 13 2018,0.007827,0.008311,0.006695,0.007258,57618,926882
Feb 12 2018,0.008893,0.008893,0.006573,0.007817,62593,1049520
Feb 11 2018,0.010189,0.010387,0.008790,0.008851,43150,1199210
Feb 10 2018,0.009038,0.011867,0.009038,0.010195,55592,1060930
Feb 09 2018,0.007864,0.010365,0.007194,0.009032,125884,920316
Feb 08 2018,0.007180,0.011233,0.007002,0.007764,173696,839500
Feb 06 2018,0.004766,0.004975,0.004183,0.004851,15839,552858
Feb 05 2018,0.005948,0.006280,0.004603,0.004760,15530,688132
Feb 04 2018,0.006013,0.007248,0.005281,0.006001,19599,693785
Feb 03 2018,0.005459,0.006180,0.005178,0.006011,12305,628105
Feb 02 2018,0.006631,0.006631,0.005275,0.005446,25074,760615
Feb 01 2018,0.006855,0.008116,0.006299,0.006643,26179,782360
Jan 31 2018,0.006669,0.007277,0.006205,0.006841,38727,-
Jan 30 2018,0.009142,0.010416,0.006614,0.006663,87127,-
Jan 29 2018,0.011329,0.012434,0.008994,0.009044,99650,-
Jan 28 2018,0.010291,0.012583,0.007396,0.011237,133995,-
Jan 27 2018,0.014757,0.015352,0.008689,0.010247,108716,-
Jan 26 2018,0.005894,0.014945,0.005504,0.014945,168002,-
Jan 25 2018,0.007550,0.008005,0.004900,0.006089,10654,-
Jan 24 2018,0.008422,0.008760,0.007007,0.007442,23616,-
Jan 23 2018,0.008256,0.008712,0.007054,0.008423,20334,-
Jan 22 2018,0.015414,0.015731,0.015119,0.015621,149480,-
Jan 21 2018,0.014272,0.016425,0.014202,0.015256,145782,-
Jan 20 2018,0.020293,0.026412,0.011868,0.014245,206525,-
Jan 19 2018,0.010066,0.024688,0.009041,0.021615,308846,-
Jan 18 2018,0.007498,0.011147,0.005927,0.009714,141815,-
Jan 17 2018,0.008377,0.009351,0.004817,0.007381,48766,-
Jan 16 2018,0.010377,0.012370,0.006959,0.009107,137949,-
