Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.032426,0.037445,0.032426,0.035967,8438,2483230
Mar 30 2018,0.037941,0.038097,0.031108,0.032428,7496,2903990
Mar 29 2018,0.047939,0.048019,0.028382,0.036938,15762,3667230
Mar 28 2018,0.039434,0.050334,0.039187,0.047879,6883,3014930
Mar 27 2018,0.046911,0.049908,0.039105,0.039434,6628,3584570
Mar 26 2018,0.047951,0.051576,0.045300,0.046966,8616,3661940
Mar 25 2018,0.046372,0.050758,0.044962,0.048008,4228,3539410
Mar 24 2018,0.054437,0.055331,0.046757,0.046998,9514,4152620
Mar 23 2018,0.051461,0.053692,0.043492,0.053692,6629,3923460
Mar 22 2018,0.052709,0.053425,0.042027,0.051471,11375,4016340
Mar 21 2018,0.051158,0.058176,0.041388,0.052672,14126,3895910
Mar 20 2018,0.058987,0.058987,0.045897,0.050932,11724,4489630
Mar 19 2018,0.052438,0.062718,0.044982,0.058165,24878,3988980
Mar 18 2018,0.062258,0.063595,0.050421,0.052578,12412,4733290
Mar 17 2018,0.074297,0.078921,0.057480,0.062397,12360,5645410
Mar 16 2018,0.068557,0.097369,0.066318,0.074096,20035,5206320
Mar 15 2018,0.070080,0.070552,0.058145,0.068610,20077,5318990
Mar 14 2018,0.072536,0.078205,0.066665,0.070125,11640,5502380
Mar 13 2018,0.074592,0.082168,0.069264,0.072523,14044,5655170
Mar 12 2018,0.085877,0.087825,0.069113,0.074907,13343,6507030
Mar 11 2018,0.073468,0.088387,0.073272,0.086116,7849,5563640
Mar 10 2018,0.089703,0.091317,0.073358,0.073714,7529,6789200
Mar 09 2018,0.097427,0.098496,0.076846,0.089673,43688,7369670
Mar 08 2018,0.085273,0.136414,0.075754,0.097924,121179,6446570
Mar 07 2018,0.104223,0.104766,0.075074,0.085397,16968,7874760
Mar 06 2018,0.102555,0.119890,0.094812,0.104275,38253,7744260
Mar 05 2018,0.113191,0.113191,0.093909,0.102699,12900,8542640
Mar 04 2018,0.106437,0.113163,0.075704,0.113163,23071,8028360
Mar 03 2018,0.112072,0.120706,0.098272,0.114522,20887,8448570
Mar 02 2018,0.124095,0.129092,0.110329,0.112181,27100,9349680
Mar 01 2018,0.125742,0.133461,0.114598,0.127672,30364,9468370
Feb 28 2018,0.139348,0.146129,0.121418,0.125640,16334,10486900
Feb 27 2018,0.136671,0.149619,0.116037,0.139437,82751,10279600
Feb 26 2018,0.097829,0.141845,0.093363,0.136317,76692,7353900
Feb 25 2018,0.094696,0.111277,0.092197,0.102397,41232,7114370
Feb 24 2018,0.109682,0.110169,0.076933,0.094937,19371,8235490
Feb 23 2018,0.105294,0.120082,0.102914,0.109363,21894,7901510
Feb 22 2018,0.135814,0.141210,0.105224,0.105345,32435,10186100
Feb 21 2018,0.118182,0.159798,0.113795,0.129703,115392,8858570
Feb 20 2018,0.131630,0.133873,0.113378,0.117693,30775,9860910
Feb 19 2018,0.119300,0.131711,0.112286,0.131540,32833,8932120
Feb 18 2018,0.117967,0.139428,0.117711,0.119761,20152,8827200
Feb 17 2018,0.119693,0.139109,0.111241,0.119353,15178,8951170
Feb 16 2018,0.121986,0.137869,0.119662,0.119693,19703,-
Feb 15 2018,0.125582,0.126414,0.108516,0.122330,30264,-
Feb 14 2018,0.131404,0.142848,0.108198,0.112488,30827,-
Feb 13 2018,0.132812,0.151187,0.109347,0.131643,49048,-
Feb 12 2018,0.112488,0.147365,0.103485,0.132624,62068,-
Feb 11 2018,0.142202,0.142202,0.106258,0.110749,29117,-
Feb 10 2018,0.138631,0.143760,0.122355,0.142551,31550,-
Feb 09 2018,0.137197,0.141901,0.122761,0.129206,33373,-
Feb 08 2018,0.118501,0.154299,0.117522,0.137196,51265,-
Feb 07 2018,0.127568,0.165558,0.114137,0.118790,85757,-
Feb 06 2018,0.136713,0.144819,0.118092,0.128140,66145,-
Feb 05 2018,0.168629,0.205359,0.119959,0.136440,114711,-
Feb 04 2018,0.177797,0.194515,0.151534,0.170224,54672,-
Feb 03 2018,0.143240,0.222687,0.140599,0.177769,101163,-
Feb 02 2018,0.208403,0.221491,0.119709,0.142645,80795,-
Feb 01 2018,0.205355,0.338709,0.156227,0.208774,94045,-
Jan 31 2018,0.251421,0.302473,0.157354,0.205122,29538,-
