Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,4.10,4.46,3.81,4.37,196,443450
Mar 30 2018,4.25,4.32,3.96,4.10,152,459188
Mar 29 2018,5.56,5.57,4.14,4.26,511,600268
Mar 28 2018,5.31,5.59,5.28,5.55,156,573579
Mar 27 2018,5.58,5.60,5.29,5.32,207,601723
Mar 26 2018,5.69,7.46,5.36,5.59,154,613948
Mar 25 2018,6.32,7.71,5.67,5.70,410,680610
Mar 24 2018,6.33,8.03,6.31,6.40,206,681320
Mar 23 2018,7.40,7.40,6.09,6.24,193,796027
Mar 22 2018,7.56,7.71,6.65,7.40,314,813202
Mar 21 2018,6.85,7.78,6.79,7.58,174,736112
Mar 20 2018,6.90,7.29,6.57,6.83,198,741347
Mar 19 2018,5.24,6.86,5.20,6.82,517,562461
Mar 18 2018,4.69,6.22,4.53,5.26,1327,503679
Mar 17 2018,4.48,4.95,4.38,4.70,179,480678
Mar 16 2018,4.46,4.94,4.29,4.47,181,478233
Mar 15 2018,4.52,5.14,4.16,4.46,1391,484546
Mar 14 2018,5.05,5.17,4.40,4.52,130,541218
Mar 13 2018,5.45,5.65,4.90,5.05,1083,581740
Mar 12 2018,6.01,6.12,5.02,5.48,233,641186
Mar 11 2018,5.53,6.13,5.34,6.03,78,589227
Mar 10 2018,5.69,5.83,4.87,5.55,550,606474
Mar 09 2018,6.60,6.68,4.89,5.69,615,702955
Mar 08 2018,8.31,8.48,6.43,6.64,25,884575
Mar 07 2018,7.73,9.09,6.81,6.93,208,822586
Mar 06 2018,8.70,9.39,7.44,7.74,118,923128
Mar 05 2018,8.14,10.32,8.08,8.73,1004,863541
Mar 04 2018,7.48,8.15,7.21,8.15,202,792883
Mar 03 2018,6.28,8.60,6.28,7.49,1124,665552
Mar 02 2018,8.18,10.34,6.05,6.29,2104,866703
Mar 01 2018,8.50,9.81,5.92,8.20,1199,900343
Feb 28 2018,10.03,10.89,8.48,8.49,991,1061370
Feb 27 2018,8.97,10.16,8.69,10.04,892,949086
Feb 26 2018,8.19,9.51,8.13,8.95,1110,865763
Feb 25 2018,9.56,9.65,8.18,8.18,295,1010610
Feb 24 2018,8.91,9.66,7.96,9.57,917,941039
Feb 23 2018,8.11,9.25,7.91,8.92,191,856550
Feb 22 2018,8.90,9.16,8.03,8.12,401,939561
Feb 21 2018,9.53,11.55,8.76,8.91,3766,1006560
Feb 20 2018,9.50,12.01,9.44,9.55,1997,1002700
Feb 19 2018,9.68,11.14,9.01,9.49,385,1021270
Feb 18 2018,11.37,11.55,8.55,9.73,439,1197950
Feb 17 2018,10.47,11.13,10.06,11.06,843,1099320
Feb 16 2018,9.49,10.66,9.44,10.47,183,995745
Feb 15 2018,10.32,10.33,8.85,9.53,1511,1082590
Feb 14 2018,8.00,10.34,8.00,10.31,1696,839180
Feb 13 2018,10.41,10.46,7.63,8.02,1101,1091330
Feb 12 2018,8.20,10.51,8.20,10.39,496,859888
Feb 11 2018,11.42,11.42,8.15,8.15,992,1197130
Feb 10 2018,9.62,11.45,9.07,11.43,221,1007520
Feb 09 2018,9.14,11.00,9.00,9.61,894,956510
Feb 08 2018,10.22,11.60,9.11,9.11,159,1069450
Feb 07 2018,8.48,11.58,7.94,10.26,1416,887150
Feb 06 2018,7.63,8.69,6.23,8.56,636,798506
Feb 05 2018,8.62,8.80,7.36,7.62,660,901675
Feb 04 2018,9.71,11.00,8.32,8.71,639,1014590
Feb 03 2018,9.96,11.04,8.61,9.70,1137,1040740
Feb 02 2018,9.54,10.00,8.10,9.93,1450,995684
Feb 01 2018,11.34,11.41,9.07,9.56,814,1183340
Jan 31 2018,10.70,11.54,10.12,11.31,1810,1116150
Jan 30 2018,13.96,14.09,10.65,10.68,1679,1455820
Jan 29 2018,12.76,14.95,12.13,13.95,1814,1330570
Jan 28 2018,15.47,15.69,12.11,12.77,913,1611310
Jan 27 2018,12.97,15.61,10.95,15.39,5498,1350660
Jan 26 2018,13.03,13.57,10.94,11.16,1071,1356440
Jan 25 2018,13.69,14.46,12.19,13.07,948,1424970
Jan 24 2018,12.80,13.53,11.79,13.47,6419,1330770
Jan 23 2018,12.79,13.43,11.56,12.81,1501,1327200
Jan 22 2018,15.84,16.13,11.70,12.82,1482,1643870
Jan 21 2018,17.87,17.87,13.00,15.63,2142,1853160
Jan 20 2018,16.26,18.16,14.57,17.83,1730,1685700
Jan 19 2018,14.20,18.44,12.59,16.09,5305,1471450
Jan 18 2018,15.59,20.21,12.95,14.35,1537,1615170
Jan 17 2018,13.70,19.67,11.36,15.53,3456,1418040
Jan 16 2018,22.55,22.55,13.67,13.77,4164,2333170
Jan 15 2018,23.59,26.69,22.51,22.52,3266,1719590
Jan 14 2018,30.73,36.79,22.72,23.76,9594,2239740
Jan 13 2018,26.43,30.80,22.74,30.71,17316,1926730
Jan 12 2018,29.65,30.54,22.02,26.46,10535,2161460
Jan 11 2018,34.52,34.64,24.88,29.46,6085,2515910
Jan 10 2018,32.13,38.41,27.17,34.55,48426,2342350
Jan 09 2018,32.84,39.74,29.53,32.09,8945,2393960
Jan 08 2018,43.78,44.50,29.42,32.93,18539,3191520
Jan 07 2018,34.39,55.24,29.37,43.85,53922,2507030
Jan 06 2018,26.76,34.49,26.48,34.42,19611,1950280
Jan 05 2018,23.62,34.00,23.39,26.74,32759,1721560
Jan 04 2018,16.79,31.10,15.28,23.61,30790,1224110
Jan 03 2018,14.70,17.49,14.70,16.70,4562,1071860
Jan 02 2018,15.39,17.01,12.81,14.76,12013,1121800
Jan 01 2018,14.47,15.73,12.54,15.39,6015,1054710
Dec 31 2017,14.62,20.16,14.43,14.43,1006,1065320
Dec 30 2017,14.63,18.36,12.00,14.75,7564,1066280
Dec 29 2017,13.18,21.52,12.26,14.67,30575,960415
Dec 28 2017,9.61,14.46,7.87,13.04,17216,700725
Dec 27 2017,7.45,14.23,6.00,9.63,36702,543154
Dec 26 2017,5.54,7.53,5.23,7.45,1278,403881
Dec 25 2017,6.39,6.43,5.12,5.54,1528,465961
Dec 24 2017,5.63,6.33,4.69,6.33,873,410498
Dec 23 2017,5.79,6.59,5.58,5.58,923,422223
Dec 22 2017,5.15,6.18,3.68,5.74,1895,375366
Dec 21 2017,5.14,6.68,4.98,5.13,1176,374712
Dec 20 2017,6.91,6.91,4.86,5.13,908,503651
Dec 19 2017,6.74,7.51,5.38,6.92,1027,491587
Dec 18 2017,6.59,9.05,6.22,6.73,4349,480402
Dec 17 2017,5.14,6.78,4.36,6.58,2256,374828
Dec 16 2017,3.65,5.18,3.53,5.12,2180,265880
Dec 15 2017,4.31,4.54,3.51,3.64,1499,314297
Dec 14 2017,3.54,4.87,3.51,4.30,1932,257673
Dec 13 2017,5.07,6.49,3.40,3.55,1265,369668
Dec 12 2017,3.55,6.33,3.41,5.06,771,259084
Dec 11 2017,4.09,4.54,3.42,3.54,475,298033
Dec 10 2017,3.16,4.54,2.87,4.12,89,230623
Dec 09 2017,4.42,4.48,3.06,3.15,538,321922
Dec 08 2017,4.24,4.84,3.71,4.42,459,309231
Dec 07 2017,4.10,4.98,3.66,4.23,797,298970
Dec 06 2017,3.16,4.11,3.16,4.11,449,230126
Dec 05 2017,3.38,3.44,3.10,3.16,705,246269
Dec 04 2017,3.82,3.86,3.04,3.37,605,278235
Dec 03 2017,3.05,4.03,3.03,3.81,59,222677
Dec 02 2017,3.09,3.37,3.00,3.05,131,224947
Dec 01 2017,3.95,4.12,3.00,3.09,1664,287994
Nov 30 2017,3.80,4.17,2.75,3.97,251,276967
Nov 29 2017,4.18,4.30,2.95,3.75,606,304983
Nov 28 2017,3.49,4.39,3.23,4.18,1239,254219
Nov 27 2017,3.82,3.98,3.47,3.48,867,278244
Nov 26 2017,3.53,4.19,3.14,3.82,681,257000
Nov 25 2017,3.45,3.85,3.29,3.53,1897,251513
Nov 24 2017,3.66,5.01,3.44,3.46,297,267064
Nov 23 2017,3.46,3.75,3.41,3.67,233,252127
Nov 22 2017,4.18,4.23,3.46,3.46,3040,304836
Nov 21 2017,4.21,4.28,3.63,4.17,24,307234
Nov 20 2017,3.78,4.54,3.74,4.22,34,275611
Nov 19 2017,4.26,7.85,3.75,3.78,781,310472
Nov 18 2017,3.56,4.27,3.46,4.27,29,259630
Nov 17 2017,4.40,4.51,3.53,3.58,117,320991
Nov 16 2017,3.55,4.43,3.47,4.41,1251,258776
Nov 15 2017,4.56,5.00,3.52,3.53,264,332507
Nov 14 2017,2.98,5.21,2.98,4.56,716,217561
Nov 13 2017,3.81,5.22,2.36,2.98,1914,277668
Nov 12 2017,3.81,4.18,3.57,3.80,795,278023
Nov 11 2017,4.27,4.43,3.75,3.82,542,311508
Nov 10 2017,5.65,5.82,4.14,4.29,113,412189
Nov 09 2017,4.58,5.64,4.21,5.64,2025,334094
Nov 08 2017,4.62,5.09,4.59,4.90,362,336579
Nov 07 2017,4.53,4.69,4.53,4.63,1274,330295
Nov 06 2017,4.34,4.75,2.95,4.54,3879,316342
Nov 05 2017,11.18,11.18,4.28,4.33,533,814796
