Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.088882,0.095817,0.088557,0.092241,640136,29627300
Mar 30 2018,0.094207,0.100896,0.086558,0.090161,520004,31402300
Mar 29 2018,0.109621,0.111911,0.092724,0.094542,470728,36540200
Mar 28 2018,0.113388,0.120996,0.105176,0.109493,1058290,37796000
Mar 27 2018,0.108759,0.120691,0.102944,0.113468,914571,36252900
Mar 26 2018,0.138033,0.139796,0.103006,0.108882,1012620,46010900
Mar 25 2018,0.110206,0.145317,0.106934,0.137309,1108560,36735300
Mar 24 2018,0.110226,0.115211,0.105092,0.111551,620358,36742100
Mar 23 2018,0.112599,0.112599,0.101166,0.108485,318344,37532800
Mar 22 2018,0.118300,0.119519,0.102835,0.112419,382665,39433400
Mar 21 2018,0.110809,0.121473,0.109535,0.118089,747386,36936400
Mar 20 2018,0.100295,0.113916,0.095839,0.110558,1279530,33431600
Mar 19 2018,0.093760,0.099043,0.090409,0.098888,2145470,31253300
Mar 18 2018,0.094795,0.094795,0.076496,0.093655,1164430,31598300
Mar 17 2018,0.102546,0.103651,0.092536,0.094839,632864,34181900
Mar 16 2018,0.099369,0.106897,0.096780,0.101783,1240640,33123100
Mar 15 2018,0.100710,0.111355,0.091708,0.099219,1856180,33569900
Mar 14 2018,0.111116,0.115484,0.098837,0.100731,2877700,37038600
Mar 13 2018,0.104922,0.113275,0.104476,0.110833,2189490,34974000
Mar 12 2018,0.112940,0.117634,0.103184,0.105476,4694520,37646600
Mar 11 2018,0.105139,0.117980,0.102172,0.114891,3831930,35046400
Mar 10 2018,0.114532,0.117492,0.105070,0.105779,3814070,38177500
Mar 09 2018,0.111356,0.115698,0.097108,0.113902,1732810,37118600
Mar 08 2018,0.126823,0.130413,0.110116,0.111596,1172330,42274200
Mar 07 2018,0.138613,0.142183,0.115618,0.127977,1715040,46204400
Mar 06 2018,0.141849,0.158745,0.135492,0.140177,2506500,47283100
Mar 05 2018,0.162534,0.162534,0.140965,0.141374,3324860,54178100
Mar 04 2018,0.160672,0.170217,0.146391,0.161974,3433120,53557200
Mar 03 2018,0.166579,0.174615,0.151945,0.160193,2569520,55526400
Mar 02 2018,0.177715,0.186687,0.160637,0.166728,3007050,59238200
Mar 01 2018,0.145228,0.179070,0.141418,0.177614,3775640,48409300
Feb 28 2018,0.147637,0.151913,0.143248,0.146252,2725480,49212300
Feb 27 2018,0.147369,0.156038,0.144817,0.147657,2230280,49122900
Feb 26 2018,0.148646,0.157771,0.141549,0.146922,2632010,49548600
Feb 25 2018,0.155811,0.163874,0.144500,0.148520,2346900,51937100
Feb 24 2018,0.170007,0.176136,0.151309,0.155949,4444620,56668900
Feb 23 2018,0.164267,0.181006,0.160514,0.170031,3997660,54755600
Feb 22 2018,0.174852,0.187575,0.161752,0.164184,4099740,58284000
Feb 21 2018,0.185546,0.191725,0.164402,0.175332,3082580,61848500
Feb 20 2018,0.203733,0.221400,0.185612,0.186051,3229530,67911000
Feb 19 2018,0.207101,0.219811,0.203696,0.203696,3261330,69033500
Feb 18 2018,0.226760,0.227035,0.205291,0.206849,5580690,75586600
Feb 17 2018,0.221686,0.232044,0.221686,0.226283,2732490,73895300
Feb 16 2018,0.215641,0.222231,0.208783,0.221360,5157140,71880200
Feb 15 2018,0.215576,0.226998,0.209107,0.214456,3405760,71858700
Feb 14 2018,0.200259,0.222764,0.193012,0.216494,4430640,66752900
Feb 13 2018,0.213005,0.214286,0.188872,0.200608,2415720,71001600
Feb 12 2018,0.196317,0.222636,0.193410,0.213917,3541070,65439200
Feb 11 2018,0.195466,0.217691,0.174423,0.193886,3377090,65155400
Feb 10 2018,0.236334,0.236334,0.184722,0.196431,4079850,78778100
Feb 09 2018,0.210200,0.240675,0.189732,0.238229,4050740,70066600
Feb 08 2018,0.196417,0.226832,0.196417,0.211416,5102000,65472500
Feb 07 2018,0.225872,0.262025,0.196462,0.196462,3694630,75290600
Feb 06 2018,0.179058,0.227793,0.136674,0.227793,3694420,59686100
Feb 05 2018,0.244553,0.244913,0.150867,0.180011,3381650,81517700
Feb 04 2018,0.281545,0.284001,0.227578,0.246646,2374610,93848300
Feb 03 2018,0.256595,0.292260,0.236081,0.284277,2571720,85531800
Feb 02 2018,0.294475,0.294795,0.192886,0.258437,4152050,98158400
Feb 01 2018,0.352693,0.362906,0.254796,0.291841,6478250,117564000
Jan 31 2018,0.317554,0.351648,0.289320,0.345814,9655540,105851000
Jan 30 2018,0.335503,0.348476,0.256796,0.313860,7745640,111834000
Jan 29 2018,0.388803,0.417021,0.315766,0.336080,13614400,129601000
Jan 28 2018,0.326499,0.405914,0.308434,0.382979,10499200,108833000
Jan 27 2018,0.268665,0.331798,0.260609,0.326506,64801700,89555200
Jan 26 2018,0.269995,0.275055,0.234151,0.269947,32637500,89998400
Jan 25 2018,0.308750,0.313393,0.250301,0.273419,16605300,102917000
Jan 24 2018,0.235724,0.309612,0.228221,0.306849,14338600,-
Jan 23 2018,0.269387,0.274259,0.199033,0.241234,9506440,-
Jan 22 2018,0.230323,0.275815,0.222299,0.271558,13364100,-
