Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.069372,0.073589,0.057664,0.059531,586,457765
Mar 30 2018,0.057910,0.070550,0.054670,0.069362,273,382130
Mar 29 2018,0.070378,0.070498,0.056377,0.058055,142,464398
Mar 28 2018,0.069262,0.073936,0.067553,0.070295,814,457032
Mar 27 2018,0.074040,0.077165,0.069188,0.069277,348,488562
Mar 26 2018,0.078365,0.078795,0.067210,0.074152,200,517103
Mar 25 2018,0.081056,0.094946,0.075429,0.078425,411,534858
Mar 24 2018,0.089386,0.090112,0.081108,0.082187,357,589825
Mar 23 2018,0.089292,0.092050,0.072074,0.088107,978,589201
Mar 22 2018,0.096613,0.107226,0.084518,0.089294,608,637511
Mar 21 2018,0.094494,0.097436,0.087324,0.096786,906,623525
Mar 20 2018,0.088327,0.095029,0.085991,0.094283,331,582830
Mar 19 2018,0.095688,0.098519,0.085172,0.087353,733,631402
Mar 18 2018,0.111781,0.136921,0.086176,0.096092,1773,737593
Mar 17 2018,0.099108,0.115291,0.086651,0.112050,258,653970
Mar 16 2018,0.096957,0.103434,0.088540,0.098957,600,639777
Mar 15 2018,0.092226,0.097974,0.086155,0.097012,511,608554
Mar 14 2018,0.108680,0.111128,0.089593,0.092267,506,717129
Mar 13 2018,0.104706,0.115928,0.096207,0.108664,611,690906
Mar 12 2018,0.108322,0.112798,0.096258,0.104304,736,714762
Mar 11 2018,0.087082,0.108664,0.084272,0.108664,1161,574607
Mar 10 2018,0.101292,0.101642,0.087235,0.087383,2231,668376
Mar 09 2018,0.098377,0.101787,0.081989,0.101249,935,649140
Mar 08 2018,0.104632,0.107332,0.096609,0.098994,218,690410
Mar 07 2018,0.114579,0.116236,0.102263,0.104780,3530,756040
Mar 06 2018,0.126669,0.126669,0.113053,0.114725,1316,835815
Mar 05 2018,0.136715,0.147924,0.126619,0.127020,2770,902100
Mar 04 2018,0.129716,0.135941,0.113636,0.135941,1631,855910
Mar 03 2018,0.126292,0.135311,0.116234,0.129861,4279,833319
Mar 02 2018,0.137203,0.148829,0.112259,0.125381,4515,905310
Mar 01 2018,0.126023,0.148655,0.121876,0.137556,3120,831538
Feb 28 2018,0.139725,0.150712,0.122047,0.125839,7017,921943
Feb 27 2018,0.136556,0.157186,0.136556,0.139889,3143,901032
Feb 26 2018,0.123287,0.168808,0.123287,0.136163,2950,813475
Feb 25 2018,0.149596,0.262220,0.118676,0.123130,20496,987066
Feb 24 2018,0.160005,0.171428,0.142299,0.149823,2141,1055740
Feb 23 2018,0.147217,0.160863,0.138889,0.160208,1448,971266
Feb 22 2018,0.160559,0.166682,0.146456,0.146456,2936,1051850
Feb 21 2018,0.171270,0.171743,0.140660,0.160739,6601,1122020
Feb 20 2018,0.168845,0.185192,0.154889,0.172007,7869,1106130
Feb 19 2018,0.156991,0.171123,0.155016,0.166933,2746,1028470
Feb 18 2018,0.176807,0.183069,0.160300,0.162382,2418,1158290
Feb 17 2018,0.169569,0.189143,0.164667,0.176267,3130,1110870
Feb 16 2018,0.175605,0.183786,0.154590,0.169607,1699,1150410
Feb 15 2018,0.153345,0.177278,0.150871,0.176658,1310,1004580
Feb 14 2018,0.159568,0.160223,0.138343,0.153323,5282,1045350
Feb 13 2018,0.160252,0.169173,0.135039,0.159930,1251,1049830
Feb 12 2018,0.144720,0.162209,0.143800,0.159974,3312,948075
Feb 11 2018,0.157324,0.168228,0.139025,0.143827,7797,1030640
Feb 10 2018,0.151694,0.171727,0.143145,0.157460,5975,993762
Feb 09 2018,0.125465,0.180558,0.116065,0.151587,15363,821932
Feb 08 2018,0.123751,0.141584,0.115577,0.125072,4573,810705
Feb 07 2018,0.120587,0.149827,0.115147,0.124959,958,789975
Feb 06 2018,0.123540,0.128211,0.095413,0.121613,1735,809322
Feb 05 2018,0.132198,0.138573,0.105186,0.123385,2530,866042
Feb 04 2018,0.159988,0.170128,0.128262,0.133493,3922,1048090
Feb 03 2018,0.172606,0.205157,0.137488,0.159888,21369,1130750
Feb 02 2018,0.129319,0.448002,0.123110,0.169748,15134,847180
Feb 01 2018,0.153693,0.181434,0.112682,0.139778,5534,1006850
Jan 31 2018,0.152963,0.170646,0.124938,0.153338,15042,1002070
Jan 30 2018,0.180089,0.201656,0.137358,0.158532,9397,1179770
Jan 29 2018,0.204074,0.213176,0.178845,0.180029,7183,1336900
Jan 28 2018,0.208554,0.213956,0.194765,0.204286,3558,1366250
Jan 27 2018,0.198462,0.350414,0.188551,0.207471,7873,1300130
Jan 26 2018,0.204727,0.269304,0.187343,0.198593,19330,1341170
Jan 25 2018,0.200337,0.308624,0.189137,0.205285,10717,1312410
Jan 24 2018,0.199018,0.207362,0.187789,0.197147,6011,1303770
Jan 23 2018,0.182365,0.210095,0.172119,0.199122,8653,1194670
Jan 22 2018,0.218094,0.234082,0.171155,0.182848,8068,1428730
Jan 21 2018,0.254684,0.254684,0.206933,0.215156,29970,1668430
Jan 20 2018,0.248965,0.303273,0.207289,0.257762,58950,1630970
Jan 19 2018,0.223193,0.289166,0.179466,0.246296,16985,1462130
Jan 18 2018,0.223460,0.273429,0.197973,0.225659,9191,1463880
Jan 17 2018,0.231801,0.264767,0.145336,0.256530,11612,1518510
Jan 16 2018,0.275925,0.353934,0.203856,0.233473,7671,1807560
Jan 15 2018,0.373053,0.373053,0.271504,0.275848,11459,2443830
Jan 14 2018,0.363965,0.445081,0.335808,0.363993,24306,2384230
Jan 13 2018,0.408937,0.481471,0.361760,0.363930,22500,2678770
Jan 12 2018,0.370666,0.445232,0.362397,0.406700,24511,2427940
Jan 11 2018,0.393884,0.467925,0.307415,0.388464,28138,2580010
Jan 10 2018,0.568206,0.604928,0.304939,0.394850,84470,3721820
Jan 09 2018,0.615880,0.851728,0.541364,0.566919,52497,4034060
Jan 08 2018,0.845001,0.845001,0.460617,0.571291,103909,5534800
Jan 07 2018,0.753827,1.41,0.622463,0.816691,533766,4937570
Jan 06 2018,0.207377,1.67,0.199249,0.726922,300076,1358320
Jan 05 2018,0.170841,0.215249,0.155528,0.207210,10413,1119000
Jan 04 2018,0.125841,0.203564,0.124709,0.170774,6020,824252
Jan 03 2018,0.153380,0.155572,0.104625,0.125218,15463,1004630
Jan 02 2018,0.124274,0.156827,0.105179,0.150460,5414,813981
Jan 01 2018,0.138783,0.150058,0.117097,0.124630,4309,909014
Dec 31 2017,0.118887,0.158855,0.118501,0.138404,8656,778693
Dec 30 2017,0.086130,0.131434,0.082406,0.120194,10175,564138
Dec 29 2017,0.084922,0.110469,0.084015,0.095094,5561,556226
Dec 28 2017,0.087156,0.093240,0.069554,0.084125,3413,570857
Dec 27 2017,0.092458,0.102820,0.074374,0.087279,5207,605578
Dec 26 2017,0.073202,0.093065,0.071082,0.092376,4447,479455
Dec 25 2017,0.078910,0.081964,0.069755,0.073274,1378,516842
Dec 24 2017,0.088921,0.089829,0.065601,0.078205,2590,582408
Dec 23 2017,0.074299,0.094977,0.067501,0.087894,1427,486626
Dec 22 2017,0.080332,0.088441,0.052579,0.071173,2888,526138
Dec 21 2017,0.084400,0.089519,0.077208,0.078673,1913,552783
Dec 20 2017,0.099017,0.102369,0.083870,0.085705,2171,648517
Dec 19 2017,0.100770,0.118782,0.096291,0.099101,2228,659985
Dec 18 2017,0.130129,0.130129,0.094213,0.100715,4501,852256
Dec 17 2017,0.112885,0.154495,0.111322,0.129747,9643,739323
Dec 16 2017,0.095907,0.140236,0.093360,0.112823,14619,628123
Dec 15 2017,0.078590,0.102326,0.078510,0.095794,3877,514710
Dec 14 2017,0.083735,0.083735,0.073038,0.078467,1247,548403
Dec 13 2017,0.093230,0.097630,0.076953,0.083906,2196,610588
Dec 12 2017,0.078113,0.095038,0.076955,0.093080,2121,511581
Dec 11 2017,0.071911,0.086771,0.071711,0.077600,3333,470957
Dec 10 2017,0.064678,0.082074,0.060634,0.072588,2998,423585
Dec 09 2017,0.084783,0.087780,0.062618,0.064514,5145,555256
Dec 08 2017,0.089237,0.097137,0.065321,0.084958,5552,584429
Dec 07 2017,0.068236,0.102753,0.065537,0.099221,4400,446868
Dec 06 2017,0.069724,0.082141,0.069140,0.072897,1854,456615
Dec 05 2017,0.073847,0.079331,0.068448,0.069878,1468,483610
Dec 04 2017,0.073733,0.083085,0.069263,0.073683,1110,482862
Dec 03 2017,0.071329,0.092582,0.071329,0.081058,5622,467116
Dec 02 2017,0.055859,0.079728,0.055750,0.071246,7368,365663
Dec 01 2017,0.050173,0.063308,0.045800,0.055907,1801,328436
Nov 30 2017,0.053893,0.062025,0.044259,0.050410,1529,352789
Nov 29 2017,0.049987,0.062437,0.045260,0.053096,2208,327222
Nov 28 2017,0.045578,0.050041,0.043961,0.050041,1113,298360
Nov 27 2017,0.048671,0.058033,0.043557,0.045244,1008,318603
Nov 26 2017,0.048683,0.056604,0.046102,0.048653,653,318682
Nov 25 2017,0.041183,0.049067,0.039481,0.048592,3411,269583
Nov 24 2017,0.046609,0.047907,0.041712,0.041712,418,305107
Nov 23 2017,0.043976,0.050174,0.034134,0.046766,1790,287866
Nov 22 2017,0.046740,0.047295,0.041776,0.044074,495,305960
Nov 21 2017,0.048490,0.048912,0.042308,0.046629,829,317413
Nov 20 2017,0.051820,0.051848,0.045502,0.048481,864,339216
Nov 19 2017,0.055456,0.064562,0.036037,0.051846,6008,363011
Nov 18 2017,0.045074,0.055716,0.044649,0.055558,1409,295051
Nov 17 2017,0.054092,0.055236,0.041680,0.045242,1467,354086
Nov 16 2017,0.043230,0.055882,0.040274,0.054182,1160,282980
Nov 15 2017,0.042281,0.045399,0.039600,0.043014,936,276768
Nov 14 2017,0.041341,0.044898,0.040325,0.042248,1086,270610
Nov 13 2017,0.035786,0.042774,0.035456,0.041542,3033,234248
Nov 12 2017,0.040793,0.044578,0.035435,0.035735,2008,267022
Nov 11 2017,0.045730,0.053074,0.040149,0.040577,491,299341
Nov 10 2017,0.050950,0.055957,0.043597,0.045893,2056,333505
Nov 09 2017,0.050959,0.053523,0.046105,0.050795,1499,333566
Nov 08 2017,0.045134,0.056373,0.044152,0.051015,2509,295436
Nov 07 2017,0.051403,0.051513,0.044296,0.045250,866,336469
Nov 06 2017,0.040549,0.055443,0.038375,0.051526,2468,265422
Nov 05 2017,0.044322,0.049043,0.038948,0.040460,1423,290118
Nov 04 2017,0.044742,0.060968,0.043765,0.044397,936,292865
Nov 03 2017,0.046651,0.050300,0.040443,0.044859,703,305361
Nov 02 2017,0.047172,0.050069,0.043935,0.046712,1730,308771
Nov 01 2017,0.050461,0.052457,0.045790,0.047120,1842,330298
Oct 31 2017,0.042737,0.055062,0.042655,0.050498,3556,279743
Oct 30 2017,0.043516,0.055804,0.042579,0.042883,2643,284836
Oct 29 2017,0.040860,0.050584,0.040770,0.043781,470,267453
Oct 28 2017,0.043971,0.050534,0.040825,0.040883,381,287815
Oct 27 2017,0.048458,0.048467,0.038651,0.041140,1101,317181
Oct 26 2017,0.045339,0.052011,0.044875,0.048448,548,296768
Oct 25 2017,0.047673,0.047769,0.040174,0.045346,1115,312045
Oct 24 2017,0.046151,0.054109,0.041103,0.047653,306,302081
Oct 23 2017,0.047214,0.047214,0.039876,0.046253,318,309040
Oct 22 2017,0.049199,0.049991,0.041084,0.041488,851,322030
Oct 21 2017,0.052322,0.053038,0.046934,0.049184,1539,342472
Oct 20 2017,0.053973,0.056779,0.052325,0.052432,329,353277
Oct 19 2017,0.049832,0.054276,0.045873,0.053959,357,326173
Oct 18 2017,0.048714,0.051358,0.045714,0.049825,1251,318852
Oct 17 2017,0.048572,0.055402,0.046567,0.048747,2266,317926
Oct 16 2017,0.046560,0.052464,0.045923,0.048464,849,304754
Oct 15 2017,0.067595,0.067814,0.043696,0.046552,1602,442440
Oct 14 2017,0.053446,0.067475,0.051312,0.067475,3452,349826
Oct 13 2017,0.057586,0.059779,0.047884,0.053431,2838,376923
Oct 12 2017,0.051527,0.057410,0.051258,0.057410,1357,337261
Oct 11 2017,0.053150,0.055397,0.050873,0.051483,2268,347887
Oct 10 2017,0.057463,0.067339,0.049952,0.053159,4546,376118
Oct 09 2017,0.050031,0.099516,0.048570,0.057468,100262,327468
Oct 08 2017,0.050211,0.057277,0.048050,0.049901,710,328650
Oct 07 2017,0.051291,0.052174,0.049120,0.050343,501,335716
Oct 06 2017,0.052766,0.055605,0.050793,0.051279,702,345368
Oct 05 2017,0.091099,0.092747,0.045716,0.052758,540,596268
Oct 04 2017,0.054887,0.189740,0.044386,0.091092,2661,359253
Oct 03 2017,0.060841,0.062151,0.049379,0.054760,1234,398223
Oct 02 2017,0.060082,0.062288,0.052261,0.061682,723,393254
Oct 01 2017,0.053376,0.061669,0.053369,0.060109,628,349356
Sep 30 2017,0.052662,0.060666,0.047420,0.053347,2028,344683
Sep 29 2017,0.052314,0.056469,0.049027,0.052655,1038,342403
Sep 28 2017,0.054507,0.058826,0.051589,0.052354,382,356759
Sep 27 2017,0.041437,0.057843,0.041437,0.054520,1082,271209
Sep 26 2017,0.041098,0.045818,0.040306,0.045698,576,268995
Sep 25 2017,0.042561,0.043600,0.037450,0.041102,299,278571
Sep 24 2017,0.039359,0.043038,0.037889,0.042605,751,257612
Sep 23 2017,0.037297,0.042744,0.037153,0.039363,521,244115
Sep 22 2017,0.037247,0.043802,0.034695,0.037403,441,243782
Sep 21 2017,0.037649,0.043172,0.028154,0.037289,2128,246412
Sep 20 2017,0.041490,0.044384,0.037571,0.037834,562,271551
Sep 19 2017,0.051204,0.053871,0.040078,0.041555,1547,335132
Sep 18 2017,0.041327,0.054758,0.041327,0.051260,1594,270484
Sep 17 2017,0.037642,0.045366,0.035953,0.041383,1327,246363
Sep 16 2017,0.043998,0.044541,0.037087,0.037255,1964,287966
Sep 15 2017,0.040102,0.044631,0.034879,0.044124,197,262465
Sep 14 2017,0.047769,0.049316,0.039793,0.039793,336,312641
Sep 13 2017,0.065111,0.079139,0.045486,0.047771,657,426143
Sep 12 2017,0.044270,0.067325,0.044270,0.065197,926,289741
Sep 11 2017,0.053629,0.056392,0.044228,0.044228,1728,350987
Sep 10 2017,0.052141,0.056130,0.049480,0.053720,345,341249
Sep 09 2017,0.056136,0.059936,0.050483,0.052274,952,367392
Sep 08 2017,0.099459,0.099577,0.055303,0.056028,957,650911
Sep 07 2017,0.062435,0.106711,0.050964,0.099455,4086,408603
Sep 06 2017,0.059277,0.069961,0.058749,0.062554,1134,387938
