Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.060577,0.064770,0.057828,0.059459,7051,1943720
Mar 30 2018,0.056174,0.065804,0.055384,0.060568,12206,1802440
Mar 29 2018,0.071471,0.072770,0.055297,0.056314,18502,2293270
Mar 28 2018,0.063073,0.073271,0.062304,0.069880,10925,2023800
Mar 27 2018,0.066986,0.069754,0.063007,0.063088,9778,2149360
Mar 26 2018,0.075959,0.077701,0.064507,0.067088,23979,2437260
Mar 25 2018,0.077718,0.079667,0.075676,0.076017,4887,2493710
Mar 24 2018,0.078692,0.082549,0.076089,0.078803,13602,2524950
Mar 23 2018,0.080922,0.080922,0.072452,0.077562,9187,2596520
Mar 22 2018,0.084597,0.086064,0.078084,0.080924,5455,2714410
Mar 21 2018,0.089578,0.089715,0.081973,0.084751,41928,2874240
Mar 20 2018,0.088992,0.090848,0.083630,0.089416,12875,2855440
Mar 19 2018,0.082804,0.088812,0.082804,0.088010,6580,2656890
Mar 18 2018,0.082809,0.089579,0.074081,0.083154,52118,2657060
Mar 17 2018,0.091316,0.093638,0.081889,0.083011,19030,2930010
Mar 16 2018,0.107553,0.108213,0.091165,0.091165,66087,3451010
Mar 15 2018,0.114899,0.116903,0.098055,0.107614,45168,3686720
Mar 14 2018,0.120131,0.124645,0.110908,0.115033,48916,3854580
Mar 13 2018,0.113064,0.120550,0.111683,0.120114,17920,3627840
Mar 12 2018,0.115296,0.119599,0.107862,0.113717,10443,3699440
Mar 11 2018,0.108550,0.118989,0.102471,0.115660,5979,3483000
Mar 10 2018,0.110005,0.115261,0.105493,0.108926,37414,3529680
Mar 09 2018,0.124439,0.125907,0.093392,0.109957,197658,3992820
Mar 08 2018,0.146776,0.150179,0.123477,0.125232,109026,4709550
Mar 07 2018,0.158747,0.163241,0.137424,0.146984,24624,5093660
Mar 06 2018,0.181898,0.183498,0.157070,0.158954,109729,5836500
Mar 05 2018,0.160276,0.183379,0.156208,0.182287,119260,5142730
Mar 04 2018,0.156611,0.160394,0.150709,0.160394,25334,5025120
Mar 03 2018,0.155373,0.162247,0.152620,0.156882,22506,4985400
Mar 02 2018,0.136405,0.163423,0.136405,0.155564,39328,4376760
Mar 01 2018,0.121009,0.140173,0.120066,0.136756,14225,3882760
Feb 28 2018,0.131706,0.135071,0.120723,0.120831,16437,4225980
Feb 27 2018,0.123946,0.133120,0.121127,0.131861,13654,3977010
Feb 26 2018,0.115613,0.126294,0.114373,0.123589,4187,3709640
Feb 25 2018,0.116643,0.122212,0.112540,0.115466,3758,3742680
Feb 24 2018,0.126529,0.139105,0.115888,0.116820,15572,4059880
Feb 23 2018,0.113315,0.127142,0.108638,0.126689,26493,3635880
Feb 22 2018,0.122771,0.134324,0.111326,0.113421,26103,3939320
Feb 21 2018,0.139085,0.147965,0.120025,0.122896,43045,4462750
Feb 20 2018,0.150927,0.155905,0.137769,0.139258,14552,4842720
Feb 19 2018,0.146051,0.157758,0.142219,0.150790,27197,4686270
Feb 18 2018,0.158970,0.161685,0.145021,0.146725,6764,5100810
Feb 17 2018,0.148621,0.161066,0.146709,0.158484,4329,4768750
Feb 16 2018,0.149339,0.155952,0.144184,0.148655,1474,4791770
Feb 15 2018,0.144114,0.153037,0.142480,0.149979,15531,4624140
Feb 14 2018,0.135306,0.146936,0.135306,0.142616,11332,4341520
Feb 13 2018,0.143072,0.143723,0.133266,0.135711,3489,4590710
Feb 12 2018,0.124027,0.145270,0.124027,0.142813,4583,3979610
Feb 11 2018,0.135342,0.137278,0.120800,0.123242,8020,4342670
Feb 10 2018,0.142324,0.153805,0.132149,0.135458,11568,4566680
Feb 09 2018,0.131915,0.142660,0.125441,0.142220,14776,4232690
Feb 08 2018,0.113929,0.139396,0.113929,0.130852,13013,3655600
Feb 07 2018,0.109072,0.132956,0.104262,0.114387,9479,3499740
Feb 06 2018,0.096471,0.111752,0.084612,0.110174,15308,3095410
Feb 05 2018,0.123025,0.127908,0.093782,0.096349,13562,3947440
Feb 04 2018,0.150682,0.150682,0.120100,0.123898,10343,4834870
Feb 03 2018,0.138967,0.150605,0.125945,0.150605,9490,4458990
Feb 02 2018,0.156201,0.156201,0.115752,0.138495,15732,5011960
Feb 01 2018,0.181949,0.183337,0.141386,0.156524,20673,5838120
Jan 31 2018,0.181004,0.191297,0.164779,0.181527,42515,5807790
Jan 30 2018,0.225675,0.225675,0.180205,0.180720,24224,7241140
Jan 29 2018,0.235941,0.238995,0.216775,0.225601,10223,7570550
Jan 28 2018,0.237249,0.249911,0.231526,0.236167,18261,7612520
Jan 27 2018,0.232193,0.245721,0.224861,0.236041,16580,7450280
Jan 26 2018,0.223095,0.234163,0.208059,0.231234,19785,7158370
Jan 25 2018,0.228923,0.240905,0.216325,0.223690,35123,7345350
Jan 24 2018,0.216796,0.227209,0.209838,0.222298,20532,6956240
Jan 23 2018,0.216026,0.229263,0.199650,0.216919,22685,6931540
Jan 22 2018,0.243187,0.248159,0.198522,0.210520,117613,7803050
Jan 21 2018,0.282052,0.284362,0.233496,0.239908,90592,9050090
Jan 20 2018,0.264585,0.290440,0.258735,0.281397,40617,8489640
Jan 19 2018,0.254068,0.275841,0.244337,0.261741,21967,8152160
Jan 18 2018,0.246844,0.286054,0.233132,0.256767,45849,7920390
Jan 17 2018,0.234953,0.255122,0.192851,0.245895,53998,7538850
Jan 16 2018,0.333976,0.333976,0.212111,0.236152,150283,10716100
Jan 15 2018,0.369333,0.377040,0.319844,0.333560,88000,11850600
