Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.008888,0.009211,0.007537,0.008801,113,409262
Mar 30 2018,0.008571,0.008998,0.007889,0.008887,53,394668
Mar 29 2018,0.010165,0.010181,0.008313,0.008593,116,468037
Mar 28 2018,0.008565,0.010260,0.008518,0.010153,222,394397
Mar 27 2018,0.010538,0.010572,0.008556,0.008567,145,485226
Mar 26 2018,0.009875,0.010771,0.008901,0.010554,545,454678
Mar 25 2018,0.010544,0.010655,0.009838,0.009882,978,485487
Mar 24 2018,0.010962,0.011114,0.010597,0.010691,66,504632
Mar 23 2018,0.010790,0.010804,0.010311,0.010804,89,496627
Mar 22 2018,0.011031,0.011431,0.010617,0.010790,281,507625
Mar 21 2018,0.010774,0.011630,0.010759,0.011051,166,495728
Mar 20 2018,0.010779,0.011263,0.010099,0.010755,227,495865
Mar 19 2018,0.010238,0.011939,0.010175,0.010660,106,470893
Mar 18 2018,0.010252,0.010388,0.009273,0.010281,132,471494
Mar 17 2018,0.010045,0.010683,0.009960,0.010278,81,461865
Mar 16 2018,0.011647,0.011851,0.009225,0.010028,952,535480
Mar 15 2018,0.011818,0.012219,0.011086,0.011654,424,543232
Mar 14 2018,0.013175,0.013751,0.011514,0.011824,86,605483
Mar 13 2018,0.012997,0.013936,0.012779,0.013173,188,597204
Mar 12 2018,0.014030,0.014542,0.012601,0.013072,57,644582
Mar 11 2018,0.012724,0.014590,0.012290,0.014075,426,584482
Mar 10 2018,0.014630,0.014717,0.012652,0.012768,212,671926
Mar 09 2018,0.013568,0.014702,0.012834,0.014624,47,623046
Mar 08 2018,0.014242,0.017992,0.013050,0.013655,364,653886
Mar 07 2018,0.015221,0.020130,0.013821,0.014263,1969,698698
Mar 06 2018,0.018869,0.019207,0.014984,0.015241,1608,866009
Mar 05 2018,0.016671,0.022061,0.016329,0.018921,3078,765008
Mar 04 2018,0.017732,0.017816,0.016514,0.016684,1215,813515
Mar 03 2018,0.016419,0.017895,0.016372,0.017762,437,753151
Mar 02 2018,0.017337,0.018717,0.014851,0.016439,4236,795106
Mar 01 2018,0.015694,0.017500,0.012932,0.017382,2727,719612
Feb 28 2018,0.017916,0.019749,0.012573,0.015671,12284,821312
Feb 27 2018,0.019592,0.021068,0.015738,0.017937,4867,897901
Feb 26 2018,0.017256,0.022812,0.017170,0.019536,866,790654
Feb 25 2018,0.016483,0.024895,0.015495,0.017234,2274,755138
Feb 24 2018,0.021308,0.022047,0.015602,0.016508,17763,975964
Feb 23 2018,0.018902,0.021458,0.018436,0.021335,334,865638
Feb 22 2018,0.020933,0.022360,0.018679,0.018920,858,958479
Feb 21 2018,0.027929,0.027929,0.020587,0.020954,1793,1278620
Feb 20 2018,0.030163,0.031809,0.026763,0.027964,966,1380680
Feb 19 2018,0.038019,0.038143,0.026134,0.030136,5966,1739990
Feb 18 2018,0.040491,0.050207,0.024779,0.038194,17351,1852770
Feb 17 2018,0.021916,0.053971,0.019263,0.039704,72561,1002640
Feb 16 2018,0.024217,0.025822,0.020960,0.021921,1019,1107740
Feb 15 2018,0.020750,0.025558,0.020156,0.024321,355,948830
Feb 14 2018,0.023317,0.024603,0.018183,0.020739,4010,1066040
Feb 13 2018,0.025091,0.026691,0.022084,0.023387,658,1146970
Feb 12 2018,0.022130,0.025197,0.022130,0.025045,157,1011470
Feb 11 2018,0.020690,0.025908,0.019551,0.021990,142,945504
Feb 10 2018,0.023460,0.031635,0.016584,0.020708,1706,1071890
Feb 09 2018,0.021463,0.023632,0.020213,0.023443,301,980453
Feb 08 2018,0.021892,0.023456,0.020968,0.021397,113,999898
Feb 07 2018,0.020350,0.025427,0.018504,0.021980,346,929313
Feb 06 2018,0.014991,0.025729,0.011238,0.020555,3527,684468
Feb 05 2018,0.017903,0.019460,0.014397,0.014972,273,817313
Feb 04 2018,0.018951,0.022016,0.017278,0.018079,776,864992
Feb 03 2018,0.021979,0.023060,0.018043,0.018941,913,1003070
Feb 02 2018,0.022976,0.022976,0.016427,0.021905,1456,1048380
Feb 01 2018,0.028376,0.028677,0.021865,0.023024,2264,1294550
Jan 31 2018,0.035159,0.036320,0.026187,0.028310,7597,1603760
Jan 30 2018,0.042447,0.044575,0.034522,0.035104,991,1935900
Jan 29 2018,0.044195,0.045066,0.040184,0.042433,3560,2015320
Jan 28 2018,0.045098,0.048618,0.036992,0.044238,2746,2056050
Jan 27 2018,0.041276,0.045589,0.041276,0.044868,573,1881500
Jan 26 2018,0.046427,0.050538,0.038472,0.041304,3744,2115860
Jan 25 2018,0.047930,0.049605,0.043624,0.043865,2587,2184010
Jan 24 2018,0.040866,0.049154,0.039746,0.047154,3537,1861840
Jan 23 2018,0.040390,0.066547,0.037209,0.043601,12029,1839850
Jan 22 2018,0.046432,0.049286,0.039173,0.040497,1302,2114730
Jan 21 2018,0.046305,0.051659,0.038866,0.045806,8045,2108600
Jan 20 2018,0.045065,0.058201,0.042041,0.046198,3401,2051810
Jan 19 2018,0.045107,0.048262,0.042995,0.044581,11826,2052810
Jan 18 2018,0.046562,0.053256,0.041265,0.045587,9314,2110010
Jan 17 2018,0.044660,0.066690,0.038179,0.046383,36641,2022970
Jan 16 2018,0.054387,0.069565,0.035234,0.044888,64564,2462300
Jan 15 2018,0.054346,0.056486,0.051900,0.054320,2337,2459170
Jan 14 2018,0.057300,0.061524,0.050897,0.054743,23667,2591240
Jan 13 2018,0.055516,0.061596,0.053556,0.057263,16228,2509020
Jan 12 2018,0.049932,0.061690,0.049373,0.055579,7804,2243480
Jan 11 2018,0.059627,0.061590,0.048792,0.049605,6010,2678560
Jan 10 2018,0.062799,0.066285,0.054326,0.059693,11310,2820570
Jan 09 2018,0.061745,0.072842,0.057253,0.058195,39010,2772780
Jan 08 2018,0.064488,0.071818,0.053624,0.061914,16392,2895420
Jan 07 2018,0.064166,0.076742,0.056853,0.064579,6246,2880360
Jan 06 2018,0.061207,0.073802,0.036773,0.064213,5307,2747110
Jan 05 2018,0.064258,0.075910,0.055722,0.061158,24493,2883570
Jan 04 2018,0.047090,0.064223,0.042704,0.064223,15575,2112760
Jan 03 2018,0.041568,0.047323,0.034775,0.046848,5103,1864700
Jan 02 2018,0.044427,0.049997,0.038019,0.041663,3521,1992540
Jan 01 2018,0.039173,0.050198,0.032513,0.049544,14002,1756620
Dec 31 2017,0.027972,0.039489,0.027695,0.034873,2578,1254120
Dec 30 2017,0.043410,0.044190,0.027917,0.028272,1503,1945970
Dec 29 2017,0.034563,0.050254,0.034563,0.043506,16602,1549100
Dec 28 2017,0.020152,0.034708,0.017886,0.032771,2887,903032
Dec 27 2017,0.017570,0.022166,0.016490,0.020193,5383,787219
Dec 26 2017,0.019620,0.020791,0.016911,0.017558,3937,878894
Dec 25 2017,0.019731,0.021310,0.017142,0.019638,562,883736
Dec 24 2017,0.018985,0.021426,0.017592,0.019534,821,850173
Dec 23 2017,0.019995,0.022712,0.016869,0.018778,747,895280
Dec 22 2017,0.021983,0.022192,0.015911,0.019808,808,984129
Dec 21 2017,0.023569,0.025174,0.018850,0.021910,1943,1054930
Dec 20 2017,0.023882,0.024112,0.019711,0.023510,661,1068750
Dec 19 2017,0.025830,0.025922,0.022884,0.023901,62,1155710
Dec 18 2017,0.026311,0.028642,0.022681,0.025808,4060,1176790
Dec 17 2017,0.024050,0.028785,0.022597,0.026232,1122,1075480
Dec 16 2017,0.030865,0.030865,0.021448,0.024001,715,1379980
Dec 15 2017,0.024583,0.031313,0.023390,0.030822,2634,1098940
Dec 14 2017,0.024141,0.028621,0.023932,0.024567,1940,1078960
Dec 13 2017,0.023776,0.029446,0.023100,0.024187,686,1062460
Dec 12 2017,0.032930,0.043465,0.023727,0.023755,200,1471250
Dec 11 2017,0.021071,0.038907,0.020847,0.032807,4304,941262
Dec 10 2017,0.023595,0.027909,0.020212,0.021223,381,1053790
Dec 09 2017,0.032505,0.032999,0.020876,0.023508,345,1451470
Dec 08 2017,0.019975,0.032539,0.018797,0.032533,815,891809
Dec 07 2017,0.021933,0.031156,0.015148,0.019929,3002,979042
Dec 06 2017,0.030626,0.031746,0.012007,0.021971,5181,1366820
Dec 05 2017,0.033570,0.033686,0.023488,0.030694,5830,1497980
Dec 04 2017,0.031927,0.033504,0.028762,0.033504,603,1424410
Dec 03 2017,0.031171,0.034209,0.028105,0.031821,1326,1390410
Dec 02 2017,0.028999,0.033478,0.026800,0.031141,1516,1293190
Dec 01 2017,0.029779,0.032277,0.025736,0.029025,2095,1327750
Nov 30 2017,0.027434,0.031412,0.023712,0.030028,3425,1222970
Nov 29 2017,0.026546,0.033653,0.021830,0.027019,3278,1183190
Nov 28 2017,0.027605,0.028575,0.022807,0.026567,1592,1230200
Nov 27 2017,0.027905,0.028976,0.022276,0.027534,1524,1243360
Nov 26 2017,0.024416,0.029093,0.021786,0.027901,4119,1087680
Nov 25 2017,0.022167,0.024466,0.018012,0.024466,331,987345
Nov 24 2017,0.022070,0.023100,0.017496,0.022212,487,982870
Nov 23 2017,0.022309,0.022558,0.017022,0.022124,1314,993348
Nov 22 2017,0.021827,0.021979,0.017099,0.020657,2211,971624
Nov 21 2017,0.022344,0.022850,0.018833,0.021774,230,994475
Nov 20 2017,0.021959,0.022456,0.020893,0.022344,324,977155
Nov 19 2017,0.021656,0.022469,0.018876,0.021969,467,963523
Nov 18 2017,0.022445,0.022445,0.020138,0.021697,99,998329
Nov 17 2017,0.023133,0.023881,0.021379,0.022532,308,1028720
Nov 16 2017,0.021765,0.023594,0.017873,0.023174,249,967753
Nov 15 2017,0.018774,0.021827,0.018774,0.021652,1024,834623
Nov 14 2017,0.018111,0.019052,0.017803,0.018756,133,804964
Nov 13 2017,0.016261,0.018721,0.016134,0.018073,63,722621
Nov 12 2017,0.016380,0.017217,0.014807,0.016237,280,727811
Nov 11 2017,0.017218,0.017833,0.016230,0.016389,251,764898
Nov 10 2017,0.017965,0.018484,0.015871,0.017281,61,797957
Nov 09 2017,0.019565,0.019774,0.017063,0.017912,179,868818
Nov 08 2017,0.019287,0.021255,0.017762,0.019585,115,856290
Nov 07 2017,0.019973,0.020737,0.018941,0.019348,426,886574
Nov 06 2017,0.019173,0.020654,0.017377,0.020005,684,850932
Nov 05 2017,0.017845,0.021122,0.017672,0.019137,726,791858
Nov 04 2017,0.018345,0.019036,0.017047,0.017874,808,813912
Nov 03 2017,0.014063,0.018657,0.010946,0.018393,5890,623832
Nov 02 2017,0.015139,0.016026,0.012775,0.014081,972,671440
Nov 01 2017,0.014543,0.015083,0.012711,0.015055,448,644889
Oct 31 2017,0.012991,0.014559,0.012191,0.014559,172,575986
Oct 30 2017,0.012869,0.013861,0.011497,0.013035,290,570472
Oct 29 2017,0.011229,0.013404,0.010604,0.012944,1107,497712
Oct 28 2017,0.011760,0.013603,0.011211,0.011245,205,521144
Oct 27 2017,0.011597,0.013825,0.011414,0.011728,348,513841
Oct 26 2017,0.011870,0.013166,0.011567,0.011594,135,525855
Oct 25 2017,0.012030,0.012722,0.011280,0.011872,57,532847
Oct 24 2017,0.012259,0.012259,0.010370,0.012025,93,542905
Oct 23 2017,0.012676,0.013287,0.011951,0.012286,96,561287
Oct 22 2017,0.013051,0.013347,0.011111,0.012696,211,577786
Oct 21 2017,0.013031,0.013498,0.011850,0.012266,100,576809
Oct 20 2017,0.011923,0.013119,0.011909,0.013059,65,527651
Oct 19 2017,0.011454,0.012247,0.011091,0.011919,49,506821
Oct 18 2017,0.011761,0.012946,0.009755,0.011448,485,520345
Oct 17 2017,0.011735,0.013091,0.010143,0.011761,514,519100
Oct 16 2017,0.011555,0.011803,0.011096,0.011733,117,511019
Oct 15 2017,0.012302,0.013656,0.009694,0.011553,756,544011
Oct 14 2017,0.010571,0.013716,0.010558,0.012281,537,467361
Oct 13 2017,0.011431,0.012814,0.010240,0.010567,205,505312
Oct 12 2017,0.009654,0.011975,0.009479,0.011395,396,426666
Oct 11 2017,0.009944,0.010720,0.009593,0.009645,31,439439
Oct 10 2017,0.009752,0.010744,0.008746,0.009946,1020,430896
Oct 09 2017,0.009345,0.010198,0.009257,0.009753,67,412829
Oct 08 2017,0.008843,0.009765,0.008060,0.009343,415,390574
Oct 07 2017,0.009054,0.009362,0.008642,0.008866,12,399828
Oct 06 2017,0.009458,0.009609,0.007975,0.009051,173,417628
Oct 05 2017,0.008865,0.009735,0.008645,0.009459,31,391357
Oct 04 2017,0.008855,0.009547,0.008670,0.008857,362,390863
Oct 03 2017,0.009070,0.009674,0.008768,0.008835,88,400260
Oct 02 2017,0.009307,0.009834,0.009019,0.009069,26,410637
Oct 01 2017,0.010547,0.010604,0.009200,0.009310,30,465226
Sep 30 2017,0.008643,0.011226,0.008639,0.010541,148,381118
Sep 29 2017,0.008464,0.009204,0.008169,0.008642,42,373167
Sep 28 2017,0.009298,0.009564,0.007643,0.008470,268,409862
Sep 27 2017,0.008360,0.009546,0.007758,0.009297,147,368478
Sep 26 2017,0.008260,0.009345,0.008102,0.008384,77,363990
Sep 25 2017,0.007712,0.008307,0.006993,0.008261,129,339784
Sep 24 2017,0.008406,0.008448,0.007570,0.007720,27,370292
Sep 23 2017,0.007142,0.008561,0.007109,0.008397,219,314555
Sep 22 2017,0.007206,0.007484,0.006506,0.007162,10,317292
Sep 21 2017,0.007720,0.007811,0.007139,0.007214,14,339885
Sep 20 2017,0.007827,0.008455,0.007730,0.007758,196,344537
Sep 19 2017,0.008127,0.008477,0.007683,0.007838,88,357692
