Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.040646,0.046315,0.040646,0.042731,1143,725966
Mar 30 2018,0.050351,0.051650,0.040472,0.040472,1400,899313
Mar 29 2018,0.072365,0.072477,0.047027,0.050472,1966,1292500
Mar 28 2018,0.054459,0.072764,0.046178,0.072281,4383,972690
Mar 27 2018,0.057680,0.060239,0.048195,0.054472,1377,1030220
Mar 26 2018,0.075014,0.075732,0.037653,0.057768,4964,1339820
Mar 25 2018,0.061799,0.081782,0.061799,0.075072,3256,1103780
Mar 24 2018,0.066325,0.068543,0.062660,0.062660,1162,1184630
Mar 23 2018,0.069598,0.069598,0.058900,0.065374,4748,1243090
Mar 22 2018,0.080465,0.082156,0.067567,0.069617,2584,1437170
Mar 21 2018,0.075308,0.093327,0.074601,0.077880,2385,1345070
Mar 20 2018,0.079737,0.080140,0.066707,0.075172,677,1424170
Mar 19 2018,0.053351,0.078896,0.053351,0.078857,2966,952891
Mar 18 2018,0.057961,0.063111,0.046993,0.053576,3633,1035230
Mar 17 2018,0.059027,0.067325,0.055847,0.058102,1972,1054270
Mar 16 2018,0.066363,0.066753,0.058942,0.058942,2500,1185300
Mar 15 2018,0.069102,0.069536,0.057881,0.066392,2366,1234220
Mar 14 2018,0.076041,0.082433,0.062937,0.067731,2268,1358160
Mar 13 2018,0.074395,0.077511,0.070091,0.076031,2191,1328760
Mar 12 2018,0.085108,0.087930,0.069346,0.074279,3135,1520090
Mar 11 2018,0.087107,0.096445,0.077824,0.085376,7016,1555800
Mar 10 2018,0.100741,0.102740,0.082132,0.087408,6615,1799320
Mar 09 2018,0.090622,0.101233,0.080349,0.100698,3534,1618590
Mar 08 2018,0.098569,0.109642,0.090361,0.091200,3906,1760520
Mar 07 2018,0.117857,0.129911,0.092359,0.098708,4260,2105020
Mar 06 2018,0.122900,0.125878,0.110387,0.118008,2430,2195100
Mar 05 2018,0.138085,0.138572,0.117178,0.123241,2707,2466300
Mar 04 2018,0.132254,0.139582,0.129264,0.138186,1567,2362170
Mar 03 2018,0.132678,0.139100,0.130869,0.132483,5351,2369740
Mar 02 2018,0.128626,0.149898,0.128626,0.132840,6434,2297370
Mar 01 2018,0.139833,0.147308,0.122421,0.128958,7836,2497490
Feb 28 2018,0.136613,0.157230,0.135304,0.139628,6900,2439860
Feb 27 2018,0.155461,0.162806,0.133657,0.136750,4489,2776340
Feb 26 2018,0.122325,0.190597,0.119693,0.155013,10325,2184460
Feb 25 2018,0.120542,0.133397,0.109486,0.122169,4261,2152500
Feb 24 2018,0.129846,0.134947,0.117049,0.120725,5218,2318520
Feb 23 2018,0.122457,0.133592,0.110036,0.130010,3309,2186480
Feb 22 2018,0.124882,0.129852,0.111952,0.122572,7182,2229650
Feb 21 2018,0.132339,0.134013,0.114009,0.125011,16795,2362670
Feb 20 2018,0.139644,0.157932,0.126220,0.132498,6544,2492970
Feb 19 2018,0.124262,0.151637,0.119484,0.139518,6157,2218240
Feb 18 2018,0.153197,0.154886,0.123939,0.124526,4669,2734630
Feb 17 2018,0.145728,0.190413,0.140425,0.152619,11913,2601170
Feb 16 2018,0.131704,0.151861,0.125061,0.145761,7112,2350730
Feb 15 2018,0.141859,0.158666,0.129112,0.132268,6522,2531870
Feb 14 2018,0.111505,0.142791,0.111505,0.141782,2163,1990020
Feb 13 2018,0.127854,0.130921,0.111166,0.111838,3003,2281690
Feb 12 2018,0.105353,0.129324,0.098690,0.127622,13016,1880040
Feb 11 2018,0.095973,0.117185,0.090287,0.104686,2778,1712560
Feb 10 2018,0.119579,0.119579,0.086769,0.096055,6519,2133690
Feb 09 2018,0.111043,0.123013,0.101984,0.119492,12337,1981280
Feb 08 2018,0.100149,0.120351,0.100149,0.110703,3932,1786800
Feb 07 2018,0.097127,0.114731,0.091260,0.100551,5153,1732810
Feb 06 2018,0.092613,0.105157,0.063210,0.098109,8468,1652180
Feb 05 2018,0.110917,0.113808,0.088998,0.092494,3298,1978620
Feb 04 2018,0.126826,0.131814,0.103227,0.108997,3656,2262310
Feb 03 2018,0.120361,0.278299,0.097873,0.126788,27716,2146880
Feb 02 2018,0.118279,0.132166,0.092288,0.119952,20034,2109640
Feb 01 2018,0.115751,0.145238,0.096513,0.117648,21610,2064450
Jan 31 2018,0.113775,0.122791,0.102421,0.115483,14831,2029110
Jan 30 2018,0.170124,0.176716,0.104140,0.113604,49028,3033890
Jan 29 2018,0.191886,0.196420,0.167406,0.172967,12205,3421800
Jan 28 2018,0.183051,0.194250,0.153652,0.192079,41571,3264080
Jan 27 2018,0.193301,0.209365,0.170064,0.182112,18463,3446680
Jan 26 2018,0.220107,0.228106,0.179099,0.189266,54633,3924470
Jan 25 2018,0.242628,0.252008,0.219804,0.220693,24937,4325780
Jan 24 2018,0.222383,0.257498,0.222383,0.238703,22837,3964620
Jan 23 2018,0.227011,0.263268,0.204583,0.222513,9959,4046940
Jan 22 2018,0.251824,0.255088,0.208207,0.227614,14443,4489060
Jan 21 2018,0.265846,0.276283,0.232028,0.248648,29232,4738770
Jan 20 2018,0.280880,0.313638,0.263478,0.274499,55833,5006510
Jan 19 2018,0.253603,0.322766,0.247477,0.277659,19677,4520080
Jan 18 2018,0.243799,0.294134,0.233579,0.258548,30456,4345120
Jan 17 2018,0.230108,0.298300,0.195068,0.242859,41166,4100900
Jan 16 2018,0.339962,0.344989,0.212470,0.247932,79382,6058350
Jan 15 2018,0.347921,0.424976,0.321045,0.339550,72155,6199870
Jan 14 2018,0.459405,0.490024,0.319229,0.342832,85155,8186100
Jan 13 2018,0.487484,0.528295,0.379463,0.459662,88447,8686000
Jan 12 2018,0.412077,0.524828,0.356778,0.488044,128600,7342020
Jan 11 2018,0.546611,0.551807,0.357023,0.407699,236216,9738540
Jan 10 2018,0.624131,0.627097,0.436710,0.547191,138408,11119100
Jan 09 2018,0.637402,0.675779,0.365012,0.611804,285984,11354900
Jan 08 2018,0.581003,0.636809,0.470247,0.636809,431892,10349700
Jan 07 2018,0.285420,0.605550,0.263750,0.582523,355147,5084050
Jan 06 2018,0.236673,0.339054,0.188399,0.285620,76127,4215530
Jan 05 2018,0.277698,0.286115,0.222252,0.236596,63852,4946010
Jan 04 2018,0.268826,0.288251,0.238801,0.277572,61219,4787730
Jan 03 2018,0.230935,0.371550,0.217231,0.267811,128457,4112690
Jan 02 2018,0.172104,0.237717,0.148386,0.232085,91579,3064820
Jan 01 2018,0.135691,0.193816,0.126195,0.172120,72050,2416240
Dec 31 2017,0.113311,0.192578,0.098133,0.134881,60261,2017610
Dec 30 2017,0.114981,0.140731,0.094086,0.114543,46595,2047260
Dec 29 2017,0.086367,0.116260,0.083453,0.115271,29526,1537700
Dec 28 2017,0.086036,0.091362,0.072072,0.085496,15438,1531730
Dec 27 2017,0.097015,0.108413,0.076906,0.086212,10036,1727110
Dec 26 2017,0.103796,0.110786,0.081179,0.096832,41568,1847730
Dec 25 2017,0.093951,0.111433,0.091250,0.103902,20764,1672380
Dec 24 2017,0.097805,0.105691,0.081611,0.092998,5996,1740900
Dec 23 2017,0.093718,0.112721,0.091793,0.099052,11144,1668060
Dec 22 2017,0.100034,0.108694,0.067717,0.092842,12001,1780380
Dec 21 2017,0.118050,0.145074,0.094569,0.099691,26490,2100910
Dec 20 2017,0.145146,0.145146,0.102253,0.117745,23879,2583010
Dec 19 2017,0.118281,0.156019,0.099828,0.145279,71824,2104800
Dec 18 2017,0.082919,0.122348,0.071978,0.118181,75199,1475450
Dec 17 2017,0.069699,0.099918,0.065855,0.082670,46558,1240140
Dec 16 2017,0.053361,0.069564,0.047752,0.069564,14164,949395
Dec 15 2017,0.049545,0.057348,0.044964,0.053287,9259,881448
Dec 14 2017,0.048046,0.054419,0.047097,0.049469,7369,854740
Dec 13 2017,0.057926,0.066667,0.047851,0.048192,16241,1030450
Dec 12 2017,0.049582,0.071182,0.038085,0.057876,30941,881976
Dec 11 2017,0.048611,0.068098,0.048407,0.049422,18616,864655
Dec 10 2017,0.046670,0.052081,0.041951,0.048976,6094,830080
Dec 09 2017,0.056501,0.062269,0.046094,0.046500,10215,1004880
Dec 08 2017,0.060087,0.068505,0.054181,0.056503,7118,1068590
Dec 07 2017,0.059658,0.074125,0.054237,0.059960,13498,1060910
Dec 06 2017,0.054130,0.060178,0.049006,0.059701,16793,962565
Dec 05 2017,0.057207,0.058837,0.048519,0.054245,10040,1017230
Dec 04 2017,0.050989,0.057828,0.046362,0.057828,5348,906608
Dec 03 2017,0.054225,0.057102,0.047318,0.050824,6091,964092
Dec 02 2017,0.049370,0.054639,0.047028,0.054172,11474,877738
Dec 01 2017,0.046706,0.056864,0.044619,0.049412,11731,830323
Nov 30 2017,0.038979,0.048969,0.037668,0.046941,5267,692922
Nov 29 2017,0.041053,0.045025,0.035613,0.038049,7431,729751
Nov 28 2017,0.043249,0.045831,0.038338,0.041091,7318,768747
Nov 27 2017,0.048113,0.050374,0.036667,0.043138,9176,855162
Nov 26 2017,0.048574,0.056632,0.045260,0.048101,4698,863306
Nov 25 2017,0.044214,0.047543,0.044000,0.047543,4868,785787
Nov 24 2017,0.041073,0.050851,0.040010,0.044304,4745,729918
Nov 23 2017,0.034512,0.041480,0.034088,0.041120,6221,613296
Nov 22 2017,0.039260,0.039782,0.031255,0.036399,4522,697639
Nov 21 2017,0.036252,0.040567,0.032325,0.039166,3509,644152
Nov 20 2017,0.041703,0.042134,0.036071,0.036246,9321,740973
Nov 19 2017,0.037257,0.045910,0.037158,0.041789,4544,661939
Nov 18 2017,0.050182,0.055574,0.036439,0.037403,4434,891537
Nov 17 2017,0.050124,0.059860,0.046530,0.050436,4870,890451
Nov 16 2017,0.051593,0.054977,0.042704,0.050206,11932,916505
Nov 15 2017,0.032559,0.060122,0.025969,0.051315,11190,578348
Nov 14 2017,0.029431,0.033812,0.022179,0.032536,8735,522756
Nov 13 2017,0.042513,0.043658,0.020209,0.029368,10435,755091
Nov 12 2017,0.046146,0.048331,0.032982,0.042449,6331,819577
Nov 11 2017,0.040807,0.047638,0.032458,0.046178,6191,724716
Nov 10 2017,0.044162,0.050226,0.036864,0.040954,6963,784252
Nov 09 2017,0.056718,0.056718,0.038588,0.044030,9950,1007180
Nov 08 2017,0.056635,0.059657,0.043349,0.056777,7225,1005660
Nov 07 2017,0.056968,0.070579,0.041352,0.056813,18398,1011510
Nov 06 2017,0.040597,0.057059,0.029349,0.057059,8648,720802
Nov 05 2017,0.040335,0.047320,0.024209,0.040508,5760,716116
Nov 04 2017,0.039563,0.055991,0.035613,0.040390,4394,702375
Nov 03 2017,0.037383,0.051463,0.037383,0.039663,3806,663633
Nov 02 2017,0.047230,0.057063,0.037185,0.042866,10634,838402
Nov 01 2017,0.065014,0.065014,0.036350,0.047090,12437,1154020
Oct 31 2017,0.036241,0.081667,0.036241,0.062651,16519,643268
Oct 30 2017,0.082136,0.082136,0.030112,0.036365,23079,1457810
Oct 29 2017,0.064731,0.083003,0.061144,0.082616,16979,1148820
Oct 28 2017,0.072234,0.080819,0.049982,0.064820,11583,1281930
Oct 27 2017,0.049931,0.072549,0.044665,0.072038,7185,886081
Oct 26 2017,0.048218,0.053123,0.042697,0.049922,8340,855628
Oct 25 2017,0.060505,0.064422,0.038308,0.044282,13476,1073610
Oct 24 2017,0.052752,0.093263,0.051408,0.060477,11296,935996
Oct 23 2017,0.065864,0.083566,0.047865,0.053217,10453,1168580
Oct 22 2017,0.077223,0.178640,0.065899,0.065972,15830,1370040
Oct 21 2017,0.071995,0.083239,0.062061,0.077200,8354,1277220
Oct 20 2017,0.078291,0.088577,0.057818,0.072144,18743,1388850
Oct 19 2017,0.087379,0.091678,0.075227,0.078270,9714,1549980
Oct 18 2017,0.088045,0.125126,0.078749,0.087335,20498,1561710
Oct 17 2017,0.082246,0.096361,0.076158,0.088045,4555,1458780
Oct 16 2017,0.096216,0.109468,0.081251,0.082233,7488,1706480
Oct 15 2017,0.087226,0.111116,0.083669,0.096202,18499,1546960
Oct 14 2017,0.090657,0.106376,0.084921,0.086546,9733,1607720
Oct 13 2017,0.071760,0.095078,0.071201,0.090632,22853,1272520
Oct 12 2017,0.083194,0.105966,0.065074,0.071538,22229,1475220
Oct 11 2017,0.094957,0.094957,0.069350,0.083124,14375,1683710
Oct 10 2017,0.076460,0.107804,0.076459,0.094972,25939,1355660
Oct 09 2017,0.147472,0.148662,0.075798,0.076442,61550,2614600
Oct 08 2017,0.105674,0.152043,0.096862,0.147402,90161,1873460
Oct 07 2017,0.079321,0.107491,0.071215,0.105644,45964,1406160
Oct 06 2017,0.068940,0.091615,0.068804,0.079301,17968,1222080
Oct 05 2017,0.072943,0.074850,0.062608,0.071381,14850,1292980
Oct 04 2017,0.066107,0.081260,0.064040,0.073197,39817,1171750
Oct 03 2017,0.055837,0.069930,0.052397,0.067373,17190,989664
Oct 02 2017,0.050115,0.062213,0.050010,0.055836,9484,888200
Oct 01 2017,0.051095,0.056137,0.045390,0.050137,12462,905518
Sep 30 2017,0.051473,0.053496,0.050279,0.051072,4533,912162
Sep 29 2017,0.046092,0.052359,0.043473,0.051467,8022,816772
Sep 28 2017,0.046512,0.067635,0.042010,0.046128,10524,824162
Sep 27 2017,0.042855,0.050335,0.040958,0.046516,12154,759318
Sep 26 2017,0.044385,0.048549,0.042003,0.042975,13378,786396
Sep 25 2017,0.044234,0.049924,0.038963,0.044388,15324,783677
Sep 24 2017,0.034040,0.047665,0.032196,0.044279,18427,603050
Sep 23 2017,0.031912,0.037955,0.031308,0.034043,6891,565324
Sep 22 2017,0.029281,0.032853,0.027426,0.032003,6551,518678
Sep 21 2017,0.033572,0.033798,0.028915,0.029314,6167,594670
Sep 20 2017,0.034545,0.035019,0.029357,0.033738,6578,611866
Sep 19 2017,0.036585,0.037187,0.029467,0.034594,10596,647980
Sep 18 2017,0.031244,0.043579,0.031244,0.036497,7058,553353
Sep 17 2017,0.033191,0.035327,0.030294,0.031306,3142,587812
Sep 16 2017,0.031794,0.033475,0.029606,0.033213,3468,563060
Sep 15 2017,0.026804,0.032514,0.022325,0.031881,3464,474662
Sep 14 2017,0.034192,0.035115,0.025154,0.026580,2325,605470
Sep 13 2017,0.033462,0.041169,0.026334,0.034187,4203,592466
Sep 12 2017,0.031032,0.033433,0.028219,0.033433,3119,549444
Sep 11 2017,0.035703,0.035799,0.026138,0.031042,4181,632145
Sep 10 2017,0.031856,0.036069,0.029967,0.035591,2881,553820
Sep 09 2017,0.030713,0.036709,0.030028,0.031822,2197,533951
Sep 08 2017,0.032243,0.033462,0.027277,0.030653,3010,560557
Sep 07 2017,0.037688,0.039555,0.027536,0.032252,3739,655227
Sep 06 2017,0.040256,0.040627,0.034612,0.037705,3278,699869
Sep 05 2017,0.040613,0.044548,0.030416,0.040210,13388,706065
Sep 04 2017,0.056145,0.062466,0.038676,0.040404,10047,976103
Sep 03 2017,0.043047,0.060112,0.040407,0.060112,16137,748386
Sep 02 2017,0.045128,0.055205,0.039749,0.043017,18574,784559
Sep 01 2017,0.045443,0.060160,0.037508,0.045071,27686,790044
Aug 31 2017,0.049533,0.064405,0.042445,0.045493,59480,861154
Aug 30 2017,0.029487,0.049065,0.029180,0.049029,51607,512646
Aug 29 2017,0.022275,0.031359,0.022193,0.029428,20702,387264
Aug 28 2017,0.021765,0.023558,0.019730,0.021659,9312,378396
Aug 27 2017,0.026205,0.026205,0.021142,0.021743,4916,455583
Aug 26 2017,0.022213,0.027497,0.020979,0.026212,13029,385767
Aug 25 2017,0.023253,0.024242,0.019726,0.022462,6978,402793
Aug 24 2017,0.022652,0.025771,0.020088,0.023290,8436,391152
Aug 23 2017,0.015486,0.026294,0.014687,0.022636,14699,266552
Aug 22 2017,0.015752,0.019836,0.014447,0.015926,6984,270315
Aug 21 2017,0.012941,0.017378,0.012826,0.015716,8282,221347
