Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.152100,0.181602,0.152100,0.169089,2416560,21449500
Mar 30 2018,0.151961,0.157362,0.142009,0.152176,644976,21429900
Mar 29 2018,0.170086,0.173197,0.149729,0.151917,1425250,23986000
Mar 28 2018,0.164749,0.175670,0.163572,0.169610,1402540,23233300
Mar 27 2018,0.170280,0.172170,0.160386,0.164538,1051760,24013300
Mar 26 2018,0.178486,0.180609,0.162609,0.170660,1374340,25170600
Mar 25 2018,0.177295,0.186141,0.171924,0.178349,1131590,25002500
Mar 24 2018,0.183281,0.189206,0.176374,0.179679,1078930,25846700
Mar 23 2018,0.184485,0.187512,0.174449,0.180979,1056350,26016500
Mar 22 2018,0.199339,0.201477,0.172207,0.184430,1102450,27997300
Mar 21 2018,0.170423,0.203657,0.163489,0.203657,974822,23936100
Mar 20 2018,0.166610,0.173370,0.150507,0.169077,246172,23400600
Mar 19 2018,0.152654,0.167097,0.144444,0.164985,304196,21440300
Mar 18 2018,0.162522,0.162522,0.127200,0.153224,579981,22826300
Mar 17 2018,0.164934,0.184436,0.160670,0.164679,1724270,23165100
Mar 16 2018,0.172363,0.173085,0.160968,0.160968,222312,24208500
Mar 15 2018,0.173479,0.196905,0.151948,0.172464,1128330,24365300
Mar 14 2018,0.209085,0.222550,0.169515,0.170459,498712,29366200
Mar 13 2018,0.218751,0.227190,0.204461,0.212493,365636,30723700
Mar 12 2018,0.242298,0.246165,0.212817,0.222329,567226,34031000
Mar 11 2018,0.234681,0.251465,0.219561,0.243056,398333,32961200
Mar 10 2018,0.244422,0.263822,0.228842,0.229974,491210,34329200
Mar 09 2018,0.262828,0.293590,0.211013,0.246948,1793840,36914500
Mar 08 2018,0.278546,0.311092,0.263939,0.264838,1158510,39122100
Mar 07 2018,0.324632,0.329902,0.260796,0.281579,831866,45594800
Mar 06 2018,0.364082,0.364082,0.310676,0.325027,1067460,51135600
Mar 05 2018,0.366679,0.378983,0.342131,0.347254,1397590,51500400
Mar 04 2018,0.359717,0.387450,0.347631,0.369962,1793500,50522600
Mar 03 2018,0.345737,0.387259,0.339621,0.360073,2780540,48559000
Mar 02 2018,0.323943,0.390920,0.305812,0.356435,6905620,45498000
Mar 01 2018,0.301941,0.334956,0.290369,0.325797,1117310,42407900
Feb 28 2018,0.356652,0.356652,0.296659,0.300348,1154230,50092000
Feb 27 2018,0.429458,0.429458,0.351512,0.357823,4311490,60317700
Feb 26 2018,0.289667,0.399683,0.288886,0.395268,8820530,40684000
Feb 25 2018,0.295128,0.308249,0.282031,0.289238,378087,41450900
Feb 24 2018,0.313098,0.320291,0.280802,0.293582,354692,43974900
Feb 23 2018,0.280340,0.316758,0.258193,0.312242,788042,39374000
Feb 22 2018,0.312929,0.327541,0.276082,0.280559,626468,43951200
Feb 21 2018,0.345022,0.368721,0.308086,0.313254,927108,48458600
Feb 20 2018,0.360087,0.419736,0.330884,0.346412,3309300,50574600
Feb 19 2018,0.353909,0.378977,0.346919,0.359125,700241,49706800
Feb 18 2018,0.409198,0.702208,0.345827,0.355507,793241,57472100
Feb 17 2018,0.382302,0.411088,0.379308,0.410108,1177650,53694600
Feb 16 2018,0.400955,0.405336,0.358008,0.385876,1302750,56303400
Feb 15 2018,0.425380,0.428146,0.381109,0.406464,2326770,59733200
Feb 14 2018,0.406520,0.430316,0.393531,0.426659,1643650,57084900
