Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.131254,0.143702,0.131221,0.136681,1963870,37603700
Mar 30 2018,0.136836,0.138750,0.123444,0.131484,2087790,39202900
Mar 29 2018,0.145714,0.152741,0.134972,0.139376,2054310,41746400
Mar 28 2018,0.136176,0.169828,0.133650,0.145456,2816330,39014000
Mar 27 2018,0.145950,0.147743,0.135697,0.135697,1478880,41725000
Mar 26 2018,0.152112,0.154619,0.138206,0.145948,2182350,43486500
Mar 25 2018,0.152419,0.165353,0.150631,0.153023,2228740,43574200
Mar 24 2018,0.156878,0.164826,0.151797,0.154346,2062510,44849000
Mar 23 2018,0.142890,0.159632,0.130929,0.154812,2432280,40850100
Mar 22 2018,0.137652,0.150999,0.132143,0.144667,1987500,39352600
Mar 21 2018,0.132527,0.159966,0.131891,0.136090,2213200,37887500
Mar 20 2018,0.126982,0.133677,0.117115,0.131709,1891340,36302300
Mar 19 2018,0.121459,0.127381,0.113195,0.125519,2061350,34723300
Mar 18 2018,0.112648,0.121648,0.081498,0.121167,2370020,32204500
Mar 17 2018,0.129552,0.129688,0.111993,0.112869,1905960,37037100
Mar 16 2018,0.131078,0.135389,0.122486,0.129651,2183310,37473200
Mar 15 2018,0.138606,0.140295,0.122004,0.131256,2315370,39625300
Mar 14 2018,0.166026,0.169325,0.135090,0.138727,2370600,47464400
Mar 13 2018,0.166234,0.172082,0.163579,0.166634,1169830,47496400
Mar 12 2018,0.172753,0.178962,0.160306,0.167289,2019940,49353400
Mar 11 2018,0.157886,0.175622,0.153233,0.173405,848880,45106100
Mar 10 2018,0.171964,0.179748,0.154127,0.158887,875144,49127900
Mar 09 2018,0.166383,0.172599,0.145015,0.172425,1176980,47524300
Mar 08 2018,0.178086,0.184956,0.160341,0.167214,1118760,50867000
Mar 07 2018,0.199247,0.206954,0.163536,0.178650,1414620,56862600
Mar 06 2018,0.212758,0.224049,0.192146,0.199950,1642040,60704200
Mar 05 2018,0.240379,0.255052,0.210330,0.213127,3063760,68482000
Mar 04 2018,0.201239,0.237498,0.187016,0.237498,1665300,57331400
Mar 03 2018,0.203304,0.208845,0.189922,0.201477,1652170,57919600
Mar 02 2018,0.215270,0.219938,0.204137,0.205584,1337220,61328700
