Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.000050,0.000056,0.000045,0.000049,379,24494
Mar 30 2018,0.000055,0.000057,0.000048,0.000050,280,26869
Mar 29 2018,0.000068,0.000068,0.000048,0.000055,676,33214
Mar 28 2018,0.000063,0.000076,0.000040,0.000068,397,30828
Mar 27 2018,0.000062,0.000066,0.000053,0.000063,799,30372
Mar 26 2018,0.000040,0.000063,0.000040,0.000062,1132,19246
Mar 25 2018,0.000069,0.000073,0.000040,0.000040,511,33657
Mar 24 2018,0.000068,0.000083,0.000066,0.000070,541,33156
Mar 23 2018,0.000043,0.000067,0.000040,0.000067,1293,20999
Mar 22 2018,0.000066,0.000074,0.000043,0.000043,1108,32058
Mar 21 2018,0.000060,0.000068,0.000047,0.000066,1910,29327
Mar 20 2018,0.000052,0.000060,0.000033,0.000060,1979,25511
Mar 19 2018,0.000041,0.000052,0.000041,0.000052,721,19985
Mar 18 2018,0.000075,0.000075,0.000030,0.000041,658,36411
Mar 17 2018,0.000040,0.000077,0.000040,0.000075,776,19530
Mar 16 2018,0.000053,0.000054,0.000040,0.000040,1598,25743
Mar 15 2018,0.000054,0.000058,0.000044,0.000053,526,26196
Mar 14 2018,0.000063,0.000064,0.000046,0.000054,949,30603
Mar 13 2018,0.000062,0.000064,0.000043,0.000063,370,29931
Mar 12 2018,0.000066,0.000068,0.000050,0.000062,2041,31988
Mar 11 2018,0.000053,0.000067,0.000053,0.000066,951,25834
Mar 10 2018,0.000065,0.000065,0.000052,0.000053,646,31679
Mar 09 2018,0.000070,0.000070,0.000056,0.000064,1261,33841
Mar 08 2018,0.000067,0.000079,0.000056,0.000070,481,32563
Mar 07 2018,0.000081,0.000085,0.000057,0.000067,2439,39282
Mar 06 2018,0.000070,0.000082,0.000065,0.000081,4354,34143
Mar 05 2018,0.000067,0.000094,0.000066,0.000070,2207,32462
Mar 04 2018,0.000061,0.000070,0.000050,0.000067,1222,29611
Mar 03 2018,0.000077,0.000080,0.000061,0.000061,2588,37281
Mar 02 2018,0.000074,0.000083,0.000067,0.000077,1286,36129
Mar 01 2018,0.000080,0.000090,0.000071,0.000074,2285,38995
Feb 28 2018,0.000075,0.000082,0.000070,0.000080,4866,36276
Feb 27 2018,0.000084,0.000084,0.000074,0.000074,2324,40926
Feb 26 2018,0.000079,0.000085,0.000073,0.000084,2475,38244
Feb 25 2018,0.000092,0.000096,0.000078,0.000079,5270,44542
Feb 24 2018,0.000071,0.000092,0.000071,0.000092,2149,34739
Feb 23 2018,0.000074,0.000085,0.000071,0.000071,1605,35928
