Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.934572,0.983770,0.931838,0.946984,4,-
Mar 30 2018,0.969131,0.983866,0.902365,0.934430,17,-
Mar 29 2018,1.09,1.09,0.943287,0.971546,6,-
Mar 28 2018,1.06,1.11,1.06,1.09,6,-
Mar 27 2018,0.837084,1.20,0.795026,1.06,205,-
Mar 26 2018,0.863822,0.868557,0.804613,0.838353,1,-
Mar 25 2018,0.870289,0.888137,0.857306,0.864484,1,-
Mar 24 2018,0.911951,0.920464,0.880336,0.882435,1,-
Mar 23 2018,0.885795,0.898863,0.846503,0.898863,2,-
Mar 22 2018,1.15,1.17,0.862251,0.885817,10,-
Mar 21 2018,0.891858,1.16,0.890564,1.15,167,-
Mar 20 2018,0.863358,0.902493,0.835968,0.890245,1,-
Mar 19 2018,0.819848,0.868994,0.814815,0.853833,1,-
Mar 18 2018,0.867443,0.953248,0.738537,0.823317,77,-
Mar 17 2018,0.830142,0.884374,0.776993,0.869558,2,-
Mar 16 2018,0.813785,0.857913,0.812941,0.828775,15,-
Mar 15 2018,0.820708,0.825862,0.769882,0.787426,9,-
Mar 14 2018,0.914933,0.935894,0.799573,0.821077,9,-
Mar 13 2018,0.908784,0.948168,0.897228,0.914807,1,-
Mar 12 2018,1.05,1.07,0.881136,0.914032,21,-
Mar 11 2018,0.965279,1.07,0.932324,1.05,6,-
Mar 10 2018,0.769108,0.997554,0.750512,0.968620,18,-
Mar 09 2018,0.771911,0.781016,0.696734,0.768777,18,-
Mar 08 2018,0.821017,0.837792,0.769936,0.776829,4,-
Mar 07 2018,0.911001,0.924702,0.784023,0.822182,8,-
Mar 06 2018,0.955053,0.955053,0.901483,0.912185,22,-
Mar 05 2018,0.977181,0.992030,0.951697,0.957700,109,-
Mar 04 2018,1.14,1.14,0.924541,0.977896,24,-
Mar 03 2018,0.915821,1.15,0.915821,1.15,38,-
Mar 02 2018,0.970424,1.13,0.900374,0.916942,174,-
Mar 01 2018,1.11,1.13,0.855234,0.972925,4,-
Feb 28 2018,0.959691,1.15,0.943655,1.11,10,-
Feb 27 2018,0.928049,0.972358,0.868684,0.960823,127,-
Feb 26 2018,0.791463,0.932776,0.776840,0.925374,107,-
Feb 25 2018,1.24,1.26,0.769331,0.790451,15,-
Feb 24 2018,0.824011,1.24,0.823571,1.24,5,-
Feb 23 2018,0.798126,1.28,0.774148,0.825054,32,-
Feb 22 2018,0.941981,1.31,0.780059,0.798871,308,-
Feb 21 2018,0.968653,0.969723,0.924720,0.942938,28,-
Feb 20 2018,1.28,1.34,1.28,1.34,5,-
Feb 19 2018,1.19,1.29,1.19,1.28,8,-
Feb 18 2018,1.27,1.42,1.17,1.19,40,-
Feb 17 2018,1.17,1.27,1.15,1.27,21,-
Feb 16 2018,1.16,1.18,1.12,1.17,5,-
Feb 15 2018,1.12,1.17,1.12,1.16,105,-
Feb 13 2018,1.18,1.18,1.11,1.14,101,-
Feb 12 2018,0.928258,1.19,0.928258,1.17,112,-
Feb 11 2018,1.13,1.13,0.922380,0.922380,100,-
Feb 10 2018,1.01,1.17,0.995095,1.13,3,-
Feb 09 2018,0.922583,1.13,0.915673,1.01,10,-
Feb 08 2018,0.974502,0.974502,0.945722,0.945722,3,-
Feb 06 2018,0.906962,0.952845,0.775932,0.925685,37,-
Feb 05 2018,0.944449,1.04,0.848987,0.905816,36,-
Feb 04 2018,1.06,1.08,0.911478,0.953697,4,-
Feb 03 2018,1.01,1.09,0.936430,1.06,10,-
Feb 02 2018,1.05,1.05,0.889542,1.01,36,-
Feb 01 2018,1.17,1.18,0.996873,1.05,200,-
Jan 31 2018,1.15,1.22,1.11,1.17,192,-
Jan 30 2018,1.59,1.59,1.12,1.15,57,-
Jan 29 2018,1.28,1.76,1.20,1.59,1962,-
Jan 28 2018,1.45,5.81,1.26,1.28,25184,-
Jan 27 2018,1.39,1.47,1.36,1.44,70,-
Jan 26 2018,1.21,1.43,1.21,1.39,48,-
Jan 25 2018,1.43,1.46,1.18,1.21,12,-
Jan 24 2018,1.36,1.43,1.32,1.40,1,-
Jan 23 2018,1.40,1.42,1.36,1.36,1,-
Jan 22 2018,1.26,1.29,1.22,1.28,1,-
Jan 21 2018,1.38,1.38,1.21,1.24,1,-
Jan 20 2018,1.45,1.48,1.27,1.38,1,-
Jan 19 2018,1.22,1.48,1.19,1.44,11,-
Jan 18 2018,1.20,1.49,1.16,1.23,118,-
Jan 17 2018,1.19,1.46,1.01,1.20,54,-
Jan 16 2018,1.46,1.46,1.19,1.22,15,-
Jan 15 2018,2.20,2.59,1.46,1.46,65,-
Jan 14 2018,2.31,2.33,2.13,2.22,12,-
Jan 13 2018,2.23,3.66,2.23,2.31,280,-
Jan 12 2018,2.56,3.80,1.81,2.24,1365,-
Jan 11 2018,1.43,3.77,1.25,2.55,6263,-
Jan 10 2018,1.28,1.43,1.20,1.43,29,-
Jan 09 2018,1.16,1.29,0.866062,1.28,73,-
Jan 08 2018,0.977912,1.18,0.855288,1.16,55,-
Jan 07 2018,1.03,1.03,0.954184,0.979281,5,-
Jan 06 2018,1.02,1.04,0.987956,1.03,39,-
Jan 05 2018,1.17,1.17,0.896607,1.02,197,-
Jan 04 2018,1.17,1.19,1.11,1.17,60,-
Jan 03 2018,1.15,1.19,1.13,1.16,19,-
Jan 01 2018,0.839578,0.840152,0.775340,0.822307,2,-
Dec 31 2017,0.846795,0.848906,0.836342,0.836342,2,-
Dec 30 2017,1.12,1.12,1.03,1.03,7,-
Dec 29 2017,0.868631,1.17,0.868631,1.12,12,-
Dec 28 2017,1.24,1.25,0.818105,0.859731,296,-
Dec 27 2017,1.41,1.41,1.18,1.24,307,-
Dec 26 2017,1.18,1.32,1.18,1.29,5,-
Dec 25 2017,1.41,1.43,1.15,1.19,8,-
Dec 24 2017,1.00,1.39,0.889223,1.39,37,-
Dec 23 2017,1.27,1.33,1.26,1.33,3,-
Dec 22 2017,1.12,1.38,0.959893,1.26,102,-
Dec 21 2017,1.17,1.23,1.07,1.11,19,-
Dec 20 2017,1.25,1.26,1.12,1.16,78,-
Dec 19 2017,1.34,1.90,1.21,1.25,46,-
Dec 18 2017,2.92,2.92,1.12,1.34,845,-
Dec 17 2017,6.62,6.62,1.35,2.91,14593,-
