Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.601793,0.668052,0.601015,0.620944,664999,27229900
Mar 30 2018,0.649072,0.670899,0.579654,0.601629,552665,29369200
Mar 29 2018,0.782766,0.785704,0.621178,0.653726,801279,35418600
Mar 28 2018,0.751632,0.801806,0.743983,0.782291,1073320,34009900
Mar 27 2018,0.837972,0.851743,0.748811,0.752601,915134,37916600
Mar 26 2018,0.971327,0.996404,0.765904,0.835657,1908660,43950600
Mar 25 2018,0.863447,1.02,0.860739,0.973054,3662610,39069300
Mar 24 2018,0.857169,0.936791,0.826602,0.876167,1644310,38785200
Mar 23 2018,0.909004,0.911767,0.781027,0.852071,2313200,41130600
Mar 22 2018,0.844926,0.931072,0.816273,0.914001,4478380,38231300
Mar 21 2018,0.845619,0.987382,0.831832,0.845397,2399300,38262600
Mar 20 2018,0.730240,0.869750,0.717750,0.852399,2328260,33041900
Mar 19 2018,0.701561,0.740882,0.666323,0.720614,784796,31744300
Mar 18 2018,0.731478,0.731924,0.564118,0.702384,1188240,33097900
Mar 17 2018,0.773704,0.856965,0.720632,0.736423,1913030,35008600
Mar 16 2018,0.766908,0.806466,0.729625,0.774581,559949,34701100
Mar 15 2018,0.813869,0.820599,0.737057,0.765050,1000540,36826000
Mar 14 2018,0.933827,0.975853,0.787400,0.811309,1096100,42253900
Mar 13 2018,0.947684,0.987913,0.910604,0.933105,912859,42880800
Mar 12 2018,1.02,1.04,0.924553,0.952414,798925,46029300
Mar 11 2018,0.942295,1.05,0.901371,1.02,1482550,42637000
Mar 10 2018,1.02,1.09,0.938039,0.945067,1607480,46089700
Mar 09 2018,0.933616,1.02,0.816119,1.01,1488870,42244300
Mar 08 2018,1.07,1.11,0.931288,0.939425,1232560,48235300
Mar 07 2018,1.22,1.28,0.957793,1.07,2201970,55237100
Mar 06 2018,1.35,1.38,1.21,1.21,1096490,60986900
Mar 05 2018,1.44,1.45,1.36,1.36,1737460,64978700
Mar 04 2018,1.45,1.52,1.40,1.44,1186140,65772800
Mar 03 2018,1.46,1.53,1.42,1.45,1392060,66269800
Mar 02 2018,1.41,1.54,1.36,1.47,2745890,63980100
Mar 01 2018,1.32,1.45,1.26,1.41,1394900,59645900
Feb 28 2018,1.40,1.44,1.28,1.32,1660120,63232400
Feb 27 2018,1.47,1.55,1.37,1.40,1868740,66523600
Feb 26 2018,1.46,1.53,1.38,1.47,1902540,66175800
Feb 25 2018,1.49,1.65,1.42,1.46,1322730,67537900
Feb 24 2018,1.53,1.59,1.42,1.50,872123,69099600
Feb 23 2018,1.37,1.69,1.35,1.53,3458040,62077000
Feb 22 2018,1.48,1.62,1.36,1.37,1349060,67054100
Feb 21 2018,1.61,1.67,1.44,1.48,1794100,72943700
Feb 20 2018,1.89,1.90,1.60,1.61,2279490,85352900
Feb 19 2018,1.83,1.97,1.83,1.87,1703300,82944800
Feb 18 2018,2.09,2.09,1.82,1.85,1779760,94356600
Feb 17 2018,2.03,2.12,1.97,2.08,2950950,91650800
Feb 16 2018,1.96,2.07,1.84,2.03,4623170,88468900
Feb 15 2018,1.67,2.05,1.66,1.98,6469710,75705800
Feb 14 2018,1.46,1.69,1.46,1.67,1319680,66186200
Feb 13 2018,1.62,1.62,1.45,1.48,1203950,73141500
Feb 12 2018,1.46,1.65,1.45,1.60,1338070,66036100
Feb 11 2018,1.56,1.56,1.35,1.45,1353760,70428400
Feb 10 2018,2.63,2.67,1.43,1.55,1958330,119056000
Feb 09 2018,1.56,2.64,1.48,2.63,3120,70783600
Feb 08 2018,1.44,1.62,1.43,1.56,3118450,65019400
Feb 07 2018,1.55,1.75,1.39,1.44,2926690,69920600
Feb 06 2018,1.26,1.60,0.994351,1.54,3573470,56883100
Feb 05 2018,1.73,1.79,1.09,1.25,1968120,78167100
Feb 04 2018,2.06,2.10,1.62,1.76,2033150,93401300
Feb 03 2018,2.05,2.15,1.74,2.07,4242220,92878000
Feb 02 2018,1.82,2.15,1.27,2.01,10788600,82382800
Feb 01 2018,2.15,2.24,1.58,1.82,3999770,97211900
Jan 31 2018,2.23,2.25,2.06,2.15,2843640,101103000
Jan 30 2018,2.68,2.70,2.12,2.22,3018170,121124000
Jan 29 2018,2.80,2.83,2.57,2.67,4729210,126665000
Jan 28 2018,2.89,3.19,2.77,2.81,7512720,130679000
Jan 27 2018,2.77,3.01,2.62,2.87,5108070,125330000
Jan 26 2018,2.68,2.90,2.46,2.77,4418640,121168000
Jan 25 2018,2.85,2.98,2.63,2.68,3669350,129070000
Jan 24 2018,2.86,3.02,2.74,2.80,4736340,129601000
Jan 23 2018,3.11,3.12,2.65,2.85,5512430,140833000
Jan 22 2018,3.27,3.55,2.81,3.12,9148710,148172000
Jan 21 2018,3.81,3.82,3.05,3.25,10353300,172591000
Jan 20 2018,3.01,4.14,2.98,3.82,19444400,136090000
Jan 19 2018,2.84,3.12,2.69,2.98,7629760,128494000
Jan 18 2018,3.07,3.38,2.74,2.88,9889100,139060000
Jan 17 2018,2.69,3.20,2.17,3.02,16633000,121922000
Jan 16 2018,3.40,3.40,2.02,2.78,16484200,153815000
Jan 15 2018,3.81,4.06,3.23,3.48,11334200,172484000
Jan 14 2018,4.14,4.28,3.48,3.82,9463750,187403000
Jan 13 2018,4.55,4.79,4.11,4.17,10295200,206033000
Jan 12 2018,4.34,4.80,4.19,4.59,13331500,196185000
Jan 11 2018,5.17,5.47,4.17,4.29,20387900,233927000
Jan 10 2018,4.89,5.86,4.62,5.10,50181200,221384000
Jan 09 2018,3.90,5.23,3.80,4.88,32771300,176337000
Jan 08 2018,4.00,4.43,3.23,3.84,23565000,181147000
Jan 07 2018,3.18,4.09,3.18,3.93,26345200,144068000
Jan 06 2018,2.88,3.29,2.78,3.19,15516400,130381000
