Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.144684,0.154438,0.136045,0.141217,2441260,71322600
Mar 30 2018,0.146884,0.156142,0.135988,0.145840,2781980,72407300
Mar 29 2018,0.159819,0.184314,0.143788,0.147092,7044190,78783600
Mar 28 2018,0.138844,0.169918,0.137230,0.159744,8375000,68443900
Mar 27 2018,0.146979,0.147783,0.134802,0.139105,1480810,72454000
Mar 26 2018,0.159161,0.160830,0.137820,0.146885,2186020,78459200
Mar 25 2018,0.163547,0.175814,0.153631,0.159436,3556920,80621200
Mar 24 2018,0.160401,0.171483,0.157241,0.164616,2201610,79070600
Mar 23 2018,0.157866,0.162538,0.141449,0.158063,2403160,77820700
Mar 22 2018,0.164890,0.165800,0.145866,0.157877,1954760,81283300
Mar 21 2018,0.160675,0.181897,0.157144,0.165079,6185730,79205400
Mar 20 2018,0.138092,0.164142,0.129137,0.158369,2979870,68072900
Mar 19 2018,0.123368,0.144996,0.118283,0.136233,2541750,60814800
Mar 18 2018,0.126766,0.126766,0.101103,0.123435,2763250,62489800
Mar 17 2018,0.141798,0.142665,0.125620,0.127175,2191780,69900100
Mar 16 2018,0.142408,0.150118,0.130596,0.141481,3503640,70200700
Mar 15 2018,0.135823,0.159951,0.116905,0.143142,5802300,66954600
Mar 14 2018,0.159372,0.163689,0.132871,0.135925,4688350,78563200
Mar 13 2018,0.178300,0.182371,0.151039,0.159456,5296620,87893700
Mar 12 2018,0.192241,0.195395,0.172860,0.179418,4217710,94766200
Mar 11 2018,0.177047,0.198345,0.171046,0.193229,2242640,87276200
Mar 10 2018,0.188414,0.211746,0.174040,0.179347,6463820,92879700
Mar 09 2018,0.194985,0.198272,0.161181,0.182208,3727330,96118700
Mar 08 2018,0.218474,0.221183,0.192282,0.197708,4554240,107698000
Mar 07 2018,0.271349,0.275479,0.204865,0.220416,7918680,133763000
Mar 06 2018,0.302520,0.303185,0.269666,0.271914,3358210,149129000
Mar 05 2018,0.312762,0.312762,0.301720,0.304194,4332090,154177000
Mar 04 2018,0.302119,0.329323,0.288659,0.313240,7787500,148931000
Mar 03 2018,0.303117,0.322811,0.285376,0.302857,6453970,149423000
Mar 02 2018,0.304115,0.304115,0.288813,0.303670,5435060,149915000
Mar 01 2018,0.291497,0.313231,0.275743,0.304054,8225950,143695000
Feb 28 2018,0.315480,0.325626,0.290773,0.290966,6278630,155517000
Feb 27 2018,0.317459,0.321598,0.300488,0.314612,6855900,156493000
Feb 26 2018,0.327397,0.353183,0.303230,0.318619,9060050,161392000
Feb 25 2018,0.296833,0.356302,0.288125,0.328323,18022600,146325000
Feb 24 2018,0.311097,0.321026,0.286522,0.296836,3881740,153357000
Feb 23 2018,0.311713,0.317456,0.298462,0.310633,4082130,153660000
Feb 22 2018,0.325200,0.339631,0.291328,0.310326,4849820,160309000
Feb 21 2018,0.349091,0.370410,0.318249,0.325240,6612130,172086000
Feb 20 2018,0.416192,0.428884,0.346108,0.348818,12273500,205164000
Feb 19 2018,0.370410,0.430568,0.360840,0.417576,20287800,182595000
Feb 18 2018,0.431723,0.432501,0.348299,0.372076,14589100,212820000
Feb 17 2018,0.463936,0.495222,0.416161,0.436095,35899900,228699000
Feb 16 2018,0.557399,0.557399,0.444506,0.459539,46196200,274772000
Feb 15 2018,0.356830,0.675033,0.336009,0.566906,144820000,175901000
Feb 14 2018,0.278976,0.350011,0.261301,0.350011,4001780,137523000
Feb 13 2018,0.334353,0.335542,0.274131,0.278013,2576510,164821000
Feb 12 2018,0.316011,0.340433,0.314099,0.336549,3360600,155779000
Feb 11 2018,0.365626,0.365626,0.308005,0.313827,3787850,180237000
Feb 10 2018,0.342495,0.444230,0.332961,0.369452,7936220,168834000
Feb 09 2018,0.331754,0.342779,0.301229,0.342338,4021070,163539000
Feb 08 2018,0.298122,0.338972,0.298122,0.330235,4640110,146961000
Feb 07 2018,0.300348,0.396546,0.281183,0.299801,5938020,148058000
Feb 06 2018,0.248868,0.303759,0.202181,0.300747,4391070,122680000
Feb 05 2018,0.340469,0.343734,0.231895,0.253715,4409010,167836000
Feb 04 2018,0.407850,0.420875,0.320668,0.345068,7032880,201052000
Feb 03 2018,0.334948,0.424599,0.319728,0.408620,7675200,165114000
Feb 02 2018,0.376069,0.379135,0.287105,0.343659,2964590,185385000
Feb 01 2018,0.483213,0.502621,0.353411,0.375155,7117270,238202000
Jan 31 2018,0.462228,0.495790,0.447546,0.476479,11089100,227858000
Jan 30 2018,0.566221,0.573508,0.462671,0.462671,7668110,279121000
Jan 29 2018,0.657435,0.657435,0.391440,0.560887,10675500,324086000
Jan 28 2018,0.914383,0.922239,0.612842,0.654435,9505040,450749000
Jan 27 2018,0.891749,0.959396,0.854777,0.909621,9251900,439592000
Jan 26 2018,0.923905,0.957750,0.818020,0.890899,9048660,455443000
Jan 25 2018,0.898359,0.938513,0.870987,0.928292,9451050,442850000
Jan 24 2018,0.964544,0.996713,0.848154,0.900626,10075800,475476000
Jan 23 2018,0.916840,1.00,0.848617,0.966310,8204480,451960000
Jan 22 2018,1.03,1.17,0.848981,0.911324,9483130,508694000
Jan 21 2018,1.16,1.16,0.904400,1.03,4370490,573869000
Jan 20 2018,1.24,1.32,1.14,1.16,2496310,612530000
Jan 19 2018,1.24,1.31,1.04,1.23,6591170,609683000
Jan 18 2018,1.05,1.33,0.986639,1.24,10185500,516030000
Jan 17 2018,0.995002,1.10,0.692708,1.02,7435440,490491000
Jan 16 2018,1.52,1.53,0.861913,0.995900,8935630,749927000
Jan 15 2018,1.49,1.68,1.48,1.53,11397400,734029000
Jan 14 2018,1.64,1.64,1.38,1.49,11189700,809210000
Jan 13 2018,1.71,1.77,1.51,1.66,13511700,844043000
Jan 12 2018,1.83,1.87,1.45,1.71,15257400,903378000
Jan 11 2018,1.93,2.05,1.36,1.81,15650500,948991000
Jan 10 2018,2.51,2.53,1.61,1.94,19517400,1236240000
