Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,401.14,429.95,382.31,390.57,118852,-
Mar 30 2018,377.69,416.45,361.47,403.47,266780,-
Mar 29 2018,448.38,469.64,372.31,378.38,284234,-
Mar 28 2018,441.63,469.11,434.88,449.03,63044,-
Mar 27 2018,430.70,484.26,414.98,438.06,199895,-
Mar 26 2018,519.00,526.06,431.24,431.24,215744,-
Mar 25 2018,535.36,536.83,491.69,518.21,30091,-
Mar 24 2018,523.34,556.15,512.57,536.38,52334,-
Mar 23 2018,534.74,541.40,496.76,529.17,82497,-
Mar 22 2018,552.61,580.33,507.21,533.59,131810,-
Mar 21 2018,548.68,600.75,546.66,553.89,113657,-
Mar 20 2018,554.30,573.37,525.11,549.78,154607,-
Mar 19 2018,526.79,570.21,488.75,556.13,282642,-
Mar 18 2018,561.72,609.50,448.62,519.82,2072620,-
Mar 17 2018,589.02,602.60,546.63,561.89,115978,-
Mar 16 2018,598.69,636.01,586.99,589.71,233868,-
Mar 15 2018,615.10,638.50,556.67,598.27,187064,-
Mar 14 2018,709.13,725.77,596.54,615.21,790776,-
Mar 13 2018,712.24,736.69,696.96,711.03,156994,-
Mar 12 2018,759.85,921.54,692.50,712.75,39861,-
Mar 11 2018,705.61,804.27,582.38,758.84,33442,-
Mar 10 2018,737.48,762.54,698.30,703.41,164175,-
Mar 09 2018,734.78,739.86,651.32,733.60,497565,-
Mar 08 2018,792.46,837.71,725.94,732.94,453542,-
Mar 07 2018,816.18,832.86,725.55,795.26,460301,-
Mar 06 2018,840.81,846.64,792.63,815.25,768036,-
Mar 05 2018,866.68,872.31,833.51,841.27,255190,-
Mar 04 2018,863.34,878.05,841.49,865.94,57170,-
Mar 03 2018,854.08,864.75,841.60,863.21,34540,-
Mar 02 2018,862.29,925.68,784.21,853.54,237366,-
Mar 01 2018,846.83,879.77,815.91,862.44,84567,-
Feb 28 2018,856.02,874.12,812.71,850.56,217446,-
Feb 27 2018,864.57,999.27,828.98,857.29,68717,-
Feb 26 2018,860.04,882.43,788.21,862.98,83348,-
Feb 25 2018,842.44,896.73,819.47,860.18,40352,-
Feb 24 2018,850.52,881.32,802.26,842.29,110274,-
Feb 23 2018,798.86,872.66,776.97,850.56,168906,-
Feb 22 2018,844.17,879.81,761.79,798.31,331137,-
Feb 21 2018,886.30,1721.10,802.34,846.15,211837,-
Feb 20 2018,944.18,954.63,881.16,886.57,87392,-
Feb 19 2018,913.97,1112.38,913.97,946.38,54104,-
Feb 18 2018,921.51,1096.24,902.64,914.74,68840,-
Feb 17 2018,1028.09,2065.63,902.15,922.12,57956,-
Feb 16 2018,882.20,1683.06,878.89,1028.27,28799,-
Feb 15 2018,947.04,992.34,883.38,909.89,63090,-
Feb 14 2018,841.08,964.62,809.11,948.73,111546,-
Feb 13 2018,884.40,1704.19,811.02,841.86,53523,-
Feb 12 2018,806.75,898.66,806.75,887.50,206600,-
Feb 11 2018,861.36,861.45,793.52,808.04,183384,-
Feb 10 2018,1131.08,1792.75,839.50,859.98,87025,-
Feb 09 2018,823.72,3438.54,759.67,1120.38,76954,-
Feb 08 2018,753.28,923.10,752.10,824.77,64219,-
Feb 07 2018,779.58,856.73,719.11,753.65,89211,-
Feb 06 2018,680.63,1047.58,333.67,778.54,308589,-
Feb 05 2018,845.18,1361.22,571.35,686.38,153162,-
Feb 04 2018,927.54,929.01,766.27,815.70,45471,-
Feb 03 2018,910.63,2056.91,453.66,918.94,40744,-
Feb 02 2018,1010.53,1249.12,365.82,917.83,128044,-
Feb 01 2018,1119.22,2360.42,963.44,1062.73,127656,-
Jan 31 2018,1026.41,1476.50,989.78,1104.96,77753,-
Jan 30 2018,1171.67,1265.90,968.48,1028.89,139547,-
Jan 29 2018,1235.93,1288.56,1138.27,1172.88,181377,-
Jan 28 2018,1134.27,2041.47,1092.51,1231.81,215143,-
Jan 27 2018,1051.52,1149.41,296.95,1132.35,247646,-
Jan 26 2018,1013.97,1522.60,707.02,1050.89,108738,-
Jan 25 2018,1025.91,1117.44,948.38,1014.99,91392,-
Jan 24 2018,1007.74,1175.28,950.37,1013.15,159377,-
Jan 23 2018,962.45,1016.68,711.10,1004.51,211073,-
Jan 22 2018,1040.33,1222.83,932.30,960.05,91666,-
Jan 21 2018,1129.21,1137.68,979.23,1056.51,38999,-
Jan 20 2018,978.45,1204.37,978.45,1129.65,169067,-
Jan 19 2018,988.63,1117.53,929.74,977.80,120835,-
Jan 18 2018,1022.03,1195.49,628.17,984.60,303756,-
Jan 17 2018,1043.11,1155.42,693.20,1019.67,56673,-
Jan 16 2018,1221.58,1237.31,810.24,1057.25,147291,-
Jan 15 2018,1352.34,1372.93,1199.09,1224.65,398460,-
Jan 14 2018,1286.69,1369.97,1267.42,1350.65,246099,-
