Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.069550,0.073158,0.067107,0.071200,121945,17306300
Mar 30 2018,0.071498,0.072147,0.065157,0.069826,67159,17790700
Mar 29 2018,0.076940,0.080062,0.068808,0.071567,58535,19144600
Mar 28 2018,0.079466,0.083476,0.075942,0.076954,54486,19773000
Mar 27 2018,0.083460,0.084598,0.078538,0.079427,52170,20766600
Mar 26 2018,0.085991,0.088098,0.080314,0.084290,63817,21396100
Mar 25 2018,0.082536,0.088993,0.080365,0.087090,66441,20536400
Mar 24 2018,0.092628,0.101297,0.082933,0.082933,288189,23047100
Mar 23 2018,0.090838,0.093020,0.085078,0.091956,68542,22601500
Mar 22 2018,0.093573,0.104158,0.088792,0.091365,223160,23281400
Mar 21 2018,0.096146,0.100348,0.091768,0.096192,60844,23921700
Mar 20 2018,0.098516,0.099802,0.093465,0.095519,59737,24511100
Mar 19 2018,0.094176,0.098449,0.090433,0.097615,67973,23431200
Mar 18 2018,0.094098,0.100336,0.078579,0.094585,139367,23411500
Mar 17 2018,0.085139,0.133415,0.081659,0.099474,261393,21182200
Mar 16 2018,0.085632,0.089035,0.081498,0.084281,124530,21304600
Mar 15 2018,0.087683,0.088774,0.079989,0.085153,51501,21814700
Mar 14 2018,0.105063,0.107287,0.084739,0.089289,89476,26138500
Mar 13 2018,0.106138,0.110015,0.097196,0.104854,125638,26405600
Mar 12 2018,0.111168,0.116875,0.100035,0.106680,97425,27656600
Mar 11 2018,0.101743,0.113265,0.099039,0.112695,65691,25311700
Mar 10 2018,0.106583,0.113797,0.101636,0.103755,98266,26515400
Mar 09 2018,0.107351,0.109816,0.095509,0.104378,115800,26706200
Mar 08 2018,0.113715,0.122609,0.104130,0.109435,145165,28289100
Mar 07 2018,0.132900,0.136032,0.111094,0.112153,163765,33061600
Mar 06 2018,0.139873,0.141644,0.123173,0.134255,101896,34795900
Mar 05 2018,0.133334,0.142981,0.131020,0.139651,65675,33168500
Mar 04 2018,0.134038,0.139509,0.127009,0.136295,84416,33343600
Mar 03 2018,0.133753,0.137808,0.129022,0.135526,361008,33272400
Mar 02 2018,0.129257,0.137880,0.128300,0.133765,65056,32153700
Mar 01 2018,0.119195,0.134331,0.118734,0.128356,153836,29650200
Feb 28 2018,0.134218,0.141507,0.120451,0.120451,261076,33387000
Feb 27 2018,0.136042,0.151359,0.131518,0.134375,172200,33840300
Feb 26 2018,0.125623,0.136827,0.122052,0.132882,45783,31248400
Feb 25 2018,0.130170,0.134308,0.119735,0.130317,427389,32379000
Feb 24 2018,0.131456,0.144807,0.124956,0.130303,143169,32698600
Feb 23 2018,0.128667,0.142668,0.120632,0.135581,81600,32004400
Feb 22 2018,0.145908,0.155642,0.121750,0.125078,250016,36292500
Feb 21 2018,0.143570,0.168679,0.141001,0.149756,899872,35710800
Feb 20 2018,0.153864,0.168090,0.142455,0.144314,85664,38270900
Feb 19 2018,0.148379,0.160287,0.146591,0.157917,36835,36906100
Feb 18 2018,0.164325,0.166917,0.146722,0.148895,40449,40872000
Feb 17 2018,0.152278,0.166858,0.150521,0.161501,67671,37875100
Feb 16 2018,0.134666,0.154554,0.133296,0.153199,57543,33494200
Feb 15 2018,0.129808,0.140832,0.126009,0.135011,44798,32285600
Feb 14 2018,0.121157,0.130601,0.114080,0.128673,101359,30133700
Feb 13 2018,0.136622,0.138688,0.120396,0.121471,78904,33979700
Feb 12 2018,0.130487,0.142910,0.129671,0.137146,73282,32453600
Feb 11 2018,0.130508,0.142815,0.125537,0.129854,148854,32458300
Feb 10 2018,0.120128,0.144060,0.120128,0.129299,127086,29876400
Feb 09 2018,0.115407,0.126491,0.110562,0.119995,92667,28702100
Feb 08 2018,0.089807,0.118864,0.089367,0.117768,138138,22335000
Feb 07 2018,0.096063,0.108082,0.088090,0.090533,40033,23890600
Feb 06 2018,0.088598,0.097896,0.071227,0.097136,181603,22033800
Feb 05 2018,0.109022,0.112883,0.088826,0.089695,51461,27112900
Feb 04 2018,0.130259,0.134299,0.105607,0.110674,85133,32394100
Feb 03 2018,0.124065,0.136887,0.110260,0.130731,119113,30853400
Feb 02 2018,0.138497,0.140216,0.110872,0.125057,99470,34442100
Feb 01 2018,0.152033,0.152384,0.127753,0.136257,167763,37808000
Jan 31 2018,0.154992,0.156309,0.144722,0.150449,80442,38543400
Jan 30 2018,0.178548,0.180485,0.153793,0.154179,194414,44400800
Jan 29 2018,0.185907,0.195000,0.175592,0.178905,646812,46230300
Jan 28 2018,0.171694,0.201405,0.168040,0.183644,1047740,42695600
Jan 27 2018,0.173686,0.181068,0.159932,0.169653,87563,43190500
Jan 26 2018,0.174278,0.181178,0.157691,0.175283,619892,43337100
Jan 25 2018,0.182657,0.199777,0.169973,0.175636,912152,45420400
Jan 24 2018,0.179239,0.219586,0.174568,0.181187,835859,44570000
Jan 23 2018,0.181815,0.189264,0.162672,0.179393,683415,45209900
Jan 22 2018,0.172743,0.200270,0.172016,0.184519,913575,42953600
Jan 21 2018,0.206442,0.228216,0.169063,0.172686,622038,51332700
Jan 20 2018,0.195962,0.216235,0.183276,0.203970,1028260,48726400
Jan 19 2018,0.201664,0.218270,0.189756,0.193129,791809,50143500
Jan 18 2018,0.203258,0.264632,0.195031,0.203678,1291980,50539500
Jan 17 2018,0.188200,0.233811,0.145142,0.200953,1433570,46794800
Jan 16 2018,0.286804,0.377742,0.151522,0.182944,6606390,71311400
Jan 15 2018,0.204958,0.327640,0.198816,0.284723,4710480,50960400
Jan 14 2018,0.219231,0.220688,0.194757,0.208193,1323550,54508700
Jan 13 2018,0.209329,0.225270,0.201495,0.219691,1772360,52046300
Jan 12 2018,0.198495,0.213732,0.191148,0.209850,388120,49352000
Jan 11 2018,0.225574,0.227183,0.192781,0.196257,2581300,56084100
Jan 10 2018,0.228531,0.230636,0.209982,0.220782,3571660,56818800
Jan 09 2018,0.240362,0.240362,0.218414,0.229847,2968480,59759600
Jan 08 2018,0.237715,0.240638,0.212568,0.239142,3589290,59100900
Jan 07 2018,0.243271,0.258268,0.230507,0.232290,2860240,60481600
Jan 06 2018,0.241915,0.248067,0.219461,0.240526,2685450,60143900
Jan 05 2018,0.225641,0.246462,0.213052,0.239748,1983210,56097200
Jan 04 2018,0.231505,0.237479,0.205030,0.225814,3053550,57554500
Jan 03 2018,0.228566,0.244968,0.212156,0.230696,1628600,56823300
Jan 02 2018,0.215374,0.240336,0.215301,0.228586,1839120,53543000
Jan 01 2018,0.221413,0.246122,0.200340,0.215282,1501840,55044000
Dec 31 2017,0.203405,0.252990,0.203102,0.219735,3867920,50566400
Dec 30 2017,0.240769,0.283946,0.204057,0.204158,3598690,59854500
Dec 29 2017,0.266317,0.283718,0.240090,0.240887,5310400,66205100
Dec 28 2017,0.279319,0.279609,0.231020,0.265248,3433690,69436700
Dec 27 2017,0.267804,0.283748,0.262357,0.279539,3210070,66573500
Dec 26 2017,0.238030,0.289698,0.238030,0.267279,2324150,59171200
Dec 25 2017,0.229694,0.275367,0.218154,0.242281,1257310,57098500
