Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.044634,0.050869,0.037386,0.050673,5444,1087890
Mar 30 2018,0.041258,0.049532,0.033106,0.044630,5463,1005600
Mar 29 2018,0.057247,0.057716,0.038430,0.039156,5729,1395300
Mar 28 2018,0.065588,0.079475,0.055689,0.057177,35870,1598610
Mar 27 2018,0.073346,0.077059,0.064181,0.066074,5727,1787690
Mar 26 2018,0.091459,0.092511,0.072589,0.073447,8816,2229170
Mar 25 2018,0.080518,0.095677,0.080518,0.091579,16449,1962510
Mar 24 2018,0.106499,0.106499,0.081585,0.081622,8508,2595750
Mar 23 2018,0.086134,0.124041,0.077069,0.104985,19509,2099380
Mar 22 2018,0.105764,0.107632,0.079147,0.086137,19185,2577830
Mar 21 2018,0.097488,0.108707,0.094969,0.105939,10697,2376110
Mar 20 2018,0.124392,0.127675,0.090596,0.097294,23413,3031860
Mar 19 2018,0.144920,0.156161,0.121439,0.123074,5379,3532200
Mar 18 2018,0.153163,0.153547,0.130014,0.145479,4837,3733120
Mar 17 2018,0.161105,0.168350,0.146121,0.153433,3891,3926680
Mar 16 2018,0.146420,0.179837,0.140000,0.160841,9905,3568770
Mar 15 2018,0.186646,0.187566,0.143116,0.146509,9963,4549200
Mar 14 2018,0.198316,0.226133,0.150736,0.186723,24342,4833640
Mar 13 2018,0.138722,0.205217,0.127464,0.198284,15119,3381140
Mar 12 2018,0.151751,0.169950,0.139195,0.139359,3289,3698700
Mar 11 2018,0.141148,0.159324,0.136781,0.152005,3606,3440260
Mar 10 2018,0.156213,0.169552,0.141617,0.141617,3461,3807440
Mar 09 2018,0.170348,0.172358,0.143924,0.156158,9410,4151970
Mar 08 2018,0.204489,0.213800,0.163067,0.171434,9713,4984110
Mar 07 2018,0.186869,0.285401,0.184845,0.204780,20244,4554650
Mar 06 2018,0.191807,0.214098,0.179559,0.187075,3064,4674990
Mar 05 2018,0.238984,0.245669,0.190743,0.192258,4530,5824870
Mar 04 2018,0.226144,0.250683,0.212171,0.239097,6886,5511900
Mar 03 2018,0.255788,0.269593,0.221673,0.226476,9917,6234430
Mar 02 2018,0.313043,0.316897,0.220983,0.256094,30049,7629930
Mar 01 2018,0.347605,0.347605,0.211786,0.313655,46028,8472330
Feb 28 2018,0.211040,0.352917,0.191138,0.347343,26112,5143780
Feb 27 2018,0.192209,0.214777,0.189835,0.211277,4607,4684800
Feb 26 2018,0.211018,0.227575,0.189188,0.189188,6099,5143240
Feb 25 2018,0.226208,0.228425,0.188010,0.210770,6409,5513480
Feb 24 2018,0.219003,0.239396,0.204763,0.226551,7357,5337860
Feb 23 2018,0.197882,0.252196,0.162748,0.219276,10286,4823080
Feb 22 2018,0.235995,0.252790,0.197531,0.198067,6607,5752020
Feb 21 2018,0.283217,0.284339,0.235739,0.236119,10824,6902970
Feb 20 2018,0.303976,0.342038,0.248224,0.283570,21153,7408940
Feb 19 2018,0.292933,0.335469,0.290473,0.303700,6333,7139780
Feb 18 2018,0.335690,0.357127,0.283609,0.294285,11082,8181920
Feb 17 2018,0.379402,0.442762,0.306201,0.334664,30766,9247340
Feb 16 2018,0.245299,0.453657,0.228613,0.388258,96843,5978780
Feb 15 2018,0.274016,0.276398,0.230671,0.258106,11102,6678720
Feb 14 2018,0.256146,0.274557,0.238925,0.273868,5424,6243160
Feb 13 2018,0.238187,0.282081,0.232033,0.256912,29484,5805440
Feb 12 2018,0.203307,0.266630,0.203307,0.263599,11739,4955300
Feb 11 2018,0.247087,0.261033,0.206167,0.223043,10200,6022360
Feb 10 2018,0.303937,0.332187,0.185600,0.243876,67571,7407990
Feb 09 2018,0.308356,0.323760,0.251270,0.303715,23703,7515710
Feb 08 2018,0.278826,0.344625,0.276880,0.307509,17501,6795950
Feb 07 2018,0.293412,0.381797,0.235272,0.279843,76572,7151460
Feb 06 2018,0.310806,0.362283,0.220065,0.295035,80832,7575420
Feb 05 2018,0.516941,0.527613,0.223650,0.310590,69882,12599600
Feb 04 2018,0.664397,0.664397,0.485734,0.522002,69719,16193700
Feb 03 2018,0.634684,0.715175,0.543196,0.663834,137326,15469500
Feb 02 2018,0.911976,0.911976,0.544042,0.645894,218372,22228000
Feb 01 2018,1.42,1.47,0.819789,0.916666,568253,34636800
Jan 31 2018,0.439275,1.47,0.438194,1.41,2200040,10706600
Jan 30 2018,0.571792,0.577995,0.433643,0.438354,22405,13936500
Jan 29 2018,0.613761,0.692379,0.505166,0.571603,70755,14959500
Jan 28 2018,0.575815,0.627437,0.539212,0.614442,35408,14034600
Jan 27 2018,0.605199,0.646635,0.552054,0.572720,36216,14750800
Jan 26 2018,0.595162,0.656819,0.505937,0.605571,45231,14506100
Jan 25 2018,0.563735,0.661289,0.517179,0.596764,56322,13740200
Jan 24 2018,0.498899,0.579123,0.459091,0.555070,22399,12159900
Jan 23 2018,0.525576,0.642897,0.477406,0.499123,66695,12810100
Jan 22 2018,0.524802,0.582977,0.492013,0.527082,22761,12791200
Jan 21 2018,0.721755,0.754355,0.442232,0.515554,90292,17591700
Jan 20 2018,0.477171,0.766071,0.419955,0.719721,124719,11630300
Jan 19 2018,0.445992,0.520003,0.406982,0.472189,64584,10870400
Jan 18 2018,0.562977,0.690588,0.417006,0.450626,71195,13721700
Jan 17 2018,0.498057,0.673532,0.357153,0.560296,76859,12139400
Jan 16 2018,0.627366,0.694584,0.409436,0.500572,49146,15291100
Jan 15 2018,0.545241,0.804843,0.534004,0.626586,138524,13289400
Jan 14 2018,0.821960,0.864514,0.444713,0.557239,133266,20034000
Jan 13 2018,0.879905,0.904059,0.702504,0.821426,80917,21446300
Jan 12 2018,0.890681,0.980437,0.705417,0.880911,84042,21709000
Jan 11 2018,0.997563,1.01,0.785004,0.884703,88876,24314100
Jan 10 2018,1.19,1.22,0.918366,0.998780,121190,29026600
