Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.731577,0.797538,0.704724,0.715453,370468,-
Mar 30 2018,0.770714,0.806243,0.651429,0.731465,549056,-
Mar 29 2018,0.865595,0.865595,0.723893,0.772635,422193,-
Mar 28 2018,0.854991,0.892669,0.808411,0.864583,251052,-
Mar 27 2018,0.912403,0.953519,0.800764,0.855342,558119,-
Mar 26 2018,0.871165,0.985212,0.844058,0.913786,529101,-
Mar 25 2018,0.995455,1.00,0.850696,0.871832,938842,-
Mar 24 2018,0.967205,1.11,0.916317,1.01,1118450,-
Mar 23 2018,1.01,1.02,0.859632,0.953763,433793,-
Mar 22 2018,0.907522,1.05,0.858188,1.01,348363,-
Mar 21 2018,0.919105,1.11,0.846987,0.911853,362189,-
Mar 20 2018,0.987101,1.02,0.844104,0.917443,151969,-
Mar 19 2018,1.03,1.06,0.939849,0.976211,368352,-
Mar 18 2018,1.04,1.11,0.862375,1.01,273084,-
Mar 17 2018,1.01,1.13,0.921006,1.07,229354,-
Mar 16 2018,0.933613,1.09,0.884723,1.00,151627,-
Mar 15 2018,1.05,1.05,0.898867,0.934139,160093,-
Mar 14 2018,0.941008,1.22,0.835514,1.05,235656,-
Mar 13 2018,0.981312,1.07,0.887489,0.940879,92309,-
Mar 12 2018,0.926183,1.19,0.851621,1.02,135852,-
Mar 11 2018,0.861117,0.967331,0.826284,0.929110,8424,-
Mar 10 2018,0.902910,0.971784,0.856245,0.864097,22236,-
Mar 09 2018,0.938263,0.949330,0.809222,0.902521,14704,-
Mar 08 2018,1.04,1.07,0.876561,0.944241,41554,-
Mar 07 2018,0.817211,1.44,0.753578,1.04,358139,-
Mar 06 2018,0.918581,0.918581,0.810096,0.818273,10273,-
Mar 05 2018,0.920383,0.949180,0.847536,0.921127,15325,-
Mar 04 2018,0.961745,0.993735,0.863328,0.921057,55968,-
Mar 03 2018,0.991744,1.04,0.900510,0.963408,24491,-
Mar 02 2018,1.03,1.12,0.987167,0.992959,49303,-
Mar 01 2018,0.959191,1.15,0.959191,1.03,25425,-
Feb 28 2018,1.12,1.17,0.956928,0.957780,58160,-
Feb 27 2018,1.24,1.24,1.07,1.12,85278,-
Feb 26 2018,1.29,1.29,1.14,1.24,17503,-
Feb 25 2018,1.14,1.30,1.12,1.29,157463,-
Feb 24 2018,1.20,1.24,1.10,1.14,114086,-
Feb 23 2018,1.23,1.24,1.17,1.20,7539,-
Feb 22 2018,1.18,1.34,1.14,1.23,105962,-
Feb 21 2018,1.21,1.28,1.15,1.18,40653,-
Feb 20 2018,1.28,1.34,1.20,1.22,57838,-
Feb 19 2018,1.17,1.33,1.06,1.28,110203,-
Feb 18 2018,1.25,1.26,1.14,1.18,46554,-
Feb 17 2018,1.24,1.39,1.08,1.25,271175,-
Feb 16 2018,1.27,1.29,1.20,1.24,113345,-
Feb 15 2018,1.26,1.33,1.23,1.25,113747,-
Feb 14 2018,1.26,1.30,1.21,1.26,42823,-
Feb 13 2018,1.32,1.33,1.13,1.27,620357,-
Feb 12 2018,1.20,1.33,1.20,1.32,274188,-
Feb 11 2018,1.20,1.28,1.14,1.20,265120,-
Feb 10 2018,1.29,1.36,1.15,1.20,248950,-
Feb 09 2018,1.23,1.31,1.17,1.29,205986,-
Feb 08 2018,1.16,1.34,1.16,1.22,120944,-
Feb 07 2018,1.16,1.32,1.15,1.16,184151,-
Feb 06 2018,0.971646,1.22,0.896051,1.20,291367,-
Feb 05 2018,1.12,1.16,0.924953,0.970419,157124,-
Feb 04 2018,1.29,1.30,1.10,1.13,167184,-
Feb 03 2018,1.23,1.32,1.11,1.29,197864,-
Feb 02 2018,1.18,1.26,1.08,1.22,302412,-
Feb 01 2018,1.17,1.28,1.10,1.18,312413,-
Jan 31 2018,1.23,1.34,1.09,1.17,120157,-
Jan 30 2018,1.12,1.36,1.09,1.22,176334,-
Jan 29 2018,1.41,1.53,1.01,1.12,147046,-
Jan 16 2018,1.58,1.58,1.29,1.34,2724,-
Jan 15 2018,1.51,1.64,1.48,1.58,1056260,-
Jan 14 2018,1.70,1.74,1.45,1.52,137258,-
Jan 13 2018,1.66,1.80,1.62,1.70,1724310,-
Jan 12 2018,1.79,1.86,1.54,1.64,313572,-
