Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.041091,0.043255,0.040971,0.042561,1,-
Mar 30 2018,0.042574,0.043271,0.039687,0.041085,1,-
Mar 29 2018,0.048124,0.048203,0.041438,0.042680,3,-
Mar 28 2018,0.047188,0.049075,0.046926,0.048068,1,-
Mar 27 2018,0.049096,0.049253,0.046862,0.047199,4,-
Mar 26 2018,0.050724,0.051002,0.047192,0.049170,3,-
Mar 25 2018,0.055436,0.056708,0.050535,0.050763,4,-
Mar 19 2018,0.049142,0.052077,0.048840,0.050249,12,-
Mar 18 2018,0.051184,0.051960,0.044512,0.049350,48,-
Mar 17 2018,0.055204,0.055320,0.051519,0.051519,65,-
Mar 16 2018,0.049729,0.057051,0.047867,0.055114,70,-
Mar 15 2018,0.054075,0.055818,0.048106,0.049757,3,-
Mar 14 2018,0.054988,0.056247,0.051857,0.051867,2,-
Mar 13 2018,0.060349,0.062555,0.053333,0.054980,7,-
Mar 12 2018,0.057266,0.065685,0.056425,0.060698,3,-
Mar 11 2018,0.058268,0.064583,0.056278,0.057447,1,-
Mar 10 2018,0.058270,0.058804,0.057938,0.058469,2,-
Mar 08 2018,0.064487,0.065804,0.059089,0.060966,33,-
Mar 07 2018,0.064421,0.065623,0.063498,0.064578,35,-
Mar 06 2018,0.069032,0.069032,0.063748,0.064505,4,-
Mar 05 2018,0.070135,0.070517,0.069197,0.069223,208,-
Mar 04 2018,0.075846,0.075907,0.067695,0.070187,2,-
Mar 03 2018,0.073329,0.076197,0.073329,0.075977,18,-
Mar 02 2018,0.072509,0.074148,0.071852,0.072583,1,-
Mar 01 2018,0.061950,0.073571,0.061467,0.072696,377,-
Feb 28 2018,0.070918,0.073371,0.061804,0.061859,12,-
Feb 27 2018,0.061870,0.071854,0.061021,0.071002,1,-
Feb 26 2018,0.057519,0.062487,0.056456,0.061692,18,-
Feb 25 2018,0.064478,0.065596,0.055911,0.057446,50,-
Feb 24 2018,0.063415,0.064701,0.062486,0.064576,5,-
Feb 23 2018,0.065468,0.068865,0.063853,0.067952,5,-
Feb 22 2018,0.066081,0.067378,0.065418,0.065530,5,-
Feb 21 2018,0.067299,0.067423,0.062224,0.062848,3,-
Feb 20 2018,0.069180,0.070530,0.066662,0.067383,10,-
Feb 19 2018,0.062326,0.067544,0.062134,0.066511,100,-
Feb 18 2018,0.063494,0.065155,0.062467,0.062614,94,-
Feb 17 2018,0.061467,0.065418,0.060676,0.065079,96,-
Feb 16 2018,0.060644,0.061744,0.058590,0.061481,91,-
Feb 15 2018,0.063944,0.066765,0.057991,0.060904,110,-
Feb 12 2018,0.048638,0.053397,0.048638,0.053104,32,-
Feb 11 2018,0.056856,0.056856,0.047145,0.048330,110,-
Feb 10 2018,0.052133,0.060110,0.051877,0.056904,121,-
Feb 09 2018,0.049530,0.052322,0.046644,0.052095,3,-
Feb 08 2018,0.039229,0.050059,0.038093,0.049378,184,-
Feb 06 2018,0.036090,0.037915,0.030876,0.036835,14,-
Feb 05 2018,0.038517,0.041969,0.034660,0.036044,14,-
Feb 04 2018,0.048070,0.048783,0.037172,0.038894,4,-
Feb 03 2018,0.052024,0.053575,0.041902,0.048046,26,-
Feb 02 2018,0.043319,0.053435,0.036785,0.051847,82,-
Feb 01 2018,0.050445,0.066295,0.041223,0.043408,31,-
Jan 31 2018,0.046979,0.067587,0.045194,0.050328,4,-
Jan 30 2018,0.074814,0.074980,0.046127,0.046905,64,-
Jan 29 2018,0.064031,0.075223,0.049917,0.074790,322,-
Jan 28 2018,0.062909,0.070335,0.062909,0.064092,13,-
Jan 27 2018,0.049954,0.063895,0.040464,0.062588,50,-
Jan 26 2018,0.061382,0.063899,0.035108,0.049987,140,-
Jan 25 2018,0.062880,0.068743,0.043724,0.061546,31,-
Jan 24 2018,0.059727,0.063107,0.058090,0.061862,21,-
Jan 23 2018,0.061758,0.062669,0.059761,0.059761,21,-
Jan 22 2018,0.063844,0.065552,0.062237,0.064959,19,-
Jan 21 2018,0.070353,0.070353,0.061642,0.062983,19,-
Jan 20 2018,0.069921,0.077041,0.055930,0.070190,36,-
Jan 19 2018,0.067774,0.072230,0.066289,0.069169,22,-
Jan 18 2018,0.061154,0.071914,0.045905,0.068494,163,-
Jan 17 2018,0.057565,0.067773,0.051098,0.060919,35,-
Jan 16 2018,0.074748,0.074748,0.060949,0.061132,24,-
