Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.001166,0.001269,0.001028,0.001179,9484,2121610
Mar 30 2018,0.001209,0.001291,0.000975,0.001166,29450,2189680
Mar 29 2018,0.001604,0.001669,0.001150,0.001212,21002,2893730
Mar 28 2018,0.002251,0.002420,0.001441,0.001603,71358,4026520
Mar 27 2018,0.001550,0.002443,0.001265,0.002024,59937,2758900
Mar 26 2018,0.001519,0.001609,0.001340,0.001553,7655,2692920
Mar 25 2018,0.001618,0.001716,0.001444,0.001520,14903,2855110
Mar 24 2018,0.001511,0.001794,0.001421,0.001640,19993,2649600
Mar 23 2018,0.001476,0.001637,0.001340,0.001490,12579,2570920
Mar 22 2018,0.001510,0.001616,0.001364,0.001476,12692,2618010
Mar 21 2018,0.001603,0.001640,0.001347,0.001513,10424,2763350
Mar 20 2018,0.001639,0.001806,0.001370,0.001600,17556,2806030
Mar 19 2018,0.001415,0.002065,0.001277,0.001705,163648,2402630
Mar 18 2018,0.001423,0.001494,0.001175,0.001421,10331,2407650
Mar 17 2018,0.001464,0.001586,0.001287,0.001427,9032,2467010
Mar 16 2018,0.001500,0.001616,0.001419,0.001534,4228,2517490
Mar 15 2018,0.001643,0.001726,0.001345,0.001501,25507,2740390
Mar 14 2018,0.001923,0.002140,0.001633,0.001644,28619,3189340
Mar 13 2018,0.001920,0.002596,0.001555,0.001923,156100,3165460
Mar 12 2018,0.003057,0.003359,0.001790,0.001931,89173,4983050
Mar 11 2018,0.001674,0.004768,0.001403,0.003070,663628,2711610
Mar 10 2018,0.001813,0.001961,0.001654,0.001680,14756,2919070
Mar 09 2018,0.001493,0.002704,0.001342,0.001733,21944,2394850
Mar 08 2018,0.001775,0.001892,0.001493,0.001502,9751,2834060
Mar 07 2018,0.001564,0.002330,0.001564,0.001777,33578,2485150
Mar 06 2018,0.002586,0.002758,0.001556,0.001567,7724,4088850
Mar 05 2018,0.003180,0.003314,0.002551,0.002552,8126,5009820
Mar 04 2018,0.003521,0.003612,0.003036,0.003184,4486,5510950
Mar 03 2018,0.003277,0.004130,0.003093,0.003527,9079,5082590
Mar 02 2018,0.003070,0.003909,0.002913,0.003281,41404,4701870
Mar 01 2018,0.003092,0.003408,0.002745,0.003078,5733,4719520
Feb 28 2018,0.003496,0.003749,0.003084,0.003087,10406,5313180
Feb 27 2018,0.003209,0.003799,0.003198,0.003500,5957,4861280
Feb 26 2018,0.002888,0.003670,0.002818,0.003200,9125,4357530
Feb 25 2018,0.002830,0.003542,0.002803,0.002885,6684,4254840
Feb 24 2018,0.002803,0.003118,0.002710,0.002834,5443,4193290
Feb 23 2018,0.003160,0.003264,0.002756,0.002806,13056,4707600
Feb 22 2018,0.003271,0.003599,0.002935,0.003163,17615,4830910
Feb 21 2018,0.003188,0.003584,0.003009,0.003275,25580,4676420
Feb 20 2018,0.003585,0.004041,0.003158,0.003192,54767,5222650
Feb 19 2018,0.003676,0.003962,0.003397,0.003677,13977,5321750
Feb 18 2018,0.004397,0.004441,0.003662,0.003710,8124,6341070
Feb 17 2018,0.004161,0.004654,0.004068,0.004385,15775,5961400
Feb 16 2018,0.003803,0.005079,0.003617,0.004162,151614,5383680
Feb 15 2018,0.003921,0.004359,0.003772,0.003820,10675,5516740
Feb 14 2018,0.003548,0.004180,0.003350,0.004000,13904,4975090
Feb 13 2018,0.004322,0.004349,0.003277,0.003559,9293,6013540
Feb 12 2018,0.003852,0.004356,0.003699,0.004314,5164,5306360
Feb 11 2018,0.003956,0.003996,0.003489,0.003828,2991,5431590
Feb 10 2018,0.003978,0.004732,0.003794,0.003959,8014,5444430
Feb 09 2018,0.004144,0.004224,0.003517,0.003976,10030,5641350
Feb 08 2018,0.003616,0.004294,0.003401,0.004133,13850,4908720
Feb 07 2018,0.004647,0.004776,0.003442,0.003631,12285,6286370
Feb 06 2018,0.003547,0.005605,0.002564,0.004670,11418,4782660
Feb 05 2018,0.004093,0.004190,0.003126,0.003542,72676,5487080
Feb 04 2018,0.004505,0.004931,0.003920,0.003979,10556,6018170
Feb 03 2018,0.003976,0.005133,0.003445,0.004898,16717,5290490
Feb 02 2018,0.004265,0.004480,0.002469,0.003963,25550,5628790
Feb 01 2018,0.005393,0.005483,0.003091,0.004274,57950,7021160
Jan 31 2018,0.005683,0.006308,0.005067,0.005380,24893,7336290
Jan 30 2018,0.006232,0.008301,0.005590,0.005674,51807,7972780
Jan 29 2018,0.007615,0.007868,0.006073,0.006230,66760,9655220
Jan 28 2018,0.007617,0.008501,0.007088,0.007623,45467,9589060
Jan 27 2018,0.007489,0.009209,0.007389,0.007679,35941,9315380
Jan 26 2018,0.008929,0.008937,0.006717,0.007494,167492,10976900
Jan 25 2018,0.009196,0.010061,0.008360,0.008432,77593,11213300
Jan 24 2018,0.008141,0.010560,0.007797,0.008545,190847,9801880
Jan 23 2018,0.008342,0.009436,0.007542,0.007842,203297,9938830
Jan 22 2018,0.007980,0.009664,0.007159,0.008362,114536,9402270
Jan 21 2018,0.009364,0.010120,0.007792,0.007853,39588,10931100
Jan 20 2018,0.009898,0.012302,0.009513,0.010056,74697,11468300
Jan 19 2018,0.008504,0.010772,0.007944,0.010218,168614,9737760
Jan 18 2018,0.009337,0.011598,0.008165,0.008270,73879,10580900
Jan 17 2018,0.007781,0.010272,0.005893,0.009273,65006,8711800
Jan 16 2018,0.010169,0.011071,0.006766,0.007821,98580,11280400
Jan 15 2018,0.013858,0.014764,0.010099,0.010802,201337,15217700
Jan 14 2018,0.016859,0.018205,0.012984,0.014493,452184,18343400
Jan 13 2018,0.009952,0.026103,0.009563,0.016713,1121170,10698300
Jan 12 2018,0.008811,0.010956,0.008457,0.009963,191740,9352000
Jan 11 2018,0.008597,0.009580,0.006017,0.008754,204935,9019730
Jan 10 2018,0.009888,0.010524,0.007338,0.008606,144483,10240100
Jan 09 2018,0.010493,0.012428,0.009398,0.010133,188674,10756200
Jan 08 2018,0.010234,0.010589,0.007370,0.010377,266483,10337800
Jan 07 2018,0.007989,0.015126,0.007108,0.010302,345077,7901350
Jan 06 2018,0.005838,0.008225,0.005059,0.007996,161776,5718760
